from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
18-Apr-2019 - 00:00,40.69,4.43,25.24,26.39,26.95,0.76,69.6,43.04,104.82,0.39,2.56,26.02,2.05,93.03,48.53,741.57,0.0,113.4,19-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Apr-2019 - 00:00,56.65,10.16,38.39,31.02,31.9,0.98,78.64,79.17,183.16,0.59,5.39,28.7,2.17,81.2,41.68,741.29,0.0,115.02,20-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Apr-2019 - 00:00,73.75,9.05,46.58,30.85,27.36,1.1,71.52,76.58,205.33,0.5,2.97,30.67,1.43,82.41,38.97,741.11,0.0,110.56,21-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Apr-2019 - 00:00,69.51,13.41,47.87,33.23,26.74,1.18,75.57,85.48,240.88,0.68,5.8,33.02,1.78,82.94,37.03,741.0,0.0,121.53,22-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Apr-2019 - 00:00,77.47,18.47,56.24,40.22,31.81,1.19,65.62,111.5,291.42,1.01,5.27,34.1,1.85,87.91,37.33,741.0,0.0,117.21,23-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Apr-2019 - 00:00,62.97,14.91,45.61,40.01,31.06,1.13,78.57,92.88,261.25,0.77,11.38,36.18,2.2,112.65,36.47,741.08,0.0,118.94,24-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Apr-2019 - 00:00,30.75,1.89,17.9,39.43,28.19,0.99,103.2,75.27,265.88,0.54,2.37,37.65,3.11,115.04,37.04,741.28,0.0,109.85,25-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Apr-2019 - 00:00,35.54,2.68,21.09,42.74,29.48,0.82,81.36,72.8,278.83,0.43,2.04,36.06,3.0,111.74,39.65,741.21,0.01,92.09,26-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Apr-2019 - 00:00,49.72,5.07,30.56,31.86,42.86,1.01,80.07,82.51,254.84,0.75,7.17,36.57,2.97,94.45,33.7,741.21,0.0,129.99,27-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Apr-2019 - 00:00,38.83,2.13,22.39,24.81,28.51,0.81,73.31,58.69,312.25,0.4,2.87,38.0,4.46,84.69,28.54,741.0,0.0,126.82,28-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Apr-2019 - 00:00,43.02,4.5,26.53,22.88,36.97,1.0,77.0,63.77,285.29,0.36,2.69,37.97,4.2,91.89,26.32,741.0,0.0,128.26,29-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Apr-2019 - 00:00,81.03,25.64,63.94,28.23,48.23,1.56,63.67,79.42,304.88,0.61,5.59,37.9,2.66,82.78,26.53,741.0,0.0,123.76,30-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Apr-2019 - 00:00,60.41,8.79,39.29,35.41,48.9,1.55,77.32,113.04,346.99,1.01,4.59,38.16,2.41,107.58,28.61,740.74,0.0,116.45,01-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-May-2019 - 00:00,47.06,2.22,26.84,38.48,45.66,2.13,93.39,114.29,360.0,0.8,3.57,37.42,1.76,81.24,31.89,740.62,0.0,102.96,02-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-May-2019 - 00:00,30.12,2.07,17.7,35.7,30.57,1.36,90.19,73.7,333.29,0.42,1.61,34.67,3.65,92.09,35.59,740.97,0.01,99.53,03-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-May-2019 - 00:00,35.58,2.7,21.12,31.96,25.55,1.1,87.98,42.01,160.33,0.25,1.3,33.42,3.07,91.8,36.99,741.0,0.01,112.19,04-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-May-2019 - 00:00,58.09,6.25,35.98,28.84,22.57,1.5,73.24,54.57,185.62,0.42,3.77,35.17,3.19,54.01,30.43,741.11,0.0,127.18,05-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-May-2019 - 00:00,73.39,11.26,48.19,30.12,24.33,2.17,74.08,74.32,225.58,0.55,3.31,35.32,2.88,42.79,27.67,741.22,0.0,128.45,06-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-May-2019 - 00:00,86.62,24.83,66.27,32.91,28.64,2.63,73.24,85.29,285.08,0.68,5.52,36.07,2.62,66.39,27.71,741.0,0.0,124.16,07-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-May-2019 - 00:00,102.17,47.57,93.02,36.81,23.85,2.7,46.09,100.24,402.35,0.84,8.32,36.45,2.56,64.31,29.35,741.0,0.0,120.26,08-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-May-2019 - 00:00,70.76,19.3,53.32,36.46,34.37,2.74,51.51,129.64,445.71,0.69,6.37,37.77,3.16,63.93,28.49,741.0,0.0,120.92,09-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-May-2019 - 00:00,67.8,13.62,47.13,32.89,30.51,2.43,56.48,102.45,419.38,0.52,4.37,38.49,2.82,64.84,27.9,741.0,0.0,116.53,10-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-May-2019 - 00:00,35.3,3.42,21.56,24.89,19.77,1.3,76.59,64.21,314.46,0.26,1.91,38.98,3.43,60.41,27.34,741.0,0.0,114.96,11-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-May-2019 - 00:00,42.49,2.73,24.82,33.88,29.37,2.26,88.59,99.42,394.5,0.43,4.28,36.49,3.02,54.47,32.05,741.0,0.0,114.27,12-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-May-2019 - 00:00,38.76,2.7,22.81,35.95,30.15,2.14,82.36,137.46,593.04,0.4,3.82,35.78,3.28,55.15,33.47,741.0,0.0,111.22,13-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-May-2019 - 00:00,55.81,5.26,33.95,40.41,40.79,1.73,73.82,130.75,322.54,0.64,3.44,34.83,2.62,89.14,36.46,741.0,0.02,82.78,14-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-May-2019 - 00:00,55.02,5.11,33.42,48.26,27.7,1.99,63.7,59.22,139.25,0.47,3.28,31.78,1.98,62.75,43.04,741.0,0.0,101.25,15-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-May-2019 - 00:00,75.48,9.87,48.17,50.94,25.37,3.24,34.62,83.16,184.62,0.68,5.73,30.68,2.31,82.85,46.28,741.0,0.05,92.31,16-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-May-2019 - 00:00,68.54,9.36,44.07,50.5,30.74,3.86,53.93,74.32,237.0,0.6,4.51,32.75,2.62,67.76,42.22,741.01,0.0,95.69,17-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-May-2019 - 00:00,42.9,6.48,28.09,43.11,23.2,2.34,54.71,69.89,285.52,0.35,2.99,30.74,2.96,74.89,46.9,741.07,0.21,109.75,18-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-May-2019 - 00:00,41.64,4.06,25.45,51.73,16.24,2.87,62.22,38.0,87.12,0.27,3.14,29.2,2.44,67.03,51.38,741.0,0.0,130.85,19-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-May-2019 - 00:00,48.28,2.75,27.92,41.27,24.2,1.84,91.61,68.56,145.83,0.33,2.32,34.0,2.63,44.47,39.01,741.01,0.0,129.28,20-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-May-2019 - 00:00,78.15,15.56,54.22,34.05,25.04,2.2,75.81,73.15,209.59,0.56,5.66,36.11,2.14,47.29,35.22,741.22,0.0,126.31,21-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-May-2019 - 00:00,59.86,5.63,36.41,33.06,28.03,1.6,83.38,67.39,201.47,0.4,2.81,37.39,2.2,49.79,33.55,741.01,0.0,126.59,22-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-May-2019 - 00:00,70.74,10.59,46.24,34.33,21.04,1.76,50.49,56.96,230.36,0.46,4.0,35.71,1.52,60.08,37.53,741.0,0.0,70.77,23-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-May-2019 - 00:00,66.13,13.51,46.16,41.47,32.78,1.88,63.05,75.67,262.64,0.58,6.89,36.49,2.33,67.84,37.82,741.0,0.0,102.68,24-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-May-2019 - 00:00,46.96,4.54,28.67,43.56,34.39,1.64,46.79,47.19,133.46,0.49,4.52,32.63,3.84,59.85,44.75,741.0,0.0,119.81,25-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-May-2019 - 00:00,38.67,2.35,22.48,34.46,21.37,1.28,79.7,33.75,126.81,0.36,2.8,34.86,4.39,53.24,38.74,741.0,0.0,137.5,26-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-May-2019 - 00:00,42.03,2.25,24.18,27.5,31.39,1.37,97.82,49.22,150.34,0.36,3.65,36.02,3.36,49.83,34.05,741.0,0.0,139.23,27-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-May-2019 - 00:00,52.92,2.63,30.29,26.47,35.29,1.4,85.03,53.78,188.84,0.47,4.48,38.52,3.42,55.94,30.2,741.0,0.0,136.17,28-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-May-2019 - 00:00,57.84,3.72,33.79,26.8,30.34,1.36,92.59,44.69,167.45,0.5,5.16,39.38,3.4,43.66,26.17,741.0,0.0,139.97,29-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-May-2019 - 00:00,90.1,15.52,60.62,31.08,26.88,1.9,72.98,54.7,206.56,0.67,5.71,39.6,2.51,52.21,29.14,740.73,0.0,134.22,30-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-May-2019 - 00:00,94.51,27.54,72.67,32.15,25.96,1.95,60.03,68.0,246.79,0.8,8.17,40.93,2.17,62.2,29.12,740.44,0.0,130.17,31-May-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-May-2019 - 00:00,50.11,3.99,29.9,25.35,27.04,1.11,87.63,67.25,324.54,0.43,2.9,41.67,2.36,73.71,28.96,740.73,0.0,122.61,01-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Jun-2019 - 00:00,34.91,1.74,19.99,38.63,25.79,1.58,79.76,72.42,246.58,0.54,1.83,39.35,2.54,107.29,38.36,740.59,0.0,119.97,02-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Jun-2019 - 00:00,25.25,1.29,14.47,48.34,17.22,1.36,62.94,59.46,211.21,0.36,0.86,39.29,3.93,117.0,42.44,740.57,0.0,116.95,03-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Jun-2019 - 00:00,25.02,1.39,14.44,39.45,17.62,1.21,78.23,49.92,314.42,0.3,0.98,37.11,4.66,119.33,42.02,740.72,0.0,116.97,04-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Jun-2019 - 00:00,28.88,1.21,16.35,25.04,16.51,1.36,91.35,42.08,150.88,0.31,1.39,37.44,3.63,115.79,41.6,740.92,0.0,120.07,05-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Jun-2019 - 00:00,30.11,0.95,16.78,26.49,23.49,1.53,76.56,60.38,221.46,0.43,2.02,39.91,2.37,100.84,38.23,740.73,0.0,116.39,06-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Jun-2019 - 00:00,29.14,1.57,16.74,22.36,20.7,1.16,75.67,57.0,227.83,0.36,2.53,39.88,2.57,96.44,36.67,740.76,0.0,108.85,07-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Jun-2019 - 00:00,29.31,0.96,16.37,21.1,24.71,1.23,90.22,43.5,129.29,0.32,1.26,36.09,2.53,105.73,43.12,741.0,0.0,121.57,08-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Jun-2019 - 00:00,47.43,4.66,28.91,33.03,28.9,1.49,72.63,64.04,184.5,0.5,2.88,39.5,2.19,86.03,39.05,740.97,0.0,126.94,09-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Jun-2019 - 00:00,52.95,2.49,30.93,32.92,33.86,1.54,75.16,91.46,245.38,0.78,3.74,40.36,1.67,90.38,34.42,740.46,0.0,121.84,10-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Jun-2019 - 00:00,,,,,36.65,1.58,75.59,84.29,257.38,0.73,4.0,40.39,1.73,87.17,31.49,740.25,0.0,123.54,11-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Jun-2019 - 00:00,,,,,30.81,1.2,71.86,108.04,582.38,0.78,4.61,42.34,2.38,75.78,30.3,740.26,0.0,105.54,12-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Jun-2019 - 00:00,,,,,18.84,1.06,83.74,47.29,295.0,0.28,1.27,37.56,4.38,106.24,39.23,740.5,0.0,120.39,13-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Jun-2019 - 00:00,,,,,22.07,1.09,83.28,50.75,222.75,0.42,4.5,38.89,2.47,92.73,38.49,740.51,0.0,121.07,14-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Jun-2019 - 00:00,,,,,16.2,1.35,88.09,40.74,212.69,0.29,2.61,40.55,3.3,43.29,31.73,740.38,0.0,131.85,15-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Jun-2019 - 00:00,,,,,22.97,1.43,74.84,67.54,322.42,0.46,3.55,40.98,2.93,60.44,29.6,740.32,0.0,122.19,16-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Jun-2019 - 00:00,,,,,14.65,0.93,60.78,34.21,189.98,0.11,0.75,35.22,3.78,51.4,42.1,740.7,0.01,75.64,17-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Jun-2019 - 00:00,,,,,16.12,0.58,49.86,30.75,135.77,0.15,1.11,33.5,2.66,59.84,43.54,740.51,0.06,52.11,18-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Jun-2019 - 00:00,,,,,14.46,1.61,67.14,27.45,87.91,0.27,3.52,29.74,3.36,69.11,51.01,740.7,0.03,94.0,19-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Jun-2019 - 00:00,,,,,30.45,0.81,62.01,68.97,195.38,0.46,3.76,32.79,2.48,102.05,49.1,740.59,0.0,114.02,20-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Jun-2019 - 00:00,,,,,23.87,1.48,85.54,38.79,105.36,0.36,1.09,34.56,2.23,106.2,46.31,741.0,0.0,130.92,21-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Jun-2019 - 00:00,,,,,22.99,2.02,73.09,62.49,174.39,0.53,2.83,36.24,1.59,95.94,44.91,741.0,0.01,89.56,22-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Jun-2019 - 00:00,,,,,33.73,1.73,96.83,71.72,200.93,0.49,6.11,38.37,2.69,80.41,39.67,741.0,0.0,128.34,23-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Jun-2019 - 00:00,,,,,16.25,1.71,67.2,27.95,100.0,0.19,0.73,36.39,4.02,116.04,46.54,741.0,0.0,129.24,24-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Jun-2019 - 00:00,18.03,1.49,10.63,46.67,13.73,1.92,48.11,17.61,61.96,0.17,0.62,32.89,3.45,104.72,53.09,741.0,0.0,101.28,25-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Jun-2019 - 00:00,21.87,0.83,12.23,36.63,20.63,1.63,79.6,38.32,97.56,0.34,1.42,36.43,1.87,89.45,47.58,741.0,0.0,108.42,26-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Jun-2019 - 00:00,33.75,1.52,18.53,32.97,24.76,1.89,84.74,58.81,166.54,0.41,3.15,39.13,2.48,79.17,43.09,740.67,0.0,114.73,27-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Jun-2019 - 00:00,42.32,1.89,23.69,31.11,22.67,2.14,77.07,68.43,277.04,0.45,4.12,38.42,3.09,64.04,40.8,740.2,0.0,117.29,28-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Jun-2019 - 00:00,45.67,5.82,28.66,27.12,18.49,1.99,56.01,51.41,245.68,0.35,2.45,39.03,2.92,42.66,37.94,740.15,0.0,116.53,29-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Jun-2019 - 00:00,34.58,4.52,22.05,26.71,18.01,1.75,59.94,51.27,283.07,0.26,2.22,41.06,2.61,54.18,35.15,740.0,0.0,125.73,30-Jun-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Jun-2019 - 00:00,30.18,2.37,17.87,27.78,17.29,1.09,61.51,58.0,309.88,0.3,2.5,41.07,3.0,68.99,36.77,740.03,0.0,116.81,01-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Jul-2019 - 00:00,28.52,2.25,16.99,32.42,23.72,1.92,75.42,56.62,225.71,0.32,1.71,39.46,2.12,80.5,40.27,740.28,0.0,112.65,02-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Jul-2019 - 00:00,24.94,1.62,14.54,39.63,19.64,2.09,70.84,57.5,211.62,0.26,1.39,38.54,2.94,90.6,43.19,740.32,0.0,95.43,03-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Jul-2019 - 00:00,19.84,2.01,12.18,41.06,14.63,5.77,46.12,30.0,90.96,0.25,1.93,36.92,3.06,118.05,47.69,740.39,0.0,91.56,04-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Jul-2019 - 00:00,22.82,1.73,13.54,37.02,14.62,2.13,32.86,34.46,106.71,0.34,2.71,34.63,3.24,98.86,53.98,740.16,0.0,63.34,05-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Jul-2019 - 00:00,28.09,3.74,17.99,44.22,17.2,1.86,24.91,35.25,76.83,0.39,3.57,31.38,2.67,87.35,60.12,740.0,0.01,45.19,06-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Jul-2019 - 00:00,18.97,2.26,11.92,42.91,12.6,1.6,44.45,27.5,55.08,0.22,1.3,33.68,3.09,117.98,55.66,740.0,0.0,117.82,07-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Jul-2019 - 00:00,20.52,1.61,12.16,34.56,18.66,1.04,62.63,32.12,68.88,0.2,1.5,34.83,1.94,97.69,53.0,740.0,0.0,80.94,08-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Jul-2019 - 00:00,25.04,2.17,15.09,35.61,13.75,1.9,53.33,48.58,108.92,0.27,1.48,34.96,2.82,123.65,53.94,740.0,0.0,100.88,09-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Jul-2019 - 00:00,22.28,1.96,13.4,40.21,11.66,1.73,39.81,34.29,80.58,0.21,1.98,32.38,2.99,117.91,58.4,740.0,0.0,65.94,10-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Jul-2019 - 00:00,25.3,2.09,15.16,37.67,13.05,1.35,30.58,85.08,275.17,0.26,1.96,35.76,2.54,88.28,53.83,740.0,0.0,86.67,11-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Jul-2019 - 00:00,18.73,2.21,11.71,37.33,15.41,1.67,30.71,69.42,327.08,0.18,1.28,37.14,2.6,90.32,48.97,740.0,0.0,85.94,12-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Jul-2019 - 00:00,19.44,2.56,12.23,58.98,10.54,2.16,21.51,64.54,320.83,0.22,1.64,36.36,2.63,88.35,52.44,740.27,0.0,83.23,13-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Jul-2019 - 00:00,15.39,1.67,9.55,45.48,11.11,1.79,29.41,57.79,301.33,0.13,1.23,37.45,3.02,88.65,46.65,740.36,0.0,98.52,14-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Jul-2019 - 00:00,16.56,1.99,10.42,36.29,11.6,1.7,38.56,56.17,266.33,0.16,1.06,35.64,2.91,87.61,49.54,740.21,0.03,83.94,15-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Jul-2019 - 00:00,25.01,2.97,15.71,34.98,12.7,1.65,37.74,27.0,101.83,0.15,1.32,30.38,2.81,97.67,59.05,740.0,0.11,69.5,16-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Jul-2019 - 00:00,19.07,2.37,12.06,28.38,10.84,1.63,42.37,21.08,62.0,0.18,1.03,30.1,2.69,99.11,60.81,740.64,0.01,84.98,17-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Jul-2019 - 00:00,30.98,2.49,18.45,31.11,12.34,1.86,58.15,31.29,76.25,0.27,2.9,29.93,2.42,75.34,62.25,740.88,0.03,86.52,18-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Jul-2019 - 00:00,30.45,3.29,18.64,27.9,14.38,1.54,51.06,31.29,69.67,0.2,2.62,29.17,1.44,82.83,64.73,740.85,0.12,51.14,19-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Jul-2019 - 00:00,31.48,3.15,19.17,28.02,12.59,1.73,46.37,50.5,125.79,0.33,5.14,33.85,1.84,115.09,57.12,740.98,0.0,115.08,20-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Jul-2019 - 00:00,29.07,2.53,17.46,38.91,11.14,1.75,30.89,38.88,114.67,0.24,3.69,33.85,2.26,97.5,57.21,741.0,0.0,92.3,21-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Jul-2019 - 00:00,26.13,3.25,15.88,41.97,12.24,1.71,26.89,37.08,95.21,0.22,2.1,32.76,2.03,111.31,60.01,740.89,0.11,81.98,22-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Jul-2019 - 00:00,35.08,4.94,22.56,53.42,8.34,2.09,23.87,44.25,122.79,0.29,3.19,34.33,1.74,87.38,59.11,740.75,0.0,99.49,23-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Jul-2019 - 00:00,45.56,8.31,30.81,54.77,8.55,2.76,24.1,46.66,105.3,0.22,2.43,34.53,1.3,110.77,60.97,740.35,0.23,88.56,24-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Jul-2019 - 00:00,42.14,7.92,28.14,66.04,11.83,1.73,17.65,46.64,115.73,0.08,2.47,32.79,1.93,105.93,63.7,740.08,0.15,69.07,25-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Jul-2019 - 00:00,25.59,2.39,15.53,59.84,12.44,1.16,16.7,14.0,21.17,0.06,1.22,29.28,1.78,113.85,68.3,740.28,0.05,37.46,26-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Jul-2019 - 00:00,29.76,2.61,17.7,44.11,11.19,0.4,17.7,19.5,35.56,0.19,2.24,29.29,2.12,99.54,69.99,740.02,0.03,52.74,27-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Jul-2019 - 00:00,23.74,3.07,14.84,35.58,10.71,1.09,20.94,16.57,31.48,0.14,1.4,29.55,2.77,108.93,69.25,740.0,0.11,57.11,28-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Jul-2019 - 00:00,18.56,1.78,11.19,35.11,12.05,0.92,21.27,13.83,43.95,0.11,0.63,31.44,3.56,119.72,63.64,740.42,0.0,100.57,29-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Jul-2019 - 00:00,23.2,3.77,15.08,37.17,11.99,1.05,22.01,17.08,85.55,0.12,0.9,33.32,3.39,118.45,57.92,741.0,0.0,101.77,30-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Jul-2019 - 00:00,24.34,2.82,15.11,43.49,10.25,0.92,19.36,24.58,97.24,0.16,0.96,32.31,2.36,104.92,60.85,740.82,0.0,62.75,31-Jul-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-Jul-2019 - 00:00,26.81,3.14,16.66,44.26,10.99,1.29,27.11,23.83,99.68,0.12,0.91,33.15,2.58,120.15,58.22,740.54,0.0,84.2,01-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Aug-2019 - 00:00,26.84,2.97,16.66,45.23,11.6,1.08,27.83,28.38,93.52,0.17,1.28,33.72,2.41,126.03,56.96,740.38,0.0,102.89,02-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Aug-2019 - 00:00,28.84,3.46,17.77,43.99,12.04,1.36,20.01,27.75,81.64,0.17,1.85,31.7,1.8,106.07,63.55,740.12,0.1,53.7,03-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Aug-2019 - 00:00,28.62,3.03,17.6,49.89,13.12,0.83,15.81,25.33,61.14,0.21,1.58,30.24,1.51,86.93,68.66,740.15,0.15,54.35,04-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Aug-2019 - 00:00,26.12,2.24,15.47,38.29,11.21,1.38,18.29,28.5,74.52,0.25,1.52,31.62,1.23,104.79,66.62,740.1,0.0,69.27,05-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Aug-2019 - 00:00,25.03,2.76,15.13,51.05,11.06,1.43,24.21,36.83,100.3,0.23,1.53,33.5,2.02,115.39,63.07,740.0,0.0,103.42,06-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Aug-2019 - 00:00,33.03,6.71,21.61,58.95,13.35,1.37,16.0,25.09,53.74,0.1,1.69,29.36,1.79,103.42,71.24,740.0,0.2,28.16,07-Aug-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
