from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
24-Jan-2019 - 00:00,123.33,36.5,44.64,2.96,156.34,23.89,54.32,29.02,25-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jan-2019 - 00:00,97.69,34.93,43.26,2.9,138.93,24.19,38.58,29.06,26-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jan-2019 - 00:00,83.2,35.51,40.69,2.87,138.08,25.48,38.41,29.22,27-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jan-2019 - 00:00,88.6,35.69,40.74,2.95,178.93,25.8,42.38,29.26,28-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jan-2019 - 00:00,92.43,35.74,40.75,2.94,190.38,25.88,35.97,29.27,29-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jan-2019 - 00:00,105.8,35.82,40.77,3.05,165.47,26.0,33.53,29.28,30-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jan-2019 - 00:00,110.13,36.14,41.46,3.02,142.49,26.3,36.46,26.13,31-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Jan-2019 - 00:00,128.69,36.04,41.98,2.85,12.0,25.93,43.33,23.25,01-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Feb-2019 - 00:00,146.49,36.29,42.05,2.97,193.5,26.35,45.76,23.3,02-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Feb-2019 - 00:00,129.85,36.71,42.16,3.01,202.24,27.05,44.61,23.38,03-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Feb-2019 - 00:00,155.15,37.08,42.26,3.05,,27.67,50.68,23.46,04-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Feb-2019 - 00:00,128.42,37.85,42.46,2.55,,28.94,50.36,23.62,05-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Feb-2019 - 00:00,136.62,37.42,42.35,2.71,193.5,28.24,56.77,23.53,06-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Feb-2019 - 00:00,134.56,36.63,42.14,2.89,262.13,26.92,55.6,23.37,07-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Feb-2019 - 00:00,98.53,35.05,41.72,3.36,120.0,24.29,60.69,23.05,08-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Feb-2019 - 00:00,147.24,33.87,41.4,3.37,114.67,22.31,51.04,22.8,09-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Feb-2019 - 00:00,140.17,34.29,41.51,3.44,143.67,23.02,33.51,22.89,10-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Feb-2019 - 00:00,149.9,35.91,41.94,3.68,175.91,25.72,31.68,23.22,11-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Feb-2019 - 00:00,213.37,38.5,43.5,3.65,206.0,27.06,43.8,23.39,12-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Feb-2019 - 00:00,168.92,42.08,45.52,3.58,194.5,29.32,40.58,23.66,13-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Feb-2019 - 00:00,154.04,42.03,45.51,3.68,172.87,29.26,41.7,23.66,14-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Feb-2019 - 00:00,84.3,41.92,45.48,3.8,188.0,29.06,40.87,23.63,15-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Feb-2019 - 00:00,117.5,41.18,46.66,3.56,213.0,27.06,46.43,23.39,16-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Feb-2019 - 00:00,112.86,40.86,48.17,3.06,226.3,25.63,45.37,23.21,17-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Feb-2019 - 00:00,102.95,40.77,48.15,6.35,152.0,25.48,46.66,23.19,18-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Feb-2019 - 00:00,139.63,41.5,49.22,18.21,134.0,26.69,44.48,23.34,19-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Feb-2019 - 00:00,136.5,41.94,50.46,1.38,86.5,27.44,41.88,23.43,20-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Feb-2019 - 00:00,165.12,42.86,50.12,1.79,291.0,27.84,58.72,23.48,21-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Feb-2019 - 00:00,116.82,44.06,49.29,2.15,259.4,27.64,66.02,23.46,22-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Feb-2019 - 00:00,110.58,45.01,49.54,1.95,13.0,29.22,54.68,23.65,23-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Feb-2019 - 00:00,123.8,45.47,48.63,2.08,120.0,31.38,42.87,23.92,24-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Feb-2019 - 00:00,134.52,43.38,46.64,2.21,142.33,29.84,37.13,23.73,25-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Feb-2019 - 00:00,120.96,42.71,46.47,2.48,156.99,28.72,35.25,23.59,26-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Feb-2019 - 00:00,97.67,42.44,46.39,2.35,103.52,28.26,45.98,23.53,27-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Feb-2019 - 00:00,101.72,41.62,46.17,2.25,173.67,26.9,61.01,23.37,28-Feb-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Feb-2019 - 00:00,96.95,41.48,46.14,2.24,173.23,26.67,53.53,23.34,01-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
