from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
25-Jan-2019 - 00:00,2.6,113.4,68.63,65.84,12.48,44.31,33.5,40.75,14.33,0.34,0.42,0.03,137.51,87.67,19.93,19.72,3.0,23.62,1.52,1.12,26-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
26-Jan-2019 - 00:00,2.39,148.4,58.01,89.05,12.52,39.9,31.21,47.09,13.01,0.44,0.51,0.0,164.29,107.04,19.76,14.86,3.89,14.86,1.27,1.03,27-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
27-Jan-2019 - 00:00,2.48,157.84,59.46,63.05,12.3,46.45,34.53,39.23,11.67,0.67,0.66,0.0,220.12,150.94,19.79,18.31,4.89,18.44,1.39,1.1,28-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
28-Jan-2019 - 00:00,2.14,160.82,58.8,82.62,10.5,45.7,29.92,40.46,11.21,0.58,0.73,0.0,215.03,133.74,19.61,19.13,4.62,15.85,1.12,0.65,29-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
29-Jan-2019 - 00:00,3.86,149.39,53.44,88.94,17.75,56.0,43.98,38.93,12.81,1.0,0.6,0.0,267.41,172.27,20.24,23.13,6.8,32.35,2.27,1.4,30-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
30-Jan-2019 - 00:00,5.95,141.22,54.26,63.76,26.66,64.82,55.83,34.27,13.47,1.54,0.62,0.0,355.29,233.6,20.74,29.13,8.72,41.77,2.93,1.99,31-Jan-2019 - 00:00,"DTU, Delhi - CPCB"
31-Jan-2019 - 00:00,9.34,97.78,54.34,53.94,54.37,73.65,82.67,35.3,15.64,2.17,0.79,0.0,352.97,201.49,21.55,21.06,13.03,53.71,4.73,3.95,01-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
01-Feb-2019 - 00:00,6.55,119.28,63.26,58.62,22.19,64.0,51.8,24.42,15.84,1.45,0.76,0.0,294.35,193.41,20.5,12.92,8.75,30.49,3.33,2.21,02-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
02-Feb-2019 - 00:00,2.39,163.0,75.5,7.5,11.09,34.16,25.53,28.38,10.81,0.8,0.81,0.0,221.22,143.94,19.44,11.33,5.39,13.41,1.28,0.47,03-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
07-Feb-2019 - 00:00,,,,,,61.21,43.24,55.88,,0.25,,,111.21,59.6,23.05,10.85,3.69,,2.66,4.75,08-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
08-Feb-2019 - 00:00,,168.52,52.15,45.76,14.54,46.1,41.68,39.01,16.05,0.62,0.65,0.0,147.9,78.1,20.85,11.06,6.22,,2.14,3.11,09-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
09-Feb-2019 - 00:00,,153.57,62.93,93.75,14.76,43.21,34.77,34.53,13.9,0.74,0.76,0.0,165.85,96.17,18.03,11.36,3.56,,,2.13,10-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
10-Feb-2019 - 00:00,,149.73,63.13,70.97,24.19,56.48,49.39,29.92,14.38,1.38,0.7,0.0,278.59,170.55,18.51,11.86,7.41,,,3.29,11-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
11-Feb-2019 - 00:00,,124.07,62.07,73.93,26.41,56.55,51.21,30.78,14.82,1.5,0.54,0.0,277.83,165.65,18.63,12.33,7.42,,,3.83,12-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
12-Feb-2019 - 00:00,,106.8,63.91,64.54,30.57,66.03,59.58,41.26,16.79,1.88,0.51,0.0,349.7,202.09,19.03,12.76,7.93,,,5.61,13-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
13-Feb-2019 - 00:00,,95.09,61.73,59.39,55.42,90.23,92.33,38.1,18.46,2.65,0.55,0.0,356.06,205.2,19.82,12.57,11.26,,,6.27,14-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
14-Feb-2019 - 00:00,,79.01,69.98,24.67,33.71,71.54,61.52,22.87,17.48,2.23,0.95,0.1,242.78,153.64,19.1,11.96,10.87,,,6.92,15-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
