from date,PM10,PM2.5,NOx,CO,SO2,to date,station
14-Feb-2019 - 00:00,104.16,2.91,,2.41,54.12,15-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Feb-2019 - 00:00,36.31,1.89,,2.22,55.64,16-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Feb-2019 - 00:00,60.59,2.28,,2.29,55.66,17-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Feb-2019 - 00:00,80.29,2.64,,2.34,55.58,18-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Feb-2019 - 00:00,177.47,4.27,,2.59,56.09,19-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Feb-2019 - 00:00,88.12,1.88,,2.45,57.03,20-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Feb-2019 - 00:00,84.69,3.82,,2.06,52.68,21-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Feb-2019 - 00:00,115.49,21.25,,2.27,55.28,22-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Feb-2019 - 00:00,117.72,23.62,,2.38,57.65,23-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Feb-2019 - 00:00,96.52,18.87,,2.27,57.9,24-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Feb-2019 - 00:00,106.31,19.59,,2.34,59.79,25-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Feb-2019 - 00:00,93.92,14.0,36.66,2.24,59.89,26-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Feb-2019 - 00:00,82.44,1.78,,2.27,60.69,27-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Feb-2019 - 00:00,97.93,9.24,,1.98,58.83,28-Feb-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Feb-2019 - 00:00,66.95,1.88,,2.18,58.38,01-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Mar-2019 - 00:00,126.11,2.87,,2.37,58.79,02-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Mar-2019 - 00:00,99.28,2.06,,2.43,58.07,03-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Mar-2019 - 00:00,73.52,2.43,,2.51,54.17,04-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Mar-2019 - 00:00,107.38,2.54,,2.63,44.82,05-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Mar-2019 - 00:00,127.48,2.98,,2.64,45.58,06-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Mar-2019 - 00:00,102.66,1.14,,2.64,45.01,07-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Mar-2019 - 00:00,116.37,1.15,,2.66,44.88,08-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Mar-2019 - 00:00,114.0,1.63,,2.68,44.76,09-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Mar-2019 - 00:00,148.99,1.1,,2.78,46.14,10-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Mar-2019 - 00:00,108.38,1.21,,2.86,45.16,11-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Mar-2019 - 00:00,79.17,1.06,,2.39,45.33,12-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Mar-2019 - 00:00,139.32,1.44,,2.29,45.58,13-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Mar-2019 - 00:00,106.39,1.16,,2.34,44.92,14-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Mar-2019 - 00:00,136.59,31.11,,2.27,46.25,15-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Mar-2019 - 00:00,112.08,33.48,,2.36,48.76,16-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Mar-2019 - 00:00,87.77,12.22,,2.22,46.7,17-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Mar-2019 - 00:00,122.07,32.08,,2.53,47.11,18-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Mar-2019 - 00:00,102.46,27.46,,2.79,46.97,19-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Mar-2019 - 00:00,145.19,11.68,2.46,1.4,22.3,20-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Mar-2019 - 00:00,196.54,2.1,3.49,1.25,14.11,21-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Mar-2019 - 00:00,64.1,2.09,1.12,1.35,15.53,22-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Mar-2019 - 00:00,59.9,1.02,1.02,1.11,15.73,23-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Mar-2019 - 00:00,81.66,2.57,1.51,1.07,17.71,24-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Mar-2019 - 00:00,120.52,3.61,2.5,1.23,19.02,25-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Mar-2019 - 00:00,145.67,2.73,2.05,1.28,19.6,26-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Mar-2019 - 00:00,97.9,2.11,1.37,1.11,18.45,27-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Mar-2019 - 00:00,127.49,3.21,2.58,1.24,17.77,28-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Mar-2019 - 00:00,197.99,2.69,4.01,1.43,18.26,29-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Mar-2019 - 00:00,184.85,3.22,4.69,1.56,19.69,30-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Mar-2019 - 00:00,156.67,1.93,2.93,1.4,20.06,31-Mar-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Mar-2019 - 00:00,147.37,2.01,1.45,1.21,20.48,01-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Apr-2019 - 00:00,105.4,1.08,1.07,1.09,20.05,02-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Apr-2019 - 00:00,96.17,1.51,1.72,1.17,19.66,03-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Apr-2019 - 00:00,101.83,1.54,2.7,1.34,20.03,04-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Apr-2019 - 00:00,108.32,9.19,1.71,1.3,20.1,05-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Apr-2019 - 00:00,136.35,22.18,2.93,1.41,20.8,06-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Apr-2019 - 00:00,111.01,26.8,1.34,1.28,21.31,07-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Apr-2019 - 00:00,107.37,10.21,1.27,1.28,21.84,08-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Apr-2019 - 00:00,92.65,13.94,2.19,1.19,22.06,09-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Apr-2019 - 00:00,141.61,105.49,1.61,1.39,20.69,10-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Apr-2019 - 00:00,147.81,25.19,2.86,1.47,21.65,11-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Apr-2019 - 00:00,125.92,3.6,1.21,1.39,20.45,12-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Apr-2019 - 00:00,167.31,37.4,4.19,1.45,19.84,13-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Apr-2019 - 00:00,154.29,34.57,2.58,1.57,20.54,14-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Apr-2019 - 00:00,142.91,49.99,5.18,1.59,21.24,15-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Apr-2019 - 00:00,162.95,36.98,9.08,1.85,20.95,16-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Apr-2019 - 00:00,116.15,40.19,2.84,1.42,20.52,17-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Apr-2019 - 00:00,53.11,15.3,3.64,1.32,20.92,18-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Apr-2019 - 00:00,93.97,19.36,7.57,1.39,21.91,19-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Apr-2019 - 00:00,100.64,16.32,5.47,1.35,23.05,20-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Apr-2019 - 00:00,113.96,15.87,5.15,1.5,24.03,21-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Apr-2019 - 00:00,80.16,9.59,2.15,1.33,21.87,22-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
