from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Sector-25, Chandigarh - CPCC"
