from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,11.25,993.24,311.15,197.69,77.28,98.84,44.93,202.19,4.39,2.37,8.64,25.79,72.97,35.84,78.55,4.76,12.85,02-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
02-Jan-2019 - 00:00,12.2,993.48,378.08,254.33,81.35,88.46,53.41,191.18,4.29,2.05,10.87,28.63,81.29,38.04,86.52,3.94,11.2,03-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
03-Jan-2019 - 00:00,12.02,994.57,408.15,286.96,81.96,94.2,50.65,267.71,5.79,1.9,10.58,37.31,42.9,50.71,61.94,28.44,9.75,04-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
04-Jan-2019 - 00:00,11.27,993.42,359.4,231.23,86.55,74.15,64.04,221.15,4.85,2.14,11.16,39.49,66.33,55.31,83.5,14.77,9.3,05-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
05-Jan-2019 - 00:00,11.41,991.73,379.38,254.04,80.78,90.22,90.64,192.58,5.28,2.93,14.93,39.34,128.75,36.14,124.19,18.32,8.87,06-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
06-Jan-2019 - 00:00,12.63,991.36,218.25,164.44,89.94,70.11,47.49,193.06,4.89,1.82,7.86,36.76,17.4,34.95,32.78,16.79,5.04,07-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
07-Jan-2019 - 00:00,11.9,993.05,240.06,161.46,87.51,94.29,47.11,233.9,5.46,1.9,7.24,30.83,31.71,32.26,43.02,16.47,8.32,08-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
08-Jan-2019 - 00:00,11.85,991.19,204.73,141.02,84.58,105.59,34.9,290.54,5.52,1.45,6.35,32.04,16.56,30.15,29.54,18.77,6.72,09-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
09-Jan-2019 - 00:00,12.0,990.52,209.6,133.19,77.91,111.97,23.13,272.93,6.18,1.97,4.96,30.9,7.15,37.15,25.58,20.06,7.8,10-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
10-Jan-2019 - 00:00,11.59,990.23,192.33,123.96,76.72,110.89,20.67,242.86,5.48,1.43,4.4,28.94,16.26,33.66,31.16,20.39,10.19,11-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
11-Jan-2019 - 00:00,11.01,991.65,322.77,224.48,79.37,92.89,84.34,187.81,4.59,2.57,11.97,30.52,129.74,54.91,134.97,12.73,14.25,12-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
12-Jan-2019 - 00:00,12.54,990.77,317.84,238.41,78.44,93.95,83.5,190.43,4.77,2.2,15.5,28.91,87.55,44.38,94.99,20.1,10.48,13-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
13-Jan-2019 - 00:00,14.28,992.75,353.73,257.25,78.87,87.38,77.52,221.27,5.15,2.31,12.43,37.56,62.21,47.72,76.09,22.17,7.48,14-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
14-Jan-2019 - 00:00,12.04,992.52,154.52,96.94,65.33,119.57,22.8,306.18,6.66,1.21,3.2,30.64,3.34,32.52,20.03,21.16,8.01,15-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
15-Jan-2019 - 00:00,10.11,991.55,169.75,111.06,70.9,92.59,,298.25,6.0,1.21,,29.95,9.3,35.24,26.33,18.69,10.83,16-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
16-Jan-2019 - 00:00,10.02,991.37,319.17,218.88,80.22,91.32,,190.44,4.65,1.89,,27.03,77.82,47.05,88.47,13.64,13.07,17-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
17-Jan-2019 - 00:00,11.17,990.25,431.33,324.25,78.19,93.88,66.56,188.58,5.0,2.73,9.2,36.79,96.14,55.76,108.03,22.27,12.09,18-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
18-Jan-2019 - 00:00,11.16,990.68,271.96,179.04,79.9,113.16,38.23,230.1,5.23,1.72,7.07,30.39,27.16,44.62,45.88,19.42,7.43,19-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
19-Jan-2019 - 00:00,13.19,990.44,272.08,180.08,74.08,112.89,47.62,232.05,4.24,1.85,7.99,28.7,73.41,43.89,83.18,15.51,11.82,20-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
20-Jan-2019 - 00:00,16.24,989.4,297.88,186.9,73.92,110.91,91.47,205.52,4.09,2.94,11.09,33.82,105.47,45.1,109.97,15.27,9.53,21-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
21-Jan-2019 - 00:00,15.39,986.74,212.02,134.79,83.12,53.55,40.59,164.0,5.69,1.76,7.11,29.95,43.87,36.25,55.04,10.53,6.71,22-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
22-Jan-2019 - 00:00,14.68,987.5,67.17,54.38,94.17,65.53,28.02,145.77,5.13,1.12,2.86,28.23,8.99,31.39,24.03,15.89,4.59,23-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
23-Jan-2019 - 00:00,12.59,990.86,182.21,127.62,89.84,101.8,57.14,210.12,5.32,1.81,8.02,27.32,47.37,42.94,61.46,9.55,5.78,24-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
24-Jan-2019 - 00:00,14.25,992.95,170.83,106.73,82.37,92.54,56.64,198.56,5.11,1.79,7.35,30.59,35.96,36.46,48.71,2.51,9.11,25-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
25-Jan-2019 - 00:00,12.97,993.1,129.81,77.06,83.89,109.76,37.48,175.58,5.33,1.16,3.87,27.55,9.69,31.71,24.77,2.62,6.64,26-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
26-Jan-2019 - 00:00,11.11,995.59,147.73,91.04,73.99,132.46,23.92,239.13,6.06,1.13,3.3,27.46,3.87,24.23,16.04,1.93,6.76,27-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
27-Jan-2019 - 00:00,9.88,995.61,184.12,124.98,76.27,112.17,20.03,261.15,6.19,1.11,3.64,27.72,7.74,27.86,21.12,2.32,8.16,28-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
28-Jan-2019 - 00:00,10.56,995.26,185.42,125.92,70.69,131.72,20.68,286.6,6.45,1.19,3.68,29.98,10.0,33.16,25.79,28.68,9.37,29-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
29-Jan-2019 - 00:00,11.09,993.75,207.25,141.54,69.3,132.61,29.26,233.24,6.1,1.39,4.39,28.47,16.03,34.97,31.67,49.23,16.01,30-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
30-Jan-2019 - 00:00,11.88,992.44,269.73,185.94,71.17,113.78,40.6,206.63,5.06,1.6,6.89,30.64,58.69,42.75,70.59,47.04,21.93,31-Jan-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
31-Jan-2019 - 00:00,13.69,991.24,275.23,180.23,73.29,89.75,59.88,172.42,5.27,2.11,8.85,31.42,75.56,46.15,86.16,36.05,8.94,01-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
01-Feb-2019 - 00:00,14.64,991.94,245.75,174.23,80.62,99.42,35.89,233.16,5.47,1.63,6.06,32.12,17.74,37.38,34.34,35.91,8.48,02-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
02-Feb-2019 - 00:00,11.49,992.09,249.21,170.71,92.36,80.92,23.14,325.27,6.15,1.34,5.21,33.75,4.74,23.26,16.24,32.76,4.79,03-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
03-Feb-2019 - 00:00,12.03,993.15,187.81,117.4,91.52,98.6,28.39,252.86,5.12,1.24,4.5,33.02,6.69,18.13,15.11,28.25,5.23,04-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
04-Feb-2019 - 00:00,12.63,993.6,146.12,96.92,82.59,134.34,38.57,240.4,4.62,1.63,6.7,30.99,35.09,32.82,46.06,33.91,5.56,05-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
05-Feb-2019 - 00:00,14.8,990.97,270.73,178.23,80.27,106.35,81.29,182.35,4.23,2.07,10.51,31.26,132.36,53.99,137.21,40.04,11.11,06-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
06-Feb-2019 - 00:00,17.57,985.96,193.0,137.94,84.54,103.19,31.72,173.25,5.24,1.12,6.5,31.02,30.18,44.34,48.19,29.37,7.14,07-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
07-Feb-2019 - 00:00,15.74,984.15,93.38,61.4,94.42,26.44,10.74,183.26,6.35,0.57,2.77,28.18,4.81,27.27,18.43,26.15,6.08,08-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
08-Feb-2019 - 00:00,12.81,989.96,112.52,52.38,74.98,140.69,22.15,249.07,5.68,0.53,3.09,27.72,14.37,29.32,27.31,33.43,6.51,09-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
09-Feb-2019 - 00:00,12.3,992.21,136.73,74.67,76.32,151.33,13.39,238.74,6.01,0.47,2.72,25.85,9.43,29.7,23.48,40.23,8.19,10-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
10-Feb-2019 - 00:00,12.48,993.58,191.38,113.79,76.66,127.54,19.84,246.56,4.88,0.75,4.22,26.73,21.28,29.84,33.23,38.92,11.85,11-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
11-Feb-2019 - 00:00,12.9,994.01,218.38,131.92,78.36,118.72,46.98,190.84,4.42,1.19,6.39,24.44,48.13,41.35,61.24,32.67,10.66,12-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
12-Feb-2019 - 00:00,15.2,994.12,305.38,197.42,81.16,98.06,126.64,174.13,4.52,1.71,10.89,21.35,57.51,69.98,84.11,32.23,15.04,13-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
13-Feb-2019 - 00:00,16.53,993.14,270.33,179.02,77.17,109.71,76.61,184.23,4.12,1.67,9.04,23.24,71.21,42.49,80.66,43.0,12.5,14-Feb-2019 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
