from date,PM10,PM2.5,NOx,NO2,NO,CO,CO2,Ozone,to date,station
01-Jan-2019 - 00:00,362.36,205.06,43.11,20.83,25.84,1.03,,25.96,02-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Jan-2019 - 00:00,371.13,217.09,35.78,17.51,19.27,0.88,,26.61,03-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Jan-2019 - 00:00,455.61,264.24,38.02,17.97,21.04,1.18,,20.47,04-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Jan-2019 - 00:00,389.98,210.7,32.92,16.67,17.26,1.21,,15.73,05-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Jan-2019 - 00:00,387.75,219.84,33.39,16.8,17.59,1.3,,19.5,06-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Jan-2019 - 00:00,244.41,156.58,35.5,23.32,62.68,0.97,,11.19,07-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Jan-2019 - 00:00,246.01,138.03,26.01,14.98,12.03,0.72,,21.87,08-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Jan-2019 - 00:00,235.76,129.23,27.0,15.22,12.78,0.38,,32.82,09-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Jan-2019 - 00:00,207.75,100.4,27.9,15.45,13.46,0.32,,38.84,10-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Jan-2019 - 00:00,191.09,91.83,31.42,16.33,16.09,0.54,,34.31,11-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Jan-2019 - 00:00,319.59,167.29,28.33,15.55,13.78,0.96,,41.86,12-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Jan-2019 - 00:00,273.97,145.37,29.13,15.74,14.38,0.8,,43.72,13-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Jan-2019 - 00:00,394.04,205.53,40.06,18.47,40.66,1.23,,32.3,14-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Jan-2019 - 00:00,123.88,53.04,38.8,18.14,21.66,1.36,,21.79,15-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Jan-2019 - 00:00,,,,,,,,,16-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Jan-2019 - 00:00,304.2,149.65,45.67,19.82,26.85,2.35,,59.26,17-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Jan-2019 - 00:00,506.74,262.37,44.16,19.46,25.7,3.45,,52.18,18-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Jan-2019 - 00:00,368.04,184.34,46.86,20.12,27.74,2.53,,37.01,19-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Jan-2019 - 00:00,443.11,171.9,43.84,19.37,25.47,3.86,,44.97,20-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Jan-2019 - 00:00,,111.69,40.37,18.51,22.86,4.58,,45.95,21-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Jan-2019 - 00:00,117.98,106.59,32.58,16.6,16.98,3.26,16.92,42.67,22-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Jan-2019 - 00:00,73.69,67.44,12.91,17.65,22.61,3.12,,37.02,23-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Jan-2019 - 00:00,220.18,123.6,7.55,10.4,0.09,4.43,,36.8,24-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Jan-2019 - 00:00,186.75,94.56,11.15,11.29,0.89,4.24,,38.4,25-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Jan-2019 - 00:00,120.61,62.91,14.32,12.62,3.08,3.43,,35.95,26-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Jan-2019 - 00:00,164.94,83.06,12.4,12.66,0.97,3.17,,47.38,27-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Jan-2019 - 00:00,183.24,103.72,15.19,13.23,2.95,3.35,,49.48,28-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Jan-2019 - 00:00,148.65,82.31,12.34,12.53,1.17,3.05,,60.31,29-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Jan-2019 - 00:00,163.39,91.1,25.46,12.26,14.22,3.83,,47.18,30-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Jan-2019 - 00:00,257.19,135.97,40.29,8.67,32.62,4.62,,34.71,31-Jan-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-Jan-2019 - 00:00,174.29,129.43,27.63,9.52,19.19,4.25,,41.88,01-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Feb-2019 - 00:00,231.8,138.04,20.86,10.52,11.34,4.17,,42.58,02-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Feb-2019 - 00:00,237.39,115.99,26.89,13.1,43.4,3.09,,28.47,03-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Feb-2019 - 00:00,177.9,75.58,21.74,10.62,12.13,4.53,,27.18,04-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Feb-2019 - 00:00,172.63,80.47,22.55,10.78,12.76,4.56,,33.4,05-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Feb-2019 - 00:00,183.81,116.98,22.63,10.71,12.92,4.19,,44.62,06-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Feb-2019 - 00:00,181.41,103.35,21.55,10.46,12.09,0.3,,37.11,07-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Feb-2019 - 00:00,106.39,58.21,23.58,10.56,14.02,0.17,,19.6,08-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Feb-2019 - 00:00,162.26,59.41,45.54,12.36,34.18,0.19,,16.23,09-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Feb-2019 - 00:00,120.24,47.51,45.44,12.2,34.24,0.07,,19.84,10-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Feb-2019 - 00:00,226.15,101.24,43.82,12.3,32.51,0.3,,12.3,11-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Feb-2019 - 00:00,268.3,110.64,33.14,11.57,22.57,0.52,,17.74,12-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Feb-2019 - 00:00,324.46,135.16,25.07,10.95,15.12,0.66,,19.25,13-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Feb-2019 - 00:00,326.7,142.59,28.07,11.03,18.04,0.64,,17.73,14-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Feb-2019 - 00:00,219.21,105.74,23.06,8.45,15.64,0.3,,22.78,15-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Feb-2019 - 00:00,188.28,76.79,4.25,3.02,2.02,0.22,,22.21,16-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Feb-2019 - 00:00,157.41,79.47,26.82,10.5,12.32,0.19,,23.56,17-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Feb-2019 - 00:00,119.22,57.42,16.69,14.54,2.16,0.16,,29.24,18-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Feb-2019 - 00:00,,,,,,,,,19-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Feb-2019 - 00:00,231.51,82.53,15.95,14.35,1.6,0.29,,52.74,20-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Feb-2019 - 00:00,156.83,63.56,15.86,14.33,1.53,0.21,,25.8,21-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Feb-2019 - 00:00,142.42,47.56,16.44,14.39,2.05,0.1,,35.21,22-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Feb-2019 - 00:00,111.92,42.85,17.98,14.6,3.38,0.11,,30.53,23-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Feb-2019 - 00:00,88.37,32.6,18.49,14.67,3.82,0.06,,46.62,24-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Feb-2019 - 00:00,133.29,49.2,16.4,14.41,1.99,0.13,,40.86,25-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Feb-2019 - 00:00,161.51,64.04,20.18,14.92,5.26,0.25,,42.8,26-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Feb-2019 - 00:00,94.93,37.43,22.7,16.57,5.97,0.07,,37.34,27-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Feb-2019 - 00:00,80.35,33.63,26.69,19.25,7.44,0.09,,30.13,28-Feb-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Feb-2019 - 00:00,124.57,46.06,29.31,19.59,9.72,0.24,,31.33,01-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Mar-2019 - 00:00,171.46,58.81,30.38,20.26,10.12,0.26,,33.16,02-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Mar-2019 - 00:00,161.08,66.4,30.27,24.49,32.44,0.3,,23.27,03-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Mar-2019 - 00:00,60.23,18.47,15.41,19.54,15.42,0.16,,29.14,04-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Mar-2019 - 00:00,131.84,59.09,15.31,17.65,0.14,0.23,,29.2,05-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Mar-2019 - 00:00,104.42,48.4,15.91,17.89,0.0,0.14,,20.68,06-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Mar-2019 - 00:00,132.48,46.78,11.91,4.01,7.9,0.18,,32.99,07-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Mar-2019 - 00:00,185.27,62.38,13.86,4.52,9.34,0.35,,35.74,08-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Mar-2019 - 00:00,172.92,57.59,13.81,4.71,9.1,0.37,,34.92,09-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Mar-2019 - 00:00,155.41,72.75,13.82,4.77,15.75,0.19,,33.94,10-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Mar-2019 - 00:00,138.06,45.69,10.8,3.93,6.87,0.17,,40.86,11-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Mar-2019 - 00:00,172.74,61.62,12.9,3.85,9.05,0.19,,48.69,12-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Mar-2019 - 00:00,118.14,42.61,11.32,4.67,11.95,0.2,,35.88,13-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Mar-2019 - 00:00,239.29,67.5,11.58,4.98,6.6,0.32,,30.44,14-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Mar-2019 - 00:00,209.62,76.71,13.51,4.79,8.73,0.52,,25.4,15-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Mar-2019 - 00:00,139.58,47.99,15.76,6.27,9.51,0.21,,32.01,16-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Mar-2019 - 00:00,134.49,61.53,17.18,6.34,17.66,0.17,,40.31,17-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Mar-2019 - 00:00,150.31,48.67,9.9,5.65,4.25,0.24,,38.0,18-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Mar-2019 - 00:00,173.97,58.7,9.84,5.51,4.33,0.25,,39.6,19-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Mar-2019 - 00:00,241.56,78.07,10.74,6.02,4.72,0.28,,39.01,20-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Mar-2019 - 00:00,213.92,69.71,9.16,5.07,4.08,0.24,,43.1,21-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Mar-2019 - 00:00,250.25,102.95,10.31,5.72,4.59,0.6,,47.62,22-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Mar-2019 - 00:00,123.86,36.45,9.2,4.76,4.44,0.09,,44.55,23-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Mar-2019 - 00:00,89.73,24.55,14.49,6.78,137.08,0.2,,56.92,24-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Mar-2019 - 00:00,152.66,31.85,9.06,7.49,1.57,0.15,,40.61,25-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Mar-2019 - 00:00,145.56,43.85,9.73,7.52,2.21,0.19,,34.77,26-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Mar-2019 - 00:00,157.35,50.67,10.56,7.56,3.0,0.21,,40.47,27-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Mar-2019 - 00:00,169.84,48.0,9.89,7.57,2.32,0.2,,44.25,28-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Mar-2019 - 00:00,198.41,60.41,10.1,7.67,2.44,0.33,,39.32,29-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Mar-2019 - 00:00,254.61,95.14,15.15,7.91,7.24,0.62,,42.56,30-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Mar-2019 - 00:00,130.0,27.17,19.2,9.88,21.87,0.15,,57.91,31-Mar-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-Mar-2019 - 00:00,155.8,59.05,16.69,8.81,27.23,0.2,,41.13,01-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Apr-2019 - 00:00,150.8,31.9,12.13,7.5,4.63,0.09,,48.64,02-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Apr-2019 - 00:00,187.81,55.8,12.85,7.59,5.26,0.18,,47.27,03-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Apr-2019 - 00:00,144.73,56.78,13.64,8.14,20.67,0.6,,43.84,04-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Apr-2019 - 00:00,271.29,85.87,9.37,7.54,2.13,1.15,,41.29,05-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Apr-2019 - 00:00,269.67,113.44,23.56,7.91,15.65,1.04,,49.56,06-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Apr-2019 - 00:00,311.49,109.01,61.88,7.48,54.4,0.4,,50.74,07-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
