from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
20-Nov-2019 - 00:00,20.48,33.51,12.88,12.22,4.22,0.92,96.63,228.75,4.64,1.79,0.3,6.03,27.48,21.87,0.01,109.12,85.76,0.0,145.3,0.46,21-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Nov-2019 - 00:00,18.86,32.06,12.75,12.26,4.34,0.6,53.57,137.3,3.04,1.45,0.3,5.13,26.84,22.51,0.01,163.69,75.76,0.0,213.7,0.41,22-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Nov-2019 - 00:00,25.78,44.94,10.63,18.72,4.79,0.81,56.74,154.72,4.2,1.99,0.48,6.71,27.67,21.82,0.01,162.05,79.38,0.0,198.21,0.64,23-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Nov-2019 - 00:00,27.54,45.37,9.79,17.83,4.64,0.76,64.66,169.17,4.18,1.72,0.44,7.36,27.03,21.83,0.01,159.53,79.41,0.0,194.51,1.53,24-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Nov-2019 - 00:00,29.05,45.02,9.5,16.0,4.48,0.93,86.53,207.95,5.49,2.34,0.53,7.54,29.5,21.8,0.02,134.94,81.35,0.0,207.08,0.76,25-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Nov-2019 - 00:00,47.76,80.01,12.5,32.25,4.42,0.81,86.69,193.72,4.87,1.77,0.4,7.97,26.38,21.97,0.01,107.83,82.35,0.0,128.14,1.46,26-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Nov-2019 - 00:00,52.62,89.0,16.0,36.39,5.98,0.8,71.57,170.02,4.23,1.62,0.38,5.96,27.23,22.06,0.0,147.64,78.77,0.0,184.16,12.59,27-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Nov-2019 - 00:00,41.88,75.38,17.85,33.5,4.98,0.66,44.67,125.11,3.03,1.45,0.3,6.05,23.49,22.35,0.01,171.11,74.04,0.0,209.55,0.39,28-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Nov-2019 - 00:00,37.75,71.71,17.29,34.1,5.18,0.68,37.62,115.65,2.55,1.2,0.25,4.4,25.1,22.26,0.0,168.1,73.51,0.0,213.57,0.39,29-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Nov-2019 - 00:00,38.61,93.41,16.18,54.8,5.96,0.82,65.02,136.17,3.98,1.79,0.36,9.17,25.54,22.28,0.0,164.14,76.31,0.0,197.18,0.43,30-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Nov-2019 - 00:00,36.53,76.06,17.46,39.43,5.04,0.64,94.87,158.62,3.78,1.23,0.35,5.29,32.53,21.51,0.0,140.1,81.16,0.0,196.3,0.49,01-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Dec-2019 - 00:00,40.93,94.54,18.27,53.59,7.67,0.97,139.26,241.37,5.85,2.06,0.51,6.94,18.6,19.85,0.0,80.24,87.75,0.0,197.55,0.37,02-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Dec-2019 - 00:00,113.31,194.51,24.94,81.17,6.22,0.72,85.23,153.59,3.49,1.58,0.38,5.59,32.81,20.74,-0.02,138.12,79.42,0.0,124.26,0.74,03-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Dec-2019 - 00:00,79.51,123.22,25.34,43.71,4.91,0.63,72.11,137.47,3.14,1.41,0.32,4.96,25.23,20.46,-0.0,125.79,79.9,0.0,177.41,0.38,04-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Dec-2019 - 00:00,53.9,89.07,31.37,35.18,5.51,0.65,66.96,142.23,2.17,0.82,0.23,3.87,27.14,20.63,0.0,162.21,73.23,0.0,222.44,0.38,05-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Dec-2019 - 00:00,47.93,114.59,42.72,66.65,8.0,0.75,60.18,129.43,5.12,3.01,0.69,9.2,29.69,20.49,0.0,172.52,71.54,0.0,213.32,0.33,06-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Dec-2019 - 00:00,54.71,144.65,43.23,89.94,5.3,0.66,58.47,173.45,3.65,2.13,0.48,6.48,23.62,19.66,0.0,159.3,66.12,0.0,190.7,0.46,07-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Dec-2019 - 00:00,42.23,107.78,39.33,66.34,5.7,0.65,53.19,142.56,3.34,1.92,0.42,6.63,27.23,19.53,0.0,152.04,64.36,0.0,251.32,0.36,08-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Dec-2019 - 00:00,43.26,96.19,37.83,53.06,5.26,0.65,59.92,142.24,3.45,1.61,0.43,5.94,31.68,19.32,0.0,167.67,64.7,0.0,232.86,0.43,09-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Dec-2019 - 00:00,52.79,127.18,45.59,83.08,5.24,0.81,89.33,203.7,4.07,1.77,0.45,7.45,29.85,19.41,0.0,163.05,69.3,0.0,230.07,0.32,10-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Dec-2019 - 00:00,51.79,140.07,49.71,88.28,4.94,0.76,77.84,161.58,4.49,1.92,0.63,7.31,30.17,18.97,0.0,159.42,74.42,0.0,211.45,0.39,11-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Dec-2019 - 00:00,57.15,136.68,47.82,79.53,5.68,1.03,104.36,197.37,5.35,2.26,0.56,9.12,30.79,18.95,0.01,135.22,77.11,0.0,226.65,0.35,12-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Dec-2019 - 00:00,53.19,138.2,48.94,85.0,5.65,0.67,105.44,184.23,4.46,2.1,0.48,6.94,23.48,19.24,0.0,123.15,78.1,0.0,167.24,0.57,13-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Dec-2019 - 00:00,36.95,67.16,35.16,30.23,5.0,0.53,64.33,125.69,2.98,1.24,0.31,4.62,23.67,20.37,0.01,113.11,69.64,0.0,133.56,0.57,14-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Dec-2019 - 00:00,38.63,78.12,35.28,39.49,4.59,0.79,58.93,124.96,3.59,1.5,0.47,5.51,29.31,19.77,0.0,85.64,69.98,0.0,150.97,0.69,15-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Dec-2019 - 00:00,34.79,80.52,35.45,45.72,4.49,0.6,69.02,123.45,3.12,1.19,0.44,4.56,23.64,18.61,0.0,156.4,76.96,0.0,214.26,0.38,16-Dec-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Dec-2019 - 00:00,31.81,70.48,37.3,38.68,5.47,0.74,95.57,144.33,4.28,1.3,0.49,4.49,25.09,18.41,0.01,157.23,81.36,0.0,215.23,0.33,17-Dec-2019 - 00:00,748.32,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Dec-2019 - 00:00,39.73,91.13,44.05,51.41,4.68,1.09,136.01,201.71,6.14,1.51,0.67,6.3,20.81,16.5,0.01,106.12,92.14,0.0,209.09,0.35,18-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Dec-2019 - 00:00,22.06,39.58,37.05,17.52,4.16,0.57,97.29,154.89,3.68,0.51,0.22,3.49,20.73,16.38,0.01,76.4,92.15,0.0,212.47,0.3,19-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Dec-2019 - 00:00,21.63,30.55,29.89,8.94,4.14,0.7,106.68,149.28,3.99,0.51,0.22,3.0,28.63,16.42,0.01,93.76,88.35,0.0,238.2,0.37,20-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Dec-2019 - 00:00,20.65,29.62,30.64,8.98,3.69,0.67,92.16,119.21,3.88,0.38,0.18,3.05,19.16,14.1,0.01,61.41,94.94,0.0,210.78,0.35,21-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Dec-2019 - 00:00,31.11,45.38,31.26,14.61,4.07,0.85,126.67,186.7,4.97,0.76,0.29,5.01,25.43,15.66,0.0,108.85,90.13,0.0,190.64,0.43,22-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Dec-2019 - 00:00,30.89,46.17,32.0,15.3,4.56,0.87,150.28,211.55,5.46,0.54,0.32,3.87,25.17,15.42,0.01,49.64,93.1,0.0,196.89,0.36,23-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Dec-2019 - 00:00,33.65,49.14,32.85,15.48,4.61,0.68,113.21,183.88,4.12,0.62,0.25,3.9,30.92,17.49,0.01,120.49,83.76,0.0,204.22,0.34,24-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Dec-2019 - 00:00,44.83,116.6,46.83,71.77,4.94,0.89,128.0,201.66,5.08,1.21,0.39,5.5,25.63,16.88,0.01,123.85,84.73,0.0,221.88,0.3,25-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Dec-2019 - 00:00,48.62,124.43,44.27,76.85,10.23,1.3,167.76,244.15,7.43,2.09,0.69,13.1,28.51,16.78,0.0,147.23,82.22,0.0,180.26,0.5,26-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Dec-2019 - 00:00,39.39,91.82,37.1,52.42,4.66,0.72,124.54,172.87,5.01,1.16,0.42,5.33,28.08,16.27,0.01,122.07,85.74,0.0,208.18,0.33,27-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Dec-2019 - 00:00,35.81,61.94,36.42,26.13,3.96,0.75,99.8,135.38,4.27,1.14,0.38,4.26,20.76,15.22,0.0,117.52,86.99,0.0,228.24,0.37,28-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Dec-2019 - 00:00,36.95,77.33,37.0,40.15,4.7,0.92,125.55,160.88,5.13,0.74,0.32,4.11,25.06,14.97,0.01,155.41,86.67,0.0,223.5,0.35,29-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Dec-2019 - 00:00,40.31,103.08,40.91,63.19,4.68,0.63,105.45,149.66,4.25,1.17,0.41,4.74,30.2,16.32,0.0,167.48,79.11,0.0,216.74,0.36,30-Dec-2019 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Dec-2019 - 00:00,60.05,159.53,50.94,99.48,4.91,1.07,122.41,216.58,5.86,1.68,1.03,6.81,22.01,16.93,0.01,172.27,75.35,0.0,218.16,0.35,31-Dec-2019 - 00:00,990.07,"Ward-32 Bapupara, Siliguri - WBPCB"
31-Dec-2019 - 00:00,75.4,262.35,66.15,186.95,3.85,1.1,216.95,421.9,8.5,1.52,3.41,9.18,9.97,13.13,0.01,10.2,90.34,0.0,266.27,0.33,01-Jan-2020 - 00:00,,"Ward-32 Bapupara, Siliguri - WBPCB"
