from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
09-Sep-2019 - 00:00,26.18,36.56,7.72,10.51,3.03,0.4,11.22,27.85,1.11,0.34,3.79,5.43,13.67,25.96,0.01,132.16,89.1,0.06,90.74,4.2,10-Sep-2019 - 00:00,991.03,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Sep-2019 - 00:00,17.99,23.27,13.76,5.2,3.05,0.42,18.87,35.18,0.41,0.18,0.65,2.54,14.46,27.15,0.01,199.06,85.18,0.0,120.41,5.04,11-Sep-2019 - 00:00,990.91,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Sep-2019 - 00:00,18.06,23.11,7.0,4.87,3.15,0.34,21.07,38.18,,,,,17.25,26.85,0.01,175.0,86.24,0.0,50.1,1.02,12-Sep-2019 - 00:00,990.84,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Sep-2019 - 00:00,18.56,25.61,5.01,7.05,3.12,0.37,18.34,35.92,1.18,0.1,1.98,3.95,12.9,26.52,0.0,137.64,85.84,0.21,50.03,1.21,13-Sep-2019 - 00:00,990.87,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Sep-2019 - 00:00,18.14,24.64,6.32,6.52,3.07,0.45,11.37,23.24,0.95,0.09,1.66,3.08,14.58,25.03,0.01,93.07,93.07,0.36,49.86,1.21,14-Sep-2019 - 00:00,990.59,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Sep-2019 - 00:00,20.16,27.66,5.01,7.52,3.15,0.51,16.71,31.42,1.7,0.09,2.21,4.69,13.92,25.73,0.01,126.59,89.96,0.03,73.69,0.7,15-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Sep-2019 - 00:00,18.14,24.64,4.37,6.15,3.14,0.35,26.4,47.02,1.61,0.09,1.55,3.75,15.01,26.42,-0.0,161.37,88.67,0.0,117.61,1.31,16-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Sep-2019 - 00:00,22.95,28.21,4.28,5.42,3.11,0.32,21.15,38.75,1.92,0.08,2.16,4.3,15.84,25.21,0.01,85.66,92.58,0.56,76.52,0.73,17-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Sep-2019 - 00:00,22.89,31.61,4.61,8.67,3.17,0.33,14.7,30.4,1.66,0.11,2.14,4.16,15.0,24.81,0.01,93.64,93.3,1.05,104.82,0.64,18-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Sep-2019 - 00:00,17.46,25.82,4.59,8.36,3.02,0.38,23.77,41.3,1.94,0.14,2.85,4.75,14.06,26.48,0.01,174.27,84.75,0.0,124.88,0.49,19-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Sep-2019 - 00:00,15.77,25.21,4.8,9.46,3.32,0.52,20.63,40.7,1.57,0.12,1.78,4.0,15.52,27.42,0.01,274.43,80.95,0.0,179.22,0.37,20-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
