from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
27-Aug-2019 - 00:00,31.64,978.66,123.85,55.18,64.81,217.16,123.65,188.54,0.74,1.11,29.95,104.51,10.34,64.02,34.2,6.39,28-Aug-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Aug-2019 - 00:00,32.31,979.59,126.01,54.62,45.0,217.18,108.9,189.52,0.92,0.99,33.1,99.77,5.14,57.26,19.46,5.49,29-Aug-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Aug-2019 - 00:00,32.39,980.53,116.36,45.25,44.08,224.95,,213.64,1.2,1.17,33.94,65.51,2.22,36.65,17.63,5.44,30-Aug-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Aug-2019 - 00:00,31.83,978.1,134.23,71.67,46.16,195.02,,172.28,0.76,1.98,31.7,26.01,1.21,14.81,37.04,6.81,31-Aug-2019 - 00:00,"Bawana, Delhi - DPCC"
31-Aug-2019 - 00:00,31.67,976.05,137.22,74.33,58.07,147.17,117.99,226.33,0.73,2.12,32.73,25.43,1.0,14.36,32.13,5.45,01-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Sep-2019 - 00:00,29.26,978.26,113.71,56.58,76.05,91.42,103.46,194.43,1.2,1.69,44.59,31.15,1.94,18.16,28.28,3.91,02-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Sep-2019 - 00:00,31.93,978.32,95.6,56.32,30.07,215.79,137.76,155.97,0.96,1.53,30.76,77.45,1.76,42.63,43.88,3.47,03-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Sep-2019 - 00:00,31.94,977.28,142.76,83.65,41.1,144.07,108.15,133.37,0.66,1.52,29.64,123.8,3.14,68.4,31.54,4.34,04-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Sep-2019 - 00:00,31.22,977.23,164.54,86.32,66.06,140.52,126.7,190.36,1.12,1.76,34.05,115.13,3.46,64.01,28.74,3.67,05-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Sep-2019 - 00:00,31.42,977.97,121.79,50.33,52.11,177.47,164.35,179.99,1.14,1.1,34.88,92.0,3.54,51.8,43.15,6.03,06-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
