from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
27-Nov-2019 - 00:00,20.18,992.62,,70.34,62.11,72.06,164.36,124.45,1.45,0.93,39.42,37.34,4.35,23.4,45.82,11.1,28-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Nov-2019 - 00:00,17.92,993.59,,40.58,69.24,71.92,125.29,153.36,1.71,0.84,39.93,35.7,6.76,24.47,46.28,7.38,29-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Nov-2019 - 00:00,17.94,994.11,,77.29,69.73,123.53,134.26,93.98,0.96,1.05,43.41,46.26,16.28,37.84,33.63,9.42,30-Nov-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Nov-2019 - 00:00,15.94,994.28,,115.08,76.47,98.04,,102.77,0.81,1.11,54.54,42.18,13.07,33.08,25.15,7.23,01-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Dec-2019 - 00:00,15.2,993.9,,152.88,71.66,126.78,,83.75,0.82,1.17,64.67,48.79,12.82,36.34,41.09,9.33,02-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Dec-2019 - 00:00,14.68,994.49,,190.33,69.2,130.49,,124.31,0.98,1.26,75.58,58.96,20.65,48.2,40.29,10.21,03-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Dec-2019 - 00:00,14.65,993.91,,205.54,65.61,135.63,,157.42,0.85,1.34,78.41,58.02,24.25,50.56,42.33,12.1,04-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Dec-2019 - 00:00,14.86,995.92,,228.25,64.96,120.29,264.29,186.36,0.74,1.69,86.03,68.59,47.23,74.95,41.3,13.75,05-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Dec-2019 - 00:00,14.72,997.7,,327.3,68.92,109.32,254.64,152.9,0.61,1.91,121.59,78.94,62.69,93.13,52.93,12.83,06-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Dec-2019 - 00:00,15.94,997.19,,260.2,70.99,107.89,125.33,74.78,0.81,1.37,113.89,64.44,19.34,50.0,32.17,12.32,07-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Dec-2019 - 00:00,16.02,996.06,,277.95,71.1,107.84,149.99,151.55,0.53,2.28,111.66,59.88,42.34,66.42,35.88,9.87,08-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Dec-2019 - 00:00,15.68,995.8,,268.6,70.55,111.05,115.75,106.24,0.61,2.22,113.92,63.7,48.28,73.25,34.52,12.16,09-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Dec-2019 - 00:00,15.13,995.08,,244.56,67.85,115.38,166.09,107.51,0.71,1.58,84.82,66.26,27.42,57.6,37.88,9.89,10-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Dec-2019 - 00:00,14.59,992.41,,327.12,69.79,106.25,173.83,212.48,0.54,2.13,65.28,69.25,38.73,68.42,38.13,8.79,11-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Dec-2019 - 00:00,15.19,990.96,,401.32,69.22,73.65,181.59,188.67,0.59,2.67,74.79,100.12,59.07,100.84,68.3,11.81,12-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Dec-2019 - 00:00,16.62,989.84,,331.26,65.85,46.13,122.21,178.53,1.44,1.46,69.27,59.65,6.85,37.29,47.27,11.12,13-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Dec-2019 - 00:00,15.11,990.35,,98.79,76.54,43.14,,144.39,1.53,1.08,42.08,29.12,3.71,18.51,40.71,6.1,14-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Dec-2019 - 00:00,13.75,996.78,,88.03,76.29,76.05,,124.36,0.68,1.09,31.81,35.16,8.56,25.69,22.89,6.59,15-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Dec-2019 - 00:00,13.67,996.47,,104.4,75.76,106.01,,79.5,0.95,1.03,34.87,28.9,6.65,20.8,21.93,7.09,16-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Dec-2019 - 00:00,11.26,997.02,132.09,87.35,79.64,25.66,,20.1,1.08,0.98,35.65,25.47,4.07,16.87,22.17,4.66,17-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Dec-2019 - 00:00,11.01,997.98,162.44,115.81,75.66,38.4,,77.64,1.01,1.03,53.23,29.85,13.61,26.98,25.04,5.01,18-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Dec-2019 - 00:00,11.62,996.78,252.29,170.46,73.83,104.52,139.97,111.44,0.9,1.09,56.29,37.07,10.48,28.25,37.56,5.66,19-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Dec-2019 - 00:00,10.17,995.36,469.54,320.42,80.04,68.88,130.02,178.74,0.72,1.84,67.04,38.38,23.64,39.7,14.62,6.32,20-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Dec-2019 - 00:00,11.04,993.16,439.88,314.67,80.7,60.4,115.32,194.59,0.69,1.63,63.17,22.0,7.64,17.94,11.14,5.76,21-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Dec-2019 - 00:00,12.04,994.07,313.54,213.54,80.05,57.68,,67.17,0.8,1.35,70.92,38.41,10.54,29.02,7.21,4.93,22-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Dec-2019 - 00:00,10.5,995.36,200.17,153.08,81.19,36.96,121.4,50.35,1.0,1.27,63.21,42.77,5.69,27.38,16.03,4.73,23-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Dec-2019 - 00:00,9.08,994.52,243.68,180.74,79.9,43.62,145.13,67.9,0.86,1.39,49.57,37.66,14.56,31.91,18.96,4.88,24-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Dec-2019 - 00:00,9.61,996.15,405.96,263.32,78.3,73.63,124.1,117.18,0.78,1.61,48.31,52.2,26.48,49.32,15.45,5.41,25-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Dec-2019 - 00:00,8.31,995.34,253.23,164.69,80.17,53.79,,52.09,1.08,1.05,41.51,37.24,10.75,28.57,14.8,4.29,26-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Dec-2019 - 00:00,8.49,994.68,307.19,205.68,76.03,63.81,160.09,68.22,1.01,1.18,46.29,40.78,7.13,27.52,25.97,4.61,27-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Dec-2019 - 00:00,8.43,995.65,409.66,266.96,73.21,99.34,120.57,120.96,0.73,1.17,40.84,41.67,18.25,37.03,24.03,5.78,28-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Dec-2019 - 00:00,6.43,996.2,413.38,277.67,80.05,69.68,116.65,113.24,0.61,1.76,31.44,40.1,37.71,52.05,11.99,6.47,29-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Dec-2019 - 00:00,8.47,996.59,487.66,306.83,76.66,83.93,115.58,109.54,0.77,1.61,,51.18,11.65,36.71,24.58,6.05,30-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Dec-2019 - 00:00,6.34,995.84,481.0,334.53,83.84,21.74,165.4,133.27,0.9,2.13,66.83,55.96,26.42,51.3,4.42,5.26,31-Dec-2019 - 00:00,"Bawana, Delhi - DPCC"
31-Dec-2019 - 00:00,6.65,996.3,521.0,323.0,79.05,5.7,,214.35,1.75,1.5,70.15,58.4,22.15,49.15,6.7,6.7,01-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
