from date,PM2.5,PM10,NOx,NH3,NO,NO2,CO,SO2,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,Xylene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Fort William, Kolkata - WBPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Fort William, Kolkata - WBPCB"
