from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
17-Jun-2019 - 00:00,1.55,34.0,46.62,34.68,2.72,164.92,0.0,52.82,0.4,52.77,0.92,2.29,1.1,1.57,1.09,0.82,1.02,1.43,18-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jun-2019 - 00:00,79.96,40.94,41.27,34.78,2.08,200.96,0.0,55.67,0.4,46.53,0.99,2.44,1.36,3.07,1.07,1.27,1.55,1.95,19-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jun-2019 - 00:00,34.5,31.12,36.36,35.45,1.99,206.94,0.0,57.16,0.4,45.0,1.0,2.56,1.29,6.85,2.92,2.65,3.69,1.41,20-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jun-2019 - 00:00,24.13,50.7,53.17,33.1,2.5,225.33,0.0,59.28,0.41,49.78,1.34,2.39,1.28,3.69,2.0,2.56,2.3,2.3,21-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jun-2019 - 00:00,19.24,89.36,69.17,30.51,1.99,174.57,0.0,36.71,0.41,56.3,1.57,2.79,1.56,4.36,2.1,2.19,2.71,2.18,22-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jun-2019 - 00:00,21.95,73.09,71.29,29.52,2.09,211.17,0.0,39.07,0.41,61.11,1.2,2.96,1.48,3.42,0.92,1.35,2.84,2.35,23-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jun-2019 - 00:00,12.77,94.09,81.53,28.69,1.64,167.34,0.0,36.25,0.41,71.93,1.6,3.16,1.74,6.59,1.35,1.59,4.06,1.71,24-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jun-2019 - 00:00,9.79,101.89,72.73,30.06,1.39,142.03,0.0,30.39,0.41,72.13,1.27,3.37,1.77,1.46,0.4,0.32,0.56,1.06,25-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jun-2019 - 00:00,10.39,76.97,64.71,32.35,2.06,155.72,0.0,30.38,0.4,19.88,1.06,2.95,1.44,1.19,0.36,0.37,0.45,1.42,26-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jun-2019 - 00:00,9.92,63.56,59.75,33.1,1.64,174.01,0.0,31.99,0.41,86.65,1.08,3.01,1.44,1.14,0.34,0.28,0.43,1.86,27-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jun-2019 - 00:00,7.89,76.6,61.7,32.23,1.64,216.04,0.0,36.31,0.39,62.96,1.08,2.76,1.39,2.54,0.56,0.47,1.35,3.17,28-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jun-2019 - 00:00,7.28,87.19,83.99,28.59,2.4,226.31,0.0,24.05,0.39,46.0,0.68,1.74,0.97,1.06,0.5,0.34,0.34,5.58,29-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Jul-2019 - 00:00,20.32,,83.34,28.72,1.73,189.05,0.0,104.93,0.36,41.19,1.3,4.1,1.92,11.74,6.53,7.19,10.13,4.25,02-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jul-2019 - 00:00,6.74,,88.81,26.76,1.83,205.8,0.0,17.36,0.41,45.13,1.3,3.78,2.0,4.56,1.7,1.72,3.12,0.58,03-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jul-2019 - 00:00,6.39,5.15,89.1,27.04,2.54,223.6,0.0,19.67,0.41,41.41,1.26,3.31,1.86,1.23,0.38,0.39,0.52,0.45,04-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jul-2019 - 00:00,7.33,1.5,82.74,28.21,2.15,226.22,0.0,25.2,0.41,28.99,1.52,3.98,2.06,1.35,0.35,0.41,0.66,1.61,05-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jul-2019 - 00:00,9.6,,90.45,27.24,1.95,226.84,0.0,26.71,0.41,22.58,1.44,4.06,2.07,1.64,0.63,0.48,0.74,0.62,06-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jul-2019 - 00:00,4.14,8.15,85.05,27.47,2.47,219.38,0.0,16.68,0.4,25.03,1.27,4.0,2.08,6.78,4.11,3.69,5.35,1.19,07-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jul-2019 - 00:00,5.05,10.65,83.86,28.09,2.37,226.35,0.0,15.79,0.4,24.47,1.24,3.74,1.86,6.98,3.41,3.11,4.94,1.94,08-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jul-2019 - 00:00,6.51,0.2,83.6,28.12,2.12,223.94,0.0,25.7,0.41,26.73,1.37,4.21,2.02,3.16,0.97,0.99,1.74,0.58,09-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jul-2019 - 00:00,7.01,,92.18,27.11,1.65,180.64,0.0,20.78,0.42,19.29,2.46,3.99,2.08,4.13,2.12,1.95,3.0,1.48,10-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jul-2019 - 00:00,6.3,10.72,77.57,28.34,2.03,168.93,0.0,14.84,0.41,29.23,1.3,4.19,2.12,2.22,0.76,0.63,1.24,0.86,11-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Jul-2019 - 00:00,5.02,,87.92,27.5,2.19,200.32,0.0,12.78,0.41,,1.02,3.91,1.61,5.1,2.65,2.51,3.54,0.72,12-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Jul-2019 - 00:00,8.03,2.31,80.61,29.04,2.05,197.32,0.0,23.65,0.4,,1.25,4.53,2.12,2.83,1.36,1.1,1.47,1.84,13-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Jul-2019 - 00:00,8.46,8.57,70.69,30.47,1.91,208.37,0.0,37.55,0.41,17.59,1.21,3.7,1.85,2.86,1.9,1.43,1.83,0.72,14-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Jul-2019 - 00:00,8.18,6.79,68.05,30.82,1.94,208.62,0.0,273.83,0.4,28.85,0.97,3.17,1.53,3.06,1.33,1.16,2.12,1.13,15-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Jul-2019 - 00:00,9.93,6.66,69.45,30.33,1.71,198.66,0.0,43.68,0.41,32.55,0.95,3.3,1.5,1.04,0.24,0.35,0.39,0.64,16-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
