from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
07-Sep-2019 - 00:00,11.12,314.74,93.04,26.85,1.76,228.8,0.0,38.28,0.41,42.74,1.3,4.29,1.84,11.89,7.9,15.12,19.17,7.86,08-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Sep-2019 - 00:00,9.71,323.24,90.47,27.19,1.87,227.65,0.0,47.45,0.41,44.75,1.08,3.98,1.69,11.7,7.78,15.03,18.94,7.65,09-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Sep-2019 - 00:00,12.7,336.98,89.83,26.12,1.29,212.57,0.0,42.55,0.41,41.76,1.04,4.24,1.95,11.8,7.71,15.02,18.98,7.39,10-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Sep-2019 - 00:00,,261.5,77.9,27.22,1.46,258.46,0.0,,,,,,,,,,,,18-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Sep-2019 - 00:00,41.18,257.42,80.99,28.72,1.13,147.83,0.0,94.31,0.42,61.26,0.86,3.86,1.35,11.38,9.03,14.62,18.41,11.12,19-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Sep-2019 - 00:00,13.5,306.1,86.24,27.66,0.99,111.95,0.0,20.26,0.44,42.78,0.99,4.45,1.74,11.71,8.3,14.93,19.13,7.64,20-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Sep-2019 - 00:00,8.65,303.99,80.56,28.42,1.39,141.97,0.0,16.88,0.43,39.23,1.04,4.1,1.53,11.93,8.28,15.02,19.34,7.28,21-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Sep-2019 - 00:00,14.07,301.65,85.02,28.29,1.09,172.57,0.0,27.4,0.43,59.6,1.32,4.27,1.69,12.11,7.96,15.06,19.36,7.55,22-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Sep-2019 - 00:00,11.24,308.98,83.49,27.95,1.18,158.99,0.0,18.76,0.42,57.77,1.23,3.97,1.45,11.85,8.22,14.99,19.28,8.12,23-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Sep-2019 - 00:00,21.54,313.46,87.99,28.23,0.92,132.93,0.0,31.65,0.43,54.21,1.43,4.1,1.61,11.4,7.97,14.97,18.8,8.04,24-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Sep-2019 - 00:00,21.68,337.71,90.17,26.79,0.95,200.4,0.0,28.1,0.43,44.45,1.58,4.01,1.88,12.3,7.91,15.16,19.47,7.21,25-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Sep-2019 - 00:00,,331.28,83.39,26.54,1.26,136.3,0.0,,,,,,,,,,,,26-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Sep-2019 - 00:00,2.85,259.92,76.39,29.18,1.69,177.4,0.0,15.33,0.3,70.93,1.3,3.64,1.15,11.4,8.04,14.97,18.84,7.29,30-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Sep-2019 - 00:00,14.15,298.17,84.45,27.4,1.37,152.26,0.0,19.21,0.31,56.17,1.32,4.24,1.53,11.84,7.75,15.06,18.99,7.79,01-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Oct-2019 - 00:00,22.82,297.44,85.84,27.86,1.2,158.23,0.0,28.07,0.31,49.91,1.47,4.45,1.69,11.81,7.95,15.13,19.11,7.67,02-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Oct-2019 - 00:00,19.15,296.82,80.6,28.2,1.28,212.98,0.0,30.01,0.3,54.83,1.36,3.7,1.7,11.68,7.84,15.03,18.95,10.31,03-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Oct-2019 - 00:00,34.69,295.78,79.63,28.58,0.76,219.12,0.0,51.25,0.31,53.24,1.81,4.25,2.09,11.59,8.0,15.01,18.97,8.23,04-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Oct-2019 - 00:00,39.21,290.27,78.9,28.69,0.77,215.45,0.0,52.49,0.32,55.75,2.58,4.17,2.04,11.69,7.93,15.03,19.01,8.39,05-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Oct-2019 - 00:00,55.0,292.0,77.69,28.62,0.58,138.59,0.0,83.19,0.33,52.79,3.22,5.22,2.5,11.52,7.81,14.96,18.81,7.49,06-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Oct-2019 - 00:00,50.54,283.21,73.15,28.57,0.69,159.25,0.0,74.43,0.33,61.08,2.82,5.22,2.49,11.81,7.91,15.06,19.09,7.86,07-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Oct-2019 - 00:00,31.61,323.15,86.26,27.22,0.71,187.05,0.0,67.81,0.32,45.93,2.64,4.7,2.07,12.07,7.81,15.14,19.23,8.36,08-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Oct-2019 - 00:00,28.42,312.73,77.78,27.7,0.66,168.96,0.0,60.67,0.33,55.98,2.75,4.87,2.27,11.43,7.72,14.9,18.65,8.18,09-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Oct-2019 - 00:00,49.64,233.89,75.2,29.65,0.68,93.31,0.0,88.36,0.33,64.99,2.94,4.63,3.21,12.46,8.18,15.15,19.7,10.67,11-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Oct-2019 - 00:00,52.33,309.53,83.29,27.4,0.73,161.81,0.0,80.63,0.33,54.05,2.72,5.96,2.87,12.23,8.31,15.14,19.39,8.62,12-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Oct-2019 - 00:00,43.17,282.06,81.24,28.18,0.81,79.89,0.0,74.91,0.32,33.57,2.31,5.46,2.43,11.92,8.22,15.36,19.77,8.45,13-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Oct-2019 - 00:00,36.18,285.61,79.87,27.76,0.65,109.22,0.0,70.96,0.32,,2.98,5.32,2.58,21.8,6.29,15.15,24.24,8.77,14-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Oct-2019 - 00:00,60.38,267.76,76.54,27.89,0.67,128.59,0.0,107.73,0.33,1.41,3.9,5.37,2.79,13.19,7.44,14.73,19.23,8.84,15-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Oct-2019 - 00:00,40.57,258.08,76.18,26.92,0.79,150.22,0.0,76.73,0.34,13.66,3.79,5.35,2.8,12.6,6.83,14.78,18.89,8.78,16-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Oct-2019 - 00:00,40.74,259.26,75.37,26.76,0.77,149.65,0.0,75.09,0.32,70.29,2.89,5.09,2.53,11.78,8.0,15.09,19.09,7.82,17-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Oct-2019 - 00:00,51.05,279.66,80.65,26.97,0.96,147.89,0.0,85.42,0.32,85.17,2.99,4.75,2.03,11.76,8.03,15.02,19.09,7.96,18-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Oct-2019 - 00:00,23.62,330.09,88.05,26.26,0.77,120.09,0.0,51.18,0.32,51.35,2.88,4.88,2.17,11.48,7.88,14.99,18.82,7.43,19-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Oct-2019 - 00:00,24.31,333.12,90.19,26.04,0.65,167.24,0.0,46.05,0.32,21.42,2.93,4.99,2.6,12.93,6.81,14.41,18.65,8.06,20-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Oct-2019 - 00:00,9.04,320.99,87.15,25.83,0.87,136.45,0.0,27.91,0.32,21.77,2.19,4.91,2.41,11.3,8.09,14.94,18.77,8.05,21-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Oct-2019 - 00:00,15.33,310.42,89.18,26.32,0.8,142.11,0.0,27.33,0.27,27.04,1.49,3.45,1.86,23.24,8.86,16.45,29.27,11.84,22-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Oct-2019 - 00:00,18.53,303.95,81.78,27.01,0.58,156.24,0.0,42.18,0.32,25.22,1.76,4.51,2.2,11.79,8.58,15.1,19.41,9.28,23-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Oct-2019 - 00:00,31.41,306.73,82.06,27.32,0.74,156.59,0.0,57.86,0.33,27.29,1.93,4.69,2.35,11.49,8.26,15.04,19.02,9.14,24-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Oct-2019 - 00:00,25.41,314.1,87.25,26.52,0.97,102.63,0.0,40.76,0.32,27.37,2.62,4.77,1.97,11.44,8.37,14.94,19.04,7.47,25-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Oct-2019 - 00:00,23.32,331.28,90.16,25.9,0.6,118.36,0.0,44.71,0.32,21.2,3.09,4.92,1.61,11.49,8.15,14.93,18.96,8.31,26-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Oct-2019 - 00:00,18.88,356.8,90.34,25.9,0.97,100.63,0.0,36.17,0.32,19.57,2.12,4.66,1.62,14.64,7.13,14.96,20.56,7.38,27-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Oct-2019 - 00:00,10.78,350.73,86.0,26.0,0.86,149.69,0.0,21.7,0.31,15.06,1.05,4.55,1.54,14.45,4.42,13.72,17.11,7.58,28-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Oct-2019 - 00:00,26.73,323.45,83.09,27.44,0.8,172.04,0.0,44.44,0.31,13.12,1.39,4.29,1.35,19.3,2.61,11.17,14.6,9.72,29-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Oct-2019 - 00:00,32.5,328.6,84.42,27.43,0.77,192.53,0.0,55.62,0.32,13.29,1.9,3.87,1.26,29.74,3.33,12.14,22.23,9.35,30-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Oct-2019 - 00:00,32.23,312.03,79.62,27.33,0.77,156.99,0.0,55.25,0.31,10.03,1.47,4.39,1.46,20.27,4.15,12.69,19.15,9.18,31-Oct-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Oct-2019 - 00:00,24.32,313.29,86.26,26.86,0.85,123.96,0.0,39.71,0.32,10.91,1.44,3.99,1.24,12.71,6.37,14.71,18.36,8.69,01-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Nov-2019 - 00:00,22.67,334.85,88.68,26.94,0.78,111.95,0.0,40.06,0.32,6.98,1.26,4.5,1.4,11.48,7.2,14.69,18.15,9.09,02-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Nov-2019 - 00:00,44.0,316.79,82.17,27.35,0.69,155.18,0.0,65.24,0.32,17.38,1.75,4.79,1.63,11.51,7.75,14.69,18.6,9.0,03-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Nov-2019 - 00:00,57.3,313.62,79.16,27.05,0.67,158.97,0.0,88.07,0.35,13.03,2.03,4.63,1.93,12.08,7.05,14.65,18.65,10.16,04-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Nov-2019 - 00:00,67.61,313.0,77.92,27.23,0.51,178.24,0.0,112.65,0.36,15.48,2.59,4.85,2.52,12.51,6.33,14.54,18.14,9.4,05-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Nov-2019 - 00:00,71.62,314.66,81.66,27.3,0.55,158.26,0.0,114.01,0.34,14.24,2.05,3.72,1.55,15.67,6.2,14.74,20.13,9.12,06-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Nov-2019 - 00:00,55.41,304.86,75.25,27.17,0.5,147.7,0.0,101.25,0.34,6.11,1.9,3.5,1.42,14.13,6.14,14.37,19.01,10.35,07-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Nov-2019 - 00:00,47.51,287.37,80.08,26.97,0.68,118.8,0.0,81.31,0.33,5.72,1.15,2.8,1.04,11.95,6.41,14.74,18.04,8.96,08-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Nov-2019 - 00:00,70.31,288.9,81.06,26.42,0.59,127.23,0.0,115.06,0.34,4.57,0.75,1.5,0.47,12.01,6.82,14.71,18.4,10.8,09-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Nov-2019 - 00:00,71.71,264.24,74.31,25.88,0.61,160.44,0.0,118.14,0.34,19.63,1.04,1.41,0.54,14.84,6.24,14.7,19.24,8.71,10-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Nov-2019 - 00:00,57.01,283.06,75.9,25.2,0.52,181.93,0.0,103.22,0.35,24.24,1.19,1.37,0.55,12.34,7.34,14.87,18.9,9.77,11-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Nov-2019 - 00:00,57.42,295.6,78.17,25.6,0.59,163.21,0.0,113.21,0.35,8.57,0.98,1.48,0.59,11.97,6.75,14.92,18.53,9.84,12-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Nov-2019 - 00:00,50.58,270.2,69.91,25.36,0.67,105.28,0.0,101.64,0.34,12.32,1.52,3.55,1.06,12.28,6.82,14.63,18.69,11.75,13-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Nov-2019 - 00:00,53.77,282.85,76.04,23.49,0.84,172.34,0.0,94.87,0.35,11.43,1.12,2.34,0.82,11.84,7.12,14.8,18.37,10.91,14-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Nov-2019 - 00:00,50.29,224.54,68.58,24.77,0.49,184.54,0.0,99.62,0.33,10.0,1.4,1.4,0.51,12.33,6.85,14.77,18.9,10.94,15-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Nov-2019 - 00:00,47.94,274.88,77.97,24.24,0.58,160.83,0.0,100.87,0.34,12.62,0.97,1.59,0.47,11.97,7.34,14.71,18.59,9.96,16-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Nov-2019 - 00:00,58.87,273.25,70.76,25.01,0.47,171.52,0.0,116.15,0.34,8.12,1.51,1.94,0.62,12.13,7.16,14.43,18.08,10.83,17-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Nov-2019 - 00:00,65.36,270.3,68.01,24.6,0.51,177.89,0.0,115.06,0.35,11.06,1.72,1.92,0.54,11.97,6.67,14.57,17.86,10.26,18-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Nov-2019 - 00:00,67.49,278.69,74.8,23.84,0.71,187.28,0.0,150.76,0.36,9.9,1.71,1.79,0.62,11.91,7.35,14.67,18.64,10.93,19-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Nov-2019 - 00:00,52.25,272.03,68.62,24.09,0.53,175.78,0.0,120.4,0.36,4.36,1.25,1.79,0.65,11.82,7.29,14.94,18.57,12.67,20-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Nov-2019 - 00:00,48.62,280.08,70.77,24.09,0.53,161.65,0.0,107.74,0.35,3.09,0.97,1.86,0.68,11.74,7.12,14.8,18.41,10.89,21-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Nov-2019 - 00:00,51.93,270.33,75.2,24.3,0.64,145.27,0.0,105.02,0.34,11.32,1.24,1.76,0.61,12.44,6.97,14.63,18.5,10.84,22-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Nov-2019 - 00:00,58.31,281.29,74.78,24.02,0.58,160.92,0.0,110.53,0.35,17.64,1.62,1.71,0.51,11.81,7.1,14.58,18.4,9.82,23-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Nov-2019 - 00:00,78.8,289.79,72.71,23.56,0.57,163.89,0.0,125.24,0.36,45.0,1.87,1.75,0.56,11.76,7.29,14.96,18.73,10.75,24-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Nov-2019 - 00:00,103.66,284.71,70.14,23.51,0.52,163.77,0.0,126.43,0.36,8.04,2.5,2.0,0.82,11.31,7.66,14.84,18.51,13.85,25-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Nov-2019 - 00:00,87.98,287.69,71.97,23.68,0.64,140.18,0.0,140.67,0.37,36.21,2.23,1.79,0.77,11.76,7.35,14.93,18.75,10.94,26-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Nov-2019 - 00:00,64.89,286.8,73.5,23.98,0.7,158.17,0.0,114.57,0.36,68.07,1.44,1.51,0.56,14.36,6.33,14.71,19.23,10.37,27-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Nov-2019 - 00:00,54.5,294.21,73.81,23.83,0.6,166.57,0.0,98.31,0.35,1.69,1.8,1.62,0.55,13.76,6.5,14.65,18.34,11.5,28-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Nov-2019 - 00:00,42.94,284.11,72.02,24.25,0.62,152.99,0.0,75.74,0.35,,0.81,1.46,0.49,12.52,6.34,14.81,18.53,9.74,29-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Nov-2019 - 00:00,46.69,295.69,81.53,24.59,0.56,155.27,0.0,80.92,0.35,18.94,1.6,1.57,0.47,13.13,8.01,14.9,19.43,9.02,30-Nov-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Nov-2019 - 00:00,58.95,297.96,74.71,24.5,0.55,137.67,0.0,109.92,0.38,,1.19,2.03,1.21,11.94,7.53,14.76,18.96,10.38,01-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Dec-2019 - 00:00,53.66,297.04,78.17,24.4,0.53,139.0,0.0,96.05,0.37,,1.22,1.8,0.87,11.82,7.36,14.9,18.75,10.19,02-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Dec-2019 - 00:00,38.78,297.68,82.07,24.75,0.75,151.59,0.0,97.63,0.35,,0.67,1.45,0.54,11.34,7.35,14.79,18.42,7.82,03-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Dec-2019 - 00:00,42.99,305.71,75.98,24.19,0.71,145.98,0.0,80.35,0.36,,0.78,1.53,0.54,12.35,6.99,14.75,18.74,8.32,04-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Dec-2019 - 00:00,48.7,264.83,71.55,23.96,0.86,121.99,0.0,94.89,0.35,,0.86,1.49,0.49,13.52,7.42,14.61,18.81,10.84,05-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Dec-2019 - 00:00,40.36,208.78,65.1,23.23,0.72,108.05,0.0,74.21,0.32,,0.8,1.43,0.46,12.79,7.34,14.77,19.3,8.55,06-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Dec-2019 - 00:00,44.47,232.57,70.33,21.63,0.79,149.7,0.0,87.04,0.33,,0.72,1.17,0.36,14.49,7.82,15.08,20.67,9.19,07-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Dec-2019 - 00:00,43.27,256.9,75.53,21.47,0.6,158.84,0.0,94.81,0.34,,0.92,1.28,0.41,12.07,7.53,14.88,18.9,10.48,08-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Dec-2019 - 00:00,37.4,269.36,74.69,22.28,0.55,145.93,0.0,88.39,0.33,,1.11,1.33,0.45,11.41,6.68,14.49,17.82,10.65,09-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Dec-2019 - 00:00,46.34,277.53,73.04,22.55,0.53,174.94,0.0,101.54,0.35,,1.04,1.42,0.5,12.54,7.28,14.76,18.99,10.96,10-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Dec-2019 - 00:00,50.09,272.18,72.33,22.32,0.6,150.63,0.0,107.76,0.36,,1.06,1.34,0.48,11.67,7.56,14.99,18.79,11.01,11-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Dec-2019 - 00:00,47.66,276.38,72.74,22.73,0.66,132.82,0.0,87.46,0.35,,0.75,1.28,0.48,11.64,7.48,14.92,18.75,9.68,12-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Dec-2019 - 00:00,38.79,273.14,78.48,23.38,1.3,124.87,0.0,60.51,0.32,,0.44,0.91,0.27,12.05,7.61,14.87,19.12,7.53,13-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Dec-2019 - 00:00,22.33,273.51,78.68,24.05,1.26,131.94,0.0,45.7,0.31,,0.26,0.86,0.22,12.24,7.47,14.87,19.01,8.17,14-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Dec-2019 - 00:00,23.22,284.69,81.22,24.76,0.79,114.72,0.0,61.37,0.32,,0.33,1.02,0.29,12.12,7.26,14.96,18.93,8.84,15-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Dec-2019 - 00:00,30.57,286.43,79.57,25.05,0.89,117.5,0.0,69.08,0.33,,0.51,1.11,0.37,12.59,6.53,14.83,18.67,8.37,16-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Dec-2019 - 00:00,30.71,310.66,83.55,23.28,0.71,158.58,0.0,69.02,0.32,,0.53,0.96,0.32,14.37,6.33,15.79,19.69,8.46,17-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Dec-2019 - 00:00,36.11,297.8,80.98,23.38,0.67,158.11,0.0,79.74,0.32,,0.95,1.07,0.35,12.89,6.25,14.42,18.46,9.5,18-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Dec-2019 - 00:00,40.03,296.0,78.71,22.65,0.71,161.17,0.0,114.93,0.33,,0.54,0.98,0.27,12.54,6.17,14.59,18.47,9.85,19-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Dec-2019 - 00:00,43.24,275.61,74.83,23.03,0.55,175.23,0.0,114.17,0.35,,0.77,1.53,0.35,11.81,7.34,14.89,18.76,8.62,20-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Dec-2019 - 00:00,52.8,275.08,78.78,22.87,0.59,169.31,0.0,121.25,0.35,,1.03,1.72,0.46,12.35,6.11,14.54,18.2,10.64,21-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Dec-2019 - 00:00,49.11,277.04,74.52,22.95,0.64,142.28,0.0,118.58,0.37,,0.89,1.46,0.44,11.78,6.94,14.87,18.51,10.2,22-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Dec-2019 - 00:00,39.81,263.97,76.93,23.61,0.63,148.32,0.0,81.85,0.35,,0.72,1.39,0.43,11.85,7.42,14.9,18.83,8.51,23-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Dec-2019 - 00:00,38.43,275.42,79.34,23.58,0.74,112.61,0.0,52.51,0.35,,0.54,1.23,0.37,11.55,7.63,14.93,18.78,8.46,24-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Dec-2019 - 00:00,43.65,286.11,73.96,23.7,0.91,116.53,0.0,67.03,0.35,,0.56,1.12,0.31,11.81,7.63,14.79,18.97,8.64,25-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Dec-2019 - 00:00,37.24,283.14,79.38,24.35,1.05,128.3,0.0,64.8,0.33,,0.45,0.98,0.38,12.27,8.13,14.68,19.37,8.51,26-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Dec-2019 - 00:00,42.26,328.44,89.99,23.87,0.74,130.45,0.0,67.38,0.34,,0.53,1.07,0.28,11.76,6.98,14.67,18.31,9.04,27-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Dec-2019 - 00:00,29.96,187.62,59.72,21.47,0.94,124.6,0.0,101.15,0.32,,0.8,0.8,0.25,12.69,6.73,14.65,18.92,9.36,28-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Dec-2019 - 00:00,26.29,125.42,47.85,19.06,0.82,114.81,0.0,82.76,0.31,,0.73,0.79,0.24,11.75,7.4,14.78,18.73,11.62,29-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Dec-2019 - 00:00,36.04,174.14,58.15,18.49,0.7,128.46,0.0,98.22,0.33,,0.75,0.95,0.34,11.79,7.55,14.85,18.87,14.3,30-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Dec-2019 - 00:00,32.3,184.24,60.26,20.64,0.74,123.15,0.0,95.63,0.34,,0.68,1.01,0.37,11.95,7.0,15.07,18.71,10.72,31-Dec-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Dec-2019 - 00:00,24.86,222.05,68.25,20.65,0.94,64.02,0.0,100.17,0.33,,1.06,1.46,0.1,12.03,7.52,14.64,19.05,7.83,01-Jan-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
