from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
12-Apr-2019 - 00:00,30.66,985.26,207.31,63.14,39.34,110.58,128.49,1.15,5.0,16.8,31.54,49.77,33.0,8.0,17.76,0.95,46.15,13-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Apr-2019 - 00:00,31.71,985.74,150.86,47.22,34.04,129.73,137.07,1.26,3.32,10.99,28.85,42.04,29.34,8.55,18.18,0.74,45.09,14-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Apr-2019 - 00:00,32.14,985.46,157.34,51.74,32.31,125.42,257.14,1.03,3.66,18.24,25.95,50.01,32.91,7.73,18.79,0.75,38.56,15-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Apr-2019 - 00:00,33.58,983.48,160.28,52.61,29.97,135.11,203.54,0.84,3.77,17.31,25.88,55.0,80.68,63.11,19.04,1.24,40.13,16-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Apr-2019 - 00:00,25.72,987.07,131.12,83.24,56.93,58.16,169.56,1.93,3.64,11.49,28.8,34.12,23.83,7.05,11.57,0.76,41.64,17-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Apr-2019 - 00:00,23.32,988.06,48.08,20.36,62.79,96.48,149.56,1.53,1.18,6.1,25.83,29.24,17.34,2.24,8.91,0.6,43.7,18-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Apr-2019 - 00:00,24.84,988.71,88.09,34.51,55.28,127.1,160.51,0.81,3.55,18.29,24.22,51.52,37.83,12.77,15.75,0.92,51.21,19-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Apr-2019 - 00:00,26.66,986.23,128.01,52.66,46.76,136.04,237.83,0.76,5.09,28.51,24.08,60.97,67.91,43.43,18.68,1.12,45.82,20-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Apr-2019 - 00:00,28.28,983.7,163.8,67.86,41.98,129.92,216.72,0.66,5.21,18.26,24.5,80.49,96.89,66.34,19.32,1.47,56.68,21-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Apr-2019 - 00:00,30.59,981.92,175.53,68.6,38.01,147.11,216.55,0.8,6.1,29.59,24.73,73.48,96.58,70.59,17.99,1.55,47.93,22-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Apr-2019 - 00:00,31.66,981.93,236.66,94.61,42.11,131.85,194.09,0.67,10.35,41.79,28.06,87.14,159.55,138.88,25.25,2.39,54.35,23-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Apr-2019 - 00:00,33.16,982.89,229.21,89.14,40.83,145.25,209.37,0.66,11.17,63.4,31.13,85.9,136.99,112.06,19.34,2.27,50.83,24-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Apr-2019 - 00:00,34.36,983.99,251.3,90.78,39.0,131.52,134.68,0.79,5.09,22.6,32.97,70.65,52.21,18.0,15.95,1.25,54.89,25-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Apr-2019 - 00:00,33.75,983.95,271.49,83.13,42.25,119.81,108.7,0.98,4.58,17.62,37.0,56.33,38.97,11.08,19.01,1.13,59.78,26-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Apr-2019 - 00:00,33.69,983.52,211.07,66.58,32.2,141.49,216.47,0.79,7.21,33.33,28.44,72.09,79.75,50.91,21.37,1.33,43.55,27-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Apr-2019 - 00:00,35.3,982.73,243.89,63.02,21.09,151.69,281.22,1.41,4.69,18.19,24.77,48.73,30.25,5.33,18.74,0.73,48.77,28-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Apr-2019 - 00:00,34.85,981.56,243.2,74.71,18.64,153.54,264.79,1.09,3.5,20.66,22.16,55.07,46.59,21.26,20.18,0.87,48.01,29-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Apr-2019 - 00:00,34.38,980.76,222.31,55.38,21.85,145.95,220.76,0.62,5.33,29.59,23.69,77.01,104.21,77.69,21.97,1.43,42.64,30-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Apr-2019 - 00:00,34.89,977.98,278.89,80.56,25.11,140.25,162.78,0.78,7.06,26.64,26.7,85.94,92.51,58.08,23.0,1.49,45.94,01-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-May-2019 - 00:00,34.03,977.41,331.06,102.02,30.64,134.13,151.12,0.57,8.01,25.14,31.13,100.79,99.77,57.87,30.98,1.79,49.09,02-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-May-2019 - 00:00,32.75,979.56,267.02,62.04,32.61,119.57,78.22,1.49,4.38,12.55,29.92,51.1,36.2,11.07,21.1,0.99,60.43,03-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-May-2019 - 00:00,30.71,981.84,161.41,44.21,39.25,139.24,111.07,1.18,3.61,12.47,27.2,57.65,48.15,21.49,19.82,0.99,60.14,04-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-May-2019 - 00:00,30.41,983.9,191.96,78.59,38.74,241.87,195.37,0.83,7.02,30.87,33.26,61.26,55.19,27.31,19.52,1.07,49.08,05-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-May-2019 - 00:00,35.18,983.1,182.72,50.87,20.15,221.81,253.3,1.05,4.31,23.49,21.31,73.1,124.88,105.47,13.51,1.59,76.33,06-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-May-2019 - 00:00,32.6,981.05,237.85,82.32,24.13,169.1,241.96,0.83,7.69,32.34,24.52,88.64,130.83,106.0,20.19,1.98,51.64,07-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-May-2019 - 00:00,32.76,979.67,328.64,128.76,29.15,161.44,232.9,0.89,10.1,55.93,26.28,86.72,167.33,135.21,18.72,2.34,30.09,08-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-May-2019 - 00:00,33.87,979.64,342.29,119.22,27.22,165.29,231.56,0.92,9.36,60.69,27.12,76.11,148.47,125.0,18.2,2.11,37.45,09-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-May-2019 - 00:00,34.34,978.82,367.99,127.73,24.52,153.56,246.74,0.93,5.66,29.25,26.28,68.09,87.05,62.36,18.37,1.45,43.91,10-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-May-2019 - 00:00,35.11,979.87,265.66,88.65,21.57,156.63,233.95,1.03,3.6,9.23,21.24,44.85,31.06,8.84,14.93,0.84,46.24,11-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-May-2019 - 00:00,33.34,982.22,279.18,98.74,30.13,153.01,242.42,0.91,5.38,17.13,24.62,52.35,39.41,14.18,21.31,1.04,64.7,12-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-May-2019 - 00:00,32.68,981.91,412.45,201.02,32.47,143.17,251.5,0.98,5.06,13.34,25.36,61.05,56.95,30.49,16.77,1.25,61.43,13-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-May-2019 - 00:00,32.06,980.62,328.54,161.72,38.27,114.0,175.15,0.99,8.42,19.05,30.34,64.84,67.69,40.73,31.38,1.66,73.74,14-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-May-2019 - 00:00,29.21,977.84,117.25,50.01,47.22,148.73,177.93,1.04,4.26,14.33,29.13,54.59,57.01,34.3,14.16,1.16,65.97,15-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-May-2019 - 00:00,28.36,983.82,202.35,81.79,61.4,121.52,126.12,0.83,9.22,41.6,39.59,82.98,125.75,100.12,17.96,1.98,31.74,16-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-May-2019 - 00:00,29.92,984.48,242.85,81.02,50.81,108.91,196.49,0.97,8.53,31.99,44.26,68.19,77.91,51.05,14.31,1.45,48.97,17-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-May-2019 - 00:00,28.29,984.25,343.01,97.3,59.7,126.49,164.73,1.01,6.31,25.38,37.98,57.69,69.22,48.82,12.61,1.32,47.56,18-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-May-2019 - 00:00,27.67,984.18,92.56,37.94,63.91,182.21,235.03,0.8,4.08,14.83,38.27,44.09,28.84,6.62,11.72,0.83,54.38,19-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-May-2019 - 00:00,31.29,984.3,154.44,68.67,43.2,183.84,249.72,0.85,5.15,15.94,30.15,62.04,56.21,28.49,17.69,1.17,73.18,20-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-May-2019 - 00:00,33.04,984.57,194.64,79.89,37.57,180.15,239.06,0.87,6.99,24.34,26.02,72.11,78.1,48.92,20.06,1.48,57.98,21-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-May-2019 - 00:00,34.35,983.23,174.74,70.89,33.4,174.88,240.48,0.83,4.68,12.65,24.6,65.23,50.54,19.45,19.43,1.06,59.4,22-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-May-2019 - 00:00,32.34,981.68,182.17,65.16,43.24,75.88,231.79,0.8,5.32,18.52,25.44,85.64,108.33,77.04,13.71,1.55,25.4,23-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-May-2019 - 00:00,32.21,980.87,198.96,82.39,50.15,137.31,196.56,0.76,8.97,27.23,29.82,70.92,85.84,59.03,20.24,1.59,50.68,24-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-May-2019 - 00:00,29.12,982.56,110.6,36.05,63.06,149.78,170.52,0.99,7.56,23.9,48.51,50.49,46.33,24.18,11.52,1.11,30.58,25-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-May-2019 - 00:00,32.48,981.99,98.77,34.25,40.66,198.67,272.01,1.22,4.08,12.21,32.51,43.79,24.76,1.81,14.6,0.77,66.77,26-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-May-2019 - 00:00,33.49,980.47,119.1,44.73,31.9,195.79,239.0,0.8,4.72,20.87,25.16,55.87,42.35,15.47,19.01,0.99,74.82,27-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-May-2019 - 00:00,34.76,980.12,144.23,49.14,29.14,190.59,235.46,0.87,5.98,33.85,22.88,75.07,83.83,53.81,18.61,1.29,61.17,28-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-May-2019 - 00:00,34.76,979.75,167.8,53.44,24.24,199.67,250.2,0.97,9.42,35.19,21.42,79.68,86.34,53.93,21.32,1.35,64.69,29-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-May-2019 - 00:00,35.72,978.29,166.7,56.15,26.5,187.6,246.94,0.75,9.18,33.54,21.34,86.84,104.91,72.05,23.05,1.64,65.77,30-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-May-2019 - 00:00,36.92,976.95,193.69,64.48,27.21,179.11,244.73,0.74,12.48,52.95,21.36,91.02,144.14,117.46,20.31,2.01,49.29,31-May-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-May-2019 - 00:00,36.9,977.27,330.22,95.7,28.0,167.53,186.05,0.7,7.61,28.21,20.01,87.91,88.03,75.89,20.82,1.83,48.52,01-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Jun-2019 - 00:00,36.05,977.46,252.82,83.24,39.26,157.21,113.69,0.76,8.31,30.38,23.86,69.16,86.89,61.43,21.79,1.73,49.89,02-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jun-2019 - 00:00,36.51,977.6,209.44,65.62,46.81,151.85,95.14,1.06,3.93,7.13,35.6,34.7,19.22,0.95,16.98,1.09,69.73,03-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jun-2019 - 00:00,34.84,978.3,280.1,60.29,46.97,144.27,108.4,1.37,2.83,4.79,34.61,27.21,15.23,0.95,10.69,0.94,64.62,04-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jun-2019 - 00:00,34.85,978.71,155.62,46.95,45.67,149.45,106.62,1.09,3.65,10.94,22.99,45.23,26.92,3.51,15.99,1.08,74.82,05-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jun-2019 - 00:00,36.45,977.99,190.48,65.43,42.66,148.44,123.26,0.85,5.31,19.13,22.16,60.31,45.22,16.12,18.17,1.36,58.74,06-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jun-2019 - 00:00,36.44,978.4,211.42,71.07,38.04,133.25,153.87,0.87,4.21,17.09,11.52,56.59,47.51,21.43,20.54,1.16,54.68,07-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jun-2019 - 00:00,33.84,981.28,145.86,53.71,45.98,157.71,103.35,1.0,3.52,8.33,9.85,47.79,27.6,2.67,19.75,1.02,77.12,08-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jun-2019 - 00:00,36.16,979.62,196.44,73.44,45.38,164.69,160.92,0.62,6.1,22.61,19.45,81.47,92.8,84.22,16.6,1.95,63.23,09-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jun-2019 - 00:00,36.34,976.88,294.7,108.28,38.32,145.98,139.95,0.76,12.63,50.11,,91.07,167.86,146.54,25.57,2.88,50.16,10-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jun-2019 - 00:00,37.65,974.07,226.85,69.23,33.97,121.31,238.33,0.56,9.56,38.31,16.55,102.98,146.11,128.47,14.73,2.47,49.34,11-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Jun-2019 - 00:00,38.14,974.22,375.7,132.35,25.65,130.4,209.84,0.89,6.01,28.0,14.19,70.63,100.58,77.23,11.33,1.54,35.35,12-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Jun-2019 - 00:00,35.08,977.09,238.19,47.43,39.58,142.73,105.99,1.73,3.51,9.32,19.51,26.29,17.2,3.94,11.73,0.85,73.25,13-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Jun-2019 - 00:00,35.94,977.29,165.59,49.65,40.11,151.48,188.11,1.01,3.46,9.88,3.54,43.99,30.42,8.62,11.58,0.99,57.47,14-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Jun-2019 - 00:00,36.85,976.13,163.76,52.94,29.74,162.38,249.73,0.97,4.43,16.42,6.81,75.11,42.36,3.03,11.17,1.46,67.4,15-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Jun-2019 - 00:00,37.19,975.65,241.02,81.99,26.24,150.58,251.23,0.95,7.24,25.05,6.22,78.34,44.73,3.73,15.21,1.22,62.95,16-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Jun-2019 - 00:00,32.03,977.76,135.32,42.53,50.24,68.09,245.96,1.46,1.26,3.21,3.08,24.16,13.07,0.28,9.5,0.63,51.67,17-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Jun-2019 - 00:00,30.94,977.34,122.82,42.84,48.61,64.72,206.51,1.32,2.3,6.24,3.48,42.48,23.69,1.35,10.72,0.76,43.54,18-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Jun-2019 - 00:00,27.77,979.19,71.62,26.77,64.63,154.06,200.65,1.22,3.8,21.67,4.44,52.18,42.55,18.16,7.51,0.98,55.12,19-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Jun-2019 - 00:00,31.22,978.19,218.81,86.86,57.26,167.38,148.97,0.91,5.96,22.84,4.63,50.97,41.53,17.7,11.62,1.1,41.6,20-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Jun-2019 - 00:00,32.4,979.31,127.36,38.52,52.58,179.47,129.1,0.94,2.84,7.79,4.82,38.86,24.77,5.03,10.85,0.88,70.35,21-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Jun-2019 - 00:00,34.16,979.22,172.72,62.52,51.45,148.63,152.25,0.69,5.86,19.96,4.34,72.76,57.56,23.15,12.98,1.33,59.2,22-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Jun-2019 - 00:00,34.97,978.61,157.11,57.09,44.8,177.16,146.87,0.79,5.06,22.04,5.23,62.49,51.65,22.59,15.68,1.09,79.02,23-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Jun-2019 - 00:00,34.38,978.92,96.17,29.74,53.4,173.37,112.17,1.19,1.83,3.19,3.08,21.26,12.16,1.05,9.64,0.81,60.9,24-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Jun-2019 - 00:00,31.06,980.79,68.55,20.0,68.09,93.33,99.77,1.18,1.81,4.94,3.62,27.43,16.09,1.84,10.98,0.84,31.48,25-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Jun-2019 - 00:00,33.37,979.77,107.82,41.03,60.63,113.18,123.78,0.6,4.55,16.38,3.8,49.56,30.24,4.76,11.4,1.15,57.94,26-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Jun-2019 - 00:00,35.94,976.9,125.33,52.31,49.81,138.35,210.33,0.71,4.83,14.71,4.28,65.68,43.99,11.25,11.6,1.18,52.67,27-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Jun-2019 - 00:00,34.73,975.03,195.67,59.35,48.14,133.45,247.73,0.82,5.33,21.38,3.51,66.41,59.51,29.67,13.33,1.31,51.45,28-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Jun-2019 - 00:00,35.43,974.02,202.33,52.53,42.47,134.75,250.66,0.98,4.74,18.95,3.41,52.35,43.06,18.67,12.02,0.99,41.82,29-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Jun-2019 - 00:00,37.17,973.26,235.9,52.45,36.8,157.05,241.49,0.9,4.08,15.81,3.64,51.93,61.52,41.58,10.55,1.18,36.28,30-Jun-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Jun-2019 - 00:00,37.4,973.69,257.72,66.62,38.42,152.26,196.89,1.04,5.09,23.27,3.07,47.39,58.49,41.68,10.72,1.23,43.65,01-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Jul-2019 - 00:00,36.59,974.89,175.63,59.16,40.08,162.36,155.98,0.85,3.32,9.84,2.97,47.02,32.67,9.43,11.07,0.95,69.23,02-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jul-2019 - 00:00,35.37,975.98,221.35,73.88,48.59,128.62,146.54,1.0,3.36,7.97,2.4,35.1,20.16,1.85,11.39,0.97,72.37,03-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jul-2019 - 00:00,35.2,976.08,72.06,23.44,54.41,92.89,121.86,0.98,2.0,5.35,7.13,34.18,19.59,1.75,9.17,1.25,24.71,04-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jul-2019 - 00:00,31.68,975.76,85.03,32.26,74.52,74.75,128.72,1.03,5.26,15.12,5.55,39.91,30.95,11.93,9.46,1.23,17.48,05-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jul-2019 - 00:00,29.58,974.11,79.54,42.45,84.02,59.8,128.85,0.97,5.39,21.47,6.74,48.0,36.5,13.45,11.02,1.28,10.62,06-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jul-2019 - 00:00,31.63,972.84,58.27,28.15,72.98,177.97,130.48,0.95,2.29,7.11,4.4,34.11,27.82,11.86,10.89,0.99,29.7,07-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jul-2019 - 00:00,32.0,973.46,72.76,32.19,70.52,118.83,176.17,0.74,3.53,14.75,4.62,49.74,36.68,12.54,11.66,1.23,36.1,08-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jul-2019 - 00:00,32.94,973.73,123.4,41.55,67.6,124.22,173.78,0.94,3.19,10.86,8.02,47.58,31.68,7.76,11.71,1.14,36.98,09-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jul-2019 - 00:00,30.81,973.71,99.51,35.98,75.27,70.54,167.43,0.92,2.45,11.53,3.87,39.46,24.35,4.13,10.76,0.92,17.61,10-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jul-2019 - 00:00,33.28,972.82,253.17,59.79,67.26,121.05,179.41,0.82,2.65,11.76,5.98,40.21,36.56,18.62,11.75,1.16,17.46,11-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Jul-2019 - 00:00,34.81,973.06,379.5,66.95,55.15,130.64,188.46,1.08,2.37,10.37,6.33,37.32,29.55,11.9,10.18,1.18,19.38,12-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Jul-2019 - 00:00,34.27,975.52,360.04,67.96,59.03,109.03,203.95,0.93,1.72,8.93,6.67,33.21,23.8,7.51,9.83,1.7,6.42,13-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Jul-2019 - 00:00,34.85,976.02,286.33,53.52,52.64,140.49,196.42,1.34,2.03,8.37,10.29,28.97,19.28,4.73,10.72,0.82,12.38,14-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Jul-2019 - 00:00,33.5,975.09,287.62,54.05,55.19,109.84,161.21,1.16,1.3,6.75,8.08,28.25,17.18,2.64,11.01,0.77,9.42,15-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Jul-2019 - 00:00,28.58,975.22,133.44,34.07,79.63,81.57,108.35,1.04,1.9,11.59,6.35,37.28,30.76,13.38,11.74,1.03,8.92,16-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Jul-2019 - 00:00,28.33,978.39,90.57,29.78,79.71,107.89,74.1,1.1,2.5,15.02,8.13,38.32,25.03,5.71,9.19,0.98,14.11,17-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Jul-2019 - 00:00,27.39,979.48,73.59,32.61,87.92,68.4,150.22,0.79,4.58,22.42,16.49,41.07,29.09,8.9,10.9,1.18,20.75,18-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Jul-2019 - 00:00,26.99,979.25,69.7,30.14,90.46,71.12,194.78,0.78,3.42,17.07,36.56,45.17,44.71,25.1,9.52,1.27,14.98,19-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Jul-2019 - 00:00,31.31,979.3,144.76,54.92,74.38,169.35,129.23,0.66,5.43,26.01,40.19,41.49,57.39,45.5,9.95,1.5,21.08,20-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Jul-2019 - 00:00,30.61,980.08,105.29,41.26,82.06,120.22,119.72,0.77,4.7,22.05,52.74,48.11,38.01,15.23,9.99,1.24,22.65,21-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Jul-2019 - 00:00,29.91,979.56,94.11,40.25,85.02,173.05,147.2,0.69,4.8,25.83,52.63,37.46,53.22,40.3,9.01,1.55,21.44,22-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Jul-2019 - 00:00,31.19,978.49,117.43,51.23,81.78,177.0,107.77,0.65,6.81,28.48,58.89,39.25,64.39,53.41,9.37,1.75,17.77,23-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Jul-2019 - 00:00,33.19,977.12,183.1,70.01,75.04,138.92,132.4,0.54,7.63,42.1,61.23,61.86,71.58,47.53,9.5,1.85,26.92,24-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Jul-2019 - 00:00,32.0,975.6,158.7,58.68,78.77,115.05,178.39,0.91,5.8,27.67,58.33,55.67,69.22,48.71,9.48,1.83,15.78,25-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Jul-2019 - 00:00,28.24,977.49,54.3,20.05,88.67,41.5,173.73,0.94,2.32,12.39,45.67,39.91,29.63,10.32,9.24,1.15,11.62,26-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Jul-2019 - 00:00,28.02,975.7,52.93,27.97,91.29,63.52,100.92,0.97,3.13,17.24,39.47,36.58,24.47,6.16,8.96,0.98,23.87,27-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Jul-2019 - 00:00,27.88,975.65,43.55,22.84,94.08,66.75,88.62,0.95,2.45,14.1,34.75,32.53,27.38,12.36,9.12,1.05,13.75,28-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Jul-2019 - 00:00,29.74,977.54,40.0,17.28,83.78,108.0,98.94,1.14,1.42,4.8,34.75,22.23,14.5,3.3,8.78,0.79,8.25,29-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Jul-2019 - 00:00,31.23,978.88,50.24,15.84,75.41,95.1,94.85,1.01,1.61,4.97,39.04,24.49,15.58,3.13,8.44,0.8,9.97,30-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Jul-2019 - 00:00,30.92,978.59,71.2,23.51,76.53,90.18,83.82,0.88,2.32,12.02,42.0,32.82,21.45,4.9,10.68,0.95,14.19,31-Jul-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Jul-2019 - 00:00,31.37,977.88,59.9,21.99,73.91,85.21,102.51,0.89,2.07,6.36,40.11,28.04,17.5,3.16,9.86,0.88,16.12,01-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
