from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
25-Jan-2019 - 00:00,14.45,995.99,122.06,63.79,75.48,75.12,201.81,0.78,4.33,26.13,32.2,53.68,36.66,9.95,12.29,0.85,20.23,26-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Jan-2019 - 00:00,13.16,998.46,150.76,73.65,64.3,87.09,256.21,0.81,5.16,16.85,30.05,57.92,44.07,16.24,14.29,0.92,22.56,27-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Jan-2019 - 00:00,11.41,998.45,190.36,94.32,68.97,62.01,256.04,0.98,5.39,13.9,32.14,59.05,49.21,21.84,12.95,1.07,18.19,28-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Jan-2019 - 00:00,12.24,998.09,179.06,90.03,60.61,86.2,257.86,1.02,6.21,16.81,31.11,63.17,56.3,27.83,14.47,1.14,22.21,29-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Jan-2019 - 00:00,12.57,996.56,232.45,130.76,63.56,84.21,254.68,0.83,8.86,37.44,34.9,71.85,99.47,75.21,17.23,1.59,23.02,30-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Jan-2019 - 00:00,13.23,995.3,347.44,206.31,64.76,66.87,214.91,0.64,12.42,60.21,39.6,92.21,101.62,74.45,22.93,2.52,21.83,31-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Jan-2019 - 00:00,14.84,994.23,341.81,189.05,68.31,61.79,124.36,0.84,12.48,68.39,45.16,81.32,148.59,120.53,17.6,2.49,17.78,01-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Feb-2019 - 00:00,15.63,994.73,262.67,153.47,74.44,61.21,184.93,0.8,8.73,27.7,49.95,66.33,62.01,32.79,15.09,1.37,16.02,02-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Feb-2019 - 00:00,12.53,994.92,289.25,173.11,90.35,57.17,257.04,0.87,9.71,40.41,43.27,49.7,42.5,19.72,11.35,1.39,15.28,03-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Feb-2019 - 00:00,13.58,995.99,220.19,123.23,88.78,70.99,251.46,0.75,7.02,24.77,37.98,51.3,54.01,32.84,11.29,1.3,14.69,04-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Feb-2019 - 00:00,14.27,996.53,218.01,109.25,80.42,83.14,225.61,0.59,9.2,43.33,33.51,73.48,90.9,68.1,13.44,2.17,21.33,05-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Feb-2019 - 00:00,16.35,993.98,357.74,184.55,79.81,64.72,147.98,0.53,18.14,108.54,42.06,91.5,182.75,148.98,21.36,4.22,16.91,06-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Feb-2019 - 00:00,18.22,988.97,266.88,156.28,85.79,64.07,115.22,0.87,7.29,26.98,50.83,59.71,75.53,54.24,12.98,1.76,11.68,07-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Feb-2019 - 00:00,16.32,987.09,87.43,50.54,92.69,13.01,140.07,1.41,2.18,7.59,38.74,38.79,25.73,6.23,10.05,0.84,13.42,08-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Feb-2019 - 00:00,14.34,992.76,143.02,58.79,72.46,92.85,243.77,0.82,4.75,24.91,26.33,55.27,72.92,53.35,11.47,1.09,17.5,09-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Feb-2019 - 00:00,14.11,994.98,155.62,65.43,68.61,97.52,261.88,0.96,5.06,27.42,24.83,53.2,68.67,49.51,12.01,1.16,25.9,10-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Feb-2019 - 00:00,13.93,996.43,260.31,119.29,74.79,70.25,232.96,0.68,8.72,48.54,30.07,68.61,131.26,116.26,14.56,1.86,18.93,11-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Feb-2019 - 00:00,14.7,996.87,305.07,138.23,75.56,76.81,217.99,0.44,11.88,76.11,33.19,87.23,208.53,191.83,16.7,2.77,21.23,12-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Feb-2019 - 00:00,16.58,996.93,343.8,156.56,77.22,57.91,166.81,0.44,14.49,112.96,38.81,102.69,206.66,186.32,16.5,3.06,26.92,13-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Feb-2019 - 00:00,17.88,996.0,322.32,153.42,74.97,68.05,161.36,0.51,9.66,63.59,37.48,93.8,192.94,175.55,15.42,2.73,24.59,14-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Feb-2019 - 00:00,17.19,991.78,213.89,131.72,84.19,39.85,125.91,1.06,5.18,23.17,38.55,63.55,65.25,38.39,11.54,1.38,14.33,15-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Feb-2019 - 00:00,16.86,992.08,179.26,118.44,82.39,56.11,194.1,0.77,5.43,23.2,33.56,62.92,63.88,37.23,11.6,1.38,13.06,16-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Feb-2019 - 00:00,15.55,993.55,,102.85,87.76,41.68,261.65,0.84,4.99,22.88,27.87,43.96,33.74,12.7,9.58,1.1,13.05,17-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Feb-2019 - 00:00,15.76,990.46,,83.54,79.83,88.65,248.68,0.76,4.28,20.1,23.95,54.74,67.6,46.84,10.64,1.25,23.6,18-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Feb-2019 - 00:00,17.94,985.97,,90.0,70.27,68.65,143.47,0.9,5.0,27.38,24.16,65.42,76.03,47.87,12.79,1.38,20.16,19-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Feb-2019 - 00:00,18.16,989.12,,117.06,81.61,68.33,145.24,0.53,6.5,39.79,33.79,78.32,117.48,92.94,12.92,2.08,28.31,20-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Feb-2019 - 00:00,18.18,993.97,,85.47,84.34,25.18,98.98,0.69,5.92,50.17,34.39,65.95,93.93,72.19,12.39,1.52,6.49,21-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Feb-2019 - 00:00,20.48,992.71,,68.02,73.65,85.26,135.28,0.74,5.51,40.67,31.51,60.71,120.37,100.04,13.75,1.92,16.51,22-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Feb-2019 - 00:00,19.31,993.05,90.56,62.91,70.54,95.47,280.61,1.42,5.06,25.37,33.06,47.57,39.1,17.7,10.3,1.04,16.16,23-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Feb-2019 - 00:00,17.38,991.6,89.05,38.69,54.5,117.23,283.02,1.74,2.79,11.0,19.74,49.97,32.89,7.72,12.42,0.71,34.68,24-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Feb-2019 - 00:00,19.16,987.47,152.46,61.24,50.97,122.03,231.16,0.73,3.94,25.79,19.91,77.59,106.18,79.55,13.87,1.39,41.58,25-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Feb-2019 - 00:00,16.62,987.66,158.66,76.47,69.93,71.2,147.81,0.69,4.96,30.11,23.17,76.04,121.8,99.8,13.19,1.52,19.5,26-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Feb-2019 - 00:00,15.36,987.83,129.02,56.34,72.17,53.62,115.53,0.81,3.2,20.57,24.46,63.26,68.55,42.82,12.86,1.01,18.16,27-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Feb-2019 - 00:00,13.03,988.15,96.52,45.77,83.6,31.16,91.47,0.78,2.69,14.69,22.74,54.54,39.12,12.43,14.06,0.81,8.23,28-Feb-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Feb-2019 - 00:00,14.69,991.66,146.09,76.58,69.76,96.4,229.29,0.82,6.21,44.11,21.08,57.94,102.01,87.37,14.16,1.34,27.03,01-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Mar-2019 - 00:00,15.93,992.07,162.23,78.8,65.27,103.55,223.15,0.69,6.46,52.18,21.1,68.22,140.22,127.55,12.88,1.7,29.19,02-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
