from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
28-Jan-2019 - 00:00,28.46,11.9,16.56,15.68,23.27,0.62,46.63,6.56,10.0,6.55,4.33,11.92,88.39,162.62,58.16,18.09,2.68,392.39,0.0,29-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Jan-2019 - 00:00,31.1,11.58,19.55,15.27,23.8,0.84,39.81,8.62,10.0,7.23,4.8,13.22,102.46,184.8,57.13,14.8,2.16,422.12,0.0,30-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Jan-2019 - 00:00,31.48,11.45,20.04,15.2,21.3,0.8,39.78,10.93,10.0,8.43,5.49,15.32,131.5,219.51,59.17,10.01,1.41,290.32,0.0,31-Jan-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Jan-2019 - 00:00,29.27,11.65,17.62,15.56,21.44,1.33,24.02,7.54,9.8,5.05,3.05,8.74,141.15,199.48,80.99,17.15,2.53,69.12,0.01,01-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Feb-2019 - 00:00,31.15,11.53,19.63,15.26,,0.89,15.15,8.64,10.0,3.01,1.8,5.6,136.96,167.71,94.93,13.56,1.93,73.02,0.0,02-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Feb-2019 - 00:00,29.87,11.72,18.15,15.45,,0.77,18.59,7.5,10.0,2.38,1.36,4.57,91.57,110.73,98.4,9.17,1.21,108.42,0.03,03-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Feb-2019 - 00:00,27.92,11.89,16.03,15.75,,1.04,36.45,8.11,10.0,2.03,1.27,4.25,80.04,114.32,84.94,10.73,1.49,283.57,0.01,04-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Feb-2019 - 00:00,22.36,17.33,10.23,11.09,19.98,0.94,47.84,12.44,9.65,3.52,1.09,3.55,90.15,151.05,76.13,10.41,1.48,495.52,0.0,05-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Feb-2019 - 00:00,19.17,20.25,5.98,4.15,18.96,0.88,46.15,4.71,9.32,1.98,0.55,1.61,72.56,176.72,79.39,14.81,2.19,475.46,0.0,06-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Feb-2019 - 00:00,20.29,15.37,5.95,1.26,20.13,0.93,49.92,6.61,9.79,3.11,1.69,5.4,108.43,214.78,67.58,13.43,1.94,484.16,0.0,07-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Feb-2019 - 00:00,18.76,14.59,5.98,2.31,7.75,0.68,40.48,4.51,10.0,2.18,1.37,4.23,72.17,168.2,79.42,24.15,3.6,190.48,0.0,08-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Feb-2019 - 00:00,19.5,14.88,5.91,3.04,11.06,0.44,47.57,3.2,9.91,2.39,1.57,4.3,38.38,117.3,67.0,17.62,2.58,511.63,0.0,09-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Feb-2019 - 00:00,17.88,26.7,13.47,50.39,14.29,0.54,46.78,4.8,9.5,1.86,1.32,3.59,45.34,140.28,56.83,16.01,2.34,485.83,0.0,10-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Feb-2019 - 00:00,20.4,40.08,19.68,84.82,8.99,0.98,49.57,7.29,10.0,2.95,1.9,5.57,70.76,185.18,65.05,11.71,1.67,349.38,0.0,11-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Feb-2019 - 00:00,19.97,33.94,13.97,92.94,13.28,1.16,52.6,9.01,10.0,2.96,2.17,5.98,81.07,199.16,65.97,9.87,1.38,354.4,0.0,12-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Feb-2019 - 00:00,16.42,23.26,6.84,105.55,26.12,0.86,70.98,6.53,10.0,3.46,2.09,5.7,80.66,188.49,65.6,9.81,1.38,268.0,0.0,13-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Feb-2019 - 00:00,13.36,18.94,5.57,122.18,26.72,0.82,63.79,6.41,10.0,3.28,2.08,5.86,95.36,221.23,76.8,12.68,1.83,256.76,0.0,14-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Feb-2019 - 00:00,10.41,14.6,4.19,119.48,18.2,0.85,73.72,5.54,10.0,2.03,1.33,3.57,79.55,184.71,72.19,24.72,3.7,328.15,0.04,15-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Feb-2019 - 00:00,10.18,15.78,5.61,104.84,12.85,0.91,30.83,6.94,9.89,2.21,1.61,4.54,64.52,146.85,94.94,14.46,2.06,55.78,0.01,16-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Feb-2019 - 00:00,10.86,17.24,6.38,76.15,14.19,0.94,38.11,7.26,10.0,3.76,2.58,7.49,45.97,99.14,88.52,13.18,1.88,207.46,0.01,17-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Feb-2019 - 00:00,12.39,18.24,5.85,62.93,21.3,0.68,68.24,6.34,10.0,4.02,2.75,8.03,62.2,138.08,65.64,12.13,1.72,403.41,0.0,18-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
