from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
13-Feb-2019 - 00:00,2.24,201.76,19.43,42.49,61.91,6.01,14-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,1.46,179.38,38.14,57.28,95.42,8.97,15-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,1.39,165.89,24.55,46.09,70.64,6.05,16-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,1.42,179.02,22.54,46.88,69.42,5.04,17-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,1.31,165.37,10.27,28.35,38.62,5.97,18-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,1.44,166.0,22.84,47.16,69.99,7.02,19-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,1.31,167.66,14.53,37.54,52.07,5.98,20-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,1.39,168.56,26.36,51.05,77.34,6.05,21-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,1.39,167.61,25.29,45.21,70.51,6.04,22-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,1.4,182.82,36.15,55.67,91.82,6.24,23-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,1.44,187.61,43.7,70.17,113.87,6.98,24-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Feb-2019 - 00:00,1.42,164.32,35.27,63.62,98.89,6.52,25-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,1.46,157.23,35.69,62.59,98.28,9.42,26-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,1.31,171.03,7.45,35.96,43.41,7.14,27-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,1.79,,17.39,55.81,73.2,6.22,28-Feb-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,1.36,199.98,11.72,34.35,46.07,5.82,01-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,1.41,199.41,22.28,64.57,86.85,5.93,02-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,1.37,147.5,23.1,48.4,71.5,6.18,03-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,1.36,149.37,25.44,49.71,75.15,5.82,04-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,1.33,151.2,12.78,39.89,52.68,6.32,05-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
