from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
09-Jul-2019 - 00:00,1.37,107.0,8.91,32.59,41.5,18.65,10-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jul-2019 - 00:00,1.31,103.46,8.64,35.1,43.74,22.99,11-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jul-2019 - 00:00,1.28,104.18,6.16,31.35,37.51,29.93,12-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jul-2019 - 00:00,1.23,106.18,7.13,32.18,39.32,33.17,13-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jul-2019 - 00:00,1.44,119.42,9.94,38.89,48.83,16.56,14-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jul-2019 - 00:00,1.3,100.92,9.91,37.44,47.35,23.87,15-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jul-2019 - 00:00,1.21,100.32,6.47,29.14,35.61,19.09,16-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jul-2019 - 00:00,1.18,56.89,9.04,30.86,39.89,6.43,17-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jul-2019 - 00:00,,,,,,,18-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jul-2019 - 00:00,,,,,,,19-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jul-2019 - 00:00,,,,,,,20-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jul-2019 - 00:00,1.59,140.47,16.19,57.27,73.46,6.96,21-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jul-2019 - 00:00,1.43,110.0,17.62,55.9,73.52,6.95,22-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jul-2019 - 00:00,1.49,101.3,14.0,51.25,65.25,6.71,23-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jul-2019 - 00:00,1.49,82.21,12.6,45.38,57.98,6.98,24-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jul-2019 - 00:00,1.51,114.67,10.15,38.61,48.76,7.01,25-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jul-2019 - 00:00,1.39,99.84,7.27,33.48,40.75,6.69,26-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jul-2019 - 00:00,1.49,101.73,12.37,44.1,56.47,6.93,27-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Jul-2019 - 00:00,,,,,,,28-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jul-2019 - 00:00,,,,,,,29-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jul-2019 - 00:00,1.46,145.42,9.29,37.26,46.55,6.79,30-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jul-2019 - 00:00,1.44,111.47,8.29,32.56,40.85,7.16,31-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Jul-2019 - 00:00,1.04,101.32,4.36,23.09,27.46,8.18,01-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Aug-2019 - 00:00,1.24,123.12,6.32,30.26,36.58,7.25,02-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Aug-2019 - 00:00,1.38,103.64,9.58,35.17,44.75,7.38,03-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Aug-2019 - 00:00,1.71,155.02,13.06,49.63,62.69,7.06,04-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Aug-2019 - 00:00,1.35,136.94,18.58,56.23,74.81,8.45,05-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Aug-2019 - 00:00,1.19,85.07,8.46,34.88,43.34,7.58,06-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Aug-2019 - 00:00,1.38,75.58,14.7,36.3,50.95,6.91,07-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Aug-2019 - 00:00,1.36,55.91,9.37,30.3,39.66,7.76,08-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Aug-2019 - 00:00,0.94,38.87,2.54,11.69,14.22,7.17,09-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Aug-2019 - 00:00,1.77,99.52,22.93,67.86,90.79,7.0,10-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Aug-2019 - 00:00,1.44,90.99,12.43,41.35,53.78,6.98,11-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Aug-2019 - 00:00,1.22,72.56,8.26,28.17,36.43,7.27,12-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Aug-2019 - 00:00,1.51,105.27,7.66,29.83,37.49,6.95,13-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Aug-2019 - 00:00,1.33,79.76,7.68,31.03,38.71,7.38,14-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Aug-2019 - 00:00,1.54,89.13,10.48,32.21,42.69,6.64,15-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Aug-2019 - 00:00,,,,,,,16-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Aug-2019 - 00:00,1.6,78.95,13.64,36.03,45.81,6.01,17-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Aug-2019 - 00:00,1.5,103.25,7.73,30.47,38.2,7.2,18-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Aug-2019 - 00:00,1.34,46.8,11.23,35.67,46.9,7.85,19-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Aug-2019 - 00:00,1.5,102.27,6.21,34.66,40.92,7.55,20-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Aug-2019 - 00:00,1.38,62.68,8.82,24.8,33.62,7.79,21-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Aug-2019 - 00:00,1.39,57.77,10.25,26.29,36.54,7.57,22-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Aug-2019 - 00:00,1.52,90.93,10.6,25.06,35.65,7.68,23-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Aug-2019 - 00:00,1.39,73.54,11.35,26.84,38.2,7.51,24-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Aug-2019 - 00:00,1.63,102.98,15.71,34.01,49.58,7.7,25-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Aug-2019 - 00:00,1.52,98.26,16.4,32.07,48.48,7.14,26-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Aug-2019 - 00:00,1.59,160.55,14.04,40.93,54.98,8.58,27-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Aug-2019 - 00:00,1.63,124.86,17.26,41.66,58.89,8.33,28-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Aug-2019 - 00:00,1.37,104.14,14.29,31.52,45.81,8.12,29-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Aug-2019 - 00:00,1.71,166.3,17.01,47.78,64.8,8.81,30-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Aug-2019 - 00:00,1.74,158.22,19.06,49.61,68.67,8.46,31-Aug-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Aug-2019 - 00:00,1.61,132.56,20.27,45.04,65.31,8.85,01-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Sep-2019 - 00:00,1.42,93.89,18.77,39.0,57.77,8.85,02-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Sep-2019 - 00:00,,,,,,,03-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Sep-2019 - 00:00,1.49,90.6,11.98,31.17,43.16,8.83,04-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Sep-2019 - 00:00,1.66,91.34,19.05,41.87,60.93,9.13,05-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Sep-2019 - 00:00,1.5,81.83,14.57,33.45,48.0,8.86,06-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Sep-2019 - 00:00,1.47,82.43,13.03,32.1,45.12,9.19,07-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Sep-2019 - 00:00,1.71,103.61,17.84,40.65,58.49,9.76,08-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Sep-2019 - 00:00,1.39,94.75,14.48,32.52,47.0,9.11,09-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Sep-2019 - 00:00,1.53,97.27,14.09,34.18,48.27,8.41,10-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Sep-2019 - 00:00,1.54,128.37,,,,8.64,11-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Sep-2019 - 00:00,1.5,125.54,13.91,36.46,50.3,8.55,12-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Sep-2019 - 00:00,1.41,106.37,11.69,28.98,40.67,8.39,13-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Sep-2019 - 00:00,1.36,101.54,11.85,33.86,45.7,8.45,14-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Sep-2019 - 00:00,1.46,109.12,12.29,44.19,56.48,7.37,15-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Sep-2019 - 00:00,1.22,76.78,13.48,44.9,58.38,7.91,16-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Sep-2019 - 00:00,1.36,70.89,13.76,44.28,58.04,7.71,17-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Sep-2019 - 00:00,1.39,56.71,10.81,36.63,47.44,7.34,18-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Sep-2019 - 00:00,1.51,96.0,11.33,37.71,49.03,7.27,19-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Sep-2019 - 00:00,1.55,116.78,13.36,43.38,56.75,7.47,20-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Sep-2019 - 00:00,1.59,104.58,11.57,38.45,50.02,7.59,21-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Sep-2019 - 00:00,1.56,134.12,13.88,46.09,59.97,7.34,22-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Sep-2019 - 00:00,1.54,91.11,18.25,56.55,74.8,7.56,23-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Sep-2019 - 00:00,1.48,76.27,19.58,69.04,89.45,7.09,24-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Sep-2019 - 00:00,1.63,57.46,11.88,49.01,60.89,6.78,25-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Sep-2019 - 00:00,0.97,55.61,19.3,80.79,100.09,6.21,26-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Sep-2019 - 00:00,1.93,126.37,14.3,60.81,75.11,5.86,27-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Sep-2019 - 00:00,1.97,137.17,16.29,70.33,86.63,6.36,28-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Sep-2019 - 00:00,1.7,160.0,15.39,71.34,86.73,6.34,29-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Sep-2019 - 00:00,1.7,172.93,14.13,66.05,80.19,5.79,30-Sep-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Sep-2019 - 00:00,,,,,,,01-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Oct-2019 - 00:00,1.58,135.33,4.48,24.93,29.42,6.55,02-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Oct-2019 - 00:00,,,,,,,03-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Oct-2019 - 00:00,1.86,140.32,17.43,87.85,105.28,6.62,04-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Oct-2019 - 00:00,1.49,94.75,12.38,71.94,84.32,7.01,05-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Oct-2019 - 00:00,1.82,126.52,9.69,63.75,73.45,6.56,06-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Oct-2019 - 00:00,1.43,106.3,6.17,39.97,46.14,5.98,07-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Oct-2019 - 00:00,,,,,,,08-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Oct-2019 - 00:00,,,,,,,09-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Oct-2019 - 00:00,,,,,,,10-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Oct-2019 - 00:00,2.29,137.35,24.93,45.89,64.96,6.66,11-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Oct-2019 - 00:00,,,,,,,12-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Oct-2019 - 00:00,,,,,,,13-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Oct-2019 - 00:00,,,,,,,14-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Oct-2019 - 00:00,,,,,,,15-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Oct-2019 - 00:00,1.6,,26.13,45.66,71.79,,16-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Oct-2019 - 00:00,,,,,,,17-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Oct-2019 - 00:00,,,,,,,18-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Oct-2019 - 00:00,,,,,,,19-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Oct-2019 - 00:00,,,,,,,20-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Oct-2019 - 00:00,,,,,,,21-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Oct-2019 - 00:00,,,,,,,22-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Oct-2019 - 00:00,1.59,49.72,3.42,14.66,18.08,6.93,23-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Oct-2019 - 00:00,1.54,53.68,3.46,13.07,16.52,6.8,24-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Oct-2019 - 00:00,1.61,101.38,5.29,19.31,24.6,6.75,25-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Oct-2019 - 00:00,1.53,84.73,7.3,25.67,32.97,6.53,26-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Oct-2019 - 00:00,1.66,86.34,7.04,26.97,34.02,6.24,27-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Oct-2019 - 00:00,1.74,98.75,7.69,32.43,40.11,7.06,28-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Oct-2019 - 00:00,1.75,104.03,9.33,38.16,47.49,9.27,29-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Oct-2019 - 00:00,1.73,102.49,7.26,29.17,36.43,9.56,30-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Oct-2019 - 00:00,1.85,48.05,19.43,77.58,97.01,9.7,31-Oct-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Oct-2019 - 00:00,1.81,85.89,14.74,65.1,79.83,9.81,01-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Nov-2019 - 00:00,1.7,139.5,8.52,52.85,61.37,9.89,02-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Nov-2019 - 00:00,1.87,127.34,11.7,51.0,62.69,8.97,03-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Nov-2019 - 00:00,,,,,,,04-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Nov-2019 - 00:00,2.6,277.69,8.88,45.64,54.52,10.04,05-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Nov-2019 - 00:00,1.92,235.4,4.05,26.49,30.54,10.04,06-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Nov-2019 - 00:00,1.81,192.0,22.42,53.86,76.17,9.78,07-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Nov-2019 - 00:00,1.99,151.08,39.83,87.01,126.8,9.9,08-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Nov-2019 - 00:00,1.75,114.34,33.01,69.05,102.03,9.78,09-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Nov-2019 - 00:00,1.48,115.28,32.08,71.71,103.78,9.3,10-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Nov-2019 - 00:00,,,,,,,11-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Nov-2019 - 00:00,1.95,149.53,23.94,87.67,111.61,10.14,12-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Nov-2019 - 00:00,1.87,95.48,13.81,67.59,81.37,9.64,13-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Nov-2019 - 00:00,1.86,143.13,8.48,44.23,52.59,10.14,14-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Nov-2019 - 00:00,1.84,96.55,16.99,68.12,85.12,10.31,15-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Nov-2019 - 00:00,1.85,77.61,18.01,61.15,79.16,10.29,16-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Nov-2019 - 00:00,1.87,74.9,17.08,64.75,81.83,9.85,17-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Nov-2019 - 00:00,1.56,68.16,18.59,78.5,97.09,9.57,18-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Nov-2019 - 00:00,1.83,65.76,19.04,74.78,93.82,10.31,19-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Nov-2019 - 00:00,1.63,51.11,15.21,61.89,77.1,10.02,20-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Nov-2019 - 00:00,1.7,45.48,13.73,56.25,69.98,9.88,21-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Nov-2019 - 00:00,2.03,76.09,19.87,81.11,100.98,10.28,22-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Nov-2019 - 00:00,1.85,81.81,19.84,84.63,104.47,9.93,23-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Nov-2019 - 00:00,1.61,62.9,20.12,87.99,108.11,9.47,24-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Nov-2019 - 00:00,,,,,,,25-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Nov-2019 - 00:00,2.03,84.82,19.93,91.65,111.58,10.07,26-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Nov-2019 - 00:00,1.76,67.65,15.6,76.07,91.68,9.93,27-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Nov-2019 - 00:00,1.82,57.95,21.48,88.04,109.51,10.06,28-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Nov-2019 - 00:00,1.77,57.63,21.03,65.17,86.19,9.67,29-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Nov-2019 - 00:00,1.79,73.9,21.82,40.05,61.86,9.62,30-Nov-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Nov-2019 - 00:00,1.93,66.27,21.13,35.35,56.43,9.86,01-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Dec-2019 - 00:00,1.78,41.09,,,,9.69,02-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Dec-2019 - 00:00,1.75,50.55,17.37,28.68,46.02,10.36,03-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Dec-2019 - 00:00,1.65,73.36,37.04,65.26,102.31,9.6,04-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Dec-2019 - 00:00,1.72,80.91,14.41,33.47,47.74,9.87,05-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Dec-2019 - 00:00,,,,,,,06-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Dec-2019 - 00:00,1.86,138.67,10.6,39.01,49.6,9.78,07-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Dec-2019 - 00:00,1.79,89.68,10.38,40.1,50.48,10.06,08-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Dec-2019 - 00:00,1.77,82.89,8.58,34.31,42.89,9.61,09-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Dec-2019 - 00:00,1.88,95.04,8.09,32.95,41.03,9.71,10-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Dec-2019 - 00:00,1.75,95.12,7.88,33.86,41.74,9.75,11-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Dec-2019 - 00:00,0.54,110.83,4.87,26.25,8.55,10.53,12-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Dec-2019 - 00:00,2.05,131.82,6.77,31.34,38.11,10.06,13-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Dec-2019 - 00:00,1.91,103.69,6.44,26.42,32.86,9.58,14-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Dec-2019 - 00:00,1.81,84.14,8.16,29.39,37.55,9.99,15-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Dec-2019 - 00:00,,,,,,,16-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Dec-2019 - 00:00,,,,,,,17-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Dec-2019 - 00:00,1.92,104.74,12.71,49.53,62.24,10.44,18-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Dec-2019 - 00:00,1.8,100.5,11.79,45.52,57.31,9.87,19-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Dec-2019 - 00:00,1.79,102.17,14.23,49.73,63.96,10.19,20-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Dec-2019 - 00:00,1.87,111.33,16.43,55.66,72.09,10.14,21-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Dec-2019 - 00:00,1.79,103.48,11.42,46.21,57.63,10.13,22-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Dec-2019 - 00:00,1.77,108.87,11.79,47.15,58.95,9.99,23-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Dec-2019 - 00:00,1.77,118.38,13.08,51.84,64.92,9.81,24-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Dec-2019 - 00:00,1.84,104.57,14.39,52.01,66.4,10.22,25-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Dec-2019 - 00:00,1.75,99.52,13.66,49.91,63.57,9.99,26-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Dec-2019 - 00:00,1.74,104.31,10.92,46.76,57.69,9.9,27-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Dec-2019 - 00:00,1.75,106.63,12.5,50.16,62.66,9.87,28-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Dec-2019 - 00:00,1.8,93.48,12.14,47.99,60.13,9.85,29-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Dec-2019 - 00:00,1.77,98.73,11.48,48.0,59.49,10.09,30-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Dec-2019 - 00:00,1.87,98.29,11.7,48.39,60.09,10.33,31-Dec-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Dec-2019 - 00:00,1.02,107.49,4.37,26.55,30.91,7.98,01-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
