from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
24-Jan-2019 - 00:00,0.55,0.0,0.0,760.6,1.49,102.04,65.25,0.0,60.33,178.78,18.23,99.67,1.67,0.59,29.78,20.54,29.79,50.33,45.83,3.89,25-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jan-2019 - 00:00,0.5,0.0,0.0,761.2,1.21,81.76,42.81,0.0,52.91,187.87,15.99,64.12,1.32,0.59,24.74,20.15,29.74,49.88,36.06,2.72,26-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jan-2019 - 00:00,0.47,0.0,0.0,761.25,1.22,99.05,42.54,0.0,36.93,195.53,15.67,59.2,1.36,0.55,33.57,23.71,39.14,62.84,39.83,4.88,27-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jan-2019 - 00:00,0.57,0.01,0.0,760.73,1.26,110.42,53.93,0.0,35.42,214.07,15.75,56.77,1.38,0.58,35.93,27.86,39.28,66.55,46.68,5.11,28-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jan-2019 - 00:00,0.74,0.01,0.0,760.8,1.48,116.99,69.02,0.0,35.9,219.46,16.26,78.88,1.23,0.69,31.37,28.81,34.93,63.73,43.74,5.42,29-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jan-2019 - 00:00,0.76,0.0,0.0,759.75,1.68,99.3,56.29,0.0,35.5,216.37,16.62,80.69,1.32,0.7,29.21,26.43,35.69,62.02,44.98,5.16,30-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jan-2019 - 00:00,1.44,0.21,0.11,757.86,1.59,128.55,66.84,0.0,30.66,215.65,18.63,153.45,1.04,1.16,28.93,27.19,35.14,62.37,38.26,8.95,31-Jan-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Jan-2019 - 00:00,1.01,0.02,0.0,758.36,2.08,124.17,62.94,0.0,37.65,198.38,20.03,221.35,1.51,0.75,31.59,26.54,33.8,59.94,38.86,10.13,01-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Feb-2019 - 00:00,0.66,0.0,0.0,761.68,1.14,100.73,47.61,0.0,59.87,209.82,16.43,193.4,1.68,0.58,30.68,22.29,32.99,54.99,44.58,4.9,02-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Feb-2019 - 00:00,0.66,0.0,0.0,761.09,1.43,87.8,55.17,0.0,57.01,214.24,15.53,49.86,1.37,0.64,22.01,17.27,20.73,37.7,44.83,4.33,03-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Feb-2019 - 00:00,0.63,0.0,0.0,760.73,1.54,100.57,58.11,0.0,46.65,215.75,17.35,59.47,1.37,0.6,24.84,18.3,21.44,38.83,49.25,6.01,04-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Feb-2019 - 00:00,1.07,0.08,0.03,760.12,1.92,122.26,73.75,0.0,43.85,220.18,22.21,157.54,1.29,0.97,34.82,26.21,32.78,59.44,48.89,9.6,05-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Feb-2019 - 00:00,1.33,0.09,0.03,759.06,2.86,139.69,69.57,0.0,41.82,205.61,23.92,193.62,1.32,0.95,42.93,32.3,40.47,72.77,37.08,25.58,06-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Feb-2019 - 00:00,1.08,0.01,0.0,757.06,2.42,103.51,44.6,0.0,34.45,209.41,22.13,219.64,1.27,0.67,28.89,21.24,29.65,51.16,40.14,17.3,07-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Feb-2019 - 00:00,0.57,0.0,0.0,756.72,1.69,162.97,75.48,0.03,30.19,207.64,18.97,233.55,2.23,0.47,26.34,18.75,28.04,46.8,41.0,20.76,08-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
