from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2019 - 00:00,14.17,581.72,407.94,996.7,143.6,0.3,66.98,67.61,11.91,52.13,73.21,66.69,100.93,146.2,20.38,23.52,2.98,02-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Jan-2019 - 00:00,15.09,631.64,465.07,996.93,147.98,0.38,70.84,64.04,12.18,57.4,84.44,98.53,116.32,176.16,20.94,22.56,3.66,03-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Jan-2019 - 00:00,14.65,605.65,437.71,997.89,68.32,0.47,74.92,65.04,10.62,56.15,98.68,37.34,91.1,114.19,19.11,18.9,3.13,04-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Jan-2019 - 00:00,12.6,510.71,313.42,996.86,84.08,0.44,82.75,51.5,9.54,46.22,77.6,38.64,72.73,70.16,10.2,13.05,3.07,05-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Jan-2019 - 00:00,14.42,502.12,295.88,995.23,180.23,0.72,70.37,64.87,10.09,42.58,72.41,61.34,78.75,89.64,21.11,17.32,3.1,06-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Jan-2019 - 00:00,14.96,324.25,202.5,994.78,82.96,0.52,76.15,61.86,7.94,31.72,73.86,16.63,64.37,45.93,24.59,16.88,2.29,07-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Jan-2019 - 00:00,14.36,412.22,247.04,996.44,50.34,0.56,78.66,68.51,9.67,46.21,79.37,30.15,69.73,61.68,16.93,19.39,2.66,08-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Jan-2019 - 00:00,14.51,320.94,192.0,994.56,44.62,0.6,72.2,71.23,7.54,36.61,59.72,17.9,64.24,48.47,15.43,19.59,2.16,09-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Jan-2019 - 00:00,14.51,316.17,193.83,993.83,25.21,0.73,64.16,77.48,6.98,31.99,44.12,21.87,66.99,51.25,19.16,21.74,1.81,10-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Jan-2019 - 00:00,14.39,352.92,253.04,993.57,84.18,0.49,64.61,90.95,7.43,38.47,43.64,38.53,79.05,87.63,30.19,24.08,3.56,11-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Jan-2019 - 00:00,13.9,477.17,346.74,995.19,105.73,0.23,73.48,74.1,9.33,63.75,63.06,100.66,92.05,162.0,29.67,19.56,2.45,12-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Jan-2019 - 00:00,15.08,527.67,280.96,994.24,160.31,0.37,69.17,73.41,10.34,56.89,71.61,100.1,104.35,144.32,32.62,17.95,3.52,13-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
