from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,11.33,994.75,453.88,284.81,76.01,83.0,54.53,102.87,0.66,3.22,8.81,57.88,198.33,93.38,211.03,8.54,14.54,02-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
02-Jan-2019 - 00:00,13.1,994.95,444.79,290.07,79.19,76.1,42.2,60.31,0.68,2.94,7.11,61.17,164.91,90.41,183.96,19.26,12.28,03-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
03-Jan-2019 - 00:00,13.05,995.99,539.16,377.3,77.13,84.01,49.04,155.8,1.14,3.56,8.15,62.28,226.49,98.28,236.82,7.65,11.25,04-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
04-Jan-2019 - 00:00,12.46,994.86,430.58,261.42,82.45,60.46,41.15,190.84,0.88,2.43,7.15,73.21,137.53,83.83,156.48,6.75,10.22,05-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
05-Jan-2019 - 00:00,12.97,993.24,358.33,216.21,76.37,77.73,32.46,64.76,1.4,2.05,5.52,53.99,99.17,69.24,117.66,27.19,9.91,06-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
06-Jan-2019 - 00:00,14.47,992.78,281.62,176.69,78.87,73.96,30.7,203.12,1.23,1.61,5.14,67.46,80.45,72.63,104.2,21.75,10.05,07-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
07-Jan-2019 - 00:00,13.51,994.49,372.9,214.06,82.45,87.02,43.12,210.77,0.89,2.04,6.2,73.81,175.46,80.84,191.09,8.25,11.39,08-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
08-Jan-2019 - 00:00,14.47,992.62,333.23,191.5,73.64,91.76,30.12,216.09,1.37,1.78,4.49,73.35,148.19,88.55,167.94,8.55,11.88,09-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
09-Jan-2019 - 00:00,14.61,991.92,324.65,176.88,64.24,96.0,29.31,214.86,1.65,1.92,4.36,64.92,137.58,86.71,158.28,11.31,11.81,10-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
10-Jan-2019 - 00:00,12.47,991.66,312.02,168.44,72.85,91.44,34.02,163.26,0.93,2.12,5.14,58.09,149.05,80.11,164.33,8.17,11.5,11-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
11-Jan-2019 - 00:00,11.56,993.16,371.48,241.52,77.84,80.78,54.73,99.23,0.61,2.94,9.41,68.9,131.75,79.7,152.4,13.68,11.41,12-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
12-Jan-2019 - 00:00,13.0,992.21,384.02,259.54,76.39,77.54,56.38,71.52,0.87,2.86,9.69,68.06,143.31,88.43,163.88,24.05,12.72,13-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
13-Jan-2019 - 00:00,15.96,994.1,404.85,258.23,71.57,71.69,53.13,186.03,0.89,2.32,8.34,77.39,126.55,97.26,155.01,13.63,11.74,14-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
14-Jan-2019 - 00:00,14.21,993.93,215.17,102.02,52.75,96.15,31.22,226.15,1.97,1.32,3.7,56.22,87.01,73.39,109.98,14.75,11.08,15-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
15-Jan-2019 - 00:00,11.93,992.96,294.35,159.04,62.38,80.55,37.04,178.87,1.55,1.7,5.26,55.69,120.15,79.42,139.62,11.45,15.29,16-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
16-Jan-2019 - 00:00,10.54,992.84,352.71,229.75,79.24,72.12,43.64,62.77,0.81,2.51,6.95,57.15,131.55,79.64,149.61,16.5,15.27,17-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
17-Jan-2019 - 00:00,12.29,991.68,537.92,353.65,75.81,82.26,72.78,157.79,0.67,3.8,14.3,67.03,189.94,107.43,212.19,9.43,17.12,18-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
18-Jan-2019 - 00:00,11.19,992.11,431.94,253.75,80.19,96.65,62.05,134.7,0.77,2.85,10.86,63.36,169.56,83.33,182.22,7.15,10.84,19-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
19-Jan-2019 - 00:00,13.51,991.83,434.62,238.33,73.15,96.48,62.55,111.4,0.66,3.19,9.22,59.14,194.98,94.65,209.79,6.55,11.8,20-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
20-Jan-2019 - 00:00,16.6,990.75,392.44,219.08,71.73,95.8,70.58,101.37,0.55,3.39,9.45,58.74,172.99,113.46,201.25,12.25,16.33,21-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
21-Jan-2019 - 00:00,16.35,987.97,231.06,128.56,79.19,45.73,26.47,53.79,3.14,1.27,4.06,59.55,40.57,60.67,65.42,20.67,8.84,22-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
22-Jan-2019 - 00:00,14.88,988.82,73.88,47.94,92.56,59.28,19.08,150.47,2.08,0.82,2.22,47.24,31.18,47.67,50.76,18.38,7.17,23-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
23-Jan-2019 - 00:00,13.36,992.24,315.44,162.27,89.0,94.96,56.41,167.89,0.73,2.45,9.04,56.63,142.43,69.63,153.16,7.73,10.02,24-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
24-Jan-2019 - 00:00,14.98,994.27,249.04,126.35,80.88,72.2,48.3,193.84,1.14,1.63,7.03,59.07,112.49,68.46,128.02,18.07,12.03,25-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
25-Jan-2019 - 00:00,14.46,994.43,216.19,105.4,74.86,99.14,43.32,253.42,1.21,1.2,4.67,52.51,91.05,73.99,113.64,14.41,12.02,26-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
26-Jan-2019 - 00:00,13.53,996.96,236.18,132.85,61.94,117.18,26.57,235.41,1.33,1.05,4.4,49.93,72.95,69.21,96.17,18.42,12.97,27-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
27-Jan-2019 - 00:00,12.33,997.01,272.61,158.83,63.33,88.22,27.63,223.86,1.54,1.29,3.6,51.06,101.33,76.56,123.69,11.47,13.52,28-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
28-Jan-2019 - 00:00,13.25,996.68,278.39,143.3,55.03,114.29,27.82,223.36,1.75,1.46,3.75,49.62,117.96,82.51,140.42,13.77,15.04,29-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
29-Jan-2019 - 00:00,12.93,995.15,304.2,158.14,60.22,113.59,41.99,203.16,1.38,1.91,6.3,53.27,131.82,78.51,148.87,13.06,15.76,30-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
30-Jan-2019 - 00:00,12.41,993.82,385.42,214.9,69.65,94.27,53.93,185.45,0.81,2.38,7.49,58.63,167.54,83.86,181.01,11.61,17.33,31-Jan-2019 - 00:00,"Pusa, Delhi - DPCC"
31-Jan-2019 - 00:00,14.3,992.65,297.15,182.12,68.76,81.92,40.41,76.46,1.65,1.87,5.57,58.58,92.84,70.0,113.02,21.71,13.05,01-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
01-Feb-2019 - 00:00,15.46,993.31,279.33,183.62,75.29,88.77,27.45,147.56,1.45,1.53,4.03,64.76,74.9,70.68,98.58,12.64,12.07,02-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
02-Feb-2019 - 00:00,13.13,993.53,337.86,213.74,86.68,75.33,32.61,219.54,1.59,1.65,4.65,63.67,102.95,67.0,119.6,9.37,8.2,03-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
03-Feb-2019 - 00:00,13.29,994.62,260.91,153.59,88.45,90.95,32.09,191.15,1.1,1.42,4.17,58.34,82.93,54.75,96.3,8.86,7.69,04-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
04-Feb-2019 - 00:00,13.59,995.05,246.54,124.43,79.93,117.02,35.58,147.84,0.77,1.94,4.99,53.02,140.11,78.24,155.55,10.54,10.04,05-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
05-Feb-2019 - 00:00,15.32,992.36,291.77,178.29,79.24,93.34,51.63,71.03,0.91,2.72,7.38,52.68,141.97,73.63,154.6,25.92,15.53,06-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
06-Feb-2019 - 00:00,17.92,987.29,235.68,151.21,83.76,95.76,23.37,78.43,1.65,1.5,3.55,60.67,66.32,60.93,86.51,17.78,9.95,07-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
07-Feb-2019 - 00:00,16.03,985.54,99.13,58.79,91.87,26.97,14.3,93.4,3.02,0.83,2.16,52.46,39.78,43.84,55.73,23.06,7.82,08-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
08-Feb-2019 - 00:00,13.87,991.42,232.11,84.82,73.59,131.04,33.79,197.83,1.19,1.41,3.58,57.55,129.39,73.31,144.35,8.69,12.01,09-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
09-Feb-2019 - 00:00,14.05,993.59,237.21,94.35,69.49,144.77,30.64,207.05,1.62,1.33,3.37,55.56,96.46,68.05,115.07,14.76,12.0,10-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
10-Feb-2019 - 00:00,13.4,995.01,301.02,152.35,75.94,109.24,41.25,173.62,0.84,1.94,5.06,,155.92,71.15,164.8,10.79,14.26,11-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
11-Feb-2019 - 00:00,13.98,995.43,338.62,179.56,76.94,113.72,51.75,144.99,0.57,2.67,6.78,54.26,171.44,83.3,185.82,13.51,17.21,12-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
12-Feb-2019 - 00:00,15.9,995.44,378.27,211.69,79.48,89.8,63.58,145.83,0.58,2.66,8.07,72.02,143.99,94.67,167.94,22.66,16.38,13-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
13-Feb-2019 - 00:00,17.49,994.43,289.58,166.51,75.69,103.07,33.91,98.95,0.65,1.86,4.81,72.49,98.36,90.62,127.93,19.75,13.35,14-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
14-Feb-2019 - 00:00,16.93,990.17,214.28,143.2,82.78,63.78,19.31,79.87,2.49,1.21,2.98,59.68,29.67,59.34,55.69,23.32,9.81,15-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
15-Feb-2019 - 00:00,16.86,990.64,240.15,134.73,80.91,89.92,25.86,163.63,1.31,1.43,3.45,57.17,80.75,69.58,102.62,9.41,13.32,16-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
16-Feb-2019 - 00:00,16.12,992.16,235.6,122.54,83.84,76.78,29.27,229.06,1.62,1.45,3.63,32.18,87.93,58.5,103.0,12.61,11.53,17-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
17-Feb-2019 - 00:00,16.15,989.06,215.18,107.26,78.11,157.65,26.44,205.45,1.4,1.37,3.01,,80.19,67.41,101.06,18.57,13.19,18-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
18-Feb-2019 - 00:00,17.99,984.36,185.19,92.22,69.57,126.18,21.45,102.45,1.39,1.32,2.53,26.15,78.43,67.28,99.59,24.56,13.54,19-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
19-Feb-2019 - 00:00,18.03,987.1,260.88,120.25,78.84,142.4,31.05,140.24,0.64,1.8,4.98,35.78,89.21,84.51,119.71,18.2,13.02,20-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
20-Feb-2019 - 00:00,18.52,992.73,191.14,85.42,79.87,59.11,24.56,62.26,1.81,1.37,3.42,26.44,58.07,65.7,83.81,12.35,16.79,21-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
21-Feb-2019 - 00:00,20.02,991.16,154.29,51.67,74.41,148.71,19.6,87.83,1.49,1.14,2.79,25.97,59.25,52.0,75.61,25.65,14.47,22-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
22-Feb-2019 - 00:00,19.51,991.77,178.69,71.52,68.85,156.31,26.86,233.85,2.1,1.07,3.72,41.62,75.57,59.69,93.06,15.77,12.81,23-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
23-Feb-2019 - 00:00,17.32,990.12,153.98,62.03,56.68,183.58,26.59,233.73,2.13,1.04,4.38,31.81,71.36,69.48,95.41,25.25,16.59,24-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
24-Feb-2019 - 00:00,17.4,986.85,196.82,97.69,59.16,176.27,35.42,201.55,1.16,1.19,4.32,48.7,70.63,79.5,99.96,24.42,19.31,25-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
25-Feb-2019 - 00:00,15.83,986.25,145.09,69.52,70.94,124.4,27.18,96.82,1.18,1.1,3.54,23.07,51.59,53.34,70.45,33.64,13.6,26-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
26-Feb-2019 - 00:00,15.11,987.04,126.58,52.0,72.38,100.06,17.65,135.61,1.42,0.74,2.58,27.03,30.64,41.4,47.03,30.08,16.24,27-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
27-Feb-2019 - 00:00,12.94,987.43,108.75,48.08,82.39,72.97,24.5,246.51,1.06,0.65,2.64,23.28,29.08,50.33,50.33,16.88,15.93,28-Feb-2019 - 00:00,"Pusa, Delhi - DPCC"
28-Feb-2019 - 00:00,14.11,990.99,196.66,91.43,70.19,182.57,48.31,174.1,1.25,1.39,4.98,26.53,110.78,66.49,125.74,19.66,15.83,01-Mar-2019 - 00:00,"Pusa, Delhi - DPCC"
01-Mar-2019 - 00:00,15.24,991.35,205.55,90.51,66.34,195.78,55.57,201.02,0.97,1.58,7.34,21.05,126.13,69.18,139.58,19.88,15.98,02-Mar-2019 - 00:00,"Pusa, Delhi - DPCC"
02-Mar-2019 - 00:00,14.86,991.73,166.16,92.09,86.39,39.83,40.06,116.1,1.07,1.4,5.96,35.4,91.55,73.7,113.84,11.03,14.25,03-Mar-2019 - 00:00,"Pusa, Delhi - DPCC"
03-Mar-2019 - 00:00,16.51,988.44,118.98,59.31,87.02,136.79,15.59,96.6,1.26,1.01,2.5,,34.75,49.31,54.55,26.45,10.96,04-Mar-2019 - 00:00,"Pusa, Delhi - DPCC"
04-Mar-2019 - 00:00,18.26,985.59,208.66,95.86,79.97,158.0,39.12,207.64,1.2,1.66,5.74,16.99,110.69,60.76,122.61,19.8,11.47,05-Mar-2019 - 00:00,"Pusa, Delhi - DPCC"
