from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,13.35,995.84,31.42,95.8,232.59,0.69,577.95,373.61,5.07,43.09,67.84,76.18,123.79,143.04,2.81,25.4,26.78,02-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Jan-2019 - 00:00,15.18,996.09,29.97,84.02,157.8,0.77,653.15,440.58,6.86,61.56,77.78,97.59,117.18,157.78,3.73,23.98,28.33,03-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Jan-2019 - 00:00,13.36,997.17,40.93,94.31,303.31,0.94,593.27,423.61,4.59,44.96,73.1,48.82,40.42,67.24,2.07,27.5,20.41,04-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Jan-2019 - 00:00,11.96,996.07,44.51,70.77,252.63,1.05,430.04,281.08,3.5,32.48,52.96,38.83,36.89,50.61,0.86,21.48,20.75,05-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Jan-2019 - 00:00,14.6,994.48,26.88,90.24,102.77,1.56,479.56,311.5,5.21,44.26,63.08,70.27,67.0,91.99,1.58,28.79,23.72,06-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Jan-2019 - 00:00,14.7,993.95,19.62,79.33,191.63,1.78,256.18,180.23,2.93,31.03,59.72,35.61,12.48,29.14,,44.48,19.82,07-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Jan-2019 - 00:00,12.88,995.69,46.11,89.59,306.62,1.23,321.46,225.71,4.11,23.97,59.97,41.13,42.66,56.58,0.0,8.57,19.21,08-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Jan-2019 - 00:00,13.51,993.82,29.19,97.92,,,261.96,191.12,,,50.89,66.21,30.12,59.8,,1.95,29.2,09-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Jan-2019 - 00:00,13.63,993.13,22.3,105.02,330.43,1.92,267.18,181.11,2.95,24.02,45.63,47.14,7.56,31.24,,29.62,28.41,10-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Jan-2019 - 00:00,13.67,992.87,15.23,101.79,275.19,1.08,345.6,204.66,4.43,33.14,47.75,63.94,71.82,114.79,,38.88,25.46,11-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Jan-2019 - 00:00,13.71,994.43,30.75,85.15,166.18,0.67,513.56,340.1,7.82,74.78,61.35,92.6,160.27,189.43,,30.79,23.22,12-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Jan-2019 - 00:00,15.11,993.47,25.44,80.16,186.94,0.8,569.62,359.02,7.48,67.05,65.76,115.32,189.95,215.81,,38.64,16.7,13-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Jan-2019 - 00:00,16.34,995.4,12.7,76.8,232.32,1.84,432.83,291.25,4.5,39.0,63.87,58.01,36.07,60.26,,48.28,20.79,14-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Jan-2019 - 00:00,13.13,995.21,0.31,114.59,323.97,1.99,175.34,114.04,3.4,29.31,40.39,34.44,4.39,21.88,,42.19,22.12,15-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Jan-2019 - 00:00,11.44,994.21,4.3,85.08,286.07,1.41,280.53,175.91,3.44,23.47,36.85,52.32,60.39,77.03,,33.19,24.76,16-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Jan-2019 - 00:00,12.7,994.18,30.81,80.62,164.99,0.74,611.02,379.66,3.45,29.43,57.48,110.61,141.2,169.18,,20.41,28.67,17-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Jan-2019 - 00:00,13.58,992.97,27.68,88.24,271.12,1.19,584.27,403.07,0.0,0.0,64.38,80.57,98.75,130.02,,36.24,23.35,18-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Jan-2019 - 00:00,12.6,993.45,37.77,105.42,295.28,0.88,473.66,321.42,,,52.18,65.0,51.85,76.77,,31.52,16.44,19-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Jan-2019 - 00:00,15.16,993.16,26.82,100.2,252.4,0.73,511.34,312.32,,,50.86,86.36,81.09,104.72,,43.24,24.25,20-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Jan-2019 - 00:00,18.3,992.14,20.41,96.21,182.74,0.6,682.38,407.92,,,64.75,147.26,214.27,290.88,,54.84,21.75,21-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Jan-2019 - 00:00,17.45,989.33,17.75,46.63,115.52,2.78,350.42,206.88,,,63.0,78.59,80.92,108.71,,50.16,21.07,22-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Jan-2019 - 00:00,14.91,990.15,51.64,51.95,103.54,2.48,76.58,58.83,,,39.93,43.86,6.21,28.38,,38.61,7.65,23-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Jan-2019 - 00:00,13.41,993.61,54.69,102.66,268.39,0.92,269.7,180.32,,,38.29,50.86,54.69,71.71,,17.77,12.88,24-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Jan-2019 - 00:00,15.57,995.68,12.57,90.29,161.95,1.96,214.25,129.35,,,51.28,38.75,13.95,31.97,,35.18,14.62,25-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Jan-2019 - 00:00,13.99,995.79,11.95,101.79,238.63,2.09,144.09,96.59,,,43.7,33.0,3.14,20.13,,47.74,19.71,26-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Jan-2019 - 00:00,12.57,998.24,11.51,127.02,326.42,2.16,192.51,135.49,,,42.34,31.5,4.19,20.17,,48.13,17.16,27-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Jan-2019 - 00:00,11.36,998.26,8.16,91.76,323.66,1.93,231.3,172.55,,,43.32,35.51,3.5,21.74,,41.92,30.26,28-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Jan-2019 - 00:00,11.98,997.93,0.5,126.98,326.26,2.25,222.29,160.75,,,42.73,37.89,5.13,24.33,,44.39,24.08,29-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Jan-2019 - 00:00,12.62,996.42,0.29,127.52,322.6,1.77,268.06,182.14,,,48.6,46.07,24.64,44.63,,39.77,25.44,30-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Jan-2019 - 00:00,13.53,995.15,0.54,101.41,269.67,1.01,398.2,267.88,,,58.01,70.94,89.68,110.81,3.55,33.26,31.77,31-Jan-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Jan-2019 - 00:00,15.41,993.98,3.36,87.38,119.93,1.8,378.17,231.12,,,61.25,79.17,73.38,101.97,0.8,43.2,26.24,01-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Feb-2019 - 00:00,15.19,994.71,14.86,90.81,207.78,1.67,289.34,212.01,,,65.69,54.64,21.38,46.47,3.41,29.44,21.0,02-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Feb-2019 - 00:00,12.1,994.91,54.57,75.03,300.51,1.46,257.48,187.96,,,51.27,28.38,4.82,18.9,2.09,36.34,12.04,03-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Feb-2019 - 00:00,13.24,995.93,47.87,95.65,295.28,1.23,230.99,151.85,,,44.04,33.94,28.31,41.14,2.37,34.31,13.22,04-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Feb-2019 - 00:00,14.14,996.42,35.44,128.24,272.85,0.96,303.46,174.25,,,45.96,59.94,96.01,111.22,2.95,32.94,18.34,05-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Feb-2019 - 00:00,17.23,993.76,18.43,102.78,145.87,0.98,508.33,300.04,,,68.6,105.06,193.08,213.27,5.02,62.46,31.27,06-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Feb-2019 - 00:00,19.01,988.67,9.9,98.31,133.28,1.99,274.88,185.83,,,61.79,74.84,51.6,81.92,2.91,43.88,20.71,07-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Feb-2019 - 00:00,16.45,986.83,10.51,25.16,158.79,3.34,105.88,63.92,,,36.9,38.53,8.01,27.05,1.93,35.65,12.79,08-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Feb-2019 - 00:00,14.07,992.7,16.17,144.75,294.76,1.71,156.08,82.33,,,30.6,33.92,16.43,31.46,1.85,43.44,16.51,09-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Feb-2019 - 00:00,13.56,994.88,5.32,153.07,321.85,1.79,184.27,112.02,,,31.28,26.17,17.99,28.61,1.98,45.58,18.66,10-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Feb-2019 - 00:00,14.3,996.31,8.06,116.68,285.92,1.07,339.68,198.49,,,45.07,38.54,34.11,48.34,2.51,41.23,28.45,11-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Feb-2019 - 00:00,14.96,996.78,18.96,125.47,275.29,0.86,392.22,219.89,,,51.84,47.64,86.14,95.56,3.06,44.03,26.96,12-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
