from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
12-Feb-2019 - 00:00,16.77,996.86,10.05,104.52,200.19,0.99,408.2,238.73,,,64.5,52.36,53.42,71.37,2.95,57.74,29.91,13-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Feb-2019 - 00:00,18.6,995.91,11.96,101.5,148.67,0.81,394.92,220.1,,,65.02,85.14,95.26,122.93,3.61,52.55,24.95,14-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Feb-2019 - 00:00,17.97,991.6,2.62,52.3,130.42,2.71,238.68,164.35,,,53.52,53.16,19.86,44.48,2.55,33.95,18.16,15-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Feb-2019 - 00:00,16.4,992.1,19.69,91.97,223.57,1.67,209.11,147.08,,,44.82,34.8,15.94,31.48,1.52,36.06,19.9,16-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Feb-2019 - 00:00,15.14,993.58,30.6,69.11,319.57,1.7,164.92,118.0,,,37.54,23.03,3.32,14.77,0.69,35.74,13.33,17-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Feb-2019 - 00:00,15.69,990.46,29.17,139.76,305.5,1.57,181.5,118.56,,,33.67,34.66,11.56,27.84,0.84,47.86,17.92,18-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Feb-2019 - 00:00,18.85,985.8,0.58,122.01,145.85,1.79,201.39,108.6,,,35.78,70.6,29.06,61.24,0.94,33.64,18.92,19-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Feb-2019 - 00:00,18.49,989.05,20.87,106.09,160.32,0.95,272.27,160.46,,,51.97,70.9,54.34,82.09,1.63,40.92,16.75,20-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Feb-2019 - 00:00,18.43,993.94,11.83,41.94,86.9,1.7,176.39,101.79,,,48.91,62.59,27.35,55.5,1.14,25.67,18.01,21-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Feb-2019 - 00:00,21.19,992.64,2.14,133.49,122.58,1.73,210.86,87.0,,,40.62,67.08,64.51,88.23,1.5,56.84,24.13,22-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Feb-2019 - 00:00,18.34,993.23,19.5,131.89,328.44,2.9,131.09,77.65,,,40.79,23.71,3.47,15.44,0.45,43.55,14.29,23-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Feb-2019 - 00:00,15.94,991.62,0.68,166.34,325.65,2.59,124.52,81.24,,,25.87,27.92,2.01,16.2,0.47,52.48,18.49,24-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Feb-2019 - 00:00,17.21,988.32,0.29,159.34,283.82,1.61,189.49,121.85,,,27.63,42.88,9.24,30.34,0.76,52.1,23.28,25-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Feb-2019 - 00:00,17.39,987.69,5.62,117.75,134.73,1.49,203.17,106.25,,,37.47,64.13,45.18,70.24,1.12,55.66,20.84,26-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Feb-2019 - 00:00,15.62,987.85,5.74,89.41,117.12,1.67,138.09,71.4,,,31.41,60.32,15.78,44.95,0.73,37.06,19.35,27-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Feb-2019 - 00:00,13.13,988.18,13.49,60.93,100.73,1.97,111.27,67.0,,,27.99,38.78,5.34,24.63,0.47,24.45,13.71,28-Feb-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Feb-2019 - 00:00,14.83,991.74,17.02,167.51,310.64,1.66,207.04,122.1,,,33.48,42.67,38.57,53.57,0.96,41.8,22.78,01-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Mar-2019 - 00:00,16.5,992.11,1.53,169.48,294.04,1.92,187.71,105.9,,,32.7,42.65,18.63,37.9,0.69,48.74,18.32,02-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Mar-2019 - 00:00,15.34,992.55,6.39,33.13,160.35,1.2,195.83,125.96,,,43.85,75.98,37.76,71.24,1.21,15.16,21.81,03-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Mar-2019 - 00:00,17.16,989.27,20.42,125.95,106.24,1.45,120.05,77.6,,,35.37,50.01,24.69,46.75,1.0,43.17,16.29,04-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Mar-2019 - 00:00,18.14,986.35,26.57,144.54,283.53,1.84,175.04,108.46,,,44.4,33.43,30.03,41.66,0.9,72.0,18.32,05-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Mar-2019 - 00:00,17.4,987.43,16.04,172.54,323.11,1.88,154.3,79.69,,,33.81,35.4,17.83,33.54,0.71,39.18,16.79,06-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Mar-2019 - 00:00,18.17,988.45,7.06,179.54,310.88,1.6,192.41,109.28,,,38.96,49.41,32.7,52.96,0.94,35.24,18.33,07-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Mar-2019 - 00:00,18.9,988.82,13.35,177.7,258.24,1.11,248.43,129.66,3.85,50.33,47.56,55.66,46.81,67.58,1.32,49.27,21.67,08-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Mar-2019 - 00:00,19.75,990.51,2.25,157.3,177.27,1.72,213.8,103.25,4.2,38.37,45.56,56.89,29.39,54.27,1.01,50.18,23.73,09-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Mar-2019 - 00:00,19.52,990.57,2.66,175.67,319.38,2.55,165.83,81.21,1.55,15.03,32.12,35.86,4.54,22.79,0.64,38.74,20.19,10-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Mar-2019 - 00:00,19.94,990.74,0.3,200.47,273.46,1.74,189.48,103.67,1.63,16.25,20.0,47.5,10.36,33.55,0.67,52.68,23.47,11-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Mar-2019 - 00:00,22.05,990.1,1.36,140.51,138.09,2.62,229.2,86.71,1.79,23.95,22.61,61.86,12.32,42.94,1.0,43.05,19.49,12-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Mar-2019 - 00:00,20.72,992.29,0.59,152.84,190.73,2.44,138.42,59.62,1.61,31.72,26.12,21.65,1.5,12.55,0.48,47.95,15.89,13-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Mar-2019 - 00:00,19.67,992.51,0.3,87.5,182.84,1.56,252.65,93.73,2.33,34.13,27.65,43.66,11.66,32.13,0.9,32.99,29.61,14-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Mar-2019 - 00:00,17.48,993.42,1.57,97.33,233.94,2.44,220.15,107.54,2.95,33.0,31.33,40.99,31.82,47.28,1.06,24.24,23.87,15-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Mar-2019 - 00:00,18.26,994.72,8.83,183.29,323.32,2.26,170.2,99.27,1.99,24.32,27.13,35.62,11.66,28.41,0.8,33.56,23.44,16-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Mar-2019 - 00:00,19.56,993.11,0.34,180.62,320.23,2.03,149.82,85.52,2.79,16.22,21.2,35.91,6.69,24.54,0.67,49.37,21.64,17-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Mar-2019 - 00:00,20.9,991.23,0.3,194.04,318.69,1.74,195.18,110.92,2.14,23.58,25.24,42.06,8.63,29.48,0.9,9.15,30.43,18-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Mar-2019 - 00:00,20.92,990.78,0.62,189.6,294.93,1.26,236.91,131.29,2.54,27.91,30.0,48.25,19.72,41.78,1.21,41.99,30.33,19-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Mar-2019 - 00:00,24.18,987.23,0.32,222.02,212.6,1.3,295.56,142.92,3.48,35.78,34.03,63.67,48.76,73.58,1.58,36.98,29.71,20-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Mar-2019 - 00:00,26.1,985.51,0.3,163.28,168.59,2.18,279.25,96.08,3.41,33.63,28.96,65.55,36.68,64.77,1.43,52.37,27.75,21-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Mar-2019 - 00:00,24.65,988.96,0.3,175.9,232.7,2.01,197.78,106.83,2.87,20.14,32.62,29.25,1.97,17.16,0.99,46.01,26.08,22-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Mar-2019 - 00:00,22.82,991.03,0.3,207.02,332.1,2.97,125.82,49.62,1.16,13.93,22.7,25.86,1.54,15.02,0.63,56.19,21.12,23-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Mar-2019 - 00:00,22.69,990.29,0.3,198.77,329.39,3.04,145.62,71.96,1.33,11.67,23.99,24.85,1.24,14.23,0.49,59.69,25.41,24-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Mar-2019 - 00:00,23.55,988.66,0.3,191.04,313.61,2.7,134.33,57.46,1.21,14.51,23.22,25.73,2.91,16.06,0.59,44.95,21.51,25-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Mar-2019 - 00:00,22.39,989.01,0.36,179.96,305.54,2.43,156.04,77.54,1.76,18.04,26.01,27.73,1.95,16.49,0.74,38.59,25.01,26-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Mar-2019 - 00:00,22.67,990.3,0.36,196.89,325.01,2.17,185.62,99.5,2.54,25.54,27.55,37.85,11.1,28.98,0.94,45.1,24.4,27-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Mar-2019 - 00:00,24.14,990.86,0.31,171.16,276.62,1.71,210.58,105.17,4.28,36.34,27.84,50.59,28.3,49.93,1.28,45.95,29.62,28-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Mar-2019 - 00:00,26.45,988.76,0.3,184.1,278.83,1.02,315.12,151.62,4.8,56.89,35.01,63.46,61.12,83.46,1.92,49.79,38.34,29-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Mar-2019 - 00:00,27.2,980.21,0.56,183.69,245.53,1.26,283.84,142.86,4.48,73.4,45.85,63.84,56.2,79.82,1.85,58.85,27.69,30-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Mar-2019 - 00:00,29.28,984.7,0.39,272.78,206.37,1.1,275.32,120.49,4.55,47.4,49.16,56.8,41.28,63.87,1.47,81.98,30.34,31-Mar-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Apr-2019 - 00:00,29.3,985.47,0.3,330.4,325.5,3.06,216.17,65.75,3.76,38.52,24.72,37.32,1.65,20.74,1.06,81.24,25.01,02-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Apr-2019 - 00:00,26.38,986.09,0.3,222.7,278.45,1.29,297.62,144.25,4.11,33.02,34.43,59.07,21.48,48.88,1.11,69.32,34.61,03-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Apr-2019 - 00:00,27.98,985.02,0.3,242.0,254.49,1.66,265.25,123.25,3.94,38.58,35.73,57.43,14.22,42.13,1.28,75.79,34.69,04-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Apr-2019 - 00:00,29.81,985.58,0.3,220.84,191.34,1.17,311.08,129.0,4.87,47.46,39.32,74.8,45.09,76.58,1.56,72.05,40.96,05-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Apr-2019 - 00:00,30.75,984.58,0.3,208.28,235.42,1.34,340.78,135.75,4.53,59.2,45.77,83.49,65.11,97.43,1.92,49.63,34.89,06-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Apr-2019 - 00:00,31.74,983.51,0.3,205.78,183.02,1.51,361.18,115.21,4.33,45.59,44.64,59.31,13.94,42.86,1.32,65.83,35.98,07-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Apr-2019 - 00:00,29.77,982.71,0.31,163.08,140.31,2.24,415.54,183.67,6.51,36.02,61.42,54.46,14.68,40.95,1.44,67.86,35.81,08-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Apr-2019 - 00:00,28.23,983.73,0.3,191.01,110.93,1.67,300.94,78.54,4.23,29.11,43.08,54.77,12.9,39.64,0.99,60.18,19.38,09-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Apr-2019 - 00:00,29.51,983.42,0.31,196.41,86.5,1.19,302.88,128.21,6.91,38.8,42.58,70.51,37.68,68.23,1.5,53.28,32.69,10-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Apr-2019 - 00:00,31.2,984.58,0.3,202.55,236.88,1.68,272.92,111.46,5.34,51.93,47.28,54.15,29.52,52.93,1.14,60.03,28.87,11-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Apr-2019 - 00:00,31.92,984.27,0.3,194.96,266.18,1.83,239.67,75.17,3.92,30.06,41.0,50.76,19.53,42.91,1.29,55.31,26.22,12-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Apr-2019 - 00:00,30.76,984.95,0.3,181.07,184.09,2.45,228.42,55.21,,,38.41,29.72,3.08,18.35,0.74,74.25,20.48,13-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Apr-2019 - 00:00,30.92,985.42,0.3,202.08,247.94,2.98,216.15,56.53,4.02,35.13,36.36,31.21,8.04,23.14,1.06,59.2,20.49,14-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Apr-2019 - 00:00,31.14,985.19,0.3,207.76,307.53,2.99,181.52,53.42,,,30.68,20.85,1.82,12.58,0.68,60.28,20.44,15-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Apr-2019 - 00:00,32.88,983.13,0.3,219.68,306.79,2.29,214.22,59.29,4.87,54.43,31.86,39.64,27.54,43.21,1.38,54.73,28.01,16-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Apr-2019 - 00:00,25.27,986.62,0.32,101.63,177.84,3.86,165.7,41.06,3.52,48.67,36.03,26.96,3.86,17.51,0.66,58.73,11.29,17-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Apr-2019 - 00:00,23.11,987.71,0.32,146.7,139.6,2.81,68.79,25.62,5.22,21.35,28.89,31.02,3.78,19.58,0.65,61.39,11.57,18-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Apr-2019 - 00:00,24.53,988.45,0.79,234.66,200.12,1.68,98.69,44.9,,,28.56,28.41,3.62,18.07,0.6,74.64,14.95,19-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Apr-2019 - 00:00,26.7,985.91,0.3,225.55,293.71,1.46,167.64,86.31,3.13,33.53,39.58,39.35,5.86,25.72,0.7,61.86,26.26,20-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Apr-2019 - 00:00,28.89,983.39,0.3,227.47,259.64,0.9,272.47,133.33,4.27,32.85,35.16,59.14,30.48,56.33,1.53,78.79,38.5,21-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Apr-2019 - 00:00,30.43,981.58,0.3,221.19,254.03,1.32,311.58,141.12,6.5,42.04,45.1,59.36,33.71,59.03,1.67,66.16,26.46,22-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Apr-2019 - 00:00,32.05,981.57,0.3,213.82,227.26,1.32,299.38,128.67,5.14,38.28,54.37,60.02,29.26,55.75,1.24,73.58,33.49,23-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Apr-2019 - 00:00,33.31,982.48,0.3,214.63,235.47,1.28,362.08,130.79,4.46,49.4,51.56,74.03,51.0,80.91,1.58,74.28,30.68,24-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Apr-2019 - 00:00,34.95,983.6,0.3,201.47,132.07,1.71,283.88,84.69,4.31,38.29,46.41,66.16,4.32,38.69,1.12,68.34,21.08,25-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Apr-2019 - 00:00,33.75,983.66,0.31,186.98,106.46,2.16,275.04,80.92,3.29,23.25,55.93,46.24,3.12,27.05,1.58,82.61,18.5,26-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Apr-2019 - 00:00,33.28,983.2,0.3,215.29,301.63,1.98,280.14,87.02,3.46,36.27,37.63,52.55,8.5,34.89,0.95,64.09,31.53,27-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Apr-2019 - 00:00,34.08,982.45,0.3,239.81,325.69,3.41,330.59,65.85,5.8,14.64,34.04,33.25,2.08,19.37,0.77,75.87,24.19,28-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Apr-2019 - 00:00,33.86,981.26,0.3,245.16,319.49,2.79,315.47,70.77,3.5,44.3,25.47,35.96,3.27,21.79,0.73,77.04,22.3,29-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Apr-2019 - 00:00,34.34,980.41,0.3,240.95,284.07,1.83,319.85,86.5,6.8,41.02,33.12,53.96,25.26,47.52,1.02,86.94,26.4,30-Apr-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Apr-2019 - 00:00,35.91,977.71,0.31,213.17,138.53,1.83,306.06,90.29,3.99,32.63,37.71,74.78,20.33,56.3,1.5,45.49,29.78,01-May-2019 - 00:00,"Rohini, Delhi - DPCC"
01-May-2019 - 00:00,34.14,977.15,0.3,214.23,132.77,1.33,356.95,111.9,4.95,40.93,39.35,71.58,53.96,82.05,1.95,73.4,29.66,02-May-2019 - 00:00,"Rohini, Delhi - DPCC"
02-May-2019 - 00:00,31.65,979.31,0.3,193.56,71.36,3.13,265.28,72.26,4.66,49.99,43.0,35.35,3.37,21.54,0.49,90.07,20.83,03-May-2019 - 00:00,"Rohini, Delhi - DPCC"
03-May-2019 - 00:00,30.67,981.6,0.3,212.8,105.47,2.17,142.18,58.29,4.36,39.18,32.37,44.33,5.65,28.19,0.73,90.31,18.22,04-May-2019 - 00:00,"Rohini, Delhi - DPCC"
04-May-2019 - 00:00,30.48,983.55,0.3,291.57,288.6,2.18,213.07,106.05,,,35.53,40.79,6.81,27.76,0.53,77.69,32.86,05-May-2019 - 00:00,"Rohini, Delhi - DPCC"
