from date,PM2.5,NO2,NO,NOx,SO2,CO,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
