from date,PM2.5,NO2,NO,NOx,SO2,CO,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
19-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,30-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,31-Jul-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,19-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Aug-2019 - 00:00,31.25,16.2,3.49,11.45,6.37,,33.48,73.92,0.3,-0.58,257.03,,19.47,0.0,0.88,1.72,18.69,22-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Aug-2019 - 00:00,23.62,13.4,4.26,10.59,5.7,,34.15,70.53,0.35,-0.64,179.94,,112.53,0.01,0.67,0.79,25.22,23-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Aug-2019 - 00:00,25.38,23.79,5.41,17.07,6.41,1.06,32.5,63.15,0.53,-0.31,156.41,,140.72,0.03,7.44,14.33,26.53,24-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Aug-2019 - 00:00,19.34,18.06,4.18,13.01,9.04,0.5,26.59,71.33,2.24,-1.57,184.26,,97.14,0.0,9.23,27.44,30.39,25-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Aug-2019 - 00:00,16.91,16.08,3.05,10.85,8.25,0.32,27.54,67.25,2.82,-2.16,175.47,,171.97,0.02,7.4,24.04,30.5,26-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Aug-2019 - 00:00,18.25,13.0,3.05,9.39,6.98,0.44,27.83,66.0,2.41,-1.81,181.0,,235.4,0.0,5.89,14.64,36.45,27-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Aug-2019 - 00:00,28.74,12.46,3.05,9.1,8.17,0.63,29.66,58.43,4.02,-2.85,186.31,,232.85,0.0,6.27,12.68,46.72,28-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Aug-2019 - 00:00,29.36,9.5,2.85,7.29,7.83,0.35,29.1,61.69,3.88,-2.93,187.59,,271.25,0.0,4.44,5.83,45.83,29-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Aug-2019 - 00:00,32.82,11.18,2.7,8.15,9.7,0.8,29.45,61.38,2.93,-2.25,191.66,,154.44,0.0,5.57,14.08,43.74,30-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Aug-2019 - 00:00,28.84,19.95,24.25,30.07,11.74,0.76,29.41,60.05,1.94,-1.4,196.68,,193.21,0.0,5.29,8.18,34.5,31-Aug-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Aug-2019 - 00:00,34.98,26.57,4.24,17.57,8.68,0.7,29.1,63.0,1.93,-1.6,157.2,735.0,130.1,0.0,6.18,10.8,28.88,01-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Sep-2019 - 00:00,39.25,31.65,2.29,18.59,8.44,0.7,27.56,73.27,2.49,-2.0,189.7,735.0,8.87,0.0,3.5,4.73,16.46,02-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Sep-2019 - 00:00,13.55,16.18,21.42,25.35,19.98,0.8,31.51,50.27,2.07,-1.97,176.27,735.0,406.64,0.0,6.27,11.55,42.55,04-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Sep-2019 - 00:00,17.5,5.53,12.61,12.97,12.61,0.53,30.44,54.47,3.8,-2.75,189.78,735.0,365.31,0.0,5.57,11.54,46.39,05-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Sep-2019 - 00:00,23.0,7.79,25.0,24.5,6.84,0.65,30.19,56.25,3.77,-2.56,187.9,735.0,287.05,0.0,6.17,12.54,52.67,06-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Sep-2019 - 00:00,34.25,17.71,4.1,12.74,6.83,1.56,29.28,60.88,3.1,-2.03,187.5,735.0,164.28,0.0,5.07,9.62,41.96,07-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Sep-2019 - 00:00,27.94,17.96,2.91,11.91,6.81,1.56,28.01,65.65,2.4,-1.51,176.26,735.0,26.61,0.0,3.81,7.61,30.06,08-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Sep-2019 - 00:00,20.95,12.94,2.85,9.2,5.9,1.45,28.77,62.34,3.19,-2.12,180.18,735.0,176.52,0.0,3.11,4.11,35.42,09-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Sep-2019 - 00:00,25.65,12.75,2.76,9.03,5.55,0.91,28.69,62.71,2.25,-1.63,172.07,735.0,137.94,0.0,4.78,8.09,39.74,10-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Sep-2019 - 00:00,38.2,14.22,3.0,10.01,6.58,0.21,29.15,61.44,2.45,-1.92,187.18,735.0,165.15,0.0,3.85,4.22,44.61,11-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Sep-2019 - 00:00,41.09,12.1,2.64,8.58,6.09,0.21,28.94,62.97,2.57,-1.93,184.85,735.0,164.44,0.0,4.72,7.27,45.67,12-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Sep-2019 - 00:00,37.76,11.04,2.58,7.82,5.77,0.17,28.28,65.63,3.43,-2.44,189.01,735.0,141.71,0.05,4.04,7.05,43.56,13-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Sep-2019 - 00:00,21.48,12.01,3.12,8.91,6.23,0.19,26.49,73.09,3.46,-2.42,182.03,735.0,68.09,0.01,5.27,11.48,33.76,14-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Sep-2019 - 00:00,24.45,10.54,2.73,7.83,6.03,0.2,26.96,70.2,3.04,-2.0,188.5,735.0,127.24,0.0,2.87,4.82,37.8,15-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Sep-2019 - 00:00,28.77,8.48,2.29,6.29,6.28,0.17,27.65,67.28,2.41,-1.69,199.53,735.0,128.28,0.0,2.68,3.54,43.47,16-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Sep-2019 - 00:00,23.34,14.77,4.07,11.16,6.29,0.23,27.06,71.45,1.97,-1.13,188.62,735.0,82.33,0.0,5.69,12.79,30.48,17-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Sep-2019 - 00:00,30.21,9.0,2.88,7.13,5.66,0.2,26.62,71.68,1.77,-1.41,186.94,735.0,118.4,0.0,4.57,8.69,32.24,18-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Sep-2019 - 00:00,14.48,10.28,2.58,7.57,5.28,0.18,25.17,73.0,3.25,-2.15,191.25,735.0,29.5,0.0,5.65,13.8,39.3,19-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Sep-2019 - 00:00,12.98,10.02,2.95,7.73,5.11,0.16,24.31,74.0,1.81,-0.99,160.72,735.0,16.65,0.23,7.29,22.39,29.49,20-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Sep-2019 - 00:00,38.77,23.57,4.4,16.12,7.51,0.36,27.91,64.64,1.22,-0.94,166.75,735.0,167.59,0.0,6.21,14.57,24.19,21-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Sep-2019 - 00:00,26.16,21.91,4.68,15.46,5.89,0.26,26.38,68.61,1.6,-1.01,178.39,735.0,88.59,0.16,5.32,10.68,24.17,22-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Sep-2019 - 00:00,25.93,16.52,4.9,12.73,5.27,0.24,25.26,73.14,1.61,-0.92,162.12,735.0,49.21,0.24,7.7,26.96,22.49,23-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Sep-2019 - 00:00,31.56,19.15,3.85,13.32,6.05,0.26,25.98,72.57,1.0,-0.64,144.79,735.0,59.8,0.0,9.58,27.27,22.81,24-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Sep-2019 - 00:00,25.14,19.4,4.76,14.14,5.43,0.22,25.82,71.47,2.29,-1.14,172.2,735.0,76.15,0.24,6.57,18.77,28.84,25-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Sep-2019 - 00:00,26.27,11.32,2.81,8.3,4.68,0.4,26.47,69.2,3.92,-2.44,180.84,735.0,83.13,0.0,3.96,11.15,30.67,26-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Sep-2019 - 00:00,10.5,8.67,2.66,6.72,4.72,0.31,24.7,73.77,5.53,-3.39,190.88,735.0,16.7,0.14,2.4,6.6,25.37,27-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Sep-2019 - 00:00,10.56,10.16,2.81,7.69,3.93,0.36,24.5,74.0,3.84,-2.33,193.44,735.0,20.31,0.0,2.96,9.68,22.33,28-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Sep-2019 - 00:00,13.66,8.84,2.51,6.75,4.24,0.33,24.72,72.68,4.88,-3.06,187.95,735.0,38.82,0.0,2.28,5.14,26.87,29-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Sep-2019 - 00:00,9.9,8.66,2.61,6.72,4.66,0.35,24.29,73.26,3.14,-1.9,187.81,735.0,34.44,0.0,2.2,13.42,26.65,30-Sep-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Sep-2019 - 00:00,15.67,16.49,5.85,13.45,6.02,0.56,24.24,73.46,1.18,-0.67,177.8,735.0,37.52,0.0,1.43,4.45,17.92,01-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Oct-2019 - 00:00,26.68,21.58,20.29,27.81,5.84,0.7,25.42,69.48,0.98,-0.68,188.23,735.0,115.69,0.0,1.62,3.52,19.57,02-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Oct-2019 - 00:00,29.21,18.14,4.02,12.9,6.09,0.66,25.37,71.54,1.53,-0.97,165.86,735.0,55.96,0.0,4.36,12.92,24.61,03-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Oct-2019 - 00:00,27.78,16.68,8.47,15.73,5.87,0.59,26.79,65.45,0.77,-0.56,146.27,735.0,120.36,0.0,5.86,19.73,28.81,04-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Oct-2019 - 00:00,42.81,36.46,35.83,48.53,10.57,1.14,27.57,61.67,0.74,-0.25,162.41,735.0,138.85,0.0,6.86,20.98,25.69,05-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Oct-2019 - 00:00,59.79,34.65,13.73,29.59,7.89,0.9,27.63,56.89,1.03,-0.24,145.78,735.0,159.06,0.0,5.56,16.48,46.35,06-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Oct-2019 - 00:00,61.81,37.23,20.24,36.25,8.01,0.89,27.52,55.07,0.95,-0.25,152.34,735.0,157.53,0.0,5.45,16.35,43.3,07-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Oct-2019 - 00:00,71.16,42.25,22.25,37.95,7.99,1.01,27.55,53.96,0.9,-0.23,157.51,735.0,159.75,0.0,5.86,17.62,41.27,08-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Oct-2019 - 00:00,72.29,30.35,6.26,21.23,7.71,0.85,27.45,54.15,0.73,-0.3,158.12,735.0,159.67,0.0,5.72,17.12,55.06,09-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Oct-2019 - 00:00,69.71,23.83,4.05,15.95,5.7,0.79,26.94,60.07,1.86,-1.05,213.05,735.0,116.14,0.0,5.57,14.39,46.53,10-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Oct-2019 - 00:00,64.54,30.84,5.22,20.64,7.55,0.99,27.17,58.81,1.25,-0.6,189.89,735.0,129.71,0.0,6.38,15.17,43.72,11-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Oct-2019 - 00:00,88.05,52.24,19.84,43.92,12.19,1.48,27.35,55.19,0.87,-0.31,166.67,735.0,123.26,0.0,8.97,24.72,40.25,12-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Oct-2019 - 00:00,64.31,33.85,5.94,22.65,5.31,0.81,27.51,52.8,0.82,-0.34,211.81,735.0,140.91,0.0,6.31,17.54,50.29,13-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Oct-2019 - 00:00,74.42,34.55,8.86,25.58,7.55,0.91,27.46,52.1,0.92,-0.36,191.92,735.0,141.91,0.0,5.74,14.71,54.26,14-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Oct-2019 - 00:00,74.94,34.23,6.06,23.14,7.44,0.88,27.34,52.23,1.14,-0.55,212.08,735.0,138.46,0.0,6.38,17.97,62.18,15-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Oct-2019 - 00:00,87.83,27.57,3.26,17.32,5.98,0.92,27.18,53.93,1.58,-0.81,204.96,735.0,128.51,0.0,5.81,15.12,67.59,16-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Oct-2019 - 00:00,82.58,29.99,3.9,19.1,6.54,0.94,27.14,54.6,1.39,-0.83,204.75,735.0,137.88,0.0,5.51,13.19,49.59,17-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Oct-2019 - 00:00,81.92,33.23,20.14,32.14,9.61,0.87,27.03,54.53,1.25,-0.63,221.14,735.0,133.3,0.0,6.46,17.03,39.37,18-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Oct-2019 - 00:00,78.58,30.57,10.1,24.49,6.25,0.92,26.81,56.36,1.02,-0.62,200.73,735.0,125.82,0.0,6.29,17.06,43.97,19-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Oct-2019 - 00:00,87.62,32.83,4.77,21.26,6.25,0.79,26.73,58.06,0.82,-0.43,209.68,735.0,89.11,0.0,5.64,13.82,47.09,20-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Oct-2019 - 00:00,130.9,35.85,5.04,22.81,8.81,0.44,26.24,63.62,0.39,-0.21,183.43,735.0,54.09,0.0,7.05,20.21,30.56,21-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Oct-2019 - 00:00,133.06,41.52,15.58,34.71,7.61,0.06,25.79,57.73,1.56,-0.13,158.74,735.0,84.03,0.0,7.03,18.57,35.24,22-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Oct-2019 - 00:00,106.7,57.91,32.98,57.61,10.78,0.62,25.5,50.62,1.62,-0.18,168.0,735.0,141.47,0.0,8.19,21.68,37.49,23-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Oct-2019 - 00:00,57.09,51.14,23.99,44.99,9.62,0.89,25.45,51.9,0.91,-0.35,193.31,735.0,100.36,0.0,9.04,24.52,35.3,24-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Oct-2019 - 00:00,50.1,30.87,12.62,26.03,10.26,0.75,25.77,51.95,2.04,-1.23,194.05,735.0,187.03,0.0,6.91,18.7,49.09,25-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Oct-2019 - 00:00,51.89,25.62,1.22,14.55,9.47,0.89,24.53,61.96,3.42,-1.93,200.45,735.0,116.08,0.0,5.35,12.8,33.49,26-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Oct-2019 - 00:00,39.35,32.74,7.46,23.32,11.14,0.85,24.88,59.91,1.5,-0.9,198.3,735.0,122.26,0.0,4.64,12.14,26.83,27-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Oct-2019 - 00:00,103.04,29.12,9.49,19.3,24.11,1.16,25.03,53.96,0.94,-0.17,161.0,735.54,112.59,0.0,6.78,16.13,32.02,28-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Oct-2019 - 00:00,229.42,27.59,4.46,18.3,18.3,1.01,22.38,54.36,0.46,-0.25,102.57,736.0,72.04,0.0,4.9,11.6,43.04,29-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Oct-2019 - 00:00,132.64,32.79,6.47,22.66,16.87,0.66,22.73,57.78,0.44,-0.27,125.8,736.0,92.07,0.0,5.05,11.17,39.52,30-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Oct-2019 - 00:00,187.05,48.16,19.52,41.42,19.43,0.69,22.69,60.36,0.39,-0.2,216.4,736.0,70.72,0.0,8.33,22.52,31.6,31-Oct-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Oct-2019 - 00:00,239.41,59.36,14.41,43.28,18.11,0.56,22.47,62.36,0.53,-0.17,192.79,736.0,79.48,0.0,10.15,25.17,30.59,01-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Nov-2019 - 00:00,180.84,73.23,30.89,64.07,23.78,0.56,22.82,55.86,0.53,-0.18,175.96,736.0,97.07,0.0,11.28,27.38,71.82,02-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Nov-2019 - 00:00,284.15,69.88,23.41,56.2,21.03,0.56,23.05,56.38,0.33,-0.22,195.12,736.0,84.72,0.0,10.89,27.08,99.87,03-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Nov-2019 - 00:00,349.33,48.58,16.74,39.44,16.07,0.53,22.58,58.71,1.25,-0.11,210.39,736.0,63.82,0.0,7.98,17.42,99.16,04-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Nov-2019 - 00:00,381.65,59.73,24.7,51.85,18.69,0.37,22.36,55.49,2.06,-0.1,211.28,736.0,73.25,0.0,8.25,16.91,94.23,05-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Nov-2019 - 00:00,211.22,63.11,27.32,55.76,18.65,0.42,22.19,50.51,1.93,-0.1,200.75,736.0,114.58,0.0,6.71,16.62,50.16,06-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Nov-2019 - 00:00,194.83,61.79,38.27,63.88,22.69,0.46,20.84,56.77,0.71,-0.16,201.29,736.0,40.88,0.0,10.28,27.74,13.79,07-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Nov-2019 - 00:00,203.52,65.26,63.66,86.36,21.56,0.59,21.65,55.43,0.83,-0.38,192.15,736.0,95.65,0.0,10.07,24.51,25.97,08-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Nov-2019 - 00:00,114.64,56.22,41.31,59.62,15.64,0.51,22.47,52.36,1.45,-0.62,212.92,736.0,97.51,0.0,9.58,24.07,37.3,09-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Nov-2019 - 00:00,82.35,47.98,26.86,47.3,16.35,0.47,22.76,52.59,0.6,-0.24,218.66,736.0,115.72,0.0,7.24,18.27,33.6,10-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Nov-2019 - 00:00,58.88,47.12,16.67,38.57,13.55,0.47,22.58,47.2,1.72,-0.2,220.67,736.0,128.48,0.0,6.17,16.74,27.21,11-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Nov-2019 - 00:00,82.26,51.14,13.71,38.07,16.63,0.47,21.96,45.82,2.37,-0.18,219.02,736.0,117.18,0.0,4.77,11.47,41.12,12-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Nov-2019 - 00:00,119.35,75.49,28.19,63.07,23.14,0.47,21.79,48.18,1.42,-0.16,208.26,736.0,116.45,0.0,6.76,16.26,41.0,13-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Nov-2019 - 00:00,132.91,71.4,60.97,83.47,23.72,0.47,21.54,49.68,0.55,-0.22,213.66,736.0,105.05,0.0,9.39,22.61,34.9,14-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Nov-2019 - 00:00,138.83,73.87,83.25,97.06,23.24,,21.81,51.07,0.76,-0.38,202.41,736.0,109.06,0.0,10.66,27.9,40.74,15-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Nov-2019 - 00:00,142.9,73.3,40.01,70.31,18.31,,21.7,51.85,0.51,-0.19,219.81,736.0,108.62,0.0,8.96,22.69,31.71,16-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Nov-2019 - 00:00,137.5,72.17,43.48,73.7,20.03,,21.88,52.09,0.42,-0.21,197.84,736.0,93.22,0.0,10.56,24.5,20.19,17-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Nov-2019 - 00:00,88.87,56.84,45.84,67.51,10.13,,21.63,52.45,2.51,-0.1,213.12,736.0,116.47,0.0,5.4,12.7,14.85,18-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Nov-2019 - 00:00,72.17,53.41,26.12,49.64,14.7,,20.96,48.52,2.64,-0.17,218.37,736.0,115.36,0.0,4.25,10.21,16.58,19-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Nov-2019 - 00:00,103.28,76.7,58.75,88.58,20.94,,20.68,50.25,1.3,-0.14,205.09,736.0,102.15,0.0,6.34,15.24,12.54,20-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Nov-2019 - 00:00,168.55,68.07,25.97,57.27,18.47,,20.89,50.73,0.49,-0.21,203.35,736.0,94.52,0.0,7.25,17.03,28.53,21-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Nov-2019 - 00:00,123.39,69.42,24.77,56.59,16.04,,20.91,52.79,0.56,-0.26,222.39,736.0,87.27,0.0,8.31,21.3,27.6,22-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Nov-2019 - 00:00,164.74,86.68,24.23,64.55,16.41,,20.76,55.99,0.61,-0.15,199.49,736.0,89.02,0.0,7.28,17.95,19.96,23-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Nov-2019 - 00:00,129.57,72.04,30.42,63.02,15.6,,20.82,52.06,1.77,-0.15,192.89,736.0,106.32,0.0,6.06,13.05,15.08,24-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Nov-2019 - 00:00,107.58,39.52,12.04,30.81,16.07,,21.09,54.99,1.79,-0.17,221.11,736.0,99.72,0.0,5.41,13.0,19.44,25-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
