from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
31-Jan-2019 - 00:00,23.38,7.76,14.03,2.57,3.59,0.68,71.62,49.05,91.5,0.23,23.13,62.85,717.41,1.33,112.65,01-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Feb-2019 - 00:00,31.33,7.34,20.5,5.34,3.08,0.77,68.22,55.59,107.14,0.28,22.85,60.67,717.14,1.71,117.83,02-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,24.64,7.52,14.38,2.18,3.28,0.63,71.31,44.7,96.46,0.24,22.9,60.2,716.2,1.55,137.14,03-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,19.51,7.91,11.06,1.46,3.08,0.59,70.95,39.64,80.03,0.22,22.8,60.46,717.36,1.08,120.09,04-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,22.46,8.49,13.98,3.12,3.27,0.63,53.44,30.83,69.94,0.19,24.91,60.97,719.16,1.2,123.47,05-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,21.12,8.3,12.46,2.12,1.35,0.64,72.6,37.65,78.17,0.18,23.05,62.1,718.72,1.08,107.22,06-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,27.54,7.42,15.86,2.11,4.89,0.68,93.24,49.44,108.1,0.22,22.92,51.43,716.56,1.48,103.79,07-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,30.94,8.05,18.74,3.43,2.43,0.81,82.85,49.29,117.14,0.29,24.09,52.92,716.34,2.24,97.36,08-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,23.6,8.92,13.41,1.71,2.62,0.64,73.94,51.31,107.14,0.28,22.88,57.23,716.58,2.64,115.18,09-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,36.91,10.38,24.67,6.81,3.24,2.83,67.94,69.35,131.05,0.34,23.32,69.25,716.68,2.74,126.7,10-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,24.11,12.31,14.43,2.6,2.29,0.73,41.77,46.24,87.16,0.22,23.63,69.24,717.82,1.75,112.64,11-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,21.98,10.44,14.19,3.69,2.32,0.66,40.43,40.27,77.57,0.16,23.52,67.3,718.65,1.14,119.92,12-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,23.45,8.26,13.88,2.36,2.65,0.62,58.47,46.76,90.23,0.17,23.21,63.33,719.46,1.08,127.85,13-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,25.93,7.83,15.5,2.7,2.24,0.66,60.34,45.4,92.79,0.19,22.92,60.12,719.98,1.2,131.15,14-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,26.64,7.89,17.36,4.54,2.51,0.71,48.6,33.69,84.94,0.23,22.7,55.96,717.53,1.53,95.06,15-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,23.83,9.01,14.74,3.16,2.76,0.67,65.04,29.91,77.72,0.21,23.27,61.12,717.38,2.1,111.96,16-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,28.93,9.3,22.54,9.4,2.78,0.92,58.7,38.31,85.31,0.31,23.13,57.2,717.0,2.7,139.42,17-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,21.63,8.36,12.58,1.93,2.52,0.66,62.7,37.78,81.26,0.23,22.81,51.92,716.02,1.76,177.61,18-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,34.65,7.41,24.39,7.94,3.13,0.83,52.77,30.91,75.32,0.35,22.64,42.81,714.41,2.57,150.46,19-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,22.48,11.94,13.12,2.04,2.88,0.71,57.94,36.01,85.79,0.2,23.34,60.72,715.09,1.64,118.01,20-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,21.08,9.68,12.88,2.68,3.15,0.62,40.28,24.99,66.09,0.16,23.69,59.17,717.92,1.07,122.72,21-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,24.91,7.73,15.33,3.16,4.9,0.57,43.55,30.1,79.81,0.17,23.24,53.28,719.65,1.16,137.96,22-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,31.45,6.69,19.78,4.38,5.08,0.59,43.26,31.67,91.05,0.22,22.94,41.24,717.86,1.4,142.64,23-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,40.36,6.6,24.66,4.54,5.17,0.7,44.53,44.09,102.17,0.32,22.5,32.75,716.12,1.88,125.76,24-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Feb-2019 - 00:00,29.62,7.3,18.27,3.71,3.52,0.57,55.33,33.82,80.53,0.29,22.19,33.5,714.86,1.54,124.13,25-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,36.14,7.73,26.06,9.03,4.23,0.82,49.69,32.15,87.52,0.32,24.1,31.94,713.81,2.25,106.74,26-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,28.05,10.67,18.65,5.18,4.61,0.78,74.12,40.26,94.26,0.3,25.04,45.38,712.93,2.59,152.01,27-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,25.67,11.57,17.66,5.56,1.84,0.82,73.5,41.07,100.23,0.28,25.38,55.25,712.27,2.19,150.58,28-Feb-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,28.61,9.27,18.37,4.5,2.16,0.77,82.74,40.82,110.3,0.29,25.14,41.95,713.23,2.35,184.95,01-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,33.68,11.86,21.66,5.24,2.86,0.9,77.04,48.0,120.68,0.36,25.17,54.92,713.38,2.78,135.21,02-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,16.97,11.48,9.78,1.54,3.05,0.57,63.91,33.66,84.79,0.16,25.11,60.93,714.35,1.13,106.45,03-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,23.65,10.16,14.08,2.47,2.52,0.68,62.58,33.56,85.48,0.23,25.16,58.58,714.2,1.6,122.19,04-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,18.27,10.55,10.21,1.22,2.98,0.68,81.07,39.89,94.84,0.23,25.21,57.12,713.15,1.65,99.59,05-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Mar-2019 - 00:00,23.13,10.52,15.61,4.68,2.38,0.87,73.89,41.94,99.81,0.31,25.25,57.66,713.11,2.35,155.42,06-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Mar-2019 - 00:00,28.64,8.58,20.02,6.51,2.35,0.94,66.13,41.62,123.62,0.34,25.64,43.29,713.48,3.04,201.53,07-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,45.14,7.83,36.57,16.07,2.69,1.22,58.64,51.17,173.01,0.56,25.24,32.3,712.8,4.52,162.52,08-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,40.79,8.1,28.47,8.96,4.35,1.03,71.5,46.29,145.52,0.43,25.42,34.35,714.25,3.39,158.76,09-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,19.29,11.21,11.1,1.64,2.41,0.69,76.52,43.83,121.73,0.25,25.27,57.33,716.09,2.03,136.83,10-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,14.02,9.75,7.85,1.09,3.57,0.52,58.0,36.97,90.09,0.18,25.25,59.38,716.08,1.45,104.92,11-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,19.39,7.96,11.26,1.78,2.98,0.55,62.91,30.56,87.18,0.18,25.49,55.35,716.9,1.5,105.96,12-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,18.73,7.09,10.76,1.6,3.95,0.54,71.73,41.06,116.96,0.19,25.25,49.46,717.06,1.59,99.74,13-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,26.01,6.46,15.24,2.34,2.71,0.68,54.13,44.39,119.04,0.23,26.6,51.95,717.64,1.85,106.46,14-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
