from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
27-Oct-2019 - 00:00,7.38,27.39,6.09,38.35,65.71,1.17,156.84,0.98,0.28,158.41,,68.55,114.24,46.95,0.94,36.55,1.28,28-Oct-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Oct-2019 - 00:00,7.31,28.72,6.61,40.99,69.71,1.16,104.79,0.98,0.28,159.85,0.25,44.61,74.35,39.76,0.93,36.64,1.41,29-Oct-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Oct-2019 - 00:00,7.31,33.5,8.53,50.55,84.05,1.16,39.23,0.97,0.28,165.33,,33.85,56.42,46.33,0.93,36.7,1.89,30-Oct-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Oct-2019 - 00:00,7.31,33.5,8.53,50.55,84.05,1.16,138.73,0.97,0.28,170.68,0.25,32.25,53.75,44.5,0.93,36.66,1.89,31-Oct-2019 - 00:00,"Karve Road, Pune - MPCB"
31-Oct-2019 - 00:00,8.27,31.34,7.91,48.74,80.07,1.1,99.45,0.94,0.28,127.31,0.25,22.16,36.93,55.38,0.86,36.4,1.83,01-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
01-Nov-2019 - 00:00,8.82,28.62,8.36,46.33,74.95,1.0,97.28,0.92,0.28,97.48,,22.91,38.19,56.69,0.83,36.45,1.7,02-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Nov-2019 - 00:00,8.55,28.08,9.16,45.79,73.87,0.98,74.97,0.92,0.28,155.33,,23.88,39.81,44.77,0.85,36.59,1.65,03-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Nov-2019 - 00:00,8.52,28.0,9.13,45.66,73.66,0.97,16.08,0.91,0.28,129.38,0.25,22.29,37.15,48.02,0.85,36.55,1.64,04-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Nov-2019 - 00:00,8.52,28.0,9.13,45.65,73.65,0.97,85.08,0.91,0.28,118.62,,28.45,47.41,49.88,0.85,36.57,1.64,05-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Nov-2019 - 00:00,9.5,27.08,8.5,43.48,70.57,0.94,105.19,0.98,0.28,124.93,0.25,37.63,62.71,49.65,0.79,36.3,1.55,06-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Nov-2019 - 00:00,10.38,26.25,7.94,41.51,67.76,0.92,101.14,1.04,0.28,144.09,0.25,39.23,65.38,51.15,0.73,36.31,1.47,07-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Nov-2019 - 00:00,10.38,26.24,7.93,41.5,67.75,0.92,84.83,1.04,0.28,163.56,0.25,32.7,54.51,46.57,0.73,36.37,1.46,08-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Nov-2019 - 00:00,9.7,24.89,8.43,40.13,65.02,0.85,19.45,1.0,0.28,164.49,0.25,21.91,36.51,41.47,0.67,36.37,1.36,09-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Nov-2019 - 00:00,9.13,23.73,8.82,38.95,62.68,0.79,110.54,0.97,0.28,163.24,0.25,37.11,61.85,36.04,0.61,36.31,1.28,10-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Nov-2019 - 00:00,9.2,23.91,8.89,39.24,63.16,0.8,102.77,0.98,0.28,145.23,0.25,40.62,67.7,40.11,0.61,36.25,1.29,11-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Nov-2019 - 00:00,9.15,23.79,8.85,39.05,62.84,0.79,81.34,0.98,0.28,154.47,0.25,55.34,92.24,41.1,0.61,36.41,1.28,12-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Nov-2019 - 00:00,9.14,23.75,8.83,38.98,62.73,0.79,62.33,0.97,0.28,172.28,,65.95,109.92,41.0,0.61,36.43,1.28,13-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Nov-2019 - 00:00,9.85,24.52,9.04,37.12,61.64,0.83,83.8,0.98,0.28,165.69,,66.29,110.48,45.56,0.68,36.36,1.25,14-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Nov-2019 - 00:00,10.34,24.94,9.13,35.29,60.23,0.85,97.39,0.97,0.28,182.25,,76.05,126.74,43.54,0.73,36.24,1.22,15-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Nov-2019 - 00:00,10.36,25.0,9.14,35.22,60.35,0.85,13.81,0.97,0.28,148.7,,73.83,123.05,47.88,0.73,36.37,1.21,16-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Nov-2019 - 00:00,11.61,25.91,9.76,34.36,60.27,0.92,129.03,1.07,0.28,171.43,,72.56,120.94,44.75,0.79,36.53,1.15,17-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Nov-2019 - 00:00,12.76,26.73,10.33,33.41,60.14,0.97,104.97,1.15,0.28,166.98,,80.93,134.89,43.54,0.85,36.53,1.09,18-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Nov-2019 - 00:00,12.76,26.73,10.33,33.42,60.15,0.97,80.48,1.15,0.28,180.43,,89.86,149.76,36.24,0.85,36.38,1.09,19-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Nov-2019 - 00:00,13.79,27.47,9.36,34.5,61.97,0.94,64.91,1.09,0.28,173.67,,106.73,177.88,39.47,0.82,36.26,1.13,20-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Nov-2019 - 00:00,14.61,28.0,8.52,35.31,63.31,0.91,0.0,1.03,0.28,181.88,,97.72,162.87,43.28,0.79,36.36,1.16,21-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Nov-2019 - 00:00,14.61,28.0,8.52,35.3,63.3,0.91,0.0,1.03,0.28,184.59,,90.67,151.12,46.37,0.79,36.47,1.16,22-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Nov-2019 - 00:00,14.57,27.93,8.5,35.21,63.14,0.91,0.0,1.03,0.28,171.92,,96.58,160.97,44.0,0.79,36.38,1.15,23-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Nov-2019 - 00:00,14.68,28.15,8.82,35.44,63.59,0.93,0.0,1.05,0.28,162.49,,86.48,144.14,39.53,0.81,36.33,1.17,24-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Nov-2019 - 00:00,15.22,29.22,10.35,36.52,65.74,1.03,0.0,1.16,0.28,157.36,,89.39,148.98,37.29,0.91,36.19,1.28,25-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Nov-2019 - 00:00,15.34,29.47,10.61,36.62,66.09,1.04,0.0,1.16,0.28,131.08,,81.91,136.51,40.07,0.92,36.19,1.3,26-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Nov-2019 - 00:00,15.23,30.42,12.05,36.74,67.17,1.05,0.0,1.22,0.28,118.14,,82.95,138.26,44.13,0.93,36.14,1.35,27-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Nov-2019 - 00:00,15.25,29.52,11.89,35.9,65.43,1.07,1.24,1.37,0.28,132.02,,87.18,145.3,45.09,0.91,36.13,1.44,28-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Nov-2019 - 00:00,17.04,30.43,12.78,35.95,66.95,1.14,2.1,1.5,0.28,93.8,,87.69,146.14,47.34,0.96,36.09,1.26,29-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Nov-2019 - 00:00,16.92,30.22,12.69,36.27,66.49,1.15,2.2,1.51,0.28,163.9,,86.07,143.44,42.12,0.97,36.45,1.32,30-Nov-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Nov-2019 - 00:00,19.23,27.52,15.01,34.55,62.07,1.21,2.12,1.58,0.28,152.33,,84.25,140.42,45.08,0.87,36.45,1.27,01-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
01-Dec-2019 - 00:00,21.1,25.32,16.88,33.16,58.48,1.27,1.96,1.63,0.28,158.0,,74.34,123.9,43.43,0.78,36.4,1.17,02-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Dec-2019 - 00:00,24.47,27.41,16.97,36.59,64.0,1.48,1.71,2.27,0.28,104.36,,47.79,79.65,48.53,0.48,36.33,1.01,03-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Dec-2019 - 00:00,27.11,28.92,16.87,39.16,68.08,1.54,,2.61,0.28,115.58,,32.68,54.46,48.71,0.2,36.33,0.92,04-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Dec-2019 - 00:00,27.15,28.96,16.89,39.22,68.18,1.7,,2.9,0.28,87.95,,55.65,92.75,52.67,0.22,36.31,1.02,05-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Dec-2019 - 00:00,27.12,30.08,14.01,40.8,72.13,1.99,,3.39,0.28,43.48,,89.8,149.66,53.43,0.31,36.31,1.2,06-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Dec-2019 - 00:00,27.18,31.41,10.87,45.3,76.71,1.87,,3.17,0.28,120.88,,89.4,149.01,46.28,0.32,36.37,1.12,07-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Dec-2019 - 00:00,27.15,31.37,10.86,45.24,76.61,1.79,,3.04,0.28,110.78,,84.52,140.86,48.78,0.3,36.15,1.07,08-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Dec-2019 - 00:00,27.16,31.38,10.86,45.27,76.65,1.78,,3.03,0.28,183.23,,82.62,137.7,45.08,0.3,36.2,1.07,09-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Dec-2019 - 00:00,34.65,37.04,15.85,47.65,81.62,2.09,,3.56,0.28,154.74,,72.35,120.59,46.82,0.36,36.36,1.26,10-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Dec-2019 - 00:00,36.6,37.24,16.77,51.28,88.52,2.22,,3.78,0.28,149.22,,82.91,138.18,41.59,0.38,36.37,1.33,11-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Dec-2019 - 00:00,36.75,35.75,14.36,44.59,80.34,1.8,,3.06,0.28,151.12,,58.27,97.12,41.17,0.31,36.28,1.08,12-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Dec-2019 - 00:00,49.91,38.42,19.68,44.94,83.36,1.76,,3.0,0.28,130.58,,69.39,115.65,44.34,0.3,36.25,1.06,13-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Dec-2019 - 00:00,43.71,31.41,16.23,37.35,68.77,1.77,,3.0,0.28,151.47,,55.81,93.01,39.62,0.3,36.21,1.06,14-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Dec-2019 - 00:00,28.58,33.16,16.86,38.56,71.73,1.96,,3.33,0.28,130.6,,69.46,115.76,43.05,0.33,36.11,1.63,15-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Dec-2019 - 00:00,22.61,32.07,15.73,36.3,68.37,1.99,,3.39,0.28,146.71,,67.18,111.96,43.35,0.34,36.15,1.99,16-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Dec-2019 - 00:00,27.07,30.9,18.77,35.98,66.1,2.13,,3.62,0.28,168.36,,73.22,122.04,43.04,0.42,36.17,1.85,17-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Dec-2019 - 00:00,26.58,32.2,21.8,39.87,72.07,2.11,,3.58,0.28,127.66,,68.27,113.78,45.42,0.44,36.13,1.26,18-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Dec-2019 - 00:00,25.84,31.69,25.58,42.4,74.09,2.21,,3.76,0.28,133.2,,78.89,131.49,45.22,0.46,36.15,1.33,19-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Dec-2019 - 00:00,29.42,27.31,25.14,37.75,65.06,2.4,,4.91,0.28,149.9,,88.1,146.83,43.85,0.6,36.1,1.44,20-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Dec-2019 - 00:00,34.19,28.97,23.98,38.01,66.98,2.92,,6.72,0.28,161.57,,106.86,178.1,40.9,0.82,36.09,1.75,21-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Dec-2019 - 00:00,35.38,26.28,18.0,33.6,59.98,2.88,,6.62,0.28,162.31,,91.29,152.15,41.79,0.81,36.22,1.73,22-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Dec-2019 - 00:00,33.71,22.96,13.9,29.0,51.96,2.24,,5.16,0.28,105.71,,87.53,145.88,51.95,0.63,36.22,1.35,23-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Dec-2019 - 00:00,37.05,26.14,19.82,34.11,60.24,3.46,,7.96,0.28,143.74,,91.12,151.87,44.6,0.97,36.34,2.08,24-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Dec-2019 - 00:00,41.59,32.81,25.95,38.83,71.64,4.21,,9.68,0.28,134.16,,103.6,172.66,46.58,1.18,36.34,2.52,25-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Dec-2019 - 00:00,38.79,29.27,25.1,35.92,65.19,4.17,,9.59,0.28,109.56,,82.23,137.06,45.03,1.17,36.45,2.5,26-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Dec-2019 - 00:00,35.34,27.0,17.56,33.03,60.03,4.45,,10.24,0.28,128.33,0.25,68.73,114.55,45.36,1.25,36.36,2.67,27-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Dec-2019 - 00:00,35.72,24.45,15.05,31.27,55.72,4.2,,9.26,0.28,128.45,,89.71,149.52,51.09,1.34,36.18,2.46,28-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Dec-2019 - 00:00,43.62,28.22,24.38,34.87,63.09,3.7,,7.86,0.28,174.94,,80.65,134.42,48.63,1.29,36.13,1.62,29-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Dec-2019 - 00:00,42.26,28.99,25.97,35.64,64.63,3.84,,8.15,0.28,148.5,,71.33,118.88,47.32,1.34,36.2,1.68,30-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Dec-2019 - 00:00,41.94,29.87,25.28,35.45,65.32,3.95,,8.39,0.28,164.97,,69.81,116.35,42.05,1.38,36.27,1.73,31-Dec-2019 - 00:00,"Karve Road, Pune - MPCB"
31-Dec-2019 - 00:00,44.9,35.13,27.86,38.77,73.9,3.96,,8.42,0.28,,,76.8,128.0,,1.39,35.71,1.73,01-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
