from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
01-Jan-2019 - 00:00,0.61,48.47,137.73,,209.13,1.98,,8.15,30.85,38.8,2.72,02-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,0.6,41.75,117.55,,214.45,1.92,,5.95,36.82,41.78,2.82,03-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,0.65,36.61,135.98,,168.26,2.19,,9.02,42.09,50.21,2.75,04-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,0.58,,126.56,,219.44,1.97,,5.23,33.31,38.19,1.99,05-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,0.72,,127.45,,135.17,2.04,,6.99,37.26,43.98,2.21,06-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,0.6,,145.71,,204.42,1.93,,3.95,29.13,32.15,2.49,07-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,0.61,103.81,152.48,,163.5,2.09,,12.36,41.7,53.33,2.51,08-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,0.63,49.75,145.86,,143.63,1.97,,3.56,42.13,44.42,2.43,09-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,0.73,44.04,122.6,,115.79,2.18,,6.74,49.18,54.22,2.76,10-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,0.68,40.63,141.61,,129.58,1.93,,9.45,55.62,63.87,3.49,11-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,0.78,51.91,142.4,,205.39,2.04,,10.39,47.36,55.89,4.7,12-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,0.67,55.12,155.11,,177.6,1.88,,3.93,41.36,43.96,4.72,13-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,0.61,51.34,145.32,,201.36,1.82,,3.28,37.77,39.32,4.77,14-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,0.73,52.95,163.04,,134.47,1.82,,7.29,40.85,46.83,3.09,15-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,0.54,45.61,123.29,,190.21,2.07,,0.89,33.59,32.62,0.45,16-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,0.64,14.2,146.3,,199.59,1.91,,4.9,39.87,42.43,3.21,17-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Jan-2019 - 00:00,0.64,30.67,138.7,,201.17,1.62,,5.05,38.95,42.91,3.98,18-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Jan-2019 - 00:00,0.64,45.81,138.13,,198.18,1.35,,2.6,35.13,36.46,3.95,19-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Jan-2019 - 00:00,0.65,42.49,120.69,,215.78,1.41,,3.75,36.96,39.48,1.9,20-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Jan-2019 - 00:00,0.58,45.15,115.44,,187.53,1.41,,1.96,35.94,36.5,2.09,21-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Jan-2019 - 00:00,0.57,50.4,120.59,,227.09,1.41,,2.43,42.9,42.28,3.64,22-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Jan-2019 - 00:00,0.93,59.6,137.86,,186.79,1.4,,11.92,43.31,52.56,4.37,23-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
