from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
10-Jun-2019 - 00:00,96.59,310.02,116.73,85.17,131.36,69.33,25.69,2.2,72.68,1.09,24.18,0.41,166.44,38.53,31.41,740.39,131.44,,11-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
11-Jun-2019 - 00:00,112.09,487.96,95.97,51.21,92.75,53.53,23.01,1.49,46.63,0.83,21.74,0.5,192.66,38.12,28.61,740.45,117.97,,12-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
12-Jun-2019 - 00:00,50.2,228.05,69.82,30.34,61.82,43.89,23.2,0.75,87.86,0.29,16.71,0.7,229.4,34.33,42.23,740.94,132.39,,13-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
13-Jun-2019 - 00:00,60.58,227.61,89.13,36.75,77.35,46.37,26.07,1.04,92.31,0.46,17.0,0.53,162.07,35.53,41.02,741.0,130.39,,14-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
14-Jun-2019 - 00:00,58.61,264.79,79.98,18.57,57.72,35.8,21.53,1.13,89.12,0.46,14.92,0.63,121.48,37.59,27.55,740.98,142.39,,15-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
15-Jun-2019 - 00:00,86.96,341.85,88.0,40.0,79.4,45.91,30.78,1.03,85.19,0.7,18.25,0.58,128.24,37.84,23.11,740.7,134.03,,16-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
16-Jun-2019 - 00:00,44.4,259.09,48.61,7.55,32.08,33.86,11.1,0.69,71.22,0.19,8.85,0.85,112.11,33.07,44.76,741.0,82.82,,17-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
17-Jun-2019 - 00:00,46.86,232.27,60.8,7.35,38.4,40.81,13.89,0.89,61.85,0.31,9.69,0.76,121.95,31.57,47.64,740.89,67.78,3.27,18-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
18-Jun-2019 - 00:00,38.34,108.19,67.27,21.67,53.49,59.88,13.38,1.54,70.09,0.42,11.71,0.6,158.61,27.07,68.75,740.99,105.24,7.42,19-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
19-Jun-2019 - 00:00,89.68,276.7,82.6,44.79,80.44,76.2,30.76,1.21,64.55,0.61,18.03,0.46,206.03,30.33,59.17,741.0,127.25,,20-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
20-Jun-2019 - 00:00,48.58,157.74,83.47,37.03,74.57,62.92,18.91,0.92,87.82,0.3,18.68,0.45,222.59,31.24,57.51,741.0,136.82,,21-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
21-Jun-2019 - 00:00,81.67,219.08,82.47,19.84,60.08,67.35,25.27,1.41,69.06,0.54,15.35,0.41,236.41,33.18,55.22,741.0,122.81,,22-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
22-Jun-2019 - 00:00,77.4,209.35,72.67,13.46,49.68,58.0,36.12,1.28,90.34,0.52,14.63,0.49,197.68,34.52,44.58,741.0,144.25,,23-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
23-Jun-2019 - 00:00,27.16,107.86,63.61,13.31,44.74,53.93,19.37,0.77,58.66,0.22,14.51,0.58,250.54,32.71,59.42,741.0,142.08,,24-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
24-Jun-2019 - 00:00,15.3,70.82,59.45,15.89,44.63,48.21,10.87,0.86,46.72,0.2,15.54,0.57,253.99,29.93,70.09,741.0,90.34,,25-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
25-Jun-2019 - 00:00,36.35,107.42,74.31,17.64,53.95,51.71,18.07,1.03,59.06,0.34,17.15,0.42,235.42,32.62,61.48,741.0,115.88,,26-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
26-Jun-2019 - 00:00,64.36,176.24,78.47,16.07,54.89,57.6,25.43,1.11,58.91,0.49,14.13,0.45,197.99,35.19,54.12,740.93,126.32,,27-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
27-Jun-2019 - 00:00,72.48,297.05,83.37,22.47,62.7,58.3,24.27,1.06,58.7,0.47,14.12,0.54,141.85,35.01,46.22,740.54,124.93,,28-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
28-Jun-2019 - 00:00,60.3,288.6,80.7,15.58,55.67,52.89,15.47,0.75,50.21,0.36,11.39,0.62,121.95,35.97,39.67,740.34,132.06,,29-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
29-Jun-2019 - 00:00,63.56,341.36,74.32,24.88,59.87,53.43,20.79,0.91,69.66,0.36,13.55,0.6,118.7,37.04,37.24,740.39,178.43,,30-Jun-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
