from date,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
01-Jan-2019 - 00:00,1.93,0.0,13.21,72.6,0.0,33.86,0.12,0.32,283.82,1.24,57.96,47.87,71.83,9.32,240.23,1.29,02-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Jan-2019 - 00:00,5.32,0.0,13.36,78.31,0.0,32.23,0.12,0.3,194.18,1.54,116.84,52.38,121.33,8.37,334.75,1.92,03-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
03-Jan-2019 - 00:00,0.52,0.0,13.53,83.32,0.0,33.39,0.08,0.31,272.39,0.75,22.47,45.27,42.05,11.82,225.24,2.25,04-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Jan-2019 - 00:00,2.14,0.0,13.82,73.18,0.0,39.98,0.1,0.32,246.8,1.19,39.0,32.75,48.62,7.01,179.99,4.22,05-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
05-Jan-2019 - 00:00,0.0,0.0,13.74,74.12,0.0,32.07,0.1,0.36,107.93,0.72,34.17,37.58,47.33,8.09,149.12,3.66,06-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Jan-2019 - 00:00,0.0,0.0,13.62,80.54,0.0,27.68,0.1,0.33,109.16,0.7,9.32,31.19,24.05,9.35,147.12,2.42,07-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
07-Jan-2019 - 00:00,0.84,0.0,13.67,82.72,0.0,32.82,0.09,0.31,126.43,0.69,30.62,29.1,39.98,6.67,69.99,3.06,08-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Jan-2019 - 00:00,0.0,0.0,14.14,70.95,0.0,35.06,0.09,0.29,287.44,0.8,9.67,29.82,23.6,6.14,85.78,2.29,09-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
09-Jan-2019 - 00:00,0.38,0.0,13.05,70.58,0.0,36.4,0.09,0.32,281.43,0.58,6.78,30.93,21.88,9.2,105.63,2.75,10-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Jan-2019 - 00:00,3.86,0.0,12.68,74.55,0.0,35.54,0.09,0.31,283.14,0.79,31.65,35.61,44.26,11.47,101.8,2.3,11-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Jan-2019 - 00:00,2.16,0.0,13.3,76.42,0.0,30.77,0.08,0.31,222.85,0.93,39.77,42.19,54.26,4.85,127.28,1.73,12-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Jan-2019 - 00:00,0.41,0.0,13.48,77.95,0.0,30.99,0.09,0.32,162.38,0.8,45.26,39.21,57.06,5.39,132.54,2.14,13-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Jan-2019 - 00:00,0.0,0.0,13.73,74.26,0.0,37.14,0.24,0.29,98.71,0.69,33.25,37.15,46.36,5.92,140.16,2.29,14-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Jan-2019 - 00:00,0.0,0.0,13.98,64.11,0.0,39.69,0.09,0.29,283.6,0.68,7.35,27.63,20.58,8.05,94.93,2.78,15-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Jan-2019 - 00:00,0.0,0.0,11.36,60.22,0.0,31.97,0.07,0.33,286.18,0.65,15.52,32.63,29.77,8.06,66.11,2.86,16-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Jan-2019 - 00:00,0.0,0.0,12.69,74.49,0.0,34.82,0.08,0.31,205.81,0.91,36.93,43.31,52.58,6.89,162.55,2.15,17-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Jan-2019 - 00:00,0.0,0.0,12.65,79.65,0.0,39.76,0.3,0.32,214.82,0.89,48.29,40.04,59.99,5.34,182.83,1.94,18-Jan-2019 - 00:00,989.79,"Central School, Lucknow - CPCB"
18-Jan-2019 - 00:00,0.0,0.0,14.01,71.11,0.0,34.45,0.08,0.3,281.91,0.7,10.29,38.82,28.87,6.38,174.03,2.46,19-Jan-2019 - 00:00,972.9,"Central School, Lucknow - CPCB"
19-Jan-2019 - 00:00,0.0,0.0,14.43,70.08,0.0,33.79,0.07,0.32,267.63,0.84,11.19,38.68,29.53,7.49,165.73,3.67,20-Jan-2019 - 00:00,986.45,"Central School, Lucknow - CPCB"
20-Jan-2019 - 00:00,0.0,0.0,15.36,76.33,0.0,34.38,0.08,0.3,267.46,0.81,49.77,37.54,59.79,7.51,178.37,2.46,21-Jan-2019 - 00:00,979.19,"Central School, Lucknow - CPCB"
21-Jan-2019 - 00:00,0.0,0.0,16.58,74.19,0.0,37.33,0.09,0.33,149.28,0.63,61.7,31.36,66.04,10.6,213.1,1.89,22-Jan-2019 - 00:00,991.21,"Central School, Lucknow - CPCB"
22-Jan-2019 - 00:00,0.0,0.0,16.36,70.5,0.0,19.59,0.07,0.35,116.44,0.63,7.63,27.44,20.7,11.22,202.44,2.82,23-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
23-Jan-2019 - 00:00,0.0,0.0,15.79,84.48,0.0,34.35,0.66,0.34,122.08,0.55,11.49,23.86,21.88,7.37,74.02,3.25,24-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
