from date,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
24-Jan-2019 - 00:00,0.0,0.0,15.26,84.34,0.0,40.6,0.35,0.31,88.11,0.76,56.35,22.58,56.74,5.73,101.34,3.13,25-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Jan-2019 - 00:00,0.0,0.0,12.3,96.4,0.0,19.03,2.78,0.24,141.02,0.86,79.15,24.08,74.34,5.38,105.54,3.06,26-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Jan-2019 - 00:00,0.0,0.0,13.25,98.83,0.0,21.03,0.45,0.27,163.38,0.73,15.79,21.51,24.08,4.81,41.16,2.92,27-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Jan-2019 - 00:00,0.0,0.0,14.02,80.44,0.0,57.65,0.16,0.3,266.16,0.74,8.86,25.15,20.47,5.48,75.33,2.75,28-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
28-Jan-2019 - 00:00,0.0,0.0,11.81,74.48,0.0,61.95,0.09,0.3,284.93,0.66,7.13,30.81,22.09,6.61,95.97,2.88,29-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
29-Jan-2019 - 00:00,0.0,0.0,12.1,64.86,0.0,61.95,0.1,0.32,284.91,0.73,12.32,34.03,27.96,7.81,105.12,3.18,30-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Jan-2019 - 00:00,0.0,0.0,13.03,70.23,0.0,58.96,0.09,0.31,284.06,0.7,34.47,34.96,46.17,6.49,137.64,3.37,31-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
31-Jan-2019 - 00:00,0.0,0.0,14.71,66.87,0.0,53.71,0.08,0.34,150.53,0.74,78.93,49.1,89.26,9.55,119.78,2.64,01-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
01-Feb-2019 - 00:00,0.0,0.0,14.92,73.34,0.0,55.2,0.1,0.35,112.86,0.74,44.43,46.4,60.22,6.78,119.22,2.4,02-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Feb-2019 - 00:00,0.0,0.0,16.01,71.36,0.0,53.52,0.04,0.29,264.85,0.76,16.01,45.55,37.04,5.68,181.81,3.16,03-Feb-2019 - 00:00,999.23,"Central School, Lucknow - CPCB"
03-Feb-2019 - 00:00,0.0,0.0,13.91,83.79,0.0,62.29,0.05,0.27,296.08,0.76,7.48,36.61,25.46,5.97,293.05,2.36,04-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Feb-2019 - 00:00,0.0,0.0,13.25,84.08,0.0,65.05,0.61,0.26,275.7,0.83,8.83,38.21,27.39,6.28,64.06,3.39,05-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
05-Feb-2019 - 00:00,0.0,0.0,15.49,86.35,0.0,56.18,0.03,0.3,207.63,0.93,20.19,47.92,41.64,5.91,77.6,3.51,06-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Feb-2019 - 00:00,0.0,0.0,19.39,94.1,0.0,76.99,1.14,0.38,132.2,1.14,15.05,48.54,39.62,6.57,120.02,6.32,07-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
07-Feb-2019 - 00:00,0.0,0.0,17.92,93.19,0.0,49.45,0.99,0.46,127.45,0.82,6.23,29.41,24.07,7.93,49.53,5.04,08-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Feb-2019 - 00:00,0.0,0.0,19.68,64.4,0.0,75.75,0.71,0.71,186.83,1.0,16.6,25.09,41.69,10.5,74.13,6.23,09-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
09-Feb-2019 - 00:00,0.0,0.0,16.67,52.17,0.0,52.92,0.34,0.86,311.36,0.81,5.61,19.97,25.57,16.24,77.13,4.59,10-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Feb-2019 - 00:00,0.0,0.0,16.64,53.05,0.0,45.88,0.3,0.83,313.46,0.81,7.46,25.53,32.98,17.18,78.47,5.68,11-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Feb-2019 - 00:00,0.0,0.0,16.72,47.88,0.0,43.02,0.29,0.77,276.06,1.03,15.07,33.66,48.72,19.91,114.72,6.68,12-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Feb-2019 - 00:00,0.0,0.0,16.09,62.03,0.0,27.0,0.16,0.52,131.43,1.44,33.33,51.32,62.6,17.69,137.74,4.33,13-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Feb-2019 - 00:00,0.0,0.0,16.21,75.79,0.0,44.61,0.06,0.3,132.54,1.5,113.31,58.68,121.86,13.63,184.32,2.02,14-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Feb-2019 - 00:00,0.0,0.0,16.45,81.21,0.0,24.7,0.08,0.34,118.02,0.78,93.22,47.32,99.75,20.53,192.54,2.27,15-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Feb-2019 - 00:00,0.0,0.0,16.56,92.48,0.0,46.39,0.16,0.33,129.89,0.64,6.13,29.62,20.66,20.71,76.93,2.69,16-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Feb-2019 - 00:00,0.0,0.0,16.48,92.06,0.0,30.81,0.1,0.29,206.43,0.74,6.31,28.19,20.04,21.37,50.9,2.8,17-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Feb-2019 - 00:00,0.0,0.0,15.74,84.66,0.0,49.05,0.08,0.29,280.87,0.69,5.49,25.66,18.04,25.83,71.43,1.84,18-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Feb-2019 - 00:00,0.0,0.0,17.35,69.96,0.0,50.42,0.06,0.33,265.34,0.67,28.96,43.26,46.17,27.3,82.41,2.56,19-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Feb-2019 - 00:00,0.0,0.0,18.08,76.04,0.0,44.0,0.06,0.36,117.36,1.1,61.16,42.42,71.45,25.59,115.82,2.59,20-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Feb-2019 - 00:00,0.0,0.0,18.72,82.34,0.0,27.75,0.06,0.29,163.2,0.52,24.16,57.13,49.71,19.89,151.51,2.02,21-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
21-Feb-2019 - 00:00,0.0,0.0,20.06,71.95,0.0,39.64,0.06,0.31,158.79,0.54,44.59,49.58,62.04,19.1,99.52,3.44,22-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
22-Feb-2019 - 00:00,0.0,0.0,21.97,74.17,0.0,44.47,0.07,0.27,205.79,0.46,17.14,40.22,35.11,23.86,83.41,2.11,23-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
23-Feb-2019 - 00:00,0.0,0.0,17.04,63.14,0.0,54.67,0.06,0.3,287.47,0.5,5.38,24.65,17.41,34.61,44.98,3.82,24-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
24-Feb-2019 - 00:00,0.0,0.0,15.63,61.79,0.0,28.7,0.05,0.29,266.06,0.41,7.38,38.26,26.25,28.07,53.11,2.82,25-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Feb-2019 - 00:00,0.0,0.0,17.81,63.64,0.0,53.18,0.06,0.3,146.2,1.13,40.38,52.28,60.11,24.51,78.09,2.46,26-Feb-2019 - 00:00,998.91,"Central School, Lucknow - CPCB"
26-Feb-2019 - 00:00,0.0,0.0,17.92,52.06,0.0,39.04,0.06,0.3,137.67,2.55,5.73,29.55,20.3,30.57,59.94,4.56,27-Feb-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Feb-2019 - 00:00,0.0,0.0,14.04,91.09,0.0,64.37,0.54,0.24,151.66,2.86,10.76,27.71,23.34,25.47,31.26,3.97,28-Feb-2019 - 00:00,999.59,"Central School, Lucknow - CPCB"
28-Feb-2019 - 00:00,0.0,0.0,14.56,69.28,0.0,141.49,0.13,0.3,277.78,2.64,6.43,29.47,20.81,24.08,29.1,3.06,01-Mar-2019 - 00:00,994.17,"Central School, Lucknow - CPCB"
01-Mar-2019 - 00:00,0.0,0.0,15.04,58.74,0.0,98.21,0.06,0.33,285.8,2.19,13.26,30.48,26.82,26.66,50.13,2.64,02-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Mar-2019 - 00:00,1.36,0.14,18.39,55.88,0.1,34.26,0.06,0.35,161.35,1.35,10.43,50.57,34.4,27.97,84.67,6.3,03-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
03-Mar-2019 - 00:00,2.0,0.21,16.48,83.95,0.15,60.94,0.16,0.32,124.45,1.48,15.19,29.31,27.68,18.8,224.97,6.56,04-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Mar-2019 - 00:00,2.0,0.21,18.34,79.7,0.15,65.37,0.14,0.3,194.44,0.82,6.63,31.94,22.18,17.11,90.99,6.17,05-Mar-2019 - 00:00,999.36,"Central School, Lucknow - CPCB"
05-Mar-2019 - 00:00,2.0,0.21,19.38,73.02,0.15,53.57,0.06,0.28,288.6,0.92,5.15,30.7,20.45,18.51,105.01,5.39,06-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Mar-2019 - 00:00,2.0,0.21,17.86,56.22,0.15,54.88,0.06,0.28,279.95,0.75,5.09,32.48,21.35,23.07,103.87,4.97,07-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
07-Mar-2019 - 00:00,2.0,0.21,18.53,50.58,0.15,55.72,0.06,0.33,221.57,1.02,34.71,42.72,50.5,20.94,126.08,5.73,08-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Mar-2019 - 00:00,2.0,0.21,19.45,52.41,0.15,50.46,0.08,0.32,278.36,0.89,6.6,46.97,30.27,16.22,134.8,5.79,09-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
09-Mar-2019 - 00:00,1.99,0.21,21.7,45.51,0.15,48.22,0.08,0.31,296.03,0.72,4.88,35.26,22.66,17.02,78.47,5.9,10-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Mar-2019 - 00:00,2.0,0.21,21.41,47.65,0.15,53.85,0.08,0.25,286.26,0.87,5.2,35.44,23.01,16.27,76.52,6.58,11-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Mar-2019 - 00:00,2.0,0.21,21.96,43.43,0.15,49.22,0.05,0.35,138.27,1.04,18.44,71.44,52.75,28.13,87.12,4.78,12-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Mar-2019 - 00:00,2.0,0.21,23.19,46.54,0.15,48.91,0.03,0.28,219.2,0.81,5.3,76.73,45.05,32.36,105.79,6.44,13-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Mar-2019 - 00:00,2.01,0.21,22.4,43.59,0.15,53.55,0.04,0.26,255.78,0.81,6.49,79.56,47.51,32.12,93.59,6.13,14-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Mar-2019 - 00:00,2.0,0.21,23.12,44.31,0.15,43.7,0.05,0.32,210.26,1.04,12.35,69.25,46.71,36.26,121.92,5.56,15-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Mar-2019 - 00:00,2.0,0.21,22.05,46.25,0.15,48.41,0.03,0.21,265.36,0.81,4.23,70.14,40.69,34.32,76.22,6.58,16-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Mar-2019 - 00:00,2.0,0.21,20.35,44.6,0.15,60.52,0.02,0.31,285.9,0.79,4.55,73.35,42.66,34.78,73.9,6.1,17-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Mar-2019 - 00:00,2.0,0.21,19.09,51.5,0.15,48.23,0.06,0.31,279.53,0.86,3.88,51.06,30.26,36.49,99.19,7.07,18-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Mar-2019 - 00:00,2.0,0.21,25.37,38.0,0.15,69.28,-0.01,0.33,280.46,0.88,5.33,73.1,43.14,43.43,63.49,3.1,20-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Mar-2019 - 00:00,2.0,0.21,23.96,46.17,0.15,55.24,0.03,0.34,202.14,1.51,12.96,78.94,52.36,47.9,103.82,3.36,21-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
21-Mar-2019 - 00:00,2.0,0.21,25.25,38.27,0.15,53.82,0.06,0.34,112.06,1.03,5.87,43.07,27.61,57.24,103.43,3.29,22-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
22-Mar-2019 - 00:00,2.0,0.21,24.61,38.68,0.15,56.91,0.06,0.3,301.93,0.79,3.44,29.34,18.35,55.31,50.06,3.3,23-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
23-Mar-2019 - 00:00,2.0,0.21,22.19,39.45,0.15,62.39,0.05,0.33,292.68,0.74,3.35,28.12,17.64,56.38,51.26,3.32,24-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
24-Mar-2019 - 00:00,7.64,1.84,24.92,41.51,0.5,58.37,-0.0,0.39,279.31,0.87,3.69,30.87,19.37,25.92,72.62,3.29,25-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Mar-2019 - 00:00,29.42,3.92,27.7,42.61,1.45,44.96,-0.02,0.43,256.78,1.61,11.0,29.29,24.38,7.42,96.33,2.97,26-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Mar-2019 - 00:00,14.91,2.37,26.05,49.87,1.13,62.62,0.05,0.41,248.88,1.0,4.04,20.73,14.25,9.28,87.78,3.03,27-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Mar-2019 - 00:00,8.04,2.92,26.14,44.93,0.48,58.2,0.06,0.45,272.43,0.75,3.74,21.42,14.13,13.06,112.07,3.27,28-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
28-Mar-2019 - 00:00,11.03,3.5,26.68,46.26,3.54,52.21,0.07,0.48,283.62,1.14,23.87,41.77,41.43,9.93,132.55,3.21,29-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
29-Mar-2019 - 00:00,9.87,4.74,28.91,46.91,6.16,68.97,0.02,0.42,298.09,1.07,24.35,34.71,37.94,22.24,190.11,3.07,30-Mar-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Mar-2019 - 00:00,17.45,4.26,30.66,44.14,4.29,54.83,0.08,0.43,247.16,0.4,34.66,57.69,58.41,32.97,106.8,4.29,31-Mar-2019 - 00:00,999.75,"Central School, Lucknow - CPCB"
31-Mar-2019 - 00:00,6.56,4.58,28.45,42.28,5.15,1.55,0.08,0.39,286.7,0.4,3.38,10.64,8.37,25.86,132.85,3.94,01-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
01-Apr-2019 - 00:00,5.74,2.08,31.08,25.95,1.84,68.71,0.03,0.46,254.5,1.26,3.57,18.79,9.06,41.95,66.48,4.17,02-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Apr-2019 - 00:00,6.49,2.77,28.0,38.47,1.29,58.94,0.03,0.43,197.82,1.21,5.15,5.18,4.19,36.61,117.09,4.11,03-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
03-Apr-2019 - 00:00,12.09,3.64,29.06,34.02,1.06,59.74,0.07,0.45,233.69,1.35,7.82,5.19,9.02,37.34,142.47,3.93,04-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Apr-2019 - 00:00,6.46,3.1,29.33,40.7,1.46,54.15,0.04,0.45,135.72,1.47,7.8,5.21,9.01,41.6,184.78,3.45,05-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
05-Apr-2019 - 00:00,2.72,2.15,29.78,49.74,0.61,48.07,0.03,0.45,106.17,1.61,7.76,5.22,8.99,46.17,107.0,2.44,06-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Apr-2019 - 00:00,3.4,1.61,29.98,57.6,0.36,46.22,0.07,0.44,107.39,1.46,7.81,5.24,9.04,34.84,70.53,2.07,07-Apr-2019 - 00:00,999.68,"Central School, Lucknow - CPCB"
07-Apr-2019 - 00:00,1.37,0.7,26.35,58.52,0.05,47.43,0.08,0.44,109.2,1.07,7.77,5.23,9.0,33.71,32.76,2.34,08-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Apr-2019 - 00:00,1.41,0.6,27.95,54.95,0.49,48.57,0.08,0.41,123.67,1.23,7.83,5.22,9.04,36.13,35.52,1.97,09-Apr-2019 - 00:00,999.61,"Central School, Lucknow - CPCB"
09-Apr-2019 - 00:00,0.02,0.0,31.18,45.25,0.21,51.62,0.08,0.4,163.44,1.46,7.83,5.18,9.02,33.7,49.94,2.13,10-Apr-2019 - 00:00,997.63,"Central School, Lucknow - CPCB"
10-Apr-2019 - 00:00,0.0,0.0,29.22,50.5,0.0,54.0,0.09,0.41,126.88,1.48,7.73,5.17,8.91,35.61,82.75,2.06,11-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Apr-2019 - 00:00,0.0,0.0,31.0,47.14,0.0,48.21,0.07,0.41,122.77,1.36,7.8,5.23,9.02,44.46,79.13,1.23,12-Apr-2019 - 00:00,999.02,"Central School, Lucknow - CPCB"
12-Apr-2019 - 00:00,0.0,0.0,32.29,44.14,0.0,47.88,0.07,0.38,148.84,2.55,7.88,5.18,9.06,38.0,87.83,1.29,13-Apr-2019 - 00:00,998.71,"Central School, Lucknow - CPCB"
13-Apr-2019 - 00:00,0.0,0.0,33.5,33.28,0.0,52.97,0.06,0.38,275.52,1.19,7.81,5.18,9.0,31.92,69.71,1.35,14-Apr-2019 - 00:00,999.1,"Central School, Lucknow - CPCB"
14-Apr-2019 - 00:00,0.0,0.0,33.55,31.96,0.0,53.26,0.06,0.41,266.33,1.16,7.81,5.18,9.01,35.44,47.28,1.78,15-Apr-2019 - 00:00,998.66,"Central School, Lucknow - CPCB"
15-Apr-2019 - 00:00,0.0,0.0,33.97,29.07,0.0,55.74,0.04,0.42,251.91,1.4,7.83,5.18,9.02,31.35,67.78,2.01,16-Apr-2019 - 00:00,997.49,"Central School, Lucknow - CPCB"
16-Apr-2019 - 00:00,0.0,0.0,28.85,40.85,0.0,27.33,0.04,0.4,247.08,1.09,7.82,5.18,9.01,27.32,80.86,1.13,17-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Apr-2019 - 00:00,0.0,0.0,23.9,66.75,0.0,37.35,0.13,0.39,159.15,1.12,7.84,5.18,9.03,30.69,28.41,1.0,18-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Apr-2019 - 00:00,0.0,0.0,26.24,59.11,0.0,55.07,0.05,0.37,220.01,1.04,7.83,5.18,9.02,35.01,42.91,1.0,19-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Apr-2019 - 00:00,0.0,0.0,27.86,47.3,0.0,70.67,0.05,0.41,293.32,0.93,7.81,5.18,8.98,39.08,35.56,1.18,20-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Apr-2019 - 00:00,0.0,0.0,29.45,39.86,0.0,54.37,0.01,0.43,227.03,1.25,7.82,5.2,9.02,38.96,72.73,3.06,21-Apr-2019 - 00:00,998.68,"Central School, Lucknow - CPCB"
21-Apr-2019 - 00:00,0.0,0.0,30.58,37.4,0.0,53.6,0.0,0.46,218.81,1.61,7.74,5.22,8.97,40.65,59.46,4.0,22-Apr-2019 - 00:00,996.54,"Central School, Lucknow - CPCB"
22-Apr-2019 - 00:00,0.0,0.0,31.01,37.99,0.0,67.59,-0.0,0.41,168.52,1.15,7.81,5.22,9.03,44.62,82.43,4.0,23-Apr-2019 - 00:00,996.62,"Central School, Lucknow - CPCB"
23-Apr-2019 - 00:00,0.0,0.0,33.17,42.76,0.0,59.81,0.01,0.44,102.66,1.35,7.75,5.22,8.98,55.61,84.35,4.0,24-Apr-2019 - 00:00,998.31,"Central School, Lucknow - CPCB"
24-Apr-2019 - 00:00,0.0,0.0,31.83,48.22,0.0,47.2,0.01,0.45,107.04,1.26,7.82,5.22,9.04,48.52,68.69,4.0,25-Apr-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Apr-2019 - 00:00,0.0,0.0,34.04,44.54,0.0,44.94,0.01,0.4,139.55,1.91,7.78,5.24,9.01,45.0,79.07,4.56,26-Apr-2019 - 00:00,998.31,"Central School, Lucknow - CPCB"
26-Apr-2019 - 00:00,0.0,0.0,35.78,38.99,0.0,54.26,0.02,0.4,231.53,1.68,7.78,5.21,8.99,33.83,98.84,5.11,27-Apr-2019 - 00:00,996.06,"Central School, Lucknow - CPCB"
27-Apr-2019 - 00:00,0.56,0.06,35.02,24.05,0.04,56.93,0.01,0.41,271.18,0.8,7.78,5.2,8.99,36.67,186.77,5.14,28-Apr-2019 - 00:00,995.22,"Central School, Lucknow - CPCB"
28-Apr-2019 - 00:00,2.0,0.21,34.91,20.34,0.15,58.15,0.05,0.43,269.0,0.92,7.86,5.19,9.05,36.91,157.49,5.1,29-Apr-2019 - 00:00,994.58,"Central School, Lucknow - CPCB"
29-Apr-2019 - 00:00,2.0,0.21,35.26,21.28,0.15,54.78,0.09,0.45,262.47,1.61,7.83,5.22,9.04,31.1,93.59,5.12,30-Apr-2019 - 00:00,994.3,"Central School, Lucknow - CPCB"
30-Apr-2019 - 00:00,1.51,0.25,34.9,27.87,0.15,49.92,0.09,0.44,156.24,1.81,7.78,5.24,9.02,44.13,85.21,5.13,01-May-2019 - 00:00,992.61,"Central School, Lucknow - CPCB"
01-May-2019 - 00:00,0.63,0.32,34.03,42.86,0.15,47.96,0.08,0.44,105.31,1.64,7.83,5.21,9.03,38.63,104.02,5.11,02-May-2019 - 00:00,991.21,"Central School, Lucknow - CPCB"
02-May-2019 - 00:00,0.63,0.32,34.42,35.62,0.15,52.89,0.05,0.44,104.7,1.4,7.79,5.23,9.01,42.09,68.85,5.13,03-May-2019 - 00:00,990.89,"Central School, Lucknow - CPCB"
03-May-2019 - 00:00,0.63,0.32,31.66,40.88,0.15,51.28,0.07,0.43,91.02,1.25,7.8,5.2,9.0,33.19,55.19,5.1,04-May-2019 - 00:00,995.51,"Central School, Lucknow - CPCB"
