from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
01-Jan-2019 - 00:00,31.45,10.56,24.6,9.68,4.46,1.47,45.9,67.53,146.48,0.8,99.3,52.6,718.53,4.64,27.31,02-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jan-2019 - 00:00,30.16,9.73,22.92,8.45,4.2,1.41,40.78,55.39,130.92,0.69,95.92,55.91,718.69,4.24,27.29,03-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jan-2019 - 00:00,22.6,10.05,16.94,6.04,4.28,1.1,43.25,63.07,121.93,0.58,97.96,72.98,719.93,3.28,27.2,04-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jan-2019 - 00:00,38.37,9.36,28.71,10.21,5.31,1.8,50.01,44.98,105.27,0.95,97.84,38.16,718.18,5.31,27.91,05-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jan-2019 - 00:00,27.29,9.63,20.38,7.22,3.76,1.55,57.04,50.8,102.17,0.74,99.85,54.04,717.31,4.43,27.17,06-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jan-2019 - 00:00,,,,,3.66,1.33,71.74,64.42,112.05,0.69,100.41,60.55,715.86,4.06,27.23,07-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Jan-2019 - 00:00,48.44,16.43,38.89,16.13,4.17,1.96,61.38,65.68,128.02,0.85,100.57,58.43,715.28,4.9,27.11,08-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jan-2019 - 00:00,46.21,10.35,35.72,13.69,3.79,1.73,56.63,63.02,123.97,0.83,92.22,48.64,715.73,5.23,25.1,09-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jan-2019 - 00:00,51.62,7.74,37.78,12.7,3.19,1.79,58.76,64.63,132.0,0.76,95.56,44.98,715.44,4.6,21.5,10-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jan-2019 - 00:00,51.6,7.19,37.09,11.86,3.33,0.69,84.02,59.64,109.07,0.69,89.64,61.0,745.07,3.99,20.12,11-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jan-2019 - 00:00,56.42,11.17,44.16,17.4,4.34,2.34,58.89,56.67,188.36,0.92,124.59,38.19,715.8,5.63,25.66,12-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jan-2019 - 00:00,53.33,10.19,39.63,13.86,3.98,1.86,67.98,73.0,140.71,0.84,100.43,58.12,716.07,5.04,24.92,13-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Jan-2019 - 00:00,48.47,9.41,34.21,10.36,3.35,1.48,62.66,62.33,125.25,0.85,107.17,54.28,716.22,3.96,25.21,14-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jan-2019 - 00:00,49.07,8.57,36.97,13.36,3.13,1.74,55.25,63.54,123.25,0.84,99.55,56.56,715.75,4.46,24.07,15-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jan-2019 - 00:00,50.96,6.01,34.32,8.86,3.56,1.21,60.39,43.0,95.38,0.56,93.34,38.32,716.27,3.54,21.38,16-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jan-2019 - 00:00,51.27,6.67,34.28,8.6,4.58,1.54,72.41,63.79,122.04,0.6,99.4,47.82,716.28,3.64,21.29,17-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jan-2019 - 00:00,54.02,9.65,39.98,13.83,4.53,2.46,49.94,118.43,229.3,1.05,97.07,53.5,715.25,4.95,23.21,18-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jan-2019 - 00:00,46.18,8.9,33.24,10.67,1.99,1.85,49.68,84.13,145.5,1.1,94.2,59.47,715.26,4.8,22.88,19-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jan-2019 - 00:00,59.61,13.61,44.07,15.65,3.25,1.66,47.52,55.79,118.88,0.76,91.11,49.83,716.06,4.64,25.36,20-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jan-2019 - 00:00,57.35,12.62,39.27,10.78,3.32,1.07,65.14,43.62,109.33,0.6,96.15,43.73,717.17,3.95,29.66,21-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jan-2019 - 00:00,54.39,9.28,36.93,9.84,3.09,1.41,59.14,55.04,122.04,0.63,101.3,51.4,716.07,3.98,25.47,22-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jan-2019 - 00:00,56.1,9.38,42.92,16.1,3.81,1.55,76.46,82.17,181.88,0.74,146.5,55.16,715.89,5.31,22.18,23-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
