from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WD,WS,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Jan-2019 - 00:00,75.76,159.86,53.78,79.46,1.84,1.7,8.16,308.53,428.01,13.69,1.44,3.85,7.92,4.1,76.98,183.6,169.39,1.14,0.0,05-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Jan-2019 - 00:00,85.19,188.55,64.39,92.47,1.28,2.02,14.17,336.17,629.71,22.92,3.55,9.51,18.85,9.35,67.21,253.16,98.58,2.31,0.0,06-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Jan-2019 - 00:00,51.73,118.9,21.59,43.56,1.4,1.06,23.66,152.8,373.27,11.7,3.49,6.66,14.02,6.38,72.98,211.82,191.88,1.99,0.0,07-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Jan-2019 - 00:00,52.03,111.14,22.34,44.17,1.02,0.93,11.24,155.03,456.65,8.84,1.94,4.2,8.37,3.96,81.04,232.68,284.08,1.63,0.0,08-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Jan-2019 - 00:00,46.52,86.92,28.84,76.19,1.37,0.74,12.65,178.76,437.36,9.15,1.59,3.45,6.98,3.15,81.73,272.91,265.38,1.91,0.0,09-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Jan-2019 - 00:00,43.9,38.16,19.89,98.01,1.99,0.52,15.29,127.99,448.48,7.29,1.74,2.81,5.6,2.72,62.2,332.47,286.29,2.69,0.0,10-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Jan-2019 - 00:00,64.36,74.58,56.07,148.55,3.55,1.05,10.08,153.13,391.38,9.7,1.55,2.67,5.54,2.58,44.28,267.64,260.81,1.68,0.0,11-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Jan-2019 - 00:00,95.71,143.06,124.83,261.72,8.04,2.02,13.28,298.12,818.11,22.47,2.34,7.2,14.55,7.06,62.67,66.98,147.62,1.47,0.0,12-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Jan-2019 - 00:00,95.45,120.96,95.09,240.18,8.05,1.81,12.19,297.47,615.9,24.02,3.75,10.01,20.59,9.19,66.37,221.18,158.74,1.65,0.0,13-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Jan-2019 - 00:00,60.66,52.84,27.8,143.2,7.41,1.38,17.55,248.02,541.78,18.18,3.94,7.98,17.7,7.85,71.88,214.49,228.1,2.26,0.0,14-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Jan-2019 - 00:00,33.96,24.99,9.36,70.24,4.42,0.6,16.63,87.96,365.85,6.32,1.33,2.73,6.01,3.24,61.81,325.77,293.66,3.26,0.0,15-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Jan-2019 - 00:00,44.1,37.38,18.77,83.77,6.39,0.82,11.04,55.6,138.59,7.09,1.36,2.43,4.37,2.09,70.62,226.05,264.3,2.24,0.0,16-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Jan-2019 - 00:00,103.44,116.59,83.91,143.75,10.54,2.0,8.98,316.46,627.61,17.29,2.12,2.97,12.5,6.3,69.84,214.04,158.05,1.41,0.0,17-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Jan-2019 - 00:00,85.92,92.52,63.75,44.69,9.97,2.53,15.82,356.75,440.11,29.93,2.93,3.45,21.83,10.24,68.77,242.98,231.77,1.84,0.0,18-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Jan-2019 - 00:00,58.6,60.86,40.29,35.63,5.29,1.37,9.68,162.63,239.28,11.5,2.21,2.99,7.67,3.49,80.34,223.96,258.0,1.73,0.0,19-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Jan-2019 - 00:00,76.04,88.99,68.76,47.09,6.89,1.72,9.95,252.1,309.61,14.9,3.32,3.43,10.34,4.55,69.74,276.14,202.44,1.56,0.0,20-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Jan-2019 - 00:00,99.98,158.89,139.68,51.04,7.56,3.32,12.37,282.3,440.2,26.56,3.26,3.45,22.07,9.73,54.06,298.7,145.46,1.68,0.0,21-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Jan-2019 - 00:00,60.16,74.81,56.79,92.39,4.83,1.53,16.82,116.65,257.34,16.53,3.24,2.82,18.74,8.09,49.28,233.16,110.09,4.06,0.0,22-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Jan-2019 - 00:00,49.26,30.6,5.9,61.64,9.46,0.57,13.18,41.78,66.68,7.54,1.99,2.8,8.89,4.95,58.16,15.48,114.75,3.19,0.0,23-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Jan-2019 - 00:00,48.48,38.93,17.55,66.71,6.66,1.07,5.3,68.68,110.37,12.26,2.72,4.91,36.48,22.91,70.29,213.13,234.08,1.61,0.0,24-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Jan-2019 - 00:00,45.55,29.3,7.66,67.6,3.37,0.98,12.46,103.46,158.78,11.43,3.09,3.83,24.65,13.96,79.53,184.32,192.88,2.13,0.0,25-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Jan-2019 - 00:00,36.1,20.86,3.22,64.98,2.11,0.53,13.29,53.07,75.06,7.23,2.67,3.01,13.44,7.27,80.24,296.13,255.37,2.14,0.0,26-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Jan-2019 - 00:00,32.61,21.62,5.57,46.15,4.39,0.57,12.62,63.06,93.71,7.33,2.7,3.21,12.46,6.45,68.13,398.3,301.86,2.23,0.0,27-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Jan-2019 - 00:00,30.92,26.03,10.6,32.13,6.41,0.65,10.4,72.19,147.41,7.53,2.86,3.0,13.02,6.73,73.22,284.49,286.9,2.68,0.0,28-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Jan-2019 - 00:00,32.15,21.43,5.44,27.21,1.77,0.57,11.42,64.3,134.94,6.45,2.01,2.96,11.89,6.28,65.3,391.31,290.3,2.88,0.0,29-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
29-Jan-2019 - 00:00,38.52,26.8,7.17,26.81,1.94,0.64,9.47,70.64,151.63,6.96,2.39,2.85,10.67,5.21,62.29,397.81,289.59,2.33,0.0,30-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
