from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,to date,station
01-Jan-2019 - 00:00,333.78,196.95,20.28,23.25,43.54,1.58,,34.51,0.0,02-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jan-2019 - 00:00,350.08,218.92,21.61,22.57,44.18,1.6,,36.03,0.94,03-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jan-2019 - 00:00,387.53,243.45,22.77,22.4,45.17,1.89,,38.19,0.13,04-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jan-2019 - 00:00,341.77,187.41,19.54,22.46,42.0,1.8,,36.96,2.51,05-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jan-2019 - 00:00,331.31,195.16,27.28,21.0,48.29,2.42,,37.52,0.0,06-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jan-2019 - 00:00,192.64,121.72,20.47,21.89,42.36,1.89,,36.73,0.0,07-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jan-2019 - 00:00,198.78,109.54,23.54,20.87,44.41,1.51,,36.83,0.0,08-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jan-2019 - 00:00,169.33,95.08,21.6,20.89,42.49,1.43,,37.36,0.0,09-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jan-2019 - 00:00,162.58,82.7,13.94,22.63,36.56,1.26,,41.34,3.27,10-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jan-2019 - 00:00,161.98,77.15,13.61,25.17,38.73,1.31,,42.97,5.53,11-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jan-2019 - 00:00,337.42,185.12,26.88,24.99,52.32,1.26,,33.52,1.91,12-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jan-2019 - 00:00,320.79,168.1,12.73,27.61,40.34,0.9,,26.85,0.0,13-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-Jan-2019 - 00:00,333.58,183.93,11.57,27.41,38.98,0.89,,27.13,0.0,14-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-Jan-2019 - 00:00,115.57,55.31,4.42,25.6,30.02,0.42,,27.22,0.0,15-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-Jan-2019 - 00:00,129.06,61.76,5.64,25.44,31.08,0.35,,26.94,0.0,16-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-Jan-2019 - 00:00,300.01,160.73,11.75,27.65,39.4,0.66,,28.85,1.97,17-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-Jan-2019 - 00:00,394.54,213.12,17.48,27.67,45.15,1.17,,26.86,0.0,18-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-Jan-2019 - 00:00,273.66,144.56,8.89,27.58,36.47,0.71,,25.05,1.78,19-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-Jan-2019 - 00:00,287.57,128.55,13.92,28.17,42.1,0.78,,24.59,0.0,20-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-Jan-2019 - 00:00,275.05,175.46,30.4,25.94,6.29,0.96,,24.37,0.0,21-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
21-Jan-2019 - 00:00,180.46,104.38,30.53,26.42,21.21,0.68,,21.92,0.0,22-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
