from date,CO,PM10,SO2,to date,station
09-Jul-2019 - 00:00,0.72,65.5,16.43,10-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jul-2019 - 00:00,0.78,97.39,12.96,11-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jul-2019 - 00:00,0.5,79.14,14.07,12-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jul-2019 - 00:00,1.15,63.03,12.69,13-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jul-2019 - 00:00,0.7,107.28,14.22,14-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jul-2019 - 00:00,1.25,126.66,15.64,15-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jul-2019 - 00:00,0.82,172.43,15.98,16-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jul-2019 - 00:00,,,,17-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jul-2019 - 00:00,0.71,51.12,24.8,18-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jul-2019 - 00:00,0.72,61.51,16.23,19-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jul-2019 - 00:00,1.38,38.67,29.34,20-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Jul-2019 - 00:00,1.49,59.57,20.84,21-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Jul-2019 - 00:00,0.07,31.81,19.14,22-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Jul-2019 - 00:00,0.08,59.02,14.94,23-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Jul-2019 - 00:00,0.0,49.99,18.69,24-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Jul-2019 - 00:00,0.0,53.12,13.83,25-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Jul-2019 - 00:00,0.0,,11.03,26-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Jul-2019 - 00:00,0.0,77.55,19.51,27-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Jul-2019 - 00:00,0.0,59.32,17.48,28-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Jul-2019 - 00:00,0.0,23.23,12.08,29-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Jul-2019 - 00:00,0.0,35.13,10.75,30-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Jul-2019 - 00:00,,63.76,13.73,31-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Jul-2019 - 00:00,,53.6,12.83,01-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Aug-2019 - 00:00,,58.69,12.5,02-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Aug-2019 - 00:00,,48.26,11.55,03-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Aug-2019 - 00:00,,28.64,15.79,04-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Aug-2019 - 00:00,,33.93,15.92,05-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Aug-2019 - 00:00,,50.31,16.47,06-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Aug-2019 - 00:00,,38.96,16.75,07-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Aug-2019 - 00:00,,19.28,15.44,08-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Aug-2019 - 00:00,,31.88,16.24,09-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Aug-2019 - 00:00,,59.68,16.3,10-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Aug-2019 - 00:00,,72.88,17.02,11-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Aug-2019 - 00:00,,50.67,15.75,12-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Aug-2019 - 00:00,,45.78,13.86,13-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Aug-2019 - 00:00,,25.22,15.29,14-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Aug-2019 - 00:00,,40.27,15.46,15-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Aug-2019 - 00:00,,41.23,21.88,16-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Aug-2019 - 00:00,,82.07,14.6,17-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Aug-2019 - 00:00,,52.89,15.72,18-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Aug-2019 - 00:00,,41.11,15.68,19-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Aug-2019 - 00:00,,32.7,15.7,20-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Aug-2019 - 00:00,,47.11,16.05,21-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Aug-2019 - 00:00,,49.76,13.16,22-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Aug-2019 - 00:00,,64.01,16.99,23-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Aug-2019 - 00:00,,69.92,15.18,24-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Aug-2019 - 00:00,,34.88,16.29,25-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Aug-2019 - 00:00,,,,26-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Aug-2019 - 00:00,,42.14,14.76,27-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Aug-2019 - 00:00,,40.64,14.92,28-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Aug-2019 - 00:00,,45.28,15.53,29-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Aug-2019 - 00:00,,41.43,17.17,30-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Aug-2019 - 00:00,,66.08,15.66,31-Aug-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Aug-2019 - 00:00,,60.7,14.85,01-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Sep-2019 - 00:00,,48.02,14.89,02-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Sep-2019 - 00:00,,28.98,14.16,03-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Sep-2019 - 00:00,,23.17,14.9,04-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Sep-2019 - 00:00,,21.01,14.46,05-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Sep-2019 - 00:00,,24.58,15.21,06-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Sep-2019 - 00:00,,33.91,15.76,07-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Sep-2019 - 00:00,,22.65,14.97,08-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Sep-2019 - 00:00,,38.84,15.16,09-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Sep-2019 - 00:00,,41.18,14.29,10-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Sep-2019 - 00:00,,49.92,14.43,11-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Sep-2019 - 00:00,,55.15,13.54,12-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Sep-2019 - 00:00,,40.07,14.52,13-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Sep-2019 - 00:00,,39.71,16.64,14-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Sep-2019 - 00:00,,43.32,16.36,15-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Sep-2019 - 00:00,,65.93,13.46,16-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Sep-2019 - 00:00,,51.71,13.2,17-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Sep-2019 - 00:00,,45.61,12.98,18-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Sep-2019 - 00:00,,,,19-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Sep-2019 - 00:00,,,,20-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Sep-2019 - 00:00,,,,21-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Sep-2019 - 00:00,,45.79,12.04,22-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Sep-2019 - 00:00,,55.38,13.65,23-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Sep-2019 - 00:00,,45.61,14.75,24-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Sep-2019 - 00:00,,28.01,10.77,25-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Sep-2019 - 00:00,,29.85,13.04,26-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Sep-2019 - 00:00,,30.96,13.59,27-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Sep-2019 - 00:00,,33.5,12.29,28-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Sep-2019 - 00:00,,29.46,14.28,29-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Sep-2019 - 00:00,,33.89,13.61,30-Sep-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Sep-2019 - 00:00,,40.41,15.58,01-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Oct-2019 - 00:00,,48.19,15.3,02-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Oct-2019 - 00:00,,64.69,14.92,03-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Oct-2019 - 00:00,,76.93,17.17,04-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Oct-2019 - 00:00,,74.84,15.16,05-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Oct-2019 - 00:00,,71.54,28.85,06-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Oct-2019 - 00:00,,60.3,16.0,07-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Oct-2019 - 00:00,,48.79,15.05,08-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Oct-2019 - 00:00,,45.21,16.08,09-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Oct-2019 - 00:00,,14.86,15.37,10-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Oct-2019 - 00:00,,,14.11,11-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Oct-2019 - 00:00,,,14.64,12-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Oct-2019 - 00:00,,,13.91,13-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Oct-2019 - 00:00,,,15.58,14-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Oct-2019 - 00:00,,,15.36,15-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Oct-2019 - 00:00,,,14.28,16-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Oct-2019 - 00:00,,,,17-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Oct-2019 - 00:00,,,,18-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Oct-2019 - 00:00,,,,19-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Oct-2019 - 00:00,,,,20-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Oct-2019 - 00:00,,,,21-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Oct-2019 - 00:00,,,,22-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Oct-2019 - 00:00,,,,23-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Oct-2019 - 00:00,,,20.82,24-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Oct-2019 - 00:00,,,14.68,25-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Oct-2019 - 00:00,,,13.01,26-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Oct-2019 - 00:00,,,13.76,27-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Oct-2019 - 00:00,,,17.12,28-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Oct-2019 - 00:00,,,13.07,29-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Oct-2019 - 00:00,,,13.43,30-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Oct-2019 - 00:00,,,14.9,31-Oct-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Oct-2019 - 00:00,,,16.72,01-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Nov-2019 - 00:00,,,16.08,02-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Nov-2019 - 00:00,,,14.31,03-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Nov-2019 - 00:00,,,15.94,04-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Nov-2019 - 00:00,,,16.08,05-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Nov-2019 - 00:00,,,15.65,06-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Nov-2019 - 00:00,,,15.29,07-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Nov-2019 - 00:00,,,14.18,08-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Nov-2019 - 00:00,,,,09-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Nov-2019 - 00:00,,,,10-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Nov-2019 - 00:00,,,,11-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Nov-2019 - 00:00,,,,12-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Nov-2019 - 00:00,,,,13-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Nov-2019 - 00:00,,,,14-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Nov-2019 - 00:00,,,,15-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Nov-2019 - 00:00,,,,16-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Nov-2019 - 00:00,,,,17-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Nov-2019 - 00:00,,,,18-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Nov-2019 - 00:00,,,,19-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Nov-2019 - 00:00,,,,20-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Nov-2019 - 00:00,,,,21-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Nov-2019 - 00:00,,,,22-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Nov-2019 - 00:00,,,,23-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Nov-2019 - 00:00,,,,24-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Nov-2019 - 00:00,,,,25-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Nov-2019 - 00:00,,,,26-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Nov-2019 - 00:00,,,,27-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Nov-2019 - 00:00,,,,28-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Nov-2019 - 00:00,,,,29-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Nov-2019 - 00:00,,,,30-Nov-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Nov-2019 - 00:00,,,,01-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Dec-2019 - 00:00,,,,02-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Dec-2019 - 00:00,,,,03-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Dec-2019 - 00:00,,,,04-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Dec-2019 - 00:00,,,,05-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Dec-2019 - 00:00,,,,06-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Dec-2019 - 00:00,,,,07-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Dec-2019 - 00:00,,,,08-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Dec-2019 - 00:00,,,,09-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Dec-2019 - 00:00,,,,10-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Dec-2019 - 00:00,,,,11-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Dec-2019 - 00:00,,,,12-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Dec-2019 - 00:00,,,,13-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Dec-2019 - 00:00,,,,14-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Dec-2019 - 00:00,,,,15-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Dec-2019 - 00:00,,,,16-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Dec-2019 - 00:00,,,,17-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Dec-2019 - 00:00,,,,18-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Dec-2019 - 00:00,,,,19-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Dec-2019 - 00:00,,,,20-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Dec-2019 - 00:00,,,,21-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Dec-2019 - 00:00,,,,22-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Dec-2019 - 00:00,,,,23-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Dec-2019 - 00:00,,,,24-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Dec-2019 - 00:00,,,,25-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Dec-2019 - 00:00,,,,26-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Dec-2019 - 00:00,,,,27-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Dec-2019 - 00:00,,,,28-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Dec-2019 - 00:00,,,,29-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Dec-2019 - 00:00,,,,30-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Dec-2019 - 00:00,,,,31-Dec-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Dec-2019 - 00:00,,,,01-Jan-2020 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
