from date,CO,PM10,SO2,to date,station
13-Feb-2019 - 00:00,0.72,,13.8,14-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Feb-2019 - 00:00,0.75,,16.54,15-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Feb-2019 - 00:00,1.02,,10.49,16-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Feb-2019 - 00:00,0.61,,10.61,17-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Feb-2019 - 00:00,0.68,,6.56,18-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Feb-2019 - 00:00,0.94,,8.6,19-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Feb-2019 - 00:00,0.79,,11.44,20-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Feb-2019 - 00:00,0.8,,11.57,21-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Feb-2019 - 00:00,1.27,,11.72,22-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Feb-2019 - 00:00,1.0,,15.07,23-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Feb-2019 - 00:00,1.23,,21.28,24-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Feb-2019 - 00:00,0.78,,8.72,25-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Feb-2019 - 00:00,0.63,,10.31,26-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Feb-2019 - 00:00,0.66,,12.23,27-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Feb-2019 - 00:00,0.62,,12.35,28-Feb-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Feb-2019 - 00:00,0.82,,11.71,01-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
