from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
18-May-2019 - 00:00,54.58,90.56,42.78,5.87,27.06,45.86,6.71,0.56,35.3,9.78,,,2.22,19-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-May-2019 - 00:00,78.95,108.35,47.36,9.47,32.34,36.76,12.19,0.81,42.67,10.21,,,2.68,20-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-May-2019 - 00:00,97.91,180.83,69.59,29.44,59.97,41.82,22.56,0.95,40.75,10.21,,,2.69,21-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-May-2019 - 00:00,64.49,153.89,51.01,9.86,34.56,36.33,21.94,0.85,47.49,10.03,,,2.67,22-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-May-2019 - 00:00,69.94,141.0,51.96,13.15,37.69,37.92,14.93,0.78,33.22,9.92,,,2.37,23-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-May-2019 - 00:00,77.84,145.45,55.01,21.36,45.63,42.65,15.14,0.85,62.49,10.18,,,2.59,24-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-May-2019 - 00:00,61.15,118.08,49.5,16.95,39.46,44.61,12.3,0.75,39.2,8.42,,,2.28,25-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-May-2019 - 00:00,60.82,107.3,37.05,4.06,22.62,32.67,14.42,0.54,58.95,9.15,,,2.48,26-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-May-2019 - 00:00,68.28,104.03,36.59,3.53,21.95,25.6,16.24,0.54,70.24,9.25,,,2.77,27-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-May-2019 - 00:00,70.57,125.87,54.48,6.31,33.46,26.32,23.87,0.69,66.13,8.67,,,3.34,28-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-May-2019 - 00:00,78.72,140.64,64.68,6.86,39.3,26.0,29.48,0.87,63.62,8.75,,,2.66,29-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-May-2019 - 00:00,87.89,177.09,66.89,27.06,56.61,29.38,24.54,1.27,74.09,9.21,,,2.95,30-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-May-2019 - 00:00,114.29,229.44,74.85,38.11,69.67,35.05,29.16,1.3,57.95,8.88,,,2.75,31-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-May-2019 - 00:00,86.42,263.83,56.07,28.2,51.91,30.23,15.1,1.06,58.84,7.52,,,3.05,01-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jun-2019 - 00:00,86.63,195.85,49.77,12.56,36.04,36.73,12.23,0.8,81.58,4.1,,,4.01,02-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jun-2019 - 00:00,73.67,207.45,26.97,2.69,16.25,66.87,4.5,0.9,89.52,4.11,,,4.03,03-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jun-2019 - 00:00,82.31,250.74,18.71,2.48,11.77,49.01,1.84,0.89,90.39,4.09,,,4.01,04-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jun-2019 - 00:00,104.92,163.81,22.29,1.81,13.1,28.8,0.81,0.85,96.35,4.11,,,4.02,05-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jun-2019 - 00:00,94.79,193.65,29.91,1.86,17.12,23.84,0.88,0.93,91.93,4.08,,,4.03,06-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jun-2019 - 00:00,67.65,191.08,42.33,7.29,27.96,19.11,5.04,0.6,55.84,4.1,,,4.04,07-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jun-2019 - 00:00,118.85,154.32,32.17,1.99,18.4,25.48,3.73,0.82,49.52,4.1,,,3.98,08-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jun-2019 - 00:00,124.84,166.86,47.39,12.6,34.86,27.42,8.27,0.98,19.75,4.08,,,4.01,09-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jun-2019 - 00:00,126.83,230.72,70.06,27.56,58.71,35.79,17.48,1.04,19.24,4.08,,,4.02,10-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jun-2019 - 00:00,141.89,211.97,63.26,25.06,53.14,26.81,22.69,1.09,20.94,4.06,,,3.98,11-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jun-2019 - 00:00,217.68,488.03,43.97,9.74,30.77,35.3,16.56,0.55,14.07,4.12,,,4.03,12-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jun-2019 - 00:00,123.55,271.35,25.89,2.95,15.9,30.66,7.23,0.64,17.65,4.1,,,4.01,13-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jun-2019 - 00:00,167.94,171.76,31.56,4.03,19.72,30.96,7.3,0.61,21.43,4.08,,,4.0,14-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jun-2019 - 00:00,112.81,152.31,52.75,5.3,31.81,21.55,17.31,0.66,22.28,4.06,,,4.03,15-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jun-2019 - 00:00,137.41,215.41,49.81,8.41,31.61,27.31,17.07,0.6,21.45,4.12,,,4.02,16-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jun-2019 - 00:00,50.76,95.97,30.07,8.67,20.26,37.05,2.87,0.42,9.37,4.1,,,4.01,17-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jun-2019 - 00:00,45.04,85.3,45.81,12.59,31.63,31.72,4.13,0.49,9.13,4.08,,,4.05,18-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jun-2019 - 00:00,48.05,89.02,36.98,10.15,25.06,22.3,5.05,0.57,18.97,4.12,,,4.0,19-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jun-2019 - 00:00,50.69,168.6,36.17,19.27,31.95,36.53,4.34,0.72,33.71,4.1,,,4.02,20-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jun-2019 - 00:00,62.71,130.28,30.21,7.16,19.12,28.83,5.01,0.54,35.53,4.1,,,4.06,21-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jun-2019 - 00:00,78.04,192.45,42.53,8.33,26.49,24.63,4.52,0.86,35.79,4.08,,,4.03,22-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jun-2019 - 00:00,67.47,172.12,41.41,7.13,24.95,24.02,18.13,0.69,46.52,4.11,,,4.03,23-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jun-2019 - 00:00,91.8,136.4,14.33,5.38,9.39,28.39,2.58,0.56,36.64,4.1,,,4.04,24-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jun-2019 - 00:00,34.78,80.61,19.87,6.4,13.11,26.55,1.4,0.54,19.89,4.09,,,4.01,25-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jun-2019 - 00:00,59.79,108.78,27.72,6.87,17.59,25.54,1.54,0.67,29.52,4.12,,,4.03,26-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jun-2019 - 00:00,64.25,152.25,37.7,7.12,23.01,21.84,3.66,0.75,30.58,4.13,,,4.02,27-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jun-2019 - 00:00,107.41,262.92,39.42,12.28,28.04,23.28,7.06,0.69,35.22,4.12,,,4.03,28-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jun-2019 - 00:00,79.71,200.1,36.17,8.17,23.04,21.42,8.32,0.51,26.8,3.46,,,3.93,29-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jun-2019 - 00:00,88.53,215.42,29.66,8.95,20.26,24.05,10.74,0.45,24.84,3.1,,,4.03,30-Jun-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jun-2019 - 00:00,99.45,245.93,31.05,9.3,21.28,31.07,9.65,0.44,26.92,3.09,,,4.0,01-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jul-2019 - 00:00,49.29,163.74,28.67,9.29,20.02,31.48,6.9,0.42,28.14,3.11,,,4.02,02-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jul-2019 - 00:00,82.1,218.03,26.21,6.51,16.51,27.83,6.9,0.61,46.8,3.1,,,4.01,03-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jul-2019 - 00:00,36.64,98.94,17.48,6.49,11.93,35.12,1.6,0.58,25.69,3.13,,,4.03,04-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jul-2019 - 00:00,29.25,76.79,28.63,9.81,20.42,34.28,1.58,0.67,21.69,3.08,,,4.02,05-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jul-2019 - 00:00,29.44,74.1,31.59,11.31,23.13,42.47,1.15,0.73,14.62,3.08,,,4.01,06-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jul-2019 - 00:00,27.27,85.08,27.83,8.95,19.31,37.7,0.95,0.69,18.49,3.1,,,4.04,07-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jul-2019 - 00:00,31.73,92.66,27.5,7.84,18.25,34.92,1.1,0.67,26.58,3.07,,,4.03,08-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jul-2019 - 00:00,129.54,118.06,31.85,9.28,21.64,34.9,1.44,0.54,24.0,3.07,,,4.02,09-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jul-2019 - 00:00,52.95,115.88,27.78,8.43,18.87,27.79,1.46,0.51,20.84,3.09,,,4.02,10-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jul-2019 - 00:00,59.58,252.16,26.09,8.5,18.23,28.4,2.23,0.48,28.19,3.08,,,4.02,11-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jul-2019 - 00:00,68.76,267.11,28.69,8.66,19.52,25.37,3.78,0.4,21.89,3.0,,,3.82,12-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jul-2019 - 00:00,61.52,226.18,27.01,10.78,20.35,29.14,4.34,0.4,16.74,3.1,,,4.02,13-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jul-2019 - 00:00,50.76,174.09,22.51,9.77,17.19,25.83,4.33,0.35,20.68,3.11,,,4.04,14-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jul-2019 - 00:00,50.08,192.38,19.84,8.29,14.61,29.11,2.97,0.38,23.36,3.11,,,4.0,15-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jul-2019 - 00:00,93.14,229.23,26.15,8.61,18.16,27.69,2.37,0.53,25.89,3.11,,,4.02,16-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jul-2019 - 00:00,43.63,102.65,26.64,7.6,17.6,25.05,1.48,0.61,24.05,3.1,,,4.02,17-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jul-2019 - 00:00,32.39,70.18,28.79,9.11,19.94,27.19,1.86,0.55,24.83,3.1,,,4.02,18-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jul-2019 - 00:00,23.47,52.3,27.21,9.74,19.62,28.03,1.61,0.55,13.93,3.11,,,4.04,19-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jul-2019 - 00:00,24.77,94.8,31.42,10.33,22.29,29.88,1.42,0.64,20.75,3.1,,,4.01,20-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jul-2019 - 00:00,22.09,95.96,37.61,20.18,33.41,27.78,1.36,0.77,12.86,3.09,,,4.01,21-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jul-2019 - 00:00,19.31,118.76,25.99,12.91,21.52,35.22,0.76,0.73,12.82,3.09,,,4.02,22-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jul-2019 - 00:00,64.7,99.12,30.49,9.33,21.0,27.48,1.37,0.82,21.72,3.1,,,4.03,23-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jul-2019 - 00:00,49.92,124.4,27.34,12.66,22.01,28.57,0.91,0.84,41.59,3.13,,,4.02,24-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jul-2019 - 00:00,41.74,110.89,21.2,7.28,14.51,22.17,1.18,0.54,10.02,3.11,,,4.02,25-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jul-2019 - 00:00,25.93,47.35,27.09,10.02,19.78,25.74,1.68,0.55,9.76,3.12,,,4.06,26-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jul-2019 - 00:00,35.57,81.28,22.33,10.45,17.64,32.55,1.33,0.62,18.4,3.1,,,4.02,27-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jul-2019 - 00:00,24.0,38.67,14.53,9.21,12.57,31.27,1.21,0.52,9.86,3.12,,,4.04,28-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jul-2019 - 00:00,18.83,44.54,6.3,7.01,6.51,26.92,0.96,0.43,21.69,3.11,,,4.01,29-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jul-2019 - 00:00,28.14,47.29,4.88,7.87,6.45,28.72,1.15,0.44,14.76,3.15,,,4.09,30-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jul-2019 - 00:00,49.05,68.07,28.5,7.47,18.48,16.23,5.98,0.62,17.02,2.93,,,3.81,31-Jul-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Jul-2019 - 00:00,71.38,72.33,22.96,7.37,15.5,22.14,3.21,0.59,17.88,3.1,,,4.03,01-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Aug-2019 - 00:00,88.37,260.83,21.59,6.85,14.37,20.44,8.22,0.57,18.7,3.13,,,4.01,02-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Aug-2019 - 00:00,62.52,350.71,33.22,10.97,23.74,19.17,3.57,0.85,19.73,3.09,,,4.01,03-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Aug-2019 - 00:00,68.11,393.48,34.75,16.28,28.78,24.66,3.25,0.84,14.88,3.12,,,4.01,04-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Aug-2019 - 00:00,74.61,452.36,25.01,11.89,20.2,26.85,3.5,0.89,12.26,3.1,,,4.01,05-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Aug-2019 - 00:00,75.31,425.23,17.77,8.48,13.68,23.12,3.61,0.73,9.78,3.11,,,4.04,06-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Aug-2019 - 00:00,49.44,298.32,18.01,8.93,14.17,27.94,2.81,0.62,2.53,3.1,,,4.01,07-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Aug-2019 - 00:00,47.56,,26.2,13.06,21.75,22.48,3.41,0.85,0.91,3.11,,,4.02,08-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Aug-2019 - 00:00,123.98,,28.67,11.12,21.49,10.76,3.07,0.56,3.11,3.12,,,4.03,09-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Aug-2019 - 00:00,64.32,,31.22,7.19,19.67,22.15,3.51,0.35,24.51,3.09,,,4.02,10-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Aug-2019 - 00:00,39.28,,13.36,6.94,10.14,19.69,3.6,0.37,24.67,3.09,,,4.02,11-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Aug-2019 - 00:00,50.78,,15.0,7.1,11.12,15.54,3.41,0.42,18.37,3.1,,,4.0,12-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Aug-2019 - 00:00,45.26,,26.79,8.67,18.54,19.43,3.49,0.47,13.43,3.1,,,4.02,13-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Aug-2019 - 00:00,51.3,,26.08,8.92,18.36,27.38,3.57,0.49,15.11,3.1,,,4.02,14-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Aug-2019 - 00:00,50.07,,28.18,11.54,21.57,16.52,3.29,0.71,17.11,3.11,,,4.01,15-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Aug-2019 - 00:00,88.69,,17.08,8.5,13.34,27.17,3.82,0.5,4.27,3.07,,,3.97,16-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Aug-2019 - 00:00,44.52,,17.56,7.2,12.55,26.73,3.24,0.39,3.36,3.13,,,4.01,17-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Aug-2019 - 00:00,16.18,,9.83,8.2,9.3,32.07,3.4,0.32,1.6,3.09,,,4.01,18-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Aug-2019 - 00:00,20.61,,16.85,11.2,15.38,25.07,3.51,0.47,8.37,3.15,,,4.02,19-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Aug-2019 - 00:00,132.74,148.75,28.93,18.01,27.15,8.9,2.84,0.66,8.67,3.12,,,4.03,20-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Aug-2019 - 00:00,102.44,113.08,32.71,10.77,23.32,28.64,3.17,0.55,28.05,3.1,,,4.02,21-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Aug-2019 - 00:00,30.89,129.02,31.57,9.67,21.85,24.05,3.25,0.54,19.73,3.1,,,4.02,22-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Aug-2019 - 00:00,45.27,120.29,29.99,8.94,20.43,23.28,3.01,0.52,31.48,3.12,,,4.02,23-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Aug-2019 - 00:00,36.51,139.35,33.85,8.69,22.25,21.66,3.13,0.65,31.78,3.1,,,4.0,24-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Aug-2019 - 00:00,42.0,136.13,25.23,7.91,17.11,27.84,3.07,0.59,47.25,3.13,,,4.03,25-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Aug-2019 - 00:00,9.96,66.33,18.0,7.38,12.96,27.85,3.19,0.54,31.94,3.11,,,4.01,26-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Aug-2019 - 00:00,16.09,60.29,19.36,10.04,15.76,26.63,3.47,0.5,21.37,3.09,,,4.01,27-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Aug-2019 - 00:00,13.55,93.94,22.74,10.76,18.11,26.69,2.99,0.59,29.62,3.08,,,4.01,28-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Aug-2019 - 00:00,38.43,91.17,18.96,6.94,13.06,22.68,6.58,0.57,20.94,3.11,,,4.02,29-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Aug-2019 - 00:00,93.18,87.63,18.05,7.17,12.77,27.63,3.48,0.59,18.44,3.09,,,4.01,30-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Aug-2019 - 00:00,76.33,99.42,27.21,7.91,18.26,23.72,3.12,0.69,26.59,3.13,,,4.05,31-Aug-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Aug-2019 - 00:00,66.42,119.38,29.95,8.84,20.33,22.17,3.27,0.75,21.29,3.09,,,4.02,01-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Sep-2019 - 00:00,39.22,88.73,24.41,10.01,18.22,29.65,3.21,0.71,39.32,3.03,,,3.93,02-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Sep-2019 - 00:00,48.11,83.82,27.92,11.35,21.21,32.5,2.97,0.91,43.22,3.1,,,4.01,03-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Sep-2019 - 00:00,88.45,122.83,36.22,11.05,25.38,23.35,8.29,0.99,40.3,3.09,,,4.01,04-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Sep-2019 - 00:00,100.91,155.25,30.95,13.86,24.88,21.34,5.42,1.11,29.5,3.08,,,3.95,05-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Sep-2019 - 00:00,34.92,65.32,14.59,7.1,10.92,23.65,10.02,0.57,17.63,3.1,,,4.01,06-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Sep-2019 - 00:00,30.42,58.42,18.4,8.51,14.02,29.0,9.28,0.65,13.1,3.1,,,4.02,07-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Sep-2019 - 00:00,31.19,52.48,15.59,9.27,13.18,22.58,16.0,0.61,10.87,3.08,,,4.02,08-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Sep-2019 - 00:00,28.54,38.5,19.24,12.08,17.33,19.96,13.8,0.7,32.5,3.12,,,3.99,09-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Sep-2019 - 00:00,57.71,131.73,31.04,28.63,36.76,28.0,19.12,1.06,20.71,3.1,,,4.04,10-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Sep-2019 - 00:00,77.19,180.57,51.15,41.35,57.48,34.17,5.54,1.17,34.52,3.1,,,4.02,11-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Sep-2019 - 00:00,78.32,154.21,38.01,9.84,25.34,25.06,5.66,0.98,36.44,3.1,,,4.03,12-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Sep-2019 - 00:00,68.06,123.29,20.38,6.29,13.29,22.53,12.08,0.8,21.91,3.09,,,4.03,13-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Sep-2019 - 00:00,38.36,65.75,15.7,7.23,11.6,21.41,12.33,0.65,8.41,3.09,,,4.03,14-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Sep-2019 - 00:00,34.39,65.77,18.47,6.72,12.65,19.36,12.28,0.6,14.96,3.1,,,4.0,15-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Sep-2019 - 00:00,34.63,58.49,16.32,6.47,11.31,17.32,11.67,0.61,19.26,3.08,,,4.02,16-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Sep-2019 - 00:00,50.58,94.0,36.14,13.51,27.31,19.44,11.76,0.9,33.12,3.13,,,4.02,17-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Sep-2019 - 00:00,56.3,110.86,30.32,6.79,18.88,20.04,12.48,0.7,32.19,3.13,,,4.04,18-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Sep-2019 - 00:00,37.72,79.7,18.55,6.1,12.18,18.97,11.22,0.55,34.66,3.08,,,4.03,19-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Sep-2019 - 00:00,26.63,50.8,14.89,6.66,10.72,17.56,12.06,0.46,30.96,3.1,,,4.03,20-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Sep-2019 - 00:00,34.95,71.03,20.57,7.96,14.73,16.54,16.32,0.56,26.32,3.11,,,4.03,21-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Sep-2019 - 00:00,33.71,61.75,25.3,10.03,18.9,17.2,13.24,0.57,22.94,3.1,,,4.02,22-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Sep-2019 - 00:00,23.67,45.58,20.54,11.52,17.57,21.26,16.33,0.5,15.76,3.08,,,3.99,23-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Sep-2019 - 00:00,27.0,49.66,19.84,8.2,14.54,18.5,15.74,0.51,26.78,3.1,,,4.01,24-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Sep-2019 - 00:00,32.28,65.5,27.81,13.45,22.91,16.36,9.8,0.61,26.03,3.12,,,4.03,25-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Sep-2019 - 00:00,27.02,49.01,21.84,8.64,15.93,16.01,18.42,0.51,30.65,3.1,,,4.03,26-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Sep-2019 - 00:00,23.45,50.88,23.01,12.28,19.47,17.05,15.81,0.54,15.09,3.09,,,4.02,27-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Sep-2019 - 00:00,15.69,47.72,20.22,11.61,17.47,15.88,14.67,0.51,18.22,3.08,,,4.03,28-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Sep-2019 - 00:00,21.07,50.1,20.65,13.63,19.31,16.63,14.28,0.5,21.27,2.16,,,3.08,29-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Sep-2019 - 00:00,17.77,32.16,13.31,7.6,10.66,16.44,11.1,0.41,27.06,1.1,,,2.01,30-Sep-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Sep-2019 - 00:00,25.14,71.28,28.19,6.84,17.69,11.3,20.51,1.68,25.77,0.89,,,1.63,01-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Oct-2019 - 00:00,30.44,55.69,20.19,8.53,14.98,17.99,16.76,0.57,24.53,1.07,,,1.97,02-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Oct-2019 - 00:00,47.1,85.72,29.8,9.52,20.82,16.97,11.74,0.82,41.45,1.1,,,2.01,03-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Oct-2019 - 00:00,58.96,109.58,48.23,14.6,34.51,27.06,5.5,0.75,33.49,1.09,,,2.03,04-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Oct-2019 - 00:00,46.35,77.4,40.72,18.02,33.22,32.91,19.5,0.69,28.94,1.1,,,2.02,05-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Oct-2019 - 00:00,44.24,96.98,42.04,26.43,40.79,25.09,17.58,0.92,29.42,1.1,,,2.02,06-Oct-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
