from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
28-Jan-2019 - 00:00,56.98,83.19,43.3,13.06,30.69,,9.79,0.48,8.08,4.54,0.56,4.05,5.68,8.82,54.9,383.73,0.78,235.22,0.0,29-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Jan-2019 - 00:00,60.8,109.96,41.1,27.28,40.94,,9.34,0.57,8.76,4.65,0.53,4.06,5.44,8.6,47.85,322.27,0.91,214.45,0.0,30-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Jan-2019 - 00:00,74.38,180.15,49.43,44.58,59.16,,10.39,0.76,7.78,7.1,0.65,4.89,7.04,10.78,50.53,313.77,0.68,154.17,0.0,31-Jan-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-Jan-2019 - 00:00,66.43,109.94,50.25,55.82,68.61,,9.3,0.61,8.23,5.03,0.59,4.32,6.92,9.77,61.49,224.1,1.07,127.79,0.0,01-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Feb-2019 - 00:00,90.11,113.84,40.41,21.91,42.53,40.07,8.11,0.71,7.72,6.44,0.57,3.89,5.66,8.51,86.64,201.49,1.13,240.79,0.0,02-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Feb-2019 - 00:00,91.02,111.15,32.07,14.74,44.23,19.82,7.22,0.57,8.52,5.06,0.46,2.82,4.1,6.13,84.23,287.85,1.01,255.7,0.0,03-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Feb-2019 - 00:00,83.85,109.97,27.4,13.69,36.04,15.68,8.57,0.74,7.96,6.84,0.53,3.11,4.55,6.4,88.16,261.7,0.67,227.21,0.0,04-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Feb-2019 - 00:00,100.7,151.16,68.81,56.24,49.99,55.72,7.73,0.84,9.05,7.74,0.61,3.8,5.63,8.36,70.77,262.12,0.73,154.14,0.0,05-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Feb-2019 - 00:00,100.42,152.13,77.76,63.51,55.95,59.07,9.24,0.82,11.53,7.33,0.72,4.69,7.32,10.67,73.27,294.77,0.91,104.75,0.0,06-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Feb-2019 - 00:00,107.14,152.13,63.53,45.96,55.63,56.91,10.03,0.88,10.26,8.86,0.83,5.14,6.87,11.71,75.13,333.77,0.98,127.27,0.0,07-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Feb-2019 - 00:00,70.27,125.11,34.59,20.15,39.89,62.66,7.72,0.6,7.63,5.34,0.61,3.67,5.02,8.34,69.35,198.3,1.06,126.36,0.0,08-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Feb-2019 - 00:00,51.7,175.99,39.1,22.69,44.6,58.09,8.15,0.41,7.57,3.77,0.51,3.51,4.83,8.0,56.11,382.69,0.88,242.17,0.0,09-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Feb-2019 - 00:00,49.01,94.85,45.52,27.15,50.05,43.86,8.57,0.54,7.59,4.92,0.53,3.92,5.38,9.25,58.74,374.47,0.85,234.13,0.0,10-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Feb-2019 - 00:00,81.79,165.21,81.17,64.96,60.27,36.16,9.01,0.76,7.57,7.73,0.62,4.63,6.64,10.83,60.37,266.95,0.71,149.72,0.0,11-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Feb-2019 - 00:00,91.4,175.07,95.18,86.13,54.58,39.71,7.45,0.75,7.96,6.48,0.62,4.13,5.94,9.47,65.94,285.56,0.74,167.01,0.0,12-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Feb-2019 - 00:00,96.14,154.12,71.41,56.86,54.02,46.9,6.63,0.77,9.05,7.08,0.68,4.19,6.8,9.5,64.51,309.02,0.75,145.59,0.0,13-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Feb-2019 - 00:00,108.09,156.71,38.32,22.15,43.9,46.73,4.96,0.71,16.09,5.34,0.51,2.31,3.31,4.51,58.98,317.1,0.81,139.52,0.0,14-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Feb-2019 - 00:00,82.31,122.25,27.18,15.65,32.6,76.43,3.99,0.6,13.98,0.32,0.2,0.07,0.04,0.04,50.06,236.24,1.22,107.65,0.0,15-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Feb-2019 - 00:00,79.97,112.9,23.33,19.63,19.11,82.72,3.84,0.63,17.97,4.14,1.79,6.31,6.36,2.15,58.88,326.38,1.28,260.27,0.0,16-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Feb-2019 - 00:00,60.77,79.03,27.85,21.36,25.12,54.93,24.91,0.56,22.19,1.01,0.42,1.01,0.81,0.8,89.17,268.99,1.16,257.3,0.0,17-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Feb-2019 - 00:00,65.47,120.18,71.3,63.07,44.57,52.49,21.82,0.89,35.76,5.94,0.35,3.81,1.38,2.31,51.84,344.06,1.33,198.1,0.0,18-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Feb-2019 - 00:00,75.44,157.05,43.43,31.5,39.38,44.93,4.59,0.51,34.65,6.36,0.27,4.27,0.28,0.49,59.56,286.52,2.41,168.49,0.0,19-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Feb-2019 - 00:00,59.77,115.86,22.83,13.68,29.87,48.42,4.14,0.45,36.0,,,,0.0,0.0,74.43,364.2,2.38,165.97,0.0,20-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Feb-2019 - 00:00,94.65,147.47,24.6,11.04,34.75,46.24,3.96,0.67,24.94,,,,0.0,0.0,83.48,104.3,2.02,126.84,0.0,21-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Feb-2019 - 00:00,68.15,115.66,12.67,6.71,18.56,42.11,4.21,0.54,35.79,,,,0.0,0.0,74.32,224.71,2.75,195.27,0.0,22-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Feb-2019 - 00:00,38.07,61.97,7.41,4.57,11.37,42.02,2.25,0.33,39.74,,,,0.0,0.0,75.53,144.2,4.32,308.87,0.0,23-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
