from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
19-Apr-2019 - 00:00,42.8,73.43,5.66,7.33,3.89,51.63,6.85,0.43,11.09,4.66,0.48,2.24,1.27,2.77,48.48,456.28,2.67,302.34,0.0,20-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Apr-2019 - 00:00,62.29,136.11,10.91,18.75,14.38,48.56,8.23,0.6,10.18,5.76,0.88,3.25,2.16,4.2,38.95,433.4,1.85,232.13,0.0,21-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Apr-2019 - 00:00,66.51,141.66,9.41,16.21,11.41,44.43,7.35,0.49,9.94,6.84,0.82,3.88,1.98,3.85,28.4,467.12,2.92,258.0,0.0,22-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Apr-2019 - 00:00,73.75,162.39,7.59,13.33,8.58,35.26,6.77,0.49,31.19,2.06,0.15,0.72,0.17,0.53,26.3,465.62,2.84,281.55,0.0,23-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Apr-2019 - 00:00,78.75,187.82,8.45,17.18,12.54,27.78,5.22,0.51,20.27,4.1,0.28,2.28,1.51,3.24,24.56,449.4,2.52,251.76,0.0,24-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Apr-2019 - 00:00,80.98,178.01,6.77,13.49,8.64,32.26,5.19,0.43,,4.56,0.33,2.3,2.82,5.52,18.45,433.73,3.31,259.21,0.0,25-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Apr-2019 - 00:00,101.44,238.49,4.05,6.22,0.68,41.55,5.53,0.39,10.49,4.19,0.48,1.65,1.83,4.07,24.94,434.5,2.74,243.36,0.0,26-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Apr-2019 - 00:00,83.08,184.86,4.02,6.14,0.64,32.09,5.92,0.45,8.25,4.99,0.45,1.73,2.1,4.32,29.86,438.55,2.6,239.53,0.0,27-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Apr-2019 - 00:00,79.53,204.75,4.79,7.74,2.31,26.8,5.39,0.34,8.5,3.51,0.24,1.51,1.68,3.86,19.79,469.0,3.2,286.34,0.0,28-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Apr-2019 - 00:00,73.81,183.67,3.89,6.02,0.43,13.61,5.33,0.33,9.76,3.39,0.26,1.27,1.42,3.45,17.14,476.57,2.98,302.05,0.0,29-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Apr-2019 - 00:00,79.08,192.37,3.93,6.1,0.76,12.66,5.78,0.42,11.51,4.07,0.55,1.47,1.82,3.87,17.02,450.67,1.79,150.33,0.0,30-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Apr-2019 - 00:00,89.83,204.99,6.94,12.77,8.03,12.9,5.45,0.44,9.03,4.88,0.53,2.01,2.84,5.09,14.15,438.69,2.68,213.53,0.0,01-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-May-2019 - 00:00,63.23,167.61,19.47,5.7,8.44,10.71,5.35,0.36,11.45,3.98,0.35,1.45,1.64,3.81,15.07,467.17,2.72,214.71,0.0,02-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-May-2019 - 00:00,87.25,205.52,25.69,5.28,12.63,7.95,5.72,0.54,25.18,5.84,0.27,1.35,1.61,3.73,24.4,328.03,2.88,207.64,0.23,03-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-May-2019 - 00:00,42.04,93.32,12.21,5.65,8.98,1.24,117.55,1.36,23.14,6.51,0.58,1.49,1.26,2.77,15.78,398.84,2.65,178.33,0.0,04-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-May-2019 - 00:00,48.0,111.22,21.22,21.37,22.99,2.18,22.72,0.58,44.01,4.0,0.25,1.81,1.78,4.44,8.44,455.56,2.98,279.78,0.0,06-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-May-2019 - 00:00,67.11,154.81,25.54,16.17,21.25,2.45,2.57,0.63,14.3,5.87,0.36,2.15,3.29,5.34,9.01,452.61,3.75,262.02,0.0,07-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-May-2019 - 00:00,76.53,182.58,21.82,14.31,17.82,2.04,2.54,0.64,8.01,3.44,0.67,1.68,2.29,1.82,11.77,455.11,3.42,252.94,0.0,08-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-May-2019 - 00:00,108.01,272.18,18.3,13.03,14.95,1.74,2.09,0.55,6.47,2.94,0.68,1.78,1.93,1.46,12.56,417.18,4.19,247.21,0.0,09-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-May-2019 - 00:00,111.55,282.74,14.7,12.66,12.78,1.4,3.57,0.62,7.76,2.49,0.69,1.82,1.74,1.32,15.17,408.59,4.11,248.3,0.0,10-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-May-2019 - 00:00,64.15,181.88,11.82,12.48,11.13,1.25,4.71,0.56,8.92,1.88,0.63,1.54,1.35,1.06,21.55,411.59,4.04,262.69,0.0,11-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-May-2019 - 00:00,63.65,164.1,18.8,13.03,15.22,1.65,5.22,0.7,9.82,3.21,0.73,1.62,1.83,1.31,26.18,429.07,2.9,246.42,0.0,12-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-May-2019 - 00:00,97.42,199.25,17.48,14.29,15.54,1.61,5.16,0.67,9.45,4.03,0.76,1.59,1.91,1.35,29.56,379.93,3.06,282.78,0.01,13-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-May-2019 - 00:00,66.33,158.04,22.53,14.5,18.35,2.06,5.25,0.74,9.55,4.48,0.79,1.71,2.47,1.62,29.87,313.53,2.62,220.6,0.01,14-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-May-2019 - 00:00,38.95,84.38,15.27,13.09,13.42,4.31,5.18,0.61,10.42,2.4,0.71,1.54,1.66,1.26,39.54,394.54,3.18,226.12,0.0,15-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-May-2019 - 00:00,73.49,175.1,17.25,12.85,14.26,6.46,5.14,0.74,14.57,3.34,0.67,1.38,1.8,1.25,38.69,400.12,3.4,146.68,0.0,16-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-May-2019 - 00:00,51.57,100.73,11.98,13.0,11.63,6.05,4.73,0.55,10.43,2.26,0.64,1.34,1.42,1.1,28.13,534.16,3.65,261.49,0.0,17-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-May-2019 - 00:00,50.4,117.09,11.78,12.8,11.37,6.13,4.77,0.56,11.26,2.14,0.65,1.45,1.51,1.2,37.82,448.36,4.01,235.19,0.0,18-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-May-2019 - 00:00,27.9,74.92,11.52,13.3,11.63,5.91,4.58,0.55,9.64,2.08,0.64,1.41,1.33,1.11,50.2,488.37,4.08,283.62,0.0,19-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-May-2019 - 00:00,43.58,101.32,18.94,14.22,16.24,6.56,5.36,0.71,10.57,3.99,0.68,1.47,1.82,1.36,30.56,472.89,3.37,245.62,0.0,20-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-May-2019 - 00:00,58.89,136.17,27.74,18.91,24.6,7.41,5.33,0.83,9.23,5.03,0.68,1.47,2.33,1.67,30.84,293.17,3.04,205.41,0.01,21-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-May-2019 - 00:00,47.78,113.83,24.58,15.31,19.93,28.35,5.37,0.8,11.98,4.96,0.71,1.47,1.86,1.22,35.48,312.75,2.81,207.07,0.0,22-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-May-2019 - 00:00,40.06,112.01,25.43,15.27,18.91,52.73,5.59,0.68,8.26,3.48,0.75,1.58,1.54,1.12,35.54,305.35,2.13,208.29,0.0,23-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-May-2019 - 00:00,41.65,116.24,22.75,14.88,17.17,50.16,5.29,0.67,11.26,3.61,0.8,1.48,8.65,2.58,45.73,322.34,2.59,196.58,0.01,24-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-May-2019 - 00:00,20.05,65.01,16.74,11.73,13.92,56.63,5.79,0.36,12.57,3.07,0.58,1.04,1.94,0.71,53.01,403.54,4.14,223.26,0.0,25-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-May-2019 - 00:00,47.61,70.52,15.08,11.52,15.79,67.67,8.11,0.83,,,,,0.0,0.0,59.99,352.84,2.42,285.16,0.0,26-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-May-2019 - 00:00,39.9,75.72,13.29,10.14,13.19,43.21,11.65,1.04,2.47,4.54,0.83,1.35,0.73,0.42,21.18,540.82,3.03,207.57,0.0,27-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-May-2019 - 00:00,50.7,98.15,15.45,13.65,17.66,46.93,8.13,0.71,2.66,,,,0.0,0.0,20.29,455.09,3.08,261.18,0.0,28-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-May-2019 - 00:00,47.37,105.13,5.42,17.32,15.26,44.34,,0.72,14.43,3.07,0.81,2.46,1.24,0.91,15.65,500.7,3.2,275.43,0.0,29-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-May-2019 - 00:00,49.31,98.17,15.36,19.7,22.02,67.14,,0.98,13.94,5.47,0.9,2.32,3.3,2.43,15.22,428.1,2.67,239.5,0.0,30-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-May-2019 - 00:00,61.73,122.62,27.7,22.87,31.49,62.19,,0.76,7.06,5.67,0.82,1.75,3.15,2.3,14.15,476.92,3.95,283.13,0.0,31-May-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-May-2019 - 00:00,67.73,145.3,22.69,11.39,19.66,74.52,,0.56,7.4,4.35,0.99,2.64,3.86,2.86,15.64,433.36,3.55,253.69,0.0,01-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Jun-2019 - 00:00,62.3,131.14,22.22,11.9,19.82,61.33,,0.5,6.44,4.28,0.97,2.62,3.84,2.99,13.95,451.19,3.32,272.09,0.0,02-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Jun-2019 - 00:00,66.88,128.3,23.35,15.36,23.2,71.48,,0.58,8.4,6.13,1.07,3.19,4.24,3.25,15.39,480.55,2.65,226.56,0.0,03-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Jun-2019 - 00:00,75.4,150.02,19.38,8.96,15.95,50.64,,0.88,13.38,5.76,0.92,1.85,2.95,2.27,26.74,425.4,2.28,166.11,0.0,04-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Jun-2019 - 00:00,71.38,148.39,12.97,9.2,12.83,32.26,,0.94,10.32,4.66,0.66,0.85,1.56,1.21,33.32,334.87,2.43,165.3,0.0,05-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Jun-2019 - 00:00,78.94,152.79,15.22,8.06,13.09,39.22,,0.72,6.63,3.82,0.76,1.16,2.0,1.46,24.9,363.68,3.14,236.09,0.0,06-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Jun-2019 - 00:00,67.32,126.03,15.86,8.03,13.4,56.01,,0.47,7.84,2.93,0.68,1.06,1.52,1.16,21.98,435.17,3.85,263.38,0.0,07-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Jun-2019 - 00:00,60.2,123.85,13.7,7.87,12.15,59.21,,0.42,10.73,4.14,0.66,2.39,2.74,3.26,27.97,483.57,3.37,199.32,0.0,08-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Jun-2019 - 00:00,56.35,100.73,16.38,7.99,13.64,76.28,,0.39,10.67,4.3,,2.09,2.22,4.27,27.12,493.9,2.63,223.99,0.0,09-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Jun-2019 - 00:00,69.56,121.24,25.01,13.0,22.17,58.23,,0.46,7.91,5.44,,1.85,1.96,4.5,14.91,479.42,2.72,226.73,0.0,10-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Jun-2019 - 00:00,78.12,152.28,27.15,12.66,23.02,71.12,,0.47,6.2,5.11,2.06,1.94,2.15,5.29,13.11,530.2,3.43,277.03,0.0,11-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Jun-2019 - 00:00,119.51,224.18,16.47,8.16,13.82,70.45,,0.3,6.39,3.1,1.89,1.73,1.81,4.63,21.02,416.54,3.13,206.7,0.02,12-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Jun-2019 - 00:00,82.58,191.42,17.81,8.63,14.91,57.14,,0.41,9.28,4.62,1.99,1.63,1.92,4.04,42.91,345.39,3.11,129.61,0.16,13-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Jun-2019 - 00:00,35.17,82.52,14.77,7.7,12.53,3.94,,0.71,8.95,3.25,2.76,2.03,1.93,4.64,40.08,384.82,3.77,223.05,0.0,14-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Jun-2019 - 00:00,55.29,97.26,14.44,10.32,14.0,6.41,,0.27,6.47,3.1,2.37,1.83,1.91,4.47,30.14,513.29,3.48,267.01,0.0,15-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Jun-2019 - 00:00,84.0,150.18,13.38,9.41,13.21,6.66,,0.21,6.49,3.02,1.93,1.63,1.65,4.3,37.13,348.61,4.25,246.78,0.0,16-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Jun-2019 - 00:00,20.61,83.32,8.75,7.68,9.27,6.28,,0.42,6.42,2.38,1.99,1.5,1.3,3.49,76.3,83.8,3.27,242.08,0.06,17-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Jun-2019 - 00:00,30.97,71.03,9.7,8.06,10.21,6.38,,0.23,10.61,2.4,1.72,1.39,1.31,3.73,63.22,271.13,4.25,229.3,0.0,18-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Jun-2019 - 00:00,41.02,60.21,10.94,8.2,10.97,6.5,,0.23,8.49,2.58,2.21,1.59,1.57,4.32,71.25,236.39,3.05,133.05,0.03,19-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Jun-2019 - 00:00,46.11,66.38,12.41,8.86,12.27,6.53,,0.28,6.91,3.27,2.43,1.83,1.82,4.83,59.39,544.72,2.08,196.79,0.0,20-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Jun-2019 - 00:00,42.27,72.4,10.98,8.41,11.16,6.38,,0.21,8.79,2.62,2.27,1.56,1.53,3.81,52.05,524.79,2.69,113.34,0.0,21-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Jun-2019 - 00:00,75.76,191.8,10.9,8.23,10.98,6.31,,0.37,9.97,3.32,2.4,1.67,1.65,4.31,51.05,312.07,2.61,252.63,0.0,22-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Jun-2019 - 00:00,57.87,101.17,12.56,8.45,12.02,6.38,,0.38,11.45,4.08,2.45,1.63,1.61,4.27,36.38,541.5,2.11,151.38,0.0,23-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Jun-2019 - 00:00,65.74,84.03,9.93,8.18,10.42,6.14,,0.35,12.72,3.13,2.24,1.35,1.37,3.19,43.42,466.75,2.57,130.94,0.0,24-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Jun-2019 - 00:00,45.61,79.7,8.37,8.17,9.59,6.01,,0.26,9.65,2.82,1.83,1.17,1.06,2.76,66.35,256.55,2.76,139.36,0.03,25-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Jun-2019 - 00:00,79.2,75.11,10.08,7.91,10.91,2.0,,0.28,20.18,3.04,1.73,1.3,1.95,3.29,60.9,264.91,2.25,198.27,0.0,26-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Jun-2019 - 00:00,45.71,70.84,8.97,8.07,10.81,0.79,,0.38,6.76,3.05,2.63,1.32,1.23,3.09,48.33,524.45,2.96,292.76,0.0,27-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Jun-2019 - 00:00,136.87,341.0,12.25,9.4,13.53,0.92,,0.4,5.11,3.21,4.35,2.32,2.46,5.02,37.17,407.63,3.06,266.53,0.0,28-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Jun-2019 - 00:00,65.22,221.83,9.01,8.59,11.83,1.36,,0.17,3.21,1.2,1.73,0.89,0.8,2.65,37.92,392.22,5.02,269.33,0.0,29-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Jun-2019 - 00:00,46.4,124.69,7.13,7.84,11.35,1.24,,0.29,4.01,2.0,2.17,1.57,1.51,5.41,35.46,591.14,3.65,236.94,0.0,30-Jun-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Jun-2019 - 00:00,51.85,138.72,5.57,7.67,10.05,1.01,,0.23,5.12,1.76,1.92,1.36,1.27,4.62,28.78,633.06,4.54,255.05,0.0,01-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Jul-2019 - 00:00,39.0,103.85,5.23,7.67,9.78,9.23,,0.19,3.62,1.52,1.87,1.13,1.03,3.78,36.55,537.08,5.07,248.83,0.01,02-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Jul-2019 - 00:00,46.96,122.37,5.98,8.04,10.64,19.17,,0.26,4.11,2.0,2.28,1.48,1.34,5.29,49.14,433.03,3.81,260.58,0.0,03-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Jul-2019 - 00:00,44.24,80.15,5.77,7.78,10.28,10.44,,0.33,14.02,2.64,2.13,1.46,1.48,5.31,50.9,395.01,2.78,142.65,0.0,04-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Jul-2019 - 00:00,22.89,61.28,5.31,7.69,9.7,26.67,,0.32,7.24,2.53,1.96,1.3,1.09,3.84,59.54,304.2,3.65,172.0,0.04,05-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Jul-2019 - 00:00,44.84,85.54,7.07,8.39,11.72,10.85,,0.31,3.22,3.05,2.22,1.83,1.91,7.0,72.56,180.24,2.65,186.68,0.0,06-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Jul-2019 - 00:00,38.17,83.72,5.95,8.41,10.93,7.0,,0.29,3.55,2.18,2.26,1.74,1.78,6.61,74.09,326.49,2.98,193.74,0.0,07-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Jul-2019 - 00:00,31.49,66.35,5.01,8.28,10.09,4.71,,0.23,2.45,1.81,2.41,1.67,1.58,6.09,67.41,406.61,3.56,265.24,0.0,08-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Jul-2019 - 00:00,35.15,79.41,5.07,8.07,9.97,3.35,,0.21,3.29,1.89,2.11,1.58,1.41,5.84,67.73,251.21,4.83,237.63,0.0,09-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Jul-2019 - 00:00,46.4,85.44,5.33,8.48,10.48,3.52,,0.24,2.04,1.86,2.04,1.67,1.47,6.41,85.05,150.83,3.25,192.71,0.08,10-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Jul-2019 - 00:00,59.31,157.97,5.75,8.48,10.8,3.12,,0.25,3.15,2.1,1.96,1.76,1.57,6.83,59.8,399.4,3.62,231.37,0.0,11-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Jul-2019 - 00:00,52.3,148.15,5.73,8.86,11.07,9.55,,0.21,2.27,1.85,1.95,1.7,1.52,6.65,49.71,397.54,5.0,226.99,0.0,12-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Jul-2019 - 00:00,40.97,140.48,5.65,10.1,11.95,21.19,,0.16,1.59,1.61,1.87,1.51,1.29,5.31,47.69,419.61,5.39,235.05,0.0,13-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Jul-2019 - 00:00,32.28,96.09,7.41,10.8,13.7,24.58,,0.53,1.42,2.5,1.9,1.73,2.23,5.98,44.84,485.88,5.32,230.6,0.0,14-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Jul-2019 - 00:00,38.2,121.12,5.8,10.38,12.28,16.98,,0.17,1.99,1.44,1.68,1.5,2.89,5.61,44.63,462.16,5.12,227.17,0.0,15-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Jul-2019 - 00:00,49.64,180.62,6.99,10.58,12.88,20.0,,0.15,3.34,1.64,1.72,2.21,7.47,9.41,52.47,311.95,3.52,181.37,0.0,16-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Jul-2019 - 00:00,50.33,124.09,9.55,11.65,14.91,30.85,,0.26,6.13,2.0,1.76,1.97,3.68,8.41,60.14,287.09,3.06,164.41,0.0,17-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Jul-2019 - 00:00,45.78,64.75,9.8,12.03,15.37,22.4,,0.29,3.5,2.68,2.0,1.98,2.61,7.51,75.6,314.15,2.81,157.16,0.0,18-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Jul-2019 - 00:00,23.35,37.31,10.48,12.96,16.51,18.53,,0.23,4.03,1.75,1.78,1.5,1.5,6.1,86.9,141.1,2.68,156.98,0.46,19-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Jul-2019 - 00:00,30.87,50.56,12.32,15.22,19.39,16.56,,0.27,2.08,2.2,2.25,1.99,2.15,8.1,75.68,410.02,2.3,230.67,0.0,20-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Jul-2019 - 00:00,36.31,61.49,13.49,16.28,20.88,14.73,,0.25,3.81,2.24,2.21,1.98,2.15,8.08,76.24,384.56,2.19,161.94,0.0,21-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Jul-2019 - 00:00,46.04,50.44,13.03,15.75,20.24,13.71,,0.31,8.05,2.32,2.06,1.77,1.95,6.92,75.58,399.87,2.26,143.21,0.0,22-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Jul-2019 - 00:00,47.7,46.64,13.76,15.98,20.84,10.44,,0.32,5.9,2.31,2.18,1.84,1.82,7.32,74.44,337.93,2.5,130.64,0.0,23-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Jul-2019 - 00:00,34.48,52.06,13.42,16.06,20.69,14.49,,0.29,4.08,2.27,2.19,1.91,1.91,7.84,66.7,422.73,2.74,224.86,0.0,24-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Jul-2019 - 00:00,29.18,51.18,12.42,16.01,20.09,12.81,,0.22,4.2,1.88,1.92,1.63,1.52,6.5,70.92,265.24,4.56,219.78,0.16,25-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Jul-2019 - 00:00,11.91,16.13,10.61,15.81,18.86,11.97,,0.24,4.77,1.6,1.72,1.32,1.15,5.67,91.09,98.1,3.82,200.39,0.02,26-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Jul-2019 - 00:00,20.29,23.06,10.43,16.69,19.46,9.86,,0.25,1.2,1.7,1.82,1.61,1.51,6.6,92.01,166.73,2.85,231.4,0.02,27-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Jul-2019 - 00:00,29.83,27.5,11.29,18.01,20.97,9.58,,0.29,2.1,1.94,1.99,1.8,0.9,3.8,93.55,189.93,2.01,135.42,0.07,28-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Jul-2019 - 00:00,28.34,23.86,11.0,18.34,21.1,10.47,,0.33,4.33,1.83,1.69,1.63,1.33,5.06,91.31,287.6,2.6,81.26,0.07,29-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Jul-2019 - 00:00,32.53,24.74,10.57,16.9,19.72,8.37,,0.16,4.06,1.8,1.45,1.45,1.33,5.84,86.46,396.59,2.7,115.56,0.0,30-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Jul-2019 - 00:00,38.75,49.27,12.32,19.64,22.92,24.54,,0.22,7.15,2.16,1.66,1.22,2.69,6.42,79.94,372.27,2.39,76.03,0.0,31-Jul-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-Jul-2019 - 00:00,38.17,38.8,13.4,20.68,24.39,25.02,,0.28,5.57,2.38,1.71,0.42,2.11,2.32,79.26,275.11,2.1,98.39,0.0,01-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Aug-2019 - 00:00,40.73,44.74,14.44,22.94,26.8,25.34,,0.32,4.37,2.51,1.83,0.42,1.92,1.66,73.66,297.54,1.86,147.1,0.0,02-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Aug-2019 - 00:00,20.11,33.77,16.08,25.48,29.81,31.82,,0.26,1.39,1.95,1.95,0.45,1.95,1.72,82.79,246.04,2.3,213.33,0.0,03-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Aug-2019 - 00:00,30.75,48.31,17.67,27.86,32.64,35.46,,0.31,2.66,2.16,1.84,0.42,1.32,1.32,83.3,358.41,1.86,124.09,0.0,04-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Aug-2019 - 00:00,59.14,34.03,15.49,25.76,29.65,15.55,,0.31,3.84,2.37,1.74,0.41,1.95,2.33,83.65,395.68,2.36,112.68,0.0,05-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Aug-2019 - 00:00,33.64,45.41,17.68,27.26,32.16,22.56,,0.3,2.93,2.68,1.69,0.4,1.85,1.76,80.52,342.88,2.15,170.02,0.0,06-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Aug-2019 - 00:00,26.04,43.82,18.5,29.53,33.26,19.63,,0.48,2.14,2.95,1.72,0.43,2.01,1.93,85.0,141.41,2.43,180.13,0.0,07-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Aug-2019 - 00:00,35.8,35.36,4.47,13.83,21.66,45.01,,0.33,2.36,2.72,1.37,0.45,1.27,1.25,83.34,264.9,2.51,132.73,0.0,08-Aug-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
