from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
05-May-2019 - 00:00,756.87,120.43,42.81,200.26,1.29,1.83,0.54,1.88,0.81,1.63,28.43,37.56,59.15,96.7,36.0,9.57,06-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-May-2019 - 00:00,755.27,111.62,39.61,231.83,1.35,0.87,0.34,1.49,0.64,1.03,21.9,16.22,53.09,69.31,50.36,8.63,07-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-May-2019 - 00:00,754.4,171.24,54.23,213.06,1.67,0.44,0.16,0.71,0.33,1.19,17.85,13.16,41.72,54.88,41.24,8.67,08-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-May-2019 - 00:00,754.69,248.11,92.37,248.11,1.32,0.42,0.19,0.8,0.33,0.88,18.76,13.17,38.7,51.87,41.05,8.11,09-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-May-2019 - 00:00,754.32,260.84,95.07,250.76,1.19,0.28,0.1,0.49,0.21,0.91,16.41,9.54,30.41,39.95,52.45,7.13,10-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-May-2019 - 00:00,754.5,118.4,50.84,221.21,1.82,0.23,0.09,0.4,0.18,0.86,16.06,9.13,27.82,36.95,50.95,8.96,11-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-May-2019 - 00:00,755.53,118.8,41.69,225.49,1.58,0.37,0.09,0.42,0.18,1.17,19.99,9.07,36.22,45.29,42.98,7.11,12-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-May-2019 - 00:00,755.44,241.25,62.45,174.76,1.68,0.34,0.08,0.35,0.14,0.86,18.61,8.24,30.35,38.59,69.99,6.99,13-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-May-2019 - 00:00,754.21,95.21,33.17,216.92,1.57,0.44,0.1,0.4,0.19,0.8,22.74,7.67,29.27,36.95,54.01,9.21,14-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-May-2019 - 00:00,754.65,88.04,34.51,196.4,1.7,0.5,0.15,0.75,0.31,0.84,23.99,9.08,36.97,46.05,53.5,9.41,15-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-May-2019 - 00:00,754.95,334.6,89.94,166.66,1.48,0.83,0.14,0.7,0.3,1.29,21.98,11.64,35.3,46.94,51.26,9.64,16-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-May-2019 - 00:00,755.98,287.96,67.6,199.3,1.67,0.38,0.08,0.37,0.16,1.15,20.87,8.4,27.28,35.68,62.85,8.3,17-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-May-2019 - 00:00,755.88,283.82,66.48,198.92,2.05,0.2,0.06,0.25,0.11,1.01,20.67,5.83,24.69,30.5,52.47,8.58,18-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-May-2019 - 00:00,756.2,61.81,27.79,309.26,1.64,0.28,0.09,0.44,0.18,1.17,27.06,3.63,34.06,37.67,58.61,12.19,19-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-May-2019 - 00:00,756.28,81.03,35.17,169.02,1.41,0.68,0.19,0.9,0.38,1.25,22.17,6.74,52.59,59.33,54.59,11.15,20-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-May-2019 - 00:00,756.69,97.26,38.26,175.81,1.55,0.6,0.16,0.81,0.34,1.09,22.14,9.28,46.57,55.85,61.07,11.39,21-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-May-2019 - 00:00,755.67,98.05,36.97,141.86,1.43,0.78,0.23,1.01,0.46,0.88,20.44,7.57,48.57,56.13,34.44,9.51,22-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
