from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
30-Jul-2019 - 00:00,722.34,34.36,11.62,65.03,1.77,0.27,0.05,0.22,0.09,0.95,19.12,1.77,15.44,17.25,28.76,9.75,31-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Jul-2019 - 00:00,725.52,48.63,17.16,97.56,1.46,0.33,0.07,0.25,0.1,0.83,23.6,2.09,15.17,17.26,28.87,10.98,01-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Aug-2019 - 00:00,722.91,46.23,19.02,125.65,1.31,0.29,0.05,0.24,0.1,0.76,23.4,2.5,18.6,21.08,29.26,10.25,02-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Aug-2019 - 00:00,722.43,48.2,16.89,208.09,1.4,0.37,0.11,0.51,0.19,0.88,22.19,4.12,24.5,28.62,21.49,8.35,03-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Aug-2019 - 00:00,723.44,57.74,23.28,127.13,1.25,0.47,0.15,0.58,0.24,1.02,22.56,4.92,28.45,33.37,16.76,7.64,04-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Aug-2019 - 00:00,723.49,52.46,20.76,99.56,1.47,0.44,0.11,0.46,0.19,0.84,23.32,3.78,26.65,30.43,18.81,5.96,05-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Aug-2019 - 00:00,720.45,59.69,26.68,197.32,1.17,0.71,0.26,1.13,0.43,1.3,29.53,7.68,40.35,46.78,17.6,8.2,06-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Aug-2019 - 00:00,721.03,37.42,16.66,238.69,1.19,0.41,0.23,0.83,0.36,1.14,27.02,5.01,28.55,33.55,22.13,9.67,07-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Aug-2019 - 00:00,724.72,34.46,14.47,111.8,1.44,0.67,0.21,1.07,0.41,1.2,40.05,8.13,31.61,39.73,16.8,9.21,08-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Aug-2019 - 00:00,724.74,35.72,16.49,65.98,2.12,0.39,0.12,0.54,0.21,0.93,20.23,5.73,20.86,27.36,24.45,10.96,09-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Aug-2019 - 00:00,724.84,26.61,11.4,55.47,2.83,0.18,0.02,0.09,0.04,0.69,13.11,2.26,10.68,12.94,33.58,10.18,10-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Aug-2019 - 00:00,725.17,16.63,6.64,138.93,1.7,0.14,0.02,0.07,0.03,0.65,12.63,2.01,9.35,11.37,27.76,10.06,11-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Aug-2019 - 00:00,725.51,20.43,6.42,186.93,1.48,0.26,0.06,0.26,0.12,0.91,14.78,2.66,15.63,18.29,27.42,9.02,12-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Aug-2019 - 00:00,725.55,53.0,19.22,244.46,1.31,0.29,0.1,0.48,0.19,0.93,20.64,5.04,25.36,30.4,23.36,10.58,13-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Aug-2019 - 00:00,725.32,79.39,32.79,224.64,1.31,0.49,0.22,0.86,0.37,1.08,20.77,9.94,31.17,40.86,20.79,9.04,14-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Aug-2019 - 00:00,724.83,57.36,24.46,257.5,1.33,0.69,0.28,1.11,0.43,1.2,16.38,10.45,31.31,41.76,12.59,8.98,15-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Aug-2019 - 00:00,724.76,37.27,22.35,111.69,2.16,0.31,0.08,0.39,0.15,0.89,14.23,4.22,18.93,23.04,21.71,9.32,16-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Aug-2019 - 00:00,724.65,22.16,11.85,80.08,2.26,0.38,0.08,0.41,0.15,0.84,12.88,5.59,18.17,23.74,21.59,9.04,17-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Aug-2019 - 00:00,725.05,25.47,8.08,218.05,2.51,0.19,0.06,0.28,0.11,0.86,11.58,6.03,18.43,24.46,16.34,8.09,18-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Aug-2019 - 00:00,725.66,56.16,19.19,229.3,1.05,0.27,0.08,0.41,0.16,0.94,10.33,7.36,22.69,30.05,16.44,7.98,19-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Aug-2019 - 00:00,726.73,75.45,25.74,299.56,1.48,0.32,0.16,0.6,0.22,1.03,12.24,6.72,25.35,32.07,24.15,9.08,20-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Aug-2019 - 00:00,727.57,77.33,30.15,285.42,1.45,0.36,0.2,0.69,0.24,1.13,14.14,5.54,26.57,32.11,33.33,8.67,21-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Aug-2019 - 00:00,726.53,67.01,27.06,287.32,1.55,0.21,0.08,0.38,0.15,0.91,14.33,4.99,20.55,25.54,30.72,9.18,22-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Aug-2019 - 00:00,726.53,78.81,31.31,225.29,1.48,0.49,0.21,0.78,0.3,1.05,14.37,8.07,30.07,38.01,27.04,8.93,23-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Aug-2019 - 00:00,726.44,72.8,30.01,257.98,1.43,0.25,0.1,0.41,0.15,0.92,14.83,4.91,21.62,26.5,28.63,8.6,24-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Aug-2019 - 00:00,726.27,71.96,30.95,283.01,1.51,0.34,0.1,0.48,0.19,0.9,13.74,4.61,23.51,28.11,32.63,8.48,25-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Aug-2019 - 00:00,726.04,56.81,29.13,156.92,1.62,0.23,0.05,0.18,0.08,0.53,13.89,2.97,18.42,21.38,37.62,8.76,26-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Aug-2019 - 00:00,725.48,30.76,12.91,64.57,1.7,0.27,0.11,0.23,0.11,1.0,16.0,2.41,14.35,16.55,27.69,8.97,27-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Aug-2019 - 00:00,725.04,29.99,15.03,77.85,1.7,0.58,0.14,0.55,0.25,1.31,12.05,4.01,20.03,24.05,24.25,10.03,28-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Aug-2019 - 00:00,725.59,31.52,13.39,79.85,1.78,0.39,0.03,0.12,0.06,0.93,20.45,2.09,13.45,15.54,30.19,9.61,29-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Aug-2019 - 00:00,726.7,30.13,12.71,103.97,1.33,0.39,0.05,0.22,0.09,1.12,30.99,2.57,15.7,18.27,22.83,9.65,30-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Aug-2019 - 00:00,724.97,32.9,11.35,122.81,1.45,0.42,0.06,0.29,0.12,1.16,37.11,2.96,22.07,25.03,25.57,10.01,31-Aug-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Aug-2019 - 00:00,723.48,41.16,20.32,155.36,1.06,0.57,0.14,0.6,0.25,1.3,50.51,5.4,33.68,39.08,26.71,9.95,01-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Sep-2019 - 00:00,724.46,45.43,21.15,92.27,1.5,0.54,0.15,0.51,0.2,0.98,39.85,3.55,24.9,28.46,24.0,10.04,02-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Sep-2019 - 00:00,725.19,41.21,18.53,124.4,1.33,0.43,0.09,0.39,0.15,1.19,35.64,3.6,20.58,24.18,27.4,9.96,03-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Sep-2019 - 00:00,724.66,65.47,31.09,176.09,1.2,0.81,0.24,1.03,0.39,1.33,58.29,8.55,38.26,46.8,29.62,9.96,04-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Sep-2019 - 00:00,723.8,48.38,27.05,121.05,1.51,0.69,0.14,0.66,0.25,1.2,44.25,5.4,27.49,32.9,23.08,9.79,05-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Sep-2019 - 00:00,723.72,46.14,23.25,66.22,1.56,0.46,0.05,0.23,0.1,1.0,35.53,2.69,20.47,23.16,26.34,9.44,06-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Sep-2019 - 00:00,723.26,46.72,24.36,122.15,1.28,0.87,0.27,0.88,0.36,1.26,43.34,5.76,25.38,31.19,20.1,9.88,07-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Sep-2019 - 00:00,723.56,40.13,20.17,120.87,1.05,0.53,0.14,0.48,0.18,1.02,48.59,5.57,29.86,35.43,15.13,9.52,08-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Sep-2019 - 00:00,724.96,39.25,21.85,62.54,1.66,0.6,0.1,0.45,0.22,1.16,39.83,4.21,23.6,27.8,20.6,9.69,09-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Sep-2019 - 00:00,724.22,56.13,27.08,62.62,1.74,0.64,0.12,0.54,0.21,1.22,54.8,5.32,41.77,47.08,27.79,9.52,10-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Sep-2019 - 00:00,723.88,97.48,40.77,107.73,1.38,1.08,0.27,1.07,0.44,1.24,54.67,7.61,43.13,50.71,36.02,8.89,11-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Sep-2019 - 00:00,725.06,85.62,42.08,223.05,1.16,0.92,0.19,0.82,0.36,1.28,23.08,7.78,44.31,52.04,24.03,9.75,12-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Sep-2019 - 00:00,725.98,71.2,34.4,242.25,1.64,0.38,0.08,0.38,0.15,0.85,14.41,4.73,22.62,26.84,33.77,10.24,13-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Sep-2019 - 00:00,726.54,59.79,33.75,126.24,1.85,0.54,0.12,0.57,0.22,0.99,10.18,4.79,20.5,25.3,35.13,9.14,14-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Sep-2019 - 00:00,726.81,33.68,16.07,54.67,1.92,0.29,0.04,0.17,0.07,0.75,20.93,4.32,18.04,22.37,25.12,9.59,15-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Sep-2019 - 00:00,727.28,34.78,17.21,141.98,1.08,0.61,0.16,0.73,0.3,0.91,39.84,6.37,24.36,30.73,14.98,9.59,16-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Sep-2019 - 00:00,726.42,73.03,26.47,216.22,1.22,0.9,0.25,1.18,0.5,1.04,47.02,6.72,30.1,36.76,25.43,10.73,17-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Sep-2019 - 00:00,727.34,64.24,23.36,220.26,1.43,0.46,0.2,0.62,0.28,0.71,31.68,5.68,22.4,28.07,23.25,9.98,18-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Sep-2019 - 00:00,729.65,65.67,23.5,119.7,1.17,0.41,0.1,0.42,0.17,1.22,23.49,5.7,22.21,27.91,29.97,10.3,19-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Sep-2019 - 00:00,731.01,38.78,20.26,89.31,1.4,0.36,0.11,0.32,0.17,0.98,20.32,4.01,14.99,18.99,43.31,10.54,20-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Sep-2019 - 00:00,730.1,35.15,14.52,94.27,1.25,0.24,0.02,0.07,0.03,0.87,26.62,4.2,20.12,24.32,33.25,8.6,21-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Sep-2019 - 00:00,729.39,39.35,17.55,106.62,1.55,0.23,0.04,0.11,0.05,0.8,24.0,4.28,20.16,24.44,36.97,10.83,22-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Sep-2019 - 00:00,730.5,27.36,12.32,107.02,1.31,0.16,0.01,0.03,0.02,0.52,21.57,4.19,19.54,23.73,40.1,13.28,23-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Sep-2019 - 00:00,731.59,30.77,12.26,71.18,1.69,0.17,0.01,0.05,0.02,0.58,22.11,4.54,19.87,24.39,38.75,14.31,24-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Sep-2019 - 00:00,731.67,38.92,19.74,65.85,1.76,0.19,0.02,0.07,0.03,0.71,19.76,4.29,17.81,22.11,39.96,13.43,25-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Sep-2019 - 00:00,732.51,38.14,19.71,66.63,1.95,0.19,0.02,0.05,0.02,0.66,18.67,4.07,17.32,21.38,39.41,13.43,26-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Sep-2019 - 00:00,732.8,34.54,16.64,59.76,1.96,0.22,0.07,0.14,0.13,0.78,20.3,3.85,15.54,19.39,25.3,9.74,27-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Sep-2019 - 00:00,731.84,38.03,14.61,52.61,2.06,0.19,0.03,0.09,0.05,0.68,13.54,4.93,17.87,22.8,26.16,8.34,28-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Sep-2019 - 00:00,730.57,38.45,13.78,74.66,1.62,0.7,0.08,0.33,0.19,0.81,27.8,4.57,20.69,25.3,24.47,11.1,29-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Sep-2019 - 00:00,731.37,50.72,18.34,122.13,1.29,2.19,0.77,2.99,1.45,1.0,59.09,8.62,39.13,47.76,23.43,14.38,30-Sep-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Sep-2019 - 00:00,730.57,70.07,23.46,218.73,1.34,2.75,0.9,3.54,1.57,0.95,71.56,9.64,48.76,58.35,30.94,13.7,01-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Oct-2019 - 00:00,729.95,52.82,28.37,143.18,1.13,1.56,0.34,1.45,0.65,0.82,43.37,4.95,35.22,40.17,29.57,13.58,02-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Oct-2019 - 00:00,731.27,55.93,23.6,150.58,1.3,2.33,0.84,3.08,1.46,1.0,45.72,8.68,42.99,51.67,34.34,12.88,03-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Oct-2019 - 00:00,731.49,73.51,27.46,177.04,1.16,1.78,1.1,4.08,1.71,0.92,28.65,8.68,49.45,58.09,40.17,12.12,04-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Oct-2019 - 00:00,732.04,53.0,21.97,141.56,1.48,1.42,0.45,1.64,0.69,0.88,24.19,4.63,32.79,37.43,56.43,11.19,05-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Oct-2019 - 00:00,732.14,54.95,23.1,89.46,1.45,1.41,0.41,1.46,0.62,0.79,26.37,5.4,36.6,42.42,47.1,9.91,06-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Oct-2019 - 00:00,732.63,78.09,26.98,91.34,1.33,1.44,0.4,1.38,0.63,0.71,24.6,4.97,34.71,39.68,48.43,11.1,07-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Oct-2019 - 00:00,733.77,85.63,30.7,124.08,1.49,4.58,2.58,7.26,3.67,1.41,37.36,17.27,44.92,62.17,39.75,10.4,08-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Oct-2019 - 00:00,733.09,89.05,29.25,153.54,1.05,4.35,2.33,8.45,3.81,0.86,40.8,16.6,53.08,69.61,34.83,11.29,09-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Oct-2019 - 00:00,732.69,81.03,31.69,123.31,1.22,3.64,1.4,5.1,2.36,1.13,40.85,21.38,72.88,94.24,45.83,12.58,10-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Oct-2019 - 00:00,732.33,72.84,26.86,170.02,1.3,3.02,1.21,5.24,2.27,0.89,13.79,15.23,52.1,67.45,45.79,11.88,11-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Oct-2019 - 00:00,732.12,85.19,31.51,96.51,1.42,2.79,1.4,4.63,3.14,0.86,12.45,5.48,48.16,53.64,60.0,11.79,12-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Oct-2019 - 00:00,732.9,91.73,33.19,113.69,1.21,3.62,1.08,4.03,2.38,0.91,34.64,4.95,44.07,49.03,51.34,10.09,13-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Oct-2019 - 00:00,733.24,102.91,36.69,171.11,1.29,3.4,1.19,4.15,1.94,0.89,42.31,7.76,42.99,50.75,58.3,12.01,14-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Oct-2019 - 00:00,733.89,115.65,37.67,85.13,1.52,3.39,1.35,4.32,2.11,0.96,42.17,4.94,44.71,49.66,57.71,11.07,15-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Oct-2019 - 00:00,734.36,115.77,38.29,119.92,1.18,4.31,1.36,4.75,2.29,1.19,51.3,12.74,50.32,63.06,57.49,11.11,16-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Oct-2019 - 00:00,734.42,102.72,35.02,103.95,1.11,2.98,1.01,3.1,1.69,1.1,35.99,5.26,48.75,54.01,52.99,11.83,17-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Oct-2019 - 00:00,734.15,98.26,34.31,176.93,1.26,1.69,0.44,1.29,0.71,1.03,26.95,2.81,22.94,25.75,84.05,14.28,18-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Oct-2019 - 00:00,734.13,88.91,34.97,170.71,1.35,1.62,0.34,1.09,0.54,0.95,42.82,3.05,28.27,31.32,69.48,12.95,19-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Oct-2019 - 00:00,735.47,84.66,36.07,79.82,1.58,1.81,0.6,2.17,0.93,1.06,53.0,3.96,39.75,43.71,47.43,9.88,20-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Oct-2019 - 00:00,735.4,83.1,33.67,75.85,1.55,1.91,0.62,2.1,1.31,0.89,53.27,3.49,42.73,46.22,66.29,10.5,21-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Oct-2019 - 00:00,734.15,109.81,41.31,111.34,1.26,5.24,1.96,6.24,3.13,1.41,84.17,21.43,69.66,91.09,47.52,11.11,22-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Oct-2019 - 00:00,732.19,133.57,43.15,160.98,1.31,7.08,3.54,9.87,5.7,1.32,60.99,28.48,69.02,97.5,48.03,13.87,23-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Oct-2019 - 00:00,731.27,133.69,38.7,124.2,1.22,9.05,4.3,12.4,6.76,1.48,61.14,47.63,69.75,117.38,36.24,14.39,24-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Oct-2019 - 00:00,731.7,108.35,34.2,79.44,1.5,3.28,1.04,3.84,1.73,0.69,40.46,5.0,48.45,53.43,57.25,11.46,25-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Oct-2019 - 00:00,732.37,131.86,40.51,73.16,1.54,2.79,0.53,1.71,0.79,0.82,45.71,3.77,35.2,38.93,68.8,9.09,26-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Oct-2019 - 00:00,733.82,117.65,37.44,87.05,1.31,3.36,0.33,1.37,0.78,0.96,47.76,4.67,36.81,41.48,56.12,10.13,27-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Oct-2019 - 00:00,733.97,185.31,55.05,127.02,1.23,6.21,1.13,4.59,2.44,1.12,82.69,17.52,62.35,79.9,47.75,21.08,28-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Oct-2019 - 00:00,734.53,265.26,112.53,141.98,1.17,6.2,1.31,5.68,2.81,1.4,78.6,13.72,58.66,72.38,44.41,25.39,29-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Oct-2019 - 00:00,734.9,207.72,62.78,108.96,1.26,7.19,1.94,8.13,3.72,0.91,102.53,18.62,79.85,98.47,47.37,16.93,30-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Oct-2019 - 00:00,734.0,148.36,45.79,153.87,1.1,5.34,1.44,5.77,2.62,0.6,82.21,18.98,58.84,77.82,58.57,14.32,31-Oct-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Oct-2019 - 00:00,733.27,125.85,40.43,174.43,1.31,4.63,0.79,3.37,1.51,0.81,62.82,5.31,47.77,53.08,68.86,14.27,01-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Nov-2019 - 00:00,733.22,105.01,36.25,150.47,1.42,2.8,0.56,2.46,1.37,0.76,62.18,8.6,47.03,55.63,57.03,14.24,02-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Nov-2019 - 00:00,734.21,177.74,54.6,84.75,1.97,3.2,0.48,1.81,0.79,1.2,47.35,4.09,34.84,38.93,70.93,12.67,03-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Nov-2019 - 00:00,735.28,158.79,55.19,173.22,1.22,3.47,0.99,2.86,1.21,1.28,54.05,6.01,39.91,45.93,49.5,10.86,04-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Nov-2019 - 00:00,735.3,104.69,36.52,163.09,1.39,3.77,1.2,4.68,2.03,1.41,55.08,12.32,55.76,68.08,33.06,11.88,05-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Nov-2019 - 00:00,733.37,129.11,46.06,181.16,1.05,8.28,3.45,11.4,5.49,1.64,70.26,51.66,73.86,125.18,39.47,11.94,06-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Nov-2019 - 00:00,730.93,87.45,35.06,166.76,1.37,1.97,0.61,2.79,1.28,0.85,24.06,7.5,35.58,43.08,65.02,11.66,07-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Nov-2019 - 00:00,731.15,62.37,26.82,105.17,1.97,1.19,0.2,0.6,0.27,0.87,14.93,3.46,18.55,22.01,80.53,11.64,08-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Nov-2019 - 00:00,733.45,137.45,48.53,52.07,1.96,3.23,0.5,1.41,0.66,1.16,22.72,3.4,34.11,37.51,89.89,11.41,09-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Nov-2019 - 00:00,734.48,119.46,40.95,38.38,2.25,2.21,0.35,1.41,0.59,0.99,24.77,3.98,39.68,43.66,81.64,14.0,10-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Nov-2019 - 00:00,734.43,121.09,42.93,94.9,1.76,3.12,0.63,2.44,1.17,1.13,25.66,5.47,41.15,46.62,91.14,12.54,11-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Nov-2019 - 00:00,733.41,118.51,50.63,138.6,1.37,2.75,1.24,3.57,1.49,1.18,25.05,4.92,40.02,45.0,90.73,13.52,12-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Nov-2019 - 00:00,734.11,144.91,63.24,107.1,1.32,3.32,0.54,2.09,0.99,1.17,22.3,4.36,34.17,38.53,92.95,12.85,13-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Nov-2019 - 00:00,735.75,188.26,73.7,99.8,1.29,5.16,1.02,3.68,1.72,1.54,25.49,5.85,38.91,44.76,84.14,15.75,14-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Nov-2019 - 00:00,736.44,222.72,74.64,110.5,1.52,5.21,0.8,2.41,1.09,1.38,27.11,4.07,34.71,38.71,76.71,13.95,15-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Nov-2019 - 00:00,735.9,117.0,38.87,81.62,1.8,1.39,0.2,0.76,0.32,0.89,23.99,4.65,37.99,42.64,56.37,11.78,16-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Nov-2019 - 00:00,735.96,135.43,44.79,38.18,2.35,1.96,0.35,1.51,0.61,0.86,27.63,4.49,45.16,49.63,67.93,13.84,17-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Nov-2019 - 00:00,736.35,74.89,29.28,138.28,1.74,2.18,0.49,2.23,1.15,0.78,24.63,4.79,39.54,44.33,65.37,12.62,18-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Nov-2019 - 00:00,735.62,74.02,29.83,205.22,1.3,2.18,0.84,3.16,1.34,0.91,25.2,5.85,40.53,46.37,52.4,10.41,19-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Nov-2019 - 00:00,734.7,85.57,36.45,146.4,1.1,5.66,2.67,8.73,4.36,1.35,55.49,46.26,64.69,110.96,46.45,12.89,20-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Nov-2019 - 00:00,734.7,87.38,34.32,123.41,1.37,2.88,0.82,3.86,1.69,0.62,28.6,5.45,47.28,52.74,66.5,10.46,21-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Nov-2019 - 00:00,736.2,94.95,36.78,94.07,1.33,2.04,0.33,1.51,0.65,0.66,19.66,2.76,30.49,33.24,94.13,11.04,22-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Nov-2019 - 00:00,736.52,130.58,45.71,134.53,1.25,4.51,0.74,3.07,1.43,0.96,29.41,6.47,46.78,53.25,67.18,13.99,23-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Nov-2019 - 00:00,736.44,145.67,52.97,135.79,1.15,4.45,1.0,4.45,1.94,1.13,44.45,11.61,72.13,83.74,51.01,10.35,24-Nov-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
