from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
01-Jan-2019 - 00:00,,2.06,22.66,3.16,93.34,52.21,22.46,1.01,201.7,28.22,73.77,740.05,73.49,0.0,-0.11,,,,241.5,16.87,02-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jan-2019 - 00:00,,2.68,17.52,3.31,107.43,59.85,28.33,1.01,165.31,28.14,67.11,740.29,75.08,0.0,-0.11,,,,319.21,16.93,03-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jan-2019 - 00:00,,1.81,17.17,3.03,83.42,46.79,29.69,2.1,256.89,27.91,48.53,741.22,84.41,0.0,-0.2,,,,283.67,16.56,04-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jan-2019 - 00:00,,2.22,14.51,4.23,96.93,54.98,12.63,1.2,197.71,28.33,32.74,740.07,53.91,0.0,-0.13,,,,265.67,15.03,05-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jan-2019 - 00:00,,1.89,9.07,3.25,68.65,39.15,15.34,1.72,111.66,28.06,50.92,738.54,74.71,0.0,-0.11,,,,236.66,15.42,06-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jan-2019 - 00:00,,1.46,12.32,2.73,61.59,34.98,16.77,2.11,194.36,26.85,67.78,737.71,56.68,0.0,-0.14,,,,180.12,16.1,07-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jan-2019 - 00:00,,1.48,17.31,3.07,78.93,44.36,14.5,1.97,258.48,27.77,71.34,739.51,74.1,0.0,-0.17,,,,185.42,16.04,08-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jan-2019 - 00:00,,0.97,10.78,3.0,53.06,30.66,21.77,2.44,259.17,28.03,78.94,723.65,89.29,0.0,-0.24,,,,134.12,15.85,09-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jan-2019 - 00:00,,0.97,12.78,3.14,50.89,29.62,26.13,2.72,259.71,27.92,81.46,711.16,95.98,0.0,-0.25,,,,131.08,15.96,10-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jan-2019 - 00:00,,1.26,13.36,3.09,56.78,32.72,27.76,2.26,258.7,27.16,83.19,710.87,93.27,0.0,-0.22,,,,121.17,16.58,11-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jan-2019 - 00:00,,3.48,25.26,4.06,154.87,85.77,21.01,0.86,185.05,27.48,88.9,712.32,72.66,0.0,-0.11,,,,314.29,16.39,12-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jan-2019 - 00:00,,3.21,24.59,3.96,135.25,75.16,20.72,0.97,193.21,28.03,93.7,711.51,79.56,0.0,-0.11,,,,310.29,16.89,13-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jan-2019 - 00:00,,2.52,18.89,3.33,97.77,54.71,61.08,1.54,217.07,27.23,93.79,713.12,71.61,0.0,-0.14,,,,293.25,17.76,14-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jan-2019 - 00:00,,0.8,8.54,18.22,44.9,38.6,50.3,3.45,265.18,28.5,73.46,713.01,102.0,0.0,-0.33,,,,637.29,15.56,15-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jan-2019 - 00:00,,1.06,10.68,3.17,53.32,30.94,26.94,2.81,254.92,28.84,53.4,712.13,79.89,0.0,-0.26,,,,968.33,14.55,16-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jan-2019 - 00:00,,2.71,21.56,3.76,102.17,57.43,19.42,1.1,174.97,28.49,58.38,712.11,80.3,0.0,-0.11,,,,318.67,14.97,17-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jan-2019 - 00:00,,3.63,22.72,4.01,145.35,80.57,16.91,1.09,210.69,28.17,62.62,710.94,62.88,0.0,-0.12,,,,380.46,16.11,18-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jan-2019 - 00:00,,1.77,12.04,3.16,79.28,44.36,24.62,1.66,259.55,28.41,62.72,711.3,95.67,0.0,-0.16,,,,205.88,16.38,19-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jan-2019 - 00:00,,2.49,28.02,3.81,118.37,65.98,22.68,1.08,216.23,28.63,58.21,711.15,83.78,0.0,-0.13,,,,349.91,18.28,20-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jan-2019 - 00:00,,3.47,28.6,3.8,136.12,75.5,19.04,1.06,180.79,27.87,54.95,710.26,90.02,0.0,-0.13,,,,275.46,19.99,21-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jan-2019 - 00:00,,1.24,9.58,3.14,61.88,35.32,18.57,2.49,118.86,28.51,54.94,707.83,33.85,0.01,-0.13,,,,126.88,17.69,22-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jan-2019 - 00:00,,0.99,5.82,3.27,60.71,34.95,16.52,2.11,132.68,26.98,54.94,708.47,63.19,0.09,-0.13,,,,63.27,16.78,23-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jan-2019 - 00:00,,1.68,11.21,3.81,100.61,56.61,14.87,1.35,230.14,29.32,54.94,711.3,93.23,0.0,-0.13,,,,118.34,16.67,24-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jan-2019 - 00:00,,1.56,19.41,3.36,85.94,48.44,12.59,1.88,192.79,29.23,65.58,713.3,78.94,0.0,-0.14,,,,131.12,17.12,25-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jan-2019 - 00:00,,0.91,12.31,3.09,62.4,35.76,17.69,2.16,239.69,27.56,73.05,729.1,78.7,0.01,-0.17,,,,70.46,15.98,26-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jan-2019 - 00:00,,0.89,13.64,3.18,54.6,31.63,20.41,2.47,262.51,27.53,68.94,743.8,111.72,0.0,-0.19,,,,102.21,14.27,27-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
