from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Feb-2019 - 00:00,27.89,2.84,27.53,4.34,162.06,48.73,31.78,1.01,158.38,,85.38,735.62,55.68,0.0,-0.1,,,,16.0,16.38,06-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Feb-2019 - 00:00,28.36,1.63,21.11,4.18,103.53,31.86,27.51,1.97,134.73,,88.02,732.62,98.2,0.0,-0.09,,,,16.0,15.84,07-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Feb-2019 - 00:00,28.88,0.74,11.74,4.93,83.48,25.5,37.73,3.21,124.24,,98.5,730.28,22.12,0.3,-0.09,,,,16.0,14.26,08-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Feb-2019 - 00:00,29.57,0.77,22.87,4.83,105.84,33.14,44.39,3.2,263.3,,68.48,736.48,191.52,0.0,-0.32,,,,16.0,14.95,09-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Feb-2019 - 00:00,28.01,0.87,21.98,4.27,90.45,28.42,44.31,2.82,262.69,,79.02,738.76,136.23,0.0,-0.27,,,,16.0,12.87,10-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Feb-2019 - 00:00,27.15,1.47,30.46,4.05,105.98,32.66,40.82,1.68,252.65,,78.24,740.24,108.65,0.0,-0.18,,,,16.0,13.44,11-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Feb-2019 - 00:00,27.32,2.49,45.92,6.18,174.58,53.49,35.3,1.0,215.02,,79.99,740.72,102.36,0.0,-0.11,,,,68.58,14.13,12-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Feb-2019 - 00:00,27.59,2.82,47.54,5.71,194.9,58.92,44.89,1.11,181.36,,80.45,740.8,106.23,0.0,-0.1,,,,182.85,15.45,13-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Feb-2019 - 00:00,27.43,2.74,53.8,3.85,150.55,45.14,41.97,1.12,161.76,,84.07,739.91,91.58,0.0,-0.11,,,,226.82,15.9,14-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Feb-2019 - 00:00,28.44,1.35,15.52,3.4,81.31,25.02,54.31,2.66,130.91,,90.66,735.52,77.53,0.01,-0.11,,,,138.99,15.12,15-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Feb-2019 - 00:00,28.6,1.11,20.56,3.78,82.02,25.71,31.1,1.93,189.88,,88.57,735.6,95.58,0.0,-0.18,,,,93.71,15.05,16-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Feb-2019 - 00:00,28.31,1.04,13.96,4.06,83.86,26.25,27.3,2.88,264.72,,91.6,737.14,70.47,0.0,-0.29,,,,106.3,13.75,17-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Feb-2019 - 00:00,27.63,1.14,18.2,3.85,76.85,24.29,45.03,2.55,258.55,,73.86,733.71,107.99,0.0,-0.25,,,,83.67,14.37,18-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Feb-2019 - 00:00,28.64,1.47,40.11,6.74,105.91,34.42,35.38,1.82,159.16,,81.16,729.57,101.28,0.0,-0.12,,,,115.21,15.72,19-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Feb-2019 - 00:00,28.5,1.66,35.5,4.02,94.86,29.49,38.57,1.18,146.18,,81.63,732.66,98.27,0.0,-0.11,,,,109.01,16.31,20-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Feb-2019 - 00:00,28.41,1.2,23.32,4.21,91.5,28.67,16.42,1.8,120.02,,90.35,737.57,42.53,0.0,-0.1,,,,82.94,15.9,21-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Feb-2019 - 00:00,28.27,1.14,19.75,15.97,85.09,34.67,28.32,1.66,130.64,,82.19,736.33,110.56,0.0,-0.09,,,,64.64,17.77,22-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Feb-2019 - 00:00,27.53,0.55,22.09,4.31,103.43,32.11,37.56,3.64,266.15,,79.35,736.75,145.52,0.0,-0.36,,,,63.36,16.56,23-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Feb-2019 - 00:00,27.5,0.33,28.64,4.02,78.81,24.96,52.14,3.43,263.6,,73.56,735.09,138.07,0.0,-0.33,,,,45.86,14.66,24-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Feb-2019 - 00:00,27.56,0.95,36.06,3.93,80.99,25.52,54.67,2.12,252.14,,70.14,731.8,142.5,0.0,-0.22,,,,74.69,15.56,25-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Feb-2019 - 00:00,27.74,1.34,39.84,4.14,124.86,37.83,56.4,1.64,158.94,,74.7,731.03,125.6,0.0,-0.1,,,,89.56,15.64,26-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Feb-2019 - 00:00,27.61,0.65,20.88,4.15,76.76,24.46,41.38,1.95,148.25,,82.98,731.22,64.8,0.04,-0.1,,,,45.88,13.6,27-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Feb-2019 - 00:00,28.05,0.92,18.14,4.18,93.19,29.13,34.73,1.67,207.18,,86.26,731.23,105.52,0.0,-0.12,,,,50.7,13.25,28-Feb-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Feb-2019 - 00:00,29.15,1.24,20.05,4.23,130.05,39.59,38.97,2.24,253.86,,71.91,735.26,152.92,0.0,-0.22,,,,73.83,13.92,01-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Mar-2019 - 00:00,29.69,1.18,20.76,4.18,131.34,39.85,45.49,0.79,249.59,,69.77,735.64,152.68,0.0,-0.15,,,,78.24,15.19,02-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Mar-2019 - 00:00,27.54,1.48,20.5,4.25,139.99,42.2,23.85,1.45,159.51,,88.17,735.89,43.89,0.04,-0.1,,,,84.99,13.93,03-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Mar-2019 - 00:00,27.01,0.82,16.7,3.95,70.53,22.56,34.15,1.55,138.94,,89.65,732.73,97.43,0.02,-0.1,,,,52.3,14.25,04-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Mar-2019 - 00:00,26.82,1.24,17.69,4.2,106.92,33.03,32.31,1.7,239.14,,84.11,729.52,89.74,0.0,-0.18,,,,84.81,15.99,05-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Mar-2019 - 00:00,27.71,0.73,16.74,4.25,78.03,24.71,41.35,2.53,263.54,,78.78,730.77,140.89,0.0,-0.24,,,,55.62,15.59,06-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Mar-2019 - 00:00,26.57,1.05,18.19,4.37,89.56,28.23,44.24,2.4,257.33,,71.24,731.84,164.4,0.0,-0.23,,,,64.14,16.28,07-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Mar-2019 - 00:00,27.66,1.52,21.12,4.27,121.92,37.32,49.13,1.52,229.23,,67.76,732.2,157.61,0.0,-0.16,,,,90.76,17.3,08-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Mar-2019 - 00:00,27.6,1.54,25.65,4.43,115.76,35.47,53.21,1.67,199.48,,68.0,733.86,136.99,0.0,-0.12,,,,91.74,17.94,09-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Mar-2019 - 00:00,28.85,0.88,22.69,4.3,93.62,29.34,43.4,2.68,264.55,,67.12,733.88,148.33,0.0,-0.23,,,,60.81,17.97,10-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Mar-2019 - 00:00,30.91,0.9,21.21,3.89,82.87,26.02,60.65,1.75,220.27,,63.97,734.28,160.1,0.0,-0.18,,,,61.38,17.76,11-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Mar-2019 - 00:00,29.67,1.02,24.94,11.64,69.3,35.85,64.63,2.38,139.72,,67.55,733.76,130.79,0.0,-0.1,,,,68.4,18.5,12-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Mar-2019 - 00:00,27.05,1.05,,4.3,90.86,28.43,43.27,2.45,242.05,,68.66,735.67,112.17,0.0,-0.18,,,,57.44,18.43,13-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Mar-2019 - 00:00,26.91,1.01,,4.49,100.78,31.48,29.77,1.64,259.83,,66.72,736.06,54.39,0.0,-0.14,,,,76.72,17.39,14-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Mar-2019 - 00:00,30.39,0.99,,4.48,83.92,26.13,69.28,2.6,252.73,,65.22,738.6,232.7,0.0,-0.24,,,,50.9,18.98,16-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Mar-2019 - 00:00,29.21,0.94,,4.1,76.63,24.39,62.93,2.34,258.8,,68.65,736.72,150.37,0.0,-0.23,,,,57.05,17.42,17-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Mar-2019 - 00:00,27.47,1.12,,4.09,74.7,23.69,62.92,2.17,257.52,,64.26,734.68,169.45,0.0,-0.21,,,,64.06,18.58,18-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Mar-2019 - 00:00,27.22,1.26,,4.2,78.01,24.84,62.88,1.89,245.38,,65.01,734.2,158.65,0.0,-0.2,,,,76.13,18.83,19-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Mar-2019 - 00:00,28.18,1.22,,3.98,79.72,25.19,54.44,1.95,219.88,,63.18,730.77,164.07,0.0,-0.17,,,,82.09,20.15,20-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Mar-2019 - 00:00,27.67,1.11,,3.75,55.63,17.85,65.13,1.99,145.56,,63.06,729.09,151.65,0.0,-0.11,,,,76.77,21.26,21-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Mar-2019 - 00:00,26.84,1.3,,3.76,60.02,19.47,78.46,1.77,180.41,,61.84,732.33,137.84,0.0,-0.12,,,,85.52,21.17,22-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Mar-2019 - 00:00,28.11,0.55,,3.87,53.94,17.81,75.87,3.54,267.16,,55.34,734.49,174.91,0.0,-0.36,,,,26.27,20.19,23-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Mar-2019 - 00:00,29.63,0.65,,3.82,60.62,19.67,82.27,3.34,261.93,,59.6,733.82,167.15,0.0,-0.33,,,,42.48,20.0,24-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Mar-2019 - 00:00,49.36,0.69,,45.64,307.79,170.9,58.6,2.97,262.85,,56.33,733.0,205.37,0.0,-0.31,,,,43.0,21.37,25-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Mar-2019 - 00:00,27.48,1.17,,4.99,159.64,48.45,49.46,2.94,251.12,,58.12,732.64,208.7,0.0,-0.24,,,,40.38,21.86,26-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Mar-2019 - 00:00,28.36,1.01,,3.26,139.64,41.64,60.23,4.06,265.97,,65.89,733.84,169.32,0.0,-0.3,,,,58.23,20.04,27-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Mar-2019 - 00:00,29.4,0.86,,3.53,107.84,32.84,63.54,1.67,255.7,,58.69,734.54,155.04,0.0,-0.22,,,,56.14,21.29,28-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Mar-2019 - 00:00,27.99,1.56,,5.12,126.54,38.9,74.24,1.14,182.82,,59.97,732.32,159.64,0.0,-0.11,,,,90.13,22.79,29-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Mar-2019 - 00:00,28.85,2.26,,1.17,150.23,43.12,61.06,1.33,206.35,,63.21,729.24,146.29,0.0,-0.13,,,,136.26,23.95,30-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Mar-2019 - 00:00,29.89,1.13,,1.11,112.96,32.6,55.77,1.53,188.93,,60.99,728.28,151.47,0.0,-0.12,,,,90.56,24.63,31-Mar-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Mar-2019 - 00:00,26.72,0.85,,0.74,81.02,23.39,68.03,3.58,266.18,,54.14,728.93,191.56,0.0,-0.34,,,,44.44,23.52,01-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Apr-2019 - 00:00,29.06,0.8,,0.92,65.23,18.85,79.83,3.37,263.09,,52.74,729.42,196.37,0.0,-0.32,,,,39.01,22.45,02-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Apr-2019 - 00:00,28.26,1.28,,1.03,85.01,24.71,67.37,1.55,218.56,,53.37,730.11,173.85,0.0,-0.14,,,,71.65,23.1,03-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Apr-2019 - 00:00,27.56,1.39,,0.89,82.0,23.71,68.24,1.11,212.64,,51.13,729.06,185.41,0.0,-0.17,,,,69.37,23.78,04-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Apr-2019 - 00:00,28.94,1.69,,0.9,88.08,25.45,72.99,0.64,192.6,,54.19,729.56,173.16,0.0,-0.16,,,,108.89,25.08,05-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Apr-2019 - 00:00,28.75,2.05,,1.04,124.9,35.97,62.54,0.89,178.33,,56.28,728.59,156.11,0.0,-0.12,,,,128.22,25.79,06-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Apr-2019 - 00:00,27.76,1.13,,0.88,70.74,20.46,76.48,1.27,167.79,,52.74,727.32,159.04,0.0,-0.13,,,,77.95,26.18,07-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Apr-2019 - 00:00,26.64,1.6,,1.13,54.64,16.11,38.74,2.5,143.84,,69.99,726.67,136.87,0.01,-0.1,,,,110.29,23.94,08-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Apr-2019 - 00:00,28.56,0.81,,4.59,60.74,20.08,63.67,1.81,139.73,,64.91,727.48,160.21,0.0,-0.09,,,,67.96,23.13,09-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Apr-2019 - 00:00,28.07,1.08,,7.01,47.1,17.96,68.26,1.46,122.48,,59.95,727.06,176.37,0.0,-0.09,,,,70.89,24.29,10-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Apr-2019 - 00:00,27.39,1.65,,7.42,85.14,28.99,52.32,1.61,214.76,,55.04,728.37,177.91,0.0,-0.15,,,,91.52,25.95,11-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Apr-2019 - 00:00,27.94,1.22,,7.28,69.37,24.07,56.58,1.24,196.47,,49.9,728.16,178.51,0.0,-0.13,,,,66.36,26.72,12-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Apr-2019 - 00:00,28.54,1.18,,7.46,66.66,23.79,69.76,2.22,214.41,,53.65,728.78,173.66,0.0,-0.16,,,,61.52,25.59,13-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Apr-2019 - 00:00,27.34,0.92,,7.36,54.44,20.26,67.66,0.83,231.83,,52.38,729.3,189.39,0.0,-0.18,,,,52.24,25.74,14-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Apr-2019 - 00:00,26.73,0.79,,7.44,45.49,17.79,65.64,0.3,256.59,,49.91,729.06,189.33,0.0,-0.24,,,,40.22,26.03,15-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Apr-2019 - 00:00,28.44,0.97,,7.29,47.83,18.35,62.86,0.3,252.45,,47.29,727.13,178.23,0.0,-0.22,,,,38.91,27.13,16-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Apr-2019 - 00:00,29.14,0.73,,7.57,38.21,15.8,75.67,2.41,171.0,,67.09,730.81,133.31,0.01,-0.32,,,,69.66,22.19,17-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Apr-2019 - 00:00,29.77,0.63,,7.42,44.75,33.78,74.49,2.71,165.84,,77.83,732.33,172.86,0.0,-0.17,,,,27.23,19.41,18-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Apr-2019 - 00:00,27.26,0.61,,1.32,46.02,13.82,83.22,1.85,179.34,,71.62,732.19,175.06,0.0,-0.13,,,,32.43,20.38,19-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Apr-2019 - 00:00,28.51,0.86,,1.22,67.0,19.62,71.73,1.89,250.79,,61.0,729.76,152.34,0.0,-0.2,,,,73.48,22.15,20-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Apr-2019 - 00:00,27.84,1.66,42.43,5.17,77.76,29.01,63.17,1.21,200.77,,55.7,727.23,156.7,0.0,-0.11,,,,74.79,23.81,21-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Apr-2019 - 00:00,26.27,2.61,54.09,1.38,78.79,23.12,85.23,0.56,234.74,,51.21,725.42,195.94,0.0,-0.21,,,,241.7,25.43,22-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Apr-2019 - 00:00,27.76,2.21,50.14,13.73,102.43,41.88,61.33,0.62,191.68,,51.78,725.55,190.92,0.0,-0.18,,,,129.76,26.45,23-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Apr-2019 - 00:00,28.41,1.53,12.5,17.85,114.67,44.2,80.44,0.34,215.74,,50.34,726.51,196.12,0.0,-0.18,,,,101.73,27.55,24-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Apr-2019 - 00:00,28.19,1.01,9.76,2.46,62.4,19.18,103.95,0.46,155.21,,53.25,727.72,179.46,0.0,-0.14,,,,83.28,27.91,25-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Apr-2019 - 00:00,28.3,0.97,9.55,1.35,51.1,15.29,93.84,0.32,137.06,,56.6,727.57,154.11,0.0,-0.09,,,,77.59,27.35,26-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Apr-2019 - 00:00,28.22,1.01,14.91,10.65,102.08,35.93,111.68,0.33,244.39,,47.18,727.0,214.71,0.0,-0.22,,,,67.31,27.74,27-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Apr-2019 - 00:00,33.27,0.71,12.43,3.43,104.86,31.93,75.28,2.38,265.06,,42.14,726.56,206.06,0.0,-0.41,,,,61.52,28.23,28-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Apr-2019 - 00:00,55.59,0.99,15.6,75.32,425.14,200.34,33.51,2.69,270.19,,45.5,726.03,49.53,0.0,-0.29,,,,62.86,25.99,29-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Apr-2019 - 00:00,27.81,1.92,12.4,44.41,180.65,78.09,96.44,3.66,236.1,,36.41,723.86,294.12,0.0,-0.22,,,,95.19,30.4,30-Apr-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
