from date,AT,CO,SO2,NO,NO2,NOx,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
01-Jan-2019 - 00:00,20.27,1.85,21.62,15.02,8.23,10.99,0.3,159.45,73.32,748.49,83.3,-0.85,0.0,335.28,0.83,5.44,5.94,02-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jan-2019 - 00:00,20.48,1.29,20.77,15.27,9.14,11.36,0.3,162.6,73.74,748.38,83.96,-0.76,0.0,377.31,0.87,5.71,4.97,03-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jan-2019 - 00:00,19.99,1.25,18.47,11.49,8.32,8.83,0.3,159.26,76.63,748.33,82.55,-0.77,0.0,331.84,0.8,4.67,3.13,04-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jan-2019 - 00:00,19.9,1.24,20.94,29.92,9.23,21.39,0.3,152.44,82.1,748.5,79.78,-1.45,0.0,417.26,0.89,5.42,4.29,05-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jan-2019 - 00:00,22.5,0.49,14.76,41.42,12.24,29.27,0.3,56.0,64.15,748.2,126.8,-1.51,0.02,225.67,0.75,6.0,5.9,06-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jan-2019 - 00:00,23.07,0.26,14.38,14.59,8.95,6.83,0.3,150.62,66.5,748.0,69.5,-0.74,0.0,161.72,0.64,4.98,3.91,08-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jan-2019 - 00:00,21.0,0.32,9.63,10.58,1.5,4.38,0.3,166.81,75.92,748.0,78.5,-0.46,0.0,103.0,0.46,2.38,1.2,09-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jan-2019 - 00:00,26.75,0.34,13.83,19.25,7.14,24.4,0.32,167.17,63.11,748.0,118.65,-2.75,0.0,172.5,0.6,3.5,1.68,10-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jan-2019 - 00:00,24.72,0.43,10.92,13.02,124.15,30.98,0.3,166.01,71.86,748.0,96.57,-3.55,0.0,216.32,0.66,3.92,2.61,11-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
