from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
29-Jan-2019 - 00:00,9.08,,989.84,,18.69,43.52,48.45,61.24,21.19,,173.25,54.98,26.26,102.51,217.11,1.09,0.0,,30-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Jan-2019 - 00:00,9.72,,989.9,3.25,21.93,95.72,58.89,109.38,16.49,,246.91,56.67,35.84,91.87,207.92,0.76,0.0,,31-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-Jan-2019 - 00:00,11.14,,989.88,1.34,25.81,104.7,58.25,116.35,13.98,,214.51,59.94,19.14,69.65,136.7,1.19,0.11,,01-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Feb-2019 - 00:00,12.13,,989.87,0.68,30.91,23.73,51.01,46.5,11.17,,187.51,64.84,19.92,81.31,179.21,1.13,0.09,,02-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Feb-2019 - 00:00,8.68,,990.0,1.81,25.99,16.31,44.26,36.84,11.23,,201.9,77.88,17.12,66.52,219.9,1.04,,,03-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Feb-2019 - 00:00,9.64,,990.85,2.9,24.04,26.34,42.16,43.9,12.04,,150.82,77.83,17.77,79.3,219.65,0.89,0.0,,04-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Feb-2019 - 00:00,10.77,,999.29,2.69,22.37,86.81,55.8,100.44,11.52,,180.21,70.61,18.3,101.35,211.33,0.64,0.0,,05-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Feb-2019 - 00:00,12.89,,990.66,0.19,23.77,174.95,64.24,176.78,11.74,,251.14,67.49,19.56,85.99,164.34,0.77,0.13,,06-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Feb-2019 - 00:00,15.06,,995.38,1.74,28.56,41.15,47.72,58.94,12.51,204.46,177.24,72.59,16.17,83.13,130.01,1.23,0.1,,07-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Feb-2019 - 00:00,12.62,,,1.48,23.74,13.49,35.68,29.98,14.29,103.11,72.08,79.89,16.87,20.76,141.18,2.25,0.27,,08-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Feb-2019 - 00:00,10.91,,999.12,0.99,19.98,37.24,45.01,54.31,14.0,159.34,69.06,64.05,18.11,109.47,208.18,0.94,,,09-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Feb-2019 - 00:00,10.59,,989.93,1.04,19.15,33.24,49.85,53.62,14.03,195.26,88.46,60.47,18.91,110.83,214.21,1.08,,,10-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Feb-2019 - 00:00,10.6,,990.89,,19.98,72.29,54.37,87.86,13.44,310.92,187.5,63.32,22.57,96.18,204.17,0.71,,,11-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Feb-2019 - 00:00,11.57,,991.02,1.38,21.13,112.45,65.91,126.74,14.6,393.02,228.44,64.22,22.22,92.19,198.67,0.51,,,12-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Feb-2019 - 00:00,13.45,,990.11,1.04,23.57,148.28,82.27,164.66,13.03,462.31,271.0,67.15,20.09,79.83,184.02,0.45,0.0,101.32,13-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Feb-2019 - 00:00,14.75,,990.28,1.47,26.35,140.44,82.8,158.41,13.85,368.67,222.41,64.01,17.55,86.61,165.12,0.58,0.0,101.03,14-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Feb-2019 - 00:00,13.72,,997.41,1.25,31.75,51.84,86.01,87.95,10.94,419.93,177.6,72.01,16.03,52.48,123.88,1.79,0.17,,15-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Feb-2019 - 00:00,15.14,,989.82,3.51,33.43,17.54,71.29,52.22,12.88,330.68,179.87,67.9,16.61,97.37,207.93,1.04,0.0,,16-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
