from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
03-May-2019 - 00:00,28.39,,991.47,1.59,30.35,24.53,68.6,56.07,71.24,140.08,54.65,36.02,10.7,134.15,145.73,1.29,0.08,,04-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-May-2019 - 00:00,28.41,,989.81,1.37,44.52,38.86,74.98,71.52,53.69,225.86,73.5,36.0,8.9,177.87,205.68,0.69,,,05-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-May-2019 - 00:00,33.22,,989.92,2.27,27.83,87.42,77.9,112.74,80.57,219.2,61.82,19.14,9.68,165.52,201.96,0.95,,,06-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-May-2019 - 00:00,30.7,,989.95,2.26,28.93,103.93,87.45,131.18,60.17,268.82,59.2,21.41,10.88,142.05,215.8,0.93,,,07-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-May-2019 - 00:00,30.66,,990.0,2.73,30.72,136.81,80.91,161.24,39.6,399.36,100.0,26.58,10.93,142.56,211.86,1.06,,,08-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-May-2019 - 00:00,32.01,,990.0,1.92,31.32,122.93,77.84,141.63,41.72,404.14,57.83,23.56,8.28,142.22,203.04,1.25,,,09-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-May-2019 - 00:00,32.98,,990.01,1.73,30.15,50.21,72.86,79.66,46.91,406.8,74.89,20.51,7.13,140.69,218.95,1.31,,,10-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-May-2019 - 00:00,33.09,,990.06,1.58,26.54,4.87,49.69,30.41,55.22,266.23,66.7,19.54,4.94,139.43,218.46,1.38,,,11-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-May-2019 - 00:00,31.04,,990.05,1.68,32.46,18.08,72.51,53.29,62.39,301.68,66.38,31.45,8.58,140.86,204.41,0.92,,,12-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-May-2019 - 00:00,30.58,,990.07,1.81,31.86,14.11,62.26,44.58,67.43,414.26,71.28,30.47,7.92,137.54,204.26,1.2,,,13-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-May-2019 - 00:00,30.48,,990.0,1.47,31.45,23.47,71.08,56.94,80.18,320.05,58.91,32.35,11.04,127.85,203.56,1.01,0.09,,14-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-May-2019 - 00:00,28.43,,989.94,1.66,27.56,29.23,60.15,55.82,70.96,123.2,61.47,38.96,5.03,142.45,199.17,0.82,0.0,,15-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-May-2019 - 00:00,26.68,,989.98,1.5,32.27,63.44,90.26,99.82,37.69,217.27,73.34,47.44,5.79,111.81,157.81,1.19,0.14,,16-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-May-2019 - 00:00,28.24,,989.98,1.36,34.5,38.32,69.66,68.28,51.15,213.19,71.28,41.49,4.21,122.41,197.02,0.96,0.06,,17-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-May-2019 - 00:00,26.54,,992.76,1.7,32.19,29.37,54.21,52.78,48.59,242.7,59.31,49.49,3.93,118.23,194.01,1.23,0.03,,18-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-May-2019 - 00:00,25.05,,993.37,1.66,35.14,4.38,46.2,28.14,58.27,97.12,45.74,56.81,3.1,149.61,212.5,0.75,,,19-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-May-2019 - 00:00,29.09,,989.89,1.77,30.29,20.84,59.87,48.83,70.12,166.28,61.3,39.48,6.23,151.07,212.0,0.85,,,20-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-May-2019 - 00:00,31.18,,989.88,1.71,29.49,41.75,67.96,70.19,50.39,191.1,65.13,33.77,7.34,148.6,213.75,0.85,,,21-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-May-2019 - 00:00,32.77,,989.84,1.34,22.96,15.91,58.37,44.02,64.71,187.26,53.58,28.88,8.01,144.56,211.88,0.85,,,22-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-May-2019 - 00:00,30.28,,989.82,1.81,24.6,39.6,68.27,68.59,35.54,204.72,52.85,37.44,5.23,97.74,220.52,0.67,0.0,,23-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-May-2019 - 00:00,30.1,,990.33,1.42,27.02,42.3,67.73,70.52,56.58,193.39,66.77,43.8,4.8,127.78,201.09,0.69,0.0,,24-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-May-2019 - 00:00,27.21,,989.79,1.46,39.83,22.36,50.61,45.12,34.14,126.16,53.67,53.68,3.49,145.19,198.67,0.86,0.01,,25-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-May-2019 - 00:00,30.06,,989.78,1.31,29.72,3.08,44.07,25.95,67.74,131.57,53.06,38.52,4.48,154.8,209.61,1.15,0.0,,26-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-May-2019 - 00:00,31.02,,989.81,1.65,24.07,19.39,59.26,47.32,69.9,137.28,64.9,30.87,5.66,153.25,207.68,0.91,,,27-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-May-2019 - 00:00,32.76,,989.84,1.82,22.18,38.85,69.88,68.86,61.66,149.17,55.21,26.46,6.5,149.17,204.61,0.89,,,28-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-May-2019 - 00:00,33.08,,989.87,1.78,21.84,44.3,71.25,73.98,68.94,163.54,54.83,21.16,9.58,152.27,210.71,1.04,,,29-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-May-2019 - 00:00,34.06,,989.93,2.36,22.02,68.83,75.37,96.2,71.08,192.21,55.49,23.77,10.12,149.73,202.6,0.79,0.0,,30-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-May-2019 - 00:00,35.21,,989.94,2.55,25.47,122.22,78.26,141.27,54.29,241.06,65.87,25.02,7.02,145.62,202.49,0.71,,,31-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-May-2019 - 00:00,35.97,,989.87,2.21,23.16,62.23,59.12,82.22,60.51,292.38,71.24,20.42,7.52,146.29,208.96,1.02,,,01-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Jun-2019 - 00:00,35.04,,989.83,1.73,29.71,50.41,75.34,81.17,45.78,256.52,70.86,31.44,4.56,142.75,141.92,1.11,0.04,,02-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Jun-2019 - 00:00,35.07,,989.76,1.47,33.76,2.39,39.77,23.1,69.14,205.2,79.87,39.93,3.31,142.02,118.51,2.01,0.16,,03-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Jun-2019 - 00:00,33.2,,989.77,1.44,32.07,2.71,32.26,19.37,67.66,280.12,73.37,41.26,2.12,142.3,114.51,2.76,0.31,,04-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Jun-2019 - 00:00,33.17,,989.78,1.69,27.39,3.89,44.74,26.96,75.55,155.52,55.51,39.72,3.22,141.07,121.08,1.98,0.21,,05-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Jun-2019 - 00:00,34.91,,989.77,1.61,25.81,3.36,48.07,28.31,72.51,199.61,77.52,35.73,3.28,140.41,154.44,1.07,0.07,,06-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Jun-2019 - 00:00,34.83,,989.8,1.59,43.28,2.18,45.13,25.55,59.92,201.6,64.82,32.0,4.65,130.19,175.77,1.15,0.06,,07-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Jun-2019 - 00:00,32.26,,989.79,1.58,29.98,2.85,57.66,32.99,78.53,140.05,61.65,40.3,3.31,146.23,164.1,1.06,0.07,,08-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Jun-2019 - 00:00,34.69,,989.78,2.21,30.19,54.71,65.37,79.37,81.45,190.24,65.56,36.23,3.44,145.91,200.12,0.68,0.03,,09-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Jun-2019 - 00:00,34.96,,989.79,2.2,28.84,102.01,92.44,132.33,57.15,238.52,77.64,31.13,2.84,139.4,185.86,0.58,0.01,,10-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Jun-2019 - 00:00,36.0,,989.8,2.48,37.56,77.12,83.55,105.85,52.47,227.19,65.17,27.53,6.26,122.84,206.27,0.65,0.0,,11-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Jun-2019 - 00:00,36.53,,989.79,2.28,26.16,74.12,69.87,97.6,36.56,448.82,68.03,21.76,7.53,122.61,201.9,0.9,0.0,,12-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Jun-2019 - 00:00,33.05,,989.77,1.35,28.29,5.56,39.29,25.43,66.42,229.22,54.93,35.56,6.09,143.87,139.72,2.61,0.26,,13-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Jun-2019 - 00:00,34.14,,989.71,1.58,24.76,4.84,45.48,28.13,59.82,175.26,66.4,35.46,6.24,143.91,209.03,1.1,0.0,,14-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Jun-2019 - 00:00,35.13,,989.73,1.81,20.74,41.67,53.57,62.42,70.46,175.58,52.73,26.42,8.43,148.91,211.19,1.39,0.0,,15-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Jun-2019 - 00:00,35.85,,989.78,1.62,20.93,36.89,60.84,62.39,64.51,248.49,73.92,22.92,8.27,145.77,214.2,1.33,0.0,,16-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Jun-2019 - 00:00,29.42,,989.92,1.3,19.67,2.05,26.34,15.67,47.19,153.96,49.38,46.86,5.84,103.99,221.83,2.31,,,17-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Jun-2019 - 00:00,28.23,,990.65,1.48,21.47,6.49,39.42,26.24,42.72,123.24,53.18,45.35,5.53,82.23,211.85,1.88,0.0,,18-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Jun-2019 - 00:00,25.58,,993.93,1.81,22.1,21.63,51.06,44.79,50.32,95.38,36.19,56.63,7.01,116.49,189.08,0.97,0.01,,19-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Jun-2019 - 00:00,29.46,,989.75,1.4,27.19,16.36,51.74,40.86,61.1,205.48,57.41,49.11,5.29,142.68,178.83,0.75,0.04,,20-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Jun-2019 - 00:00,30.73,,989.77,1.39,26.7,2.86,44.97,26.25,82.62,82.23,45.1,45.26,5.59,149.06,178.2,0.81,0.02,,21-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Jun-2019 - 00:00,32.37,,989.78,1.82,27.91,6.59,60.29,37.44,64.06,152.63,70.37,43.36,6.06,129.21,190.85,0.67,0.01,,22-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Jun-2019 - 00:00,33.88,,989.78,1.57,27.37,9.97,66.67,43.59,79.72,155.86,66.17,36.39,6.87,147.83,178.18,0.84,0.08,,23-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Jun-2019 - 00:00,28.73,,989.81,1.41,29.41,1.91,23.11,13.85,39.67,101.88,47.26,57.72,6.45,53.31,128.21,1.83,0.21,,24-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Jun-2019 - 00:00,29.95,,989.78,1.25,25.33,3.02,39.33,23.39,42.05,101.93,33.79,55.48,5.43,153.31,120.56,2.24,0.18,,25-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Jun-2019 - 00:00,31.37,,989.78,1.43,24.23,3.26,49.31,28.88,67.87,114.54,57.61,51.86,6.73,120.09,170.82,0.69,0.01,,26-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Jun-2019 - 00:00,34.32,,989.86,1.6,23.19,6.01,60.48,37.04,57.55,160.57,56.87,41.69,5.24,137.92,199.38,0.73,0.0,,27-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Jun-2019 - 00:00,32.93,,989.89,1.72,27.72,22.94,55.88,48.38,57.3,244.63,68.81,41.43,7.16,135.65,211.34,0.9,,,28-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Jun-2019 - 00:00,33.7,,989.82,1.23,23.93,10.41,46.34,33.11,44.01,287.86,65.7,36.52,6.13,134.49,209.23,1.24,,,29-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Jun-2019 - 00:00,35.86,,989.79,1.53,20.99,11.71,45.27,33.61,39.73,276.35,64.95,30.99,7.27,140.87,207.95,1.19,0.0,,30-Jun-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Jun-2019 - 00:00,35.84,,989.74,1.27,20.03,22.73,44.6,42.3,40.46,269.36,65.25,33.16,5.4,131.62,193.34,1.07,0.0,,01-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Jul-2019 - 00:00,35.01,,989.76,1.25,20.14,4.81,46.46,28.62,62.72,178.84,53.63,34.99,4.47,139.76,195.94,0.83,0.0,,02-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Jul-2019 - 00:00,33.73,,989.74,1.45,18.72,2.19,42.76,24.52,68.93,236.22,69.08,41.57,5.13,128.83,170.93,1.12,0.08,,03-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Jul-2019 - 00:00,32.74,,989.75,1.47,26.66,2.78,32.73,19.24,36.95,104.03,57.26,50.9,7.1,123.21,145.74,1.34,0.12,,04-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Jul-2019 - 00:00,30.64,,990.29,1.5,26.3,3.9,34.44,21.5,29.43,101.14,51.39,58.14,5.9,90.11,198.92,0.87,0.08,,05-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Jul-2019 - 00:00,27.21,,990.45,1.65,28.57,12.26,50.8,37.01,21.14,95.77,54.7,71.99,4.79,93.03,176.62,0.86,0.1,,06-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Jul-2019 - 00:00,29.55,,989.69,1.48,26.58,5.18,36.37,23.57,34.54,73.69,41.5,62.11,5.29,143.42,146.89,1.27,0.15,,07-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Jul-2019 - 00:00,29.52,,989.7,,24.88,10.74,42.25,31.24,35.56,94.64,48.53,62.55,5.95,118.45,186.34,0.61,0.03,,08-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Jul-2019 - 00:00,30.58,,989.71,1.66,25.84,6.8,47.58,30.85,34.01,135.43,54.76,59.24,6.32,123.54,187.27,0.84,0.12,,09-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Jul-2019 - 00:00,28.81,,989.66,1.6,24.51,4.3,43.27,26.52,17.71,143.35,66.74,62.74,5.61,92.43,190.99,1.02,0.1,,10-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Jul-2019 - 00:00,31.37,,989.67,1.63,24.96,11.27,34.9,27.75,16.28,296.22,72.19,55.26,5.04,127.79,195.47,0.97,0.06,,11-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Jul-2019 - 00:00,33.04,,989.69,1.36,20.51,10.51,36.84,28.18,21.01,354.83,73.03,46.95,5.63,128.57,197.53,1.65,0.09,,12-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Jul-2019 - 00:00,32.51,,989.69,1.54,20.55,6.02,33.49,22.73,18.92,393.6,74.19,48.31,5.5,114.11,200.05,1.39,0.03,,13-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Jul-2019 - 00:00,33.06,,989.7,1.45,20.29,4.16,30.76,19.76,21.88,344.66,62.11,43.8,5.85,126.45,208.14,1.97,0.02,,14-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Jul-2019 - 00:00,31.89,,989.7,1.38,17.26,3.54,34.23,21.09,22.94,297.6,74.87,47.09,4.81,120.81,191.38,1.69,0.08,,15-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Jul-2019 - 00:00,26.25,,996.38,1.57,22.01,18.45,42.88,37.85,22.89,176.67,49.62,67.82,5.62,75.73,147.36,1.32,0.09,,16-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Jul-2019 - 00:00,25.71,,990.09,1.54,23.8,10.18,48.56,34.15,23.27,82.55,41.31,69.68,6.17,102.32,127.3,1.43,0.09,,17-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Jul-2019 - 00:00,25.03,,989.96,1.66,22.16,9.25,41.24,29.53,37.64,68.17,37.28,74.66,6.02,92.26,173.4,0.6,0.03,,18-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Jul-2019 - 00:00,24.57,,994.92,1.89,20.25,26.83,40.55,43.44,26.94,77.69,42.47,76.08,6.11,89.45,212.98,0.58,0.02,,19-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Jul-2019 - 00:00,29.06,,989.64,1.83,21.22,29.09,49.46,50.02,55.6,141.24,56.25,63.5,8.81,134.15,181.99,0.57,0.04,,20-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Jul-2019 - 00:00,28.39,,989.63,1.9,23.27,23.93,51.78,47.04,33.64,126.96,50.62,68.82,6.35,96.66,188.68,0.56,0.03,,21-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Jul-2019 - 00:00,27.91,,995.63,1.87,25.3,33.81,40.06,48.88,26.12,107.96,47.21,71.4,5.38,109.62,157.07,0.82,0.07,,22-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Jul-2019 - 00:00,29.2,,,1.84,27.69,37.97,51.32,58.25,27.63,126.72,59.19,69.53,5.93,130.97,165.17,0.6,0.04,,23-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Jul-2019 - 00:00,31.37,,989.61,2.01,31.04,30.97,57.99,56.09,33.36,160.84,62.79,63.4,5.44,128.89,183.91,0.48,0.01,,24-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Jul-2019 - 00:00,29.95,,993.17,1.49,31.49,11.65,49.29,35.72,32.14,145.68,65.83,65.64,5.49,119.63,195.43,0.68,0.02,,25-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Jul-2019 - 00:00,25.42,,989.64,1.56,27.13,8.16,35.3,25.43,19.78,54.99,31.92,76.75,5.51,50.96,196.51,0.67,0.01,,26-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Jul-2019 - 00:00,24.15,,995.13,1.64,27.28,10.14,40.39,29.76,27.88,53.8,32.83,76.14,5.72,0.92,97.11,0.66,0.03,,27-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Jul-2019 - 00:00,25.41,,999.14,1.61,27.44,19.48,35.6,34.82,16.41,49.98,27.13,80.08,5.06,87.8,103.34,1.68,0.19,,28-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Jul-2019 - 00:00,27.1,,989.48,1.48,26.72,7.07,27.35,20.32,17.83,48.33,26.03,72.11,5.3,90.47,105.36,2.22,0.27,,29-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Jul-2019 - 00:00,28.91,,989.47,1.53,27.88,7.39,34.63,24.44,19.75,58.7,34.27,64.5,5.31,108.27,101.09,2.15,0.25,,30-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Jul-2019 - 00:00,28.51,,989.47,1.6,28.32,11.01,41.78,31.2,20.36,76.8,42.18,65.6,5.59,98.34,105.85,1.82,0.16,,31-Jul-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-Jul-2019 - 00:00,28.78,,989.49,1.57,28.49,6.31,37.34,25.01,23.66,70.23,33.57,64.26,5.95,89.8,124.15,1.48,0.16,,01-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Aug-2019 - 00:00,29.82,,989.49,1.51,27.36,4.02,34.33,21.53,26.45,68.92,32.45,60.95,4.45,115.24,122.47,1.25,0.14,,02-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Aug-2019 - 00:00,27.93,,989.49,1.74,27.49,9.84,42.62,30.7,27.73,81.11,38.36,69.94,6.07,72.28,149.53,0.59,0.03,,03-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Aug-2019 - 00:00,27.14,,989.48,1.59,24.6,11.08,40.44,30.53,16.56,87.82,47.62,73.08,4.16,81.72,136.98,0.91,0.08,,04-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Aug-2019 - 00:00,27.6,,989.48,1.88,24.6,21.38,40.41,38.93,28.6,100.24,54.91,75.34,6.08,89.82,187.72,0.47,0.01,,05-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Aug-2019 - 00:00,29.24,,982.09,1.68,28.02,11.62,35.05,28.12,23.41,93.6,60.42,71.2,5.62,120.22,182.69,0.5,0.01,,06-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Aug-2019 - 00:00,25.12,,977.79,1.86,29.44,26.06,42.94,44.08,14.24,60.66,41.43,81.86,5.73,37.73,154.94,0.7,0.04,,07-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Aug-2019 - 00:00,27.73,,972.25,1.71,25.14,41.52,42.29,56.35,23.36,77.4,36.5,70.64,5.52,118.51,141.9,1.37,0.15,,08-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Aug-2019 - 00:00,30.49,,972.12,1.52,24.0,14.2,37.42,31.47,18.4,56.78,20.98,61.03,6.63,116.78,128.78,1.11,0.11,,09-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Aug-2019 - 00:00,28.88,,972.16,1.47,19.6,6.7,30.14,21.49,17.39,53.68,14.2,61.16,4.97,109.43,99.11,3.67,0.39,,10-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Aug-2019 - 00:00,27.76,,972.11,1.44,22.44,4.2,25.77,17.14,20.61,39.58,22.79,68.31,5.65,97.99,121.8,2.51,0.35,,11-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Aug-2019 - 00:00,29.91,,972.1,1.43,21.62,3.91,25.35,16.67,22.7,51.94,29.33,63.0,6.08,118.31,176.02,0.9,0.08,,12-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Aug-2019 - 00:00,27.92,,976.42,1.69,23.49,14.97,31.53,28.97,19.15,47.16,21.22,71.83,5.08,85.26,224.26,0.79,0.0,,13-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Aug-2019 - 00:00,27.43,,972.17,1.56,23.93,12.4,32.53,27.4,16.8,51.08,20.81,74.19,5.67,94.21,199.65,0.92,0.02,,14-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Aug-2019 - 00:00,27.43,,972.28,2.09,20.99,28.43,43.81,46.47,33.92,71.33,37.77,76.6,6.47,119.54,171.04,0.61,0.01,,15-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Aug-2019 - 00:00,28.21,,980.13,1.61,21.21,17.61,35.05,33.0,17.55,60.17,30.1,70.81,5.38,109.88,133.2,1.67,0.14,,16-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Aug-2019 - 00:00,26.39,,972.12,1.48,18.72,7.3,26.63,20.11,17.05,32.14,15.13,72.53,6.07,89.24,104.0,2.58,0.28,,17-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Aug-2019 - 00:00,24.06,,972.2,1.41,20.45,8.42,17.89,16.39,13.56,20.69,12.16,83.39,4.89,49.26,125.02,2.17,0.33,,18-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Aug-2019 - 00:00,23.16,,991.73,1.44,21.86,9.03,16.9,16.36,14.02,11.04,6.35,87.23,5.11,4.96,209.79,0.68,0.02,,19-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Aug-2019 - 00:00,30.22,,972.14,1.81,17.97,19.66,39.95,36.98,30.5,93.59,33.2,60.92,4.63,165.33,192.07,0.61,0.0,,20-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Aug-2019 - 00:00,28.14,,972.13,1.71,21.29,25.98,36.01,40.34,24.33,102.83,45.39,68.87,5.47,99.66,205.93,0.68,0.0,,21-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Aug-2019 - 00:00,29.24,,972.13,1.69,22.31,18.8,41.31,37.31,29.12,141.67,45.49,64.66,6.36,127.35,205.09,0.72,0.0,,22-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Aug-2019 - 00:00,26.98,,980.24,1.76,22.05,31.76,44.28,49.45,25.69,117.61,42.76,68.53,6.98,102.89,202.69,0.56,0.0,,23-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Aug-2019 - 00:00,27.95,,972.14,2.21,21.86,57.08,37.22,66.32,30.99,124.79,48.22,70.17,6.53,112.83,203.58,0.5,0.0,,24-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Aug-2019 - 00:00,27.82,,972.12,1.69,22.71,32.06,45.46,50.32,28.91,128.46,63.96,71.64,4.69,93.1,195.58,0.46,0.02,,25-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Aug-2019 - 00:00,25.79,,973.27,1.55,20.77,11.29,31.24,25.82,25.6,64.48,33.35,75.96,5.13,89.6,154.85,0.73,0.04,,26-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Aug-2019 - 00:00,28.38,,972.1,1.52,18.33,15.21,34.29,30.64,20.74,54.09,21.32,65.79,5.86,122.44,142.3,1.21,0.15,,27-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Aug-2019 - 00:00,29.93,,972.11,1.71,17.23,17.56,40.33,35.77,26.83,83.5,34.09,62.52,6.5,116.21,164.48,0.74,0.05,,28-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Aug-2019 - 00:00,30.95,,972.1,1.57,17.27,6.89,36.37,24.95,28.19,80.04,35.29,60.08,6.04,125.21,157.38,0.97,0.11,,29-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Aug-2019 - 00:00,30.32,,972.1,1.52,20.31,2.52,30.53,18.13,29.6,75.92,34.83,62.33,6.19,122.63,165.21,1.11,0.12,,30-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Aug-2019 - 00:00,29.97,,972.13,1.74,25.77,7.17,36.81,25.43,34.46,93.11,34.89,62.9,6.98,116.64,206.04,0.6,0.04,,31-Aug-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-Aug-2019 - 00:00,30.28,,972.15,2.17,26.95,21.11,53.47,45.67,41.17,125.46,48.24,64.54,6.93,112.36,201.77,0.49,0.02,,01-Sep-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Sep-2019 - 00:00,27.35,,972.13,1.57,25.54,9.84,42.79,30.79,30.61,77.12,33.14,70.12,5.97,74.04,135.44,1.08,0.11,,02-Sep-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Sep-2019 - 00:00,29.42,,972.15,1.75,23.69,3.33,47.29,27.85,53.16,105.62,53.0,65.35,20.06,111.61,171.21,0.61,0.03,,03-Sep-2019 - 00:00,"R K Puram, Delhi - DPCC"
