from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"T T Nagar, Bhopal - MPPCB"
