from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
25-Jan-2019 - 00:00,144.97,184.35,78.77,-0.38,734.47,50.81,17.92,1.52,220.33,0.88,23.12,68.94,90.89,29.07,46.3,2.0,7.39,4.54,26-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Jan-2019 - 00:00,90.49,122.62,78.66,-0.39,732.47,61.64,16.94,0.85,179.1,0.45,23.19,63.75,56.04,6.84,20.38,1.34,5.06,11.57,27-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Jan-2019 - 00:00,109.95,174.24,77.42,-0.43,731.97,52.79,15.93,0.3,145.46,0.72,23.18,33.45,74.48,10.5,28.0,1.64,2.9,1.18,28-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Jan-2019 - 00:00,127.4,225.28,60.42,-0.45,731.53,103.99,14.06,0.3,157.03,0.7,25.35,78.17,98.44,17.1,39.84,1.61,2.89,1.97,29-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Jan-2019 - 00:00,119.86,221.72,58.18,-0.46,732.59,109.92,12.17,0.3,174.95,0.69,21.45,80.32,105.59,8.26,35.76,1.57,3.18,6.29,30-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Jan-2019 - 00:00,137.41,234.28,55.35,-0.42,732.53,107.6,14.21,0.3,166.47,1.0,23.93,89.97,128.6,64.64,55.36,1.97,4.0,3.88,31-Jan-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Jan-2019 - 00:00,186.23,328.2,55.96,-0.38,733.29,101.94,16.7,0.3,229.51,0.88,26.92,69.16,126.5,122.39,109.61,4.28,5.34,12.01,01-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Feb-2019 - 00:00,168.92,302.85,55.69,-0.39,734.39,100.3,20.06,0.3,204.62,0.75,36.65,72.04,119.49,7.0,38.12,2.14,5.38,3.23,02-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Feb-2019 - 00:00,224.74,387.3,59.01,-0.4,735.49,96.75,20.97,0.3,174.29,1.25,40.55,61.6,135.45,45.52,67.73,4.04,1.13,6.83,03-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Feb-2019 - 00:00,199.3,326.12,62.82,-0.4,733.26,99.18,19.7,0.3,150.06,0.76,25.12,71.81,113.16,9.62,38.28,3.08,0.0,4.1,04-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
