from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
21-Jun-2018 - 00:00,10.02,1.62,5.67,17.09,1.5,66.62,37.38,41.02,0.9,-0.3,177.0,741.83,159.39,0.0,0.0,0.0,8.39,22-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Jun-2018 - 00:00,2.2,,1.0,15.23,1.37,54.39,37.42,43.38,1.07,-0.3,177.0,741.36,136.75,0.0,0.0,0.0,19.82,23-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Jun-2018 - 00:00,6.63,0.48,3.62,13.09,1.29,58.41,36.81,45.56,2.14,-0.3,177.0,741.34,155.26,0.0,0.0,0.0,29.63,24-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Jun-2018 - 00:00,7.92,0.42,4.41,13.47,1.3,54.27,36.59,46.11,3.14,-0.3,177.0,740.72,166.11,0.0,0.0,0.0,29.61,25-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Jun-2018 - 00:00,9.68,1.11,5.87,14.56,1.14,63.25,37.02,41.08,3.05,-0.3,177.0,739.8,143.57,0.0,0.0,0.0,28.86,26-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Jun-2018 - 00:00,10.64,1.08,6.52,14.64,1.32,80.36,35.57,51.61,2.16,-0.3,177.0,740.45,139.08,0.0,0.0,0.0,29.32,27-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Jun-2018 - 00:00,9.87,0.83,5.79,12.69,1.27,34.95,34.61,58.09,3.23,-0.3,177.0,741.68,148.41,0.0,,,15.15,28-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Jun-2018 - 00:00,8.28,1.35,5.07,12.49,1.19,29.62,34.13,62.42,2.24,-0.3,177.08,742.42,102.74,0.0,,,12.15,29-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Jun-2018 - 00:00,11.1,8.88,6.87,13.26,1.87,44.67,34.63,58.0,0.46,-0.3,177.1,742.65,135.49,0.0,,,18.21,30-Jun-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Jun-2018 - 00:00,13.52,8.01,6.56,12.11,1.4,44.18,34.78,59.08,1.33,-0.3,177.0,742.6,154.58,0.0,,,54.86,01-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Jul-2018 - 00:00,12.41,50.67,27.26,24.21,1.4,43.59,34.24,63.86,2.45,-0.31,177.0,742.17,46.94,0.05,0.29,0.6,154.09,02-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Jul-2018 - 00:00,9.21,24.76,24.2,23.14,0.71,71.61,34.18,62.39,2.0,-0.35,177.02,741.4,74.81,0.48,0.45,0.46,114.15,03-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Jul-2018 - 00:00,4.97,14.09,13.99,4.27,0.53,63.56,34.75,58.92,1.97,-0.38,177.0,741.08,163.73,0.0,0.35,0.26,73.42,04-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Jul-2018 - 00:00,2.87,8.62,8.2,5.3,0.68,50.75,34.83,55.02,2.91,-0.39,177.0,740.95,132.27,0.0,0.01,0.1,77.62,05-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Jul-2018 - 00:00,3.68,8.58,8.62,4.66,1.05,42.93,35.61,51.66,2.41,-0.36,131.11,741.32,166.54,0.0,0.03,0.1,82.89,06-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Jul-2018 - 00:00,7.67,8.64,10.33,4.83,1.44,133.01,35.74,50.58,2.08,-0.35,89.0,741.34,122.15,0.0,0.0,0.19,80.65,07-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Jul-2018 - 00:00,9.92,8.53,11.78,4.22,1.58,120.81,36.31,49.58,1.56,-0.35,89.0,740.96,136.59,0.0,0.22,0.2,91.67,08-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Jul-2018 - 00:00,7.3,8.75,10.96,3.85,1.27,103.53,35.98,54.18,1.54,-0.44,89.0,740.72,154.59,0.0,0.18,0.13,90.99,09-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Jul-2018 - 00:00,6.64,9.16,10.63,4.54,1.08,66.41,35.62,56.44,2.37,-0.5,67.93,741.09,109.04,0.0,0.12,0.15,85.67,10-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Jul-2018 - 00:00,5.41,8.82,10.05,5.01,0.9,27.58,35.76,54.91,2.72,-0.5,43.0,741.23,121.24,0.02,0.16,0.13,89.81,11-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Jul-2018 - 00:00,8.3,11.55,13.8,5.16,1.44,33.25,35.31,57.43,2.25,-0.43,43.0,740.85,139.51,0.0,0.11,0.16,116.99,12-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Jul-2018 - 00:00,6.95,13.05,14.02,5.32,1.41,22.97,33.82,67.08,1.11,-0.39,43.0,740.78,33.41,0.05,0.0,0.22,111.09,13-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Jul-2018 - 00:00,10.05,16.66,15.63,4.73,1.33,23.52,34.19,68.7,0.93,-0.4,51.45,740.98,89.79,0.13,0.07,0.23,116.39,14-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Jul-2018 - 00:00,7.53,15.68,15.86,6.03,2.29,30.7,33.96,71.23,0.36,-0.33,136.09,740.74,44.15,1.32,0.01,0.3,132.31,15-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
