from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
03-Sep-2018 - 00:00,24.41,5.61,17.54,8.01,1.91,32.71,33.9,73.05,0.3,-0.3,212.88,743.61,34.25,0.0,0.25,0.74,7.97,04-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Sep-2018 - 00:00,20.14,2.64,12.45,9.47,1.82,21.06,33.8,73.72,0.3,-0.3,104.25,743.88,16.74,0.59,0.3,1.33,9.75,05-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Sep-2018 - 00:00,18.4,2.04,11.25,7.52,1.45,9.85,33.87,73.22,0.3,-0.3,119.34,743.26,53.89,0.3,0.27,0.88,43.33,06-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Sep-2018 - 00:00,25.23,4.51,16.88,8.85,2.72,38.04,34.39,71.82,0.3,-0.3,123.0,743.16,46.28,0.0,0.31,1.26,7.72,07-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Sep-2018 - 00:00,21.75,2.99,13.6,7.1,1.54,26.66,35.0,64.02,0.23,-0.3,207.45,743.61,121.6,0.0,0.24,0.66,14.98,08-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Sep-2018 - 00:00,22.83,4.06,14.97,7.66,1.6,34.67,34.74,64.54,0.24,-0.3,74.85,744.18,103.5,0.0,0.2,0.37,13.33,09-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Sep-2018 - 00:00,21.75,3.0,13.62,6.9,1.8,21.45,34.91,60.69,0.29,-0.3,98.85,745.45,171.66,0.0,0.24,0.47,11.02,10-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Sep-2018 - 00:00,16.75,1.46,9.65,7.55,1.32,39.89,34.16,64.1,0.3,-0.3,149.35,746.23,116.95,0.0,0.27,0.29,13.28,11-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Sep-2018 - 00:00,17.62,1.72,10.22,7.26,1.37,31.31,33.93,64.86,0.3,-0.3,197.7,745.7,139.11,0.0,0.23,0.27,23.91,12-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Sep-2018 - 00:00,16.49,1.5,9.65,6.67,0.97,21.6,33.42,68.05,0.28,-0.3,244.38,744.53,96.17,0.0,0.21,6.58,38.35,13-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Sep-2018 - 00:00,10.69,2.25,7.21,6.05,0.13,27.98,34.64,59.23,0.28,-0.3,249.3,744.34,124.82,0.0,0.27,0.45,16.65,14-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Sep-2018 - 00:00,5.26,17.62,16.75,5.41,0.31,37.95,34.26,59.97,0.27,-0.3,253.58,745.18,141.75,0.0,0.24,0.27,15.48,15-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Sep-2018 - 00:00,6.87,1.35,4.67,5.01,0.64,72.12,34.29,58.57,0.28,-0.3,254.74,745.88,175.18,0.0,0.24,0.28,14.08,16-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Sep-2018 - 00:00,8.77,1.6,5.76,5.35,1.33,74.5,34.96,52.25,0.28,-0.3,246.54,745.01,213.72,0.0,0.26,0.35,24.85,17-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Sep-2018 - 00:00,7.24,1.22,4.7,5.27,1.46,82.97,34.58,55.36,0.28,-0.3,246.24,744.33,158.3,0.0,0.3,0.52,40.16,18-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Sep-2018 - 00:00,9.02,1.18,5.54,5.28,1.24,40.74,34.53,54.09,0.28,-0.3,246.9,744.39,164.85,0.0,0.3,0.6,39.4,19-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Sep-2018 - 00:00,11.47,1.26,7.01,5.51,1.65,48.88,34.56,51.08,0.28,-0.3,250.2,744.67,169.78,0.0,0.38,0.8,39.63,20-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Sep-2018 - 00:00,22.88,5.84,16.19,5.53,2.38,116.27,34.73,55.05,0.27,-0.3,148.93,744.89,155.56,0.0,0.38,0.88,42.87,21-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Sep-2018 - 00:00,5.77,1.77,4.47,4.8,1.32,13.35,33.66,63.01,0.23,-0.3,150.0,745.75,63.54,0.0,0.21,0.26,31.02,22-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Sep-2018 - 00:00,9.52,2.36,6.78,4.62,1.61,29.96,33.04,68.78,0.21,-0.3,90.84,746.38,35.74,0.03,0.19,0.29,26.97,23-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Sep-2018 - 00:00,17.5,5.7,13.51,5.25,2.46,57.68,34.08,64.57,0.28,-0.3,107.1,747.21,118.25,0.0,0.23,0.47,38.39,24-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Sep-2018 - 00:00,16.93,5.15,13.06,5.67,1.69,48.03,34.3,59.59,0.27,-0.3,155.53,746.33,135.89,0.01,0.3,0.59,35.66,25-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Sep-2018 - 00:00,9.73,3.64,8.03,5.35,1.47,33.26,33.66,62.15,0.3,-0.3,148.11,745.7,132.96,0.0,0.93,0.48,17.8,26-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Sep-2018 - 00:00,9.71,2.11,5.19,5.37,1.55,43.53,33.6,62.19,0.3,-0.3,163.38,745.52,128.14,0.0,1.26,0.62,26.24,27-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Sep-2018 - 00:00,10.63,1.93,6.39,5.66,1.47,51.31,34.37,57.12,0.3,-0.3,159.86,746.05,132.59,0.0,2.09,0.92,28.06,28-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Sep-2018 - 00:00,7.5,8.45,10.07,6.84,1.86,74.81,34.39,56.29,0.3,-0.3,158.39,746.54,127.97,0.0,1.78,1.0,26.2,29-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Sep-2018 - 00:00,10.1,3.64,7.62,5.73,1.53,159.62,34.74,50.51,0.28,-0.3,150.12,746.62,149.8,0.0,1.16,0.89,24.77,30-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Sep-2018 - 00:00,6.85,3.65,5.92,5.47,1.29,111.14,34.43,49.19,0.27,-0.3,164.5,746.11,145.76,0.0,0.79,0.64,27.58,01-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Oct-2018 - 00:00,5.76,3.34,5.39,5.96,1.46,112.24,34.33,52.21,0.28,-0.3,164.47,746.29,147.58,0.0,0.77,0.74,30.92,02-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Oct-2018 - 00:00,8.0,3.57,0.85,6.47,1.67,126.53,34.47,51.78,0.28,-0.3,165.31,746.49,143.0,0.0,0.7,0.84,21.86,03-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Oct-2018 - 00:00,38.67,16.23,14.55,6.85,2.0,147.24,34.81,50.16,0.3,-0.3,162.48,746.56,157.08,0.0,0.63,1.27,22.61,04-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Oct-2018 - 00:00,39.89,15.32,32.49,6.46,2.45,169.41,34.76,50.49,0.29,-0.3,179.2,747.04,105.53,0.0,0.61,1.57,16.76,05-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Oct-2018 - 00:00,28.53,8.9,22.03,6.69,2.01,140.6,34.72,48.5,0.29,-0.3,178.67,747.68,133.42,0.0,0.59,1.33,25.78,06-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Oct-2018 - 00:00,30.87,9.46,23.42,7.95,2.08,179.36,34.5,49.78,0.64,-0.34,130.56,747.24,130.34,0.0,0.6,1.35,25.92,07-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Oct-2018 - 00:00,28.77,5.28,17.57,7.31,1.6,214.36,34.47,47.66,1.1,-0.4,120.62,747.05,127.46,0.0,2.16,1.01,28.99,08-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Oct-2018 - 00:00,36.21,11.36,27.68,7.31,2.27,38.42,34.31,50.72,1.1,-0.4,131.59,746.6,122.82,0.0,2.37,1.17,27.11,09-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Oct-2018 - 00:00,41.02,11.07,29.01,6.66,2.41,66.76,33.74,55.29,1.0,-0.4,128.6,746.3,82.16,0.0,1.42,1.1,23.77,10-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Oct-2018 - 00:00,27.38,7.17,19.08,5.7,1.71,203.39,34.09,53.85,0.5,-0.4,157.9,746.59,108.7,0.0,0.92,0.67,28.17,11-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Oct-2018 - 00:00,22.17,5.61,15.83,5.35,1.41,188.12,34.06,54.5,0.59,-0.4,167.26,747.14,113.21,0.0,0.69,0.59,30.84,12-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Oct-2018 - 00:00,38.9,16.35,27.89,5.52,2.49,167.55,34.6,51.25,0.92,-0.4,99.79,747.48,70.94,0.0,0.54,1.83,17.89,13-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Oct-2018 - 00:00,17.63,4.98,12.42,6.23,1.44,46.6,33.57,56.11,0.98,-0.4,142.88,747.95,121.04,0.0,0.63,0.77,35.89,14-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Oct-2018 - 00:00,21.29,5.37,14.41,6.21,1.42,41.46,33.1,48.25,1.17,-0.4,181.9,747.66,136.03,0.0,0.66,0.72,46.37,15-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Oct-2018 - 00:00,22.06,4.81,15.13,6.45,1.9,37.48,32.63,49.84,1.33,-0.4,194.96,748.32,207.32,0.0,0.76,0.89,48.02,16-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Oct-2018 - 00:00,57.24,30.05,53.88,10.17,3.87,88.45,34.71,42.08,1.27,-0.4,173.29,747.6,63.25,0.0,0.73,1.69,33.46,17-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Oct-2018 - 00:00,48.08,20.21,40.41,7.29,3.48,140.28,33.89,48.53,0.7,-0.4,178.69,747.4,119.44,0.0,0.79,1.36,36.3,18-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Oct-2018 - 00:00,41.58,39.87,51.67,7.9,2.98,117.88,34.05,49.11,0.39,-0.4,197.1,747.05,114.8,0.0,0.67,1.39,43.29,19-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Oct-2018 - 00:00,43.78,23.34,45.76,6.13,2.58,92.15,34.12,47.07,0.39,-0.4,180.14,747.5,114.03,0.0,0.52,1.06,36.44,20-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Oct-2018 - 00:00,42.3,32.03,36.23,6.74,2.43,87.81,33.9,46.7,0.39,-0.4,295.76,748.71,104.4,0.0,0.46,0.85,40.77,21-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Oct-2018 - 00:00,60.45,16.15,51.79,6.75,2.57,99.81,33.83,46.06,0.55,-0.39,313.07,748.98,103.95,0.0,0.48,0.98,41.61,22-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Oct-2018 - 00:00,30.1,10.5,23.0,7.49,2.42,162.16,33.18,41.91,0.86,-0.36,286.41,748.65,106.19,0.0,0.38,0.56,47.56,23-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Oct-2018 - 00:00,41.34,7.09,25.45,8.97,2.26,98.89,32.82,42.73,0.6,-0.36,214.45,748.78,102.04,0.0,0.48,0.71,52.7,24-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Oct-2018 - 00:00,52.01,60.12,69.5,10.21,2.3,155.49,32.8,47.18,0.74,-0.37,138.46,748.82,102.22,0.0,0.52,1.08,47.19,25-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Oct-2018 - 00:00,87.54,51.28,85.82,8.97,5.29,168.41,30.51,48.18,0.51,-0.35,302.57,749.6,80.31,0.0,0.69,1.73,25.99,26-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Oct-2018 - 00:00,68.52,62.1,85.76,9.94,3.18,177.18,29.92,47.96,0.62,-0.36,275.61,750.19,100.15,0.0,0.65,1.4,34.51,27-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Oct-2018 - 00:00,64.74,59.55,76.71,10.08,3.25,192.24,29.84,48.85,0.9,-0.36,216.0,750.41,87.34,0.0,0.67,1.56,37.16,28-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Oct-2018 - 00:00,52.17,37.44,56.02,8.31,4.18,188.25,29.7,49.8,0.89,-0.37,214.48,750.02,94.95,0.0,0.57,1.24,38.13,29-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Oct-2018 - 00:00,56.22,116.91,116.82,10.36,3.21,146.88,29.7,49.27,0.79,-0.39,210.41,749.93,100.91,0.0,0.56,1.68,33.58,30-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Oct-2018 - 00:00,67.21,107.25,112.77,11.25,3.31,125.29,29.63,50.72,0.5,-0.4,164.0,749.64,26.88,0.0,0.57,1.97,29.14,31-Oct-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
31-Oct-2018 - 00:00,51.0,38.0,59.99,15.8,1.65,101.1,29.85,47.59,0.5,-0.4,164.0,750.0,92.77,0.0,0.54,1.23,35.34,01-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Nov-2018 - 00:00,61.36,85.07,105.22,15.86,2.59,134.41,29.87,49.29,0.73,-0.4,183.54,749.65,85.18,0.0,0.6,1.7,35.25,02-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Nov-2018 - 00:00,69.54,71.13,88.33,14.84,4.48,171.65,29.81,51.07,1.1,-0.4,174.64,749.01,77.61,0.0,0.77,2.24,34.31,03-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Nov-2018 - 00:00,72.63,37.28,66.53,11.22,3.31,175.29,29.86,49.89,1.0,-0.4,102.49,748.88,71.57,0.0,0.59,1.54,44.75,04-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Nov-2018 - 00:00,41.68,9.51,28.57,7.98,1.4,118.66,29.71,50.81,0.72,-0.4,186.53,748.56,85.64,0.0,0.42,0.96,81.15,05-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Nov-2018 - 00:00,22.09,7.39,16.77,9.45,1.66,104.15,29.24,49.31,0.77,-0.4,231.03,748.66,85.02,0.0,0.39,1.01,84.15,06-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Nov-2018 - 00:00,27.39,14.92,22.86,11.54,2.1,162.36,28.5,49.19,0.8,-0.4,167.47,749.07,92.08,0.0,0.4,0.47,83.42,07-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Nov-2018 - 00:00,46.31,16.73,36.79,25.82,3.09,216.62,28.27,46.93,0.89,-0.4,143.42,749.9,81.25,0.0,0.51,0.86,74.32,08-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Nov-2018 - 00:00,46.43,17.96,36.69,21.31,3.82,382.28,28.31,47.64,0.73,-0.3,190.49,749.95,86.74,0.0,0.51,1.2,74.03,09-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Nov-2018 - 00:00,45.61,64.65,73.97,15.34,3.47,241.35,28.33,47.49,0.79,-0.3,20.28,749.02,89.48,0.0,0.44,1.07,77.64,10-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Nov-2018 - 00:00,53.05,38.84,57.47,13.99,4.15,218.36,28.63,51.16,1.03,-0.3,32.77,749.61,79.75,0.0,0.39,1.41,67.73,11-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Nov-2018 - 00:00,44.23,16.59,35.86,10.94,3.4,162.25,28.74,52.27,1.09,-0.33,54.54,749.72,77.24,0.0,0.45,0.96,76.27,12-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Nov-2018 - 00:00,61.23,73.93,91.26,14.25,2.46,201.86,28.76,55.19,0.6,-0.4,55.0,748.88,77.57,0.0,0.39,1.45,68.8,13-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Nov-2018 - 00:00,70.9,90.79,105.79,14.99,1.87,206.95,29.11,53.54,0.6,-0.4,55.0,747.67,84.39,0.0,0.33,1.97,69.85,14-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Nov-2018 - 00:00,48.4,35.8,52.55,13.49,3.46,154.52,29.17,54.98,0.57,-0.4,156.67,748.07,81.96,0.0,0.29,1.45,61.62,15-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Nov-2018 - 00:00,36.98,27.35,38.39,11.91,4.49,128.73,28.85,54.99,0.61,-0.4,155.18,749.03,86.43,0.0,0.31,1.07,64.82,16-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Nov-2018 - 00:00,16.74,16.37,18.33,11.46,4.52,107.92,23.4,48.91,1.21,-0.37,122.2,748.85,100.53,0.0,0.35,0.29,72.02,17-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Nov-2018 - 00:00,29.82,6.32,20.03,11.95,6.64,220.69,24.96,48.17,1.68,-0.33,94.35,748.61,87.28,0.0,0.42,4.75,72.26,18-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Nov-2018 - 00:00,65.18,40.51,65.47,12.5,6.14,241.65,25.0,52.77,1.2,-0.4,102.0,749.59,76.03,0.0,0.44,1.33,62.19,19-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Nov-2018 - 00:00,82.06,34.77,69.58,12.0,6.01,203.83,25.14,52.36,0.89,-0.4,102.38,750.57,78.68,0.0,2.77,1.73,54.19,20-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Nov-2018 - 00:00,66.66,46.99,68.9,11.25,5.25,231.03,25.14,57.01,0.48,-0.36,102.99,750.06,68.6,0.0,0.18,2.14,55.48,21-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Nov-2018 - 00:00,50.33,35.85,54.24,11.75,5.3,210.54,25.28,54.65,0.65,-0.31,100.94,750.23,96.54,0.0,0.24,1.64,52.88,22-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Nov-2018 - 00:00,44.6,11.92,32.06,8.73,3.66,119.99,25.35,45.88,0.51,-0.4,115.5,750.92,101.19,0.01,0.27,1.43,39.83,23-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Nov-2018 - 00:00,26.2,4.33,16.84,8.9,4.17,109.55,25.09,47.05,0.79,-0.38,119.44,750.94,59.23,0.0,0.24,1.19,51.37,24-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Nov-2018 - 00:00,9.68,2.68,4.75,8.72,4.15,114.01,25.03,46.14,0.7,-0.3,135.76,750.5,112.05,0.0,0.4,0.34,38.71,25-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Nov-2018 - 00:00,6.76,1.83,3.75,7.35,4.71,257.7,22.63,60.5,0.69,-0.33,193.1,750.1,4.0,0.0,0.1,2.52,3.2,26-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Nov-2018 - 00:00,57.02,64.42,77.91,10.02,5.34,233.02,20.1,55.9,0.89,-0.4,125.56,750.05,70.29,0.0,0.12,2.15,17.91,27-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Nov-2018 - 00:00,67.79,48.9,74.65,7.61,5.81,223.33,20.6,58.06,0.83,-0.39,71.32,750.84,91.0,0.0,0.14,2.38,29.12,28-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Nov-2018 - 00:00,49.19,15.31,38.21,8.69,4.41,156.71,25.8,52.5,0.44,-0.38,197.57,751.18,20.91,0.0,0.46,1.69,33.73,30-Nov-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Nov-2018 - 00:00,36.86,4.56,23.11,7.88,3.96,204.51,25.0,56.94,0.39,-0.4,150.03,751.09,52.07,0.0,0.47,1.35,44.63,01-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Dec-2018 - 00:00,44.82,30.66,47.83,9.66,4.2,165.36,24.82,52.04,0.62,-0.3,163.76,750.02,68.73,0.0,0.32,1.2,37.86,02-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Dec-2018 - 00:00,54.71,44.77,63.51,8.56,4.52,170.55,24.52,51.96,0.87,-0.2,215.81,749.73,59.18,0.0,0.33,1.83,33.96,03-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Dec-2018 - 00:00,41.57,17.83,34.46,8.72,4.11,150.83,19.2,52.19,0.62,-0.24,206.05,750.25,58.12,0.0,0.47,1.12,43.15,04-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Dec-2018 - 00:00,53.32,19.23,42.12,8.47,4.47,204.51,19.7,55.96,0.3,-0.3,216.88,750.98,52.71,0.0,1.96,1.87,34.01,05-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Dec-2018 - 00:00,40.53,11.38,28.65,7.19,4.05,219.41,19.72,54.97,0.39,-0.35,165.8,749.76,58.06,0.0,0.13,1.48,42.62,06-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Dec-2018 - 00:00,41.42,6.97,27.09,7.03,3.99,192.33,19.62,54.94,0.49,-0.4,92.26,749.25,58.22,0.0,0.08,1.81,43.93,07-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Dec-2018 - 00:00,38.4,9.69,28.04,6.74,4.06,201.08,19.58,54.24,0.51,-0.4,135.15,749.61,58.52,0.0,0.12,1.15,40.78,08-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Dec-2018 - 00:00,48.44,8.4,30.78,7.25,4.18,178.87,19.6,53.84,0.44,-0.34,188.64,750.0,5.3,0.0,0.14,1.45,34.14,09-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Dec-2018 - 00:00,47.65,32.95,50.91,7.43,4.35,224.66,19.47,54.26,0.39,-0.3,189.42,749.91,56.66,0.0,0.07,1.59,35.59,10-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Dec-2018 - 00:00,77.89,67.91,96.67,7.8,5.11,306.75,19.48,55.55,0.41,-0.31,147.11,749.73,54.28,0.0,0.15,2.57,21.65,11-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Dec-2018 - 00:00,53.43,21.23,44.15,7.41,4.45,184.23,19.52,53.44,0.6,-0.4,115.9,750.01,43.45,0.0,0.08,1.66,34.11,12-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Dec-2018 - 00:00,43.26,16.04,35.51,6.48,4.28,195.1,19.16,56.35,0.46,-0.39,144.11,750.69,27.3,0.0,0.14,1.52,33.78,13-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Dec-2018 - 00:00,27.96,3.36,16.99,6.31,3.63,136.48,18.73,54.89,0.35,-0.38,182.03,751.59,46.96,0.0,0.1,1.08,35.99,14-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Dec-2018 - 00:00,22.27,3.29,13.96,6.03,3.69,95.42,18.59,55.42,0.42,-0.36,165.25,752.53,61.58,0.0,0.26,0.84,37.51,15-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Dec-2018 - 00:00,28.75,5.93,19.14,6.4,3.88,114.51,17.62,52.83,0.62,-0.34,98.0,752.9,72.27,0.0,0.27,0.62,39.05,16-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Dec-2018 - 00:00,41.95,27.39,41.19,7.06,4.54,148.34,16.77,50.3,0.8,-0.3,93.22,752.97,72.29,0.0,2.27,1.39,37.83,17-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Dec-2018 - 00:00,48.24,24.42,43.21,8.03,4.82,156.7,16.89,49.83,0.66,-0.35,93.91,752.01,80.09,0.0,0.24,1.69,34.7,18-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Dec-2018 - 00:00,32.7,5.58,20.16,6.75,4.49,127.05,16.46,50.8,0.39,-0.29,95.07,751.14,71.55,0.0,3.82,1.3,36.31,19-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Dec-2018 - 00:00,43.95,9.13,30.58,8.13,4.44,166.36,15.96,53.01,0.3,-0.2,84.25,751.25,61.14,0.0,0.21,1.14,32.13,20-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Dec-2018 - 00:00,40.12,2.98,22.92,8.07,3.46,164.11,15.99,52.89,0.3,-0.2,97.47,751.21,62.99,0.0,0.18,1.92,29.78,21-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Dec-2018 - 00:00,48.9,7.15,30.42,9.9,0.52,186.79,15.88,50.51,0.32,-0.2,134.76,750.89,68.07,0.0,0.28,1.8,26.85,22-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Dec-2018 - 00:00,76.63,74.62,96.56,12.22,1.47,257.27,15.17,52.7,0.41,-0.24,159.86,751.31,67.7,0.0,0.35,2.62,19.57,23-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Dec-2018 - 00:00,50.11,8.91,31.31,9.01,0.75,193.01,13.9,51.03,0.6,-0.3,251.56,751.41,67.23,0.0,0.18,2.28,21.49,24-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Dec-2018 - 00:00,40.14,8.38,24.03,10.19,0.65,148.97,13.86,47.68,0.57,-0.3,240.02,750.77,73.31,0.0,0.25,2.04,27.14,25-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Dec-2018 - 00:00,28.7,8.52,17.62,10.8,0.59,139.51,13.81,49.07,0.81,-0.3,174.43,750.28,77.19,0.0,0.32,0.65,32.16,26-Dec-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
