from date,PM2.5,PM10,AT,Temp,SR,RH,WS,WD,BP,RF,SO2,NO,NO2,NOx,NH3,CO,Ozone,to date,station
01-Jan-2018 - 00:00,65.7,89.65,27.8,28.46,195.03,70.3,1.3,340.55,756.32,0.0,3.47,1.89,8.86,6.18,8.3,1.28,46.81,02-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Jan-2018 - 00:00,62.27,86.24,27.7,29.17,188.97,72.65,1.43,342.78,755.94,0.0,3.34,1.96,7.3,5.47,9.35,1.32,45.6,03-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Jan-2018 - 00:00,57.29,78.05,27.83,29.46,181.46,72.98,1.56,342.97,757.81,0.0,6.14,1.88,10.44,7.09,11.32,1.35,64.19,04-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Jan-2018 - 00:00,69.2,93.71,27.77,29.58,203.11,71.35,1.29,343.17,758.6,0.0,5.11,1.94,17.18,10.69,9.94,1.41,48.77,05-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Jan-2018 - 00:00,74.93,119.29,27.71,28.84,187.35,65.35,1.3,342.34,757.06,0.0,7.4,1.98,15.11,9.63,11.24,1.32,48.0,06-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Jan-2018 - 00:00,85.1,115.9,27.38,28.76,184.88,67.82,1.35,341.0,756.76,0.0,8.39,1.92,16.07,10.07,11.23,1.31,62.88,07-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Jan-2018 - 00:00,76.47,98.05,27.11,28.7,165.83,72.99,1.43,343.03,757.94,0.0,6.51,1.91,9.79,6.75,10.46,1.28,59.78,08-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Jan-2018 - 00:00,72.12,98.71,27.17,29.14,187.48,70.2,1.31,341.54,758.12,0.0,6.95,1.95,18.58,11.32,10.13,1.7,54.04,09-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Jan-2018 - 00:00,84.02,116.02,27.0,28.28,205.64,72.8,1.4,342.41,760.47,0.0,6.16,1.9,17.88,10.94,11.16,1.53,40.95,10-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Jan-2018 - 00:00,78.17,106.43,27.86,28.6,173.34,72.12,1.5,342.64,760.6,0.0,7.44,1.84,15.57,9.72,10.7,1.57,37.73,11-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Jan-2018 - 00:00,50.81,70.68,27.82,28.72,185.65,74.48,1.53,342.62,761.06,0.0,5.38,1.89,16.0,9.75,7.81,1.59,40.75,12-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Jan-2018 - 00:00,51.75,70.11,28.0,29.88,181.36,74.21,1.56,342.65,760.72,0.0,4.74,1.84,15.23,9.45,7.06,1.58,60.22,13-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Jan-2018 - 00:00,47.47,67.92,28.24,29.47,154.88,75.51,1.33,343.04,759.52,0.0,5.44,1.89,14.99,9.45,7.42,1.6,26.68,14-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Jan-2018 - 00:00,38.09,53.83,27.87,29.6,209.92,71.56,1.5,342.77,759.7,0.0,4.56,1.91,10.19,6.9,6.2,1.25,71.48,15-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Jan-2018 - 00:00,52.6,74.54,27.39,29.49,188.91,75.23,1.29,342.9,759.65,0.0,6.21,1.89,15.79,9.84,6.37,1.59,38.41,16-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Jan-2018 - 00:00,76.29,98.09,27.15,29.12,150.62,74.38,1.33,342.98,758.78,0.0,5.74,1.79,17.29,10.61,6.81,1.54,16.76,17-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Jan-2018 - 00:00,79.57,106.76,27.32,29.43,157.54,73.95,1.34,343.08,759.21,0.0,7.93,1.93,15.95,10.03,7.53,1.61,85.72,18-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Jan-2018 - 00:00,73.5,103.54,27.52,29.22,204.97,70.79,1.33,342.84,758.15,0.0,5.19,1.85,13.99,8.85,9.35,1.54,72.11,19-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Jan-2018 - 00:00,67.71,97.68,27.2,29.89,199.24,67.26,1.38,337.93,758.82,0.0,8.13,1.93,16.46,10.33,9.13,1.4,56.25,20-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Jan-2018 - 00:00,83.5,118.56,26.98,29.74,198.2,68.23,1.35,341.98,758.98,0.0,8.48,1.93,18.77,11.48,9.18,1.47,74.41,21-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Jan-2018 - 00:00,86.51,117.11,27.24,28.81,207.03,68.82,1.43,341.89,757.57,0.0,7.16,1.94,12.4,8.15,10.26,1.48,83.3,22-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Jan-2018 - 00:00,83.31,114.24,27.02,28.7,175.97,71.46,1.31,341.78,756.91,0.0,5.34,1.84,17.82,10.92,9.31,1.81,82.45,23-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Jan-2018 - 00:00,85.22,121.67,27.13,29.17,141.79,73.51,1.13,341.79,757.63,0.44,6.55,1.9,16.7,9.89,8.21,1.65,74.38,24-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Jan-2018 - 00:00,79.91,112.24,27.86,30.76,179.54,72.86,1.46,293.85,759.18,0.01,5.5,1.7,12.81,8.16,9.37,1.13,57.35,25-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Jan-2018 - 00:00,55.31,82.65,27.9,29.88,185.52,73.72,0.74,183.4,754.67,0.0,5.88,1.56,11.93,7.56,7.5,0.94,32.61,26-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Jan-2018 - 00:00,56.7,90.85,27.57,28.13,193.79,69.41,0.3,205.92,744.26,0.0,7.52,1.68,14.63,9.13,6.69,0.89,34.79,27-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Jan-2018 - 00:00,60.95,98.64,27.39,28.8,195.22,71.42,0.3,141.24,745.17,0.0,9.05,1.7,11.37,7.43,7.81,0.87,49.73,28-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Jan-2018 - 00:00,51.72,73.32,26.27,26.25,74.72,78.38,0.3,212.45,745.51,0.06,6.68,1.66,14.34,8.98,6.87,0.95,34.88,29-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Jan-2018 - 00:00,69.66,98.4,27.34,26.61,212.51,71.5,1.1,211.66,751.88,0.02,6.09,1.76,16.13,9.98,5.49,1.19,50.77,30-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Jan-2018 - 00:00,69.61,97.74,28.06,26.59,213.88,70.2,1.51,199.3,756.97,0.0,4.88,1.76,11.71,7.63,6.13,0.9,53.72,31-Jan-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-Jan-2018 - 00:00,65.21,107.19,28.0,26.4,216.42,68.31,1.43,213.04,757.44,0.0,8.06,1.79,14.28,9.06,5.94,1.17,62.85,01-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Feb-2018 - 00:00,75.61,114.84,27.94,27.17,214.58,73.79,1.55,205.72,757.65,0.0,5.26,1.82,9.18,5.92,5.66,1.12,52.55,02-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Feb-2018 - 00:00,65.16,101.91,28.01,27.37,221.12,69.0,1.43,188.07,756.32,0.0,6.38,1.9,20.6,6.15,4.94,1.06,62.36,03-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Feb-2018 - 00:00,54.39,96.66,27.81,27.19,227.33,63.44,1.39,184.88,756.36,0.0,8.34,1.64,16.93,10.34,8.31,0.95,69.41,04-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Feb-2018 - 00:00,56.29,94.89,27.76,27.06,228.76,67.69,1.59,171.62,757.01,0.0,7.54,1.69,11.77,7.62,7.36,0.9,73.32,05-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Feb-2018 - 00:00,54.79,93.17,27.84,27.44,213.74,72.72,1.56,170.69,758.65,0.0,7.89,1.69,11.95,7.69,6.78,0.94,61.27,06-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
