from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
11-Apr-2018 - 00:00,,0.18,122.87,53.26,,125.94,10.1,27.41,21.02,33.4,50.48,29.59,,0.5,1.97,5.61,2.17,0.59,0.28,0.2,1.31,12-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Apr-2018 - 00:00,,0.18,201.95,40.51,,193.02,15.01,34.84,23.8,30.19,59.62,30.79,,0.39,1.14,4.82,1.07,1.5,0.52,0.04,1.7,13-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Apr-2018 - 00:00,,0.25,229.68,26.23,,139.55,27.32,46.2,34.86,30.2,106.88,30.48,,0.42,0.91,12.73,2.46,2.88,1.09,0.04,3.18,14-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Apr-2018 - 00:00,,0.29,201.75,23.13,,128.67,20.8,46.87,30.88,26.31,105.49,31.03,,0.44,1.08,10.79,2.51,1.57,0.35,0.0,2.38,15-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Apr-2018 - 00:00,,0.32,191.77,28.69,,118.74,28.2,41.81,34.2,33.38,102.25,31.87,,0.45,0.66,12.56,2.44,2.28,0.53,0.0,2.89,16-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Apr-2018 - 00:00,,0.25,133.43,23.91,,100.61,16.0,48.99,28.4,38.74,103.93,32.85,,0.38,1.3,10.63,2.4,2.34,0.75,0.0,3.5,17-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Apr-2018 - 00:00,,0.35,139.68,23.16,,122.37,16.04,45.34,27.4,23.02,90.46,32.88,,0.35,1.24,10.98,2.69,1.64,0.43,0.0,2.07,18-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Apr-2018 - 00:00,,0.42,270.51,20.04,,130.1,13.57,42.38,24.99,25.58,101.73,32.51,,0.29,1.56,4.09,2.3,0.98,0.15,0.0,1.79,19-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Apr-2018 - 00:00,,0.41,220.5,17.65,,121.06,13.04,47.38,26.05,31.01,118.48,33.14,,0.35,1.13,9.12,2.72,1.15,0.36,0.01,2.27,20-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Apr-2018 - 00:00,,0.48,216.53,14.78,,111.1,11.17,37.14,21.99,29.0,126.33,33.31,,0.26,2.3,3.3,2.3,0.63,0.07,0.0,1.37,21-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Apr-2018 - 00:00,,0.85,248.64,25.82,,116.38,10.34,30.79,19.67,34.28,176.81,31.01,,0.33,1.55,1.69,2.33,0.52,0.06,0.0,1.06,22-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Apr-2018 - 00:00,,0.89,277.05,17.42,,145.44,10.0,33.41,20.2,42.71,99.87,30.71,,0.34,1.75,5.39,2.75,0.45,0.12,0.02,1.11,23-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Apr-2018 - 00:00,,0.99,295.7,12.86,,143.11,14.0,40.21,24.66,39.99,122.87,31.28,,0.42,1.4,17.81,5.05,0.52,0.58,0.29,1.6,24-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Apr-2018 - 00:00,,0.48,232.39,14.14,,137.52,23.59,46.21,32.47,37.4,141.91,31.88,,0.44,1.16,22.04,2.3,0.63,0.0,0.0,0.5,25-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Apr-2018 - 00:00,,0.28,236.38,13.63,,139.96,42.51,54.89,47.01,26.34,129.44,32.82,,0.74,0.9,26.95,3.12,0.91,0.09,0.06,3.36,26-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Apr-2018 - 00:00,,0.35,175.7,10.45,,125.13,28.12,58.87,38.92,38.13,166.92,34.37,,0.47,0.98,23.41,5.87,1.88,1.59,0.39,3.74,27-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Apr-2018 - 00:00,,0.13,146.3,41.36,,111.73,12.07,43.75,24.42,41.22,111.73,33.29,,0.46,1.84,5.24,8.31,2.99,2.0,0.0,2.46,28-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Apr-2018 - 00:00,,0.13,148.26,45.01,,114.59,9.8,28.68,18.73,57.29,94.86,33.69,,0.4,2.18,11.22,8.3,3.01,2.0,0.0,2.45,29-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Apr-2018 - 00:00,,0.25,147.16,45.9,,111.49,11.37,29.89,20.08,52.77,98.3,33.66,,0.35,1.04,7.69,8.29,3.0,2.0,0.0,2.45,30-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Apr-2018 - 00:00,,0.24,171.96,43.54,,137.71,13.84,40.0,24.5,44.03,76.65,33.5,,0.34,1.36,8.28,6.57,2.43,0.86,0.0,1.88,01-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-May-2018 - 00:00,,0.06,149.18,57.47,,128.56,10.07,25.98,18.16,45.49,62.42,32.36,,0.46,2.33,9.41,4.69,1.11,0.13,0.03,1.31,02-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-May-2018 - 00:00,,0.2,137.31,53.9,,142.23,9.84,23.29,18.49,47.11,80.54,31.96,,0.34,2.46,6.14,3.54,1.05,0.99,0.92,1.96,03-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-May-2018 - 00:00,,0.37,157.6,43.79,,175.56,10.22,22.88,20.35,35.14,46.73,32.13,,0.33,2.93,4.44,1.82,0.45,0.26,0.0,1.12,04-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-May-2018 - 00:00,,0.52,134.74,51.83,,146.74,9.98,22.57,19.99,46.12,52.59,31.83,,0.39,1.73,6.17,3.23,0.41,0.61,0.23,1.64,05-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-May-2018 - 00:00,,0.6,141.28,34.96,,129.13,10.56,32.52,25.74,45.19,79.27,33.54,,0.19,1.03,19.65,6.06,1.02,1.25,0.61,1.95,06-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-May-2018 - 00:00,,0.25,94.66,32.24,,114.56,19.56,37.02,35.34,31.68,92.77,32.87,,0.18,1.62,3.69,11.88,1.67,3.03,1.34,4.32,07-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-May-2018 - 00:00,,0.26,172.81,26.93,,110.71,16.53,35.6,32.16,35.45,111.75,33.7,,0.4,0.93,7.18,8.16,1.31,2.44,1.1,3.35,08-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-May-2018 - 00:00,,0.15,174.64,35.99,,123.92,8.77,22.97,19.23,44.92,66.41,32.38,,0.31,1.84,6.25,1.94,0.35,0.19,0.06,0.78,09-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-May-2018 - 00:00,,0.13,152.49,42.89,,96.86,12.52,33.33,27.74,42.06,82.08,31.74,,0.37,0.9,10.6,4.91,1.24,1.11,0.39,1.76,10-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-May-2018 - 00:00,,0.3,188.02,38.19,,132.88,10.35,39.24,29.15,36.61,88.05,33.33,,0.46,0.79,7.87,3.12,3.88,2.19,0.43,2.68,11-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-May-2018 - 00:00,,0.27,210.32,28.84,,123.58,13.85,44.93,34.98,42.77,129.74,35.0,,0.51,0.94,11.59,1.56,4.08,1.45,0.0,4.5,12-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-May-2018 - 00:00,,0.15,144.75,34.53,,99.49,8.95,43.08,30.07,58.4,133.05,35.55,,0.53,1.01,11.69,2.3,3.07,0.87,0.0,3.89,13-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-May-2018 - 00:00,,0.01,123.38,45.09,,102.89,5.96,23.84,17.45,48.96,100.62,33.97,,0.38,2.34,10.61,2.51,0.4,0.01,0.01,1.62,14-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-May-2018 - 00:00,,0.02,159.82,44.11,,113.72,6.23,30.73,21.32,47.68,65.28,32.59,,0.33,1.45,6.04,2.3,0.57,0.1,0.0,1.05,15-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-May-2018 - 00:00,,0.13,140.14,45.13,,112.01,6.17,31.06,21.46,53.2,77.36,32.0,,0.41,1.42,7.31,2.86,0.35,0.07,0.21,0.75,16-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-May-2018 - 00:00,,0.43,202.86,29.05,,131.97,7.88,31.07,22.83,39.97,93.03,33.65,,0.34,1.67,7.35,4.31,1.16,0.0,0.0,1.03,17-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-May-2018 - 00:00,,0.4,129.24,24.75,,114.51,8.33,32.53,23.96,53.35,126.45,35.58,,0.38,1.07,8.89,4.39,2.0,0.0,0.0,1.45,18-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-May-2018 - 00:00,,0.36,100.76,31.77,,104.17,7.6,32.76,23.5,45.17,92.41,35.98,,0.37,1.03,9.12,2.99,1.99,0.0,0.0,1.45,19-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-May-2018 - 00:00,,0.45,204.37,38.2,,105.54,17.78,42.58,36.87,35.79,109.62,35.53,,0.39,1.0,11.0,3.0,2.0,0.0,0.0,1.45,20-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-May-2018 - 00:00,,0.4,105.88,24.21,,119.26,6.8,27.5,20.07,41.17,76.77,36.17,,0.33,1.45,8.72,3.0,2.0,0.0,0.0,1.45,21-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-May-2018 - 00:00,,0.4,44.09,13.23,,134.27,6.66,28.97,20.74,50.99,92.47,36.89,,0.37,1.55,13.64,3.0,2.0,0.0,0.0,1.45,22-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-May-2018 - 00:00,,0.26,126.82,16.17,,130.84,17.53,35.85,33.09,55.21,109.77,37.6,,0.53,1.03,15.76,6.69,3.13,1.56,0.55,3.63,23-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-May-2018 - 00:00,,0.14,99.48,21.78,,121.79,17.97,42.43,36.94,46.77,146.65,37.87,,0.43,0.94,21.17,12.02,3.17,3.73,1.61,6.09,24-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-May-2018 - 00:00,,0.15,66.76,17.08,,112.63,6.99,33.48,23.39,43.51,113.47,37.2,,0.34,1.27,21.36,9.08,1.57,2.28,1.19,2.75,25-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-May-2018 - 00:00,,0.25,212.81,12.81,,143.41,11.41,33.28,26.83,35.76,100.8,37.37,,0.4,1.07,13.13,6.55,1.51,2.01,0.83,2.61,26-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-May-2018 - 00:00,,0.23,237.06,15.05,,140.72,16.37,35.41,31.93,37.54,113.73,37.46,,0.45,0.83,15.89,7.31,1.31,1.91,0.72,3.57,27-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-May-2018 - 00:00,,0.44,251.29,13.29,,138.58,10.64,33.08,26.11,33.11,137.22,37.9,,0.41,1.13,15.06,5.96,1.55,2.03,0.82,2.3,28-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-May-2018 - 00:00,,-0.48,112.84,24.44,,115.62,17.98,33.04,31.96,68.71,149.07,37.51,,0.58,0.89,7.14,9.28,1.37,2.12,0.91,4.02,29-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-May-2018 - 00:00,,-0.3,164.63,29.62,,126.16,12.98,34.79,29.3,41.66,129.0,38.03,,0.46,1.36,3.0,8.63,2.49,3.01,1.35,3.35,30-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-May-2018 - 00:00,,0.22,176.57,44.33,,113.23,6.22,28.87,20.33,41.54,86.76,37.34,,0.42,2.39,2.21,0.97,0.29,0.02,0.0,0.72,31-May-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-May-2018 - 00:00,,0.34,167.8,38.89,,123.07,7.19,35.84,24.81,31.02,83.71,38.2,,0.44,1.56,5.77,2.23,0.73,0.59,0.12,1.43,01-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Jun-2018 - 00:00,,0.16,141.08,50.47,,135.05,5.75,28.07,19.53,36.63,98.87,37.69,,0.47,2.4,6.91,1.7,0.34,0.18,0.02,1.32,02-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jun-2018 - 00:00,,0.18,147.99,37.9,,132.11,5.98,26.52,16.3,35.14,56.33,36.53,,0.53,2.23,2.95,1.39,0.27,0.04,0.02,0.63,05-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jun-2018 - 00:00,,0.07,145.64,43.92,,155.39,7.06,25.42,18.94,27.64,66.97,35.06,,0.59,2.21,3.62,1.67,0.34,0.12,0.04,0.72,06-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jun-2018 - 00:00,,0.07,102.28,57.11,,114.61,7.31,28.45,20.99,33.43,63.88,33.4,,0.52,1.82,3.27,3.45,0.4,0.43,0.2,1.68,07-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jun-2018 - 00:00,,0.16,148.32,48.88,,163.91,7.49,31.43,22.67,26.44,63.23,34.75,,2.2,1.34,3.51,3.52,0.45,0.47,0.08,1.48,08-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jun-2018 - 00:00,,0.03,159.62,50.95,,144.57,18.74,46.69,42.8,22.91,67.0,34.89,,1.03,2.51,2.51,1.33,0.27,0.01,0.0,1.1,09-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jun-2018 - 00:00,,0.23,158.92,53.0,,135.75,8.86,24.35,20.13,25.44,70.23,32.29,,1.01,2.07,5.1,1.65,0.25,0.1,0.01,0.82,10-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jun-2018 - 00:00,,0.51,222.68,65.69,,195.22,8.71,25.16,20.31,32.78,75.49,32.79,,0.33,0.97,3.67,3.17,0.69,0.68,0.1,1.33,11-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jun-2018 - 00:00,,0.62,296.88,52.01,,185.45,8.33,24.98,19.92,29.21,91.48,34.35,,0.45,1.35,2.63,2.85,0.67,0.51,0.09,1.11,12-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jun-2018 - 00:00,,0.64,284.34,42.74,,132.71,9.9,23.84,20.53,16.79,236.73,35.36,,1.16,1.27,2.21,2.74,0.57,0.39,0.12,1.07,13-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jun-2018 - 00:00,,0.5,289.92,33.87,,106.4,7.2,32.3,22.93,14.81,410.89,35.93,,0.63,1.7,2.78,1.84,0.79,0.64,0.51,0.96,14-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jun-2018 - 00:00,,0.55,287.33,30.12,,104.96,6.74,20.01,16.03,21.64,342.25,36.61,,0.25,1.63,7.75,2.0,0.62,0.25,0.07,0.58,15-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jun-2018 - 00:00,,0.71,267.07,29.8,,115.53,6.71,20.01,16.01,29.66,228.64,37.18,,0.38,1.38,11.78,1.94,0.41,0.35,0.1,0.69,16-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jun-2018 - 00:00,,0.63,241.78,37.14,,110.44,6.19,20.33,15.77,31.88,163.49,37.07,,0.41,1.46,10.55,1.87,0.39,0.08,0.01,0.72,17-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jun-2018 - 00:00,,0.34,105.62,54.03,,114.99,6.0,18.19,14.47,44.22,116.53,35.15,,0.35,1.91,8.52,1.89,0.33,0.0,0.0,0.67,18-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jun-2018 - 00:00,,0.55,234.08,48.37,,107.04,6.5,21.82,16.8,44.14,67.09,34.78,,0.37,1.39,8.52,2.53,0.59,0.17,0.0,0.84,19-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jun-2018 - 00:00,,0.36,176.67,45.1,,139.2,6.11,19.05,15.02,61.51,71.9,35.52,,0.39,1.35,6.96,2.26,0.31,0.11,0.02,1.27,20-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jun-2018 - 00:00,,0.12,162.58,36.82,,105.7,6.51,20.91,16.33,67.93,82.09,38.09,,0.37,1.14,5.95,2.38,0.48,0.08,0.02,1.2,21-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jun-2018 - 00:00,,0.12,159.91,36.1,,112.08,5.93,21.42,16.14,77.73,110.26,39.15,,0.3,1.12,5.98,1.2,0.76,0.12,0.46,1.42,22-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jun-2018 - 00:00,,0.17,173.99,30.06,,141.03,6.0,23.59,17.35,67.88,87.59,38.25,,0.3,0.96,6.09,2.16,1.5,0.02,0.05,1.17,23-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jun-2018 - 00:00,,0.17,165.62,32.13,,106.6,6.22,26.44,19.04,56.3,112.75,38.17,,0.28,1.18,7.15,3.0,2.01,0.0,0.0,1.45,24-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jun-2018 - 00:00,,0.15,157.94,29.64,,116.33,6.0,20.72,15.83,53.2,80.14,39.15,,0.29,1.26,6.09,3.01,2.0,0.0,0.0,1.45,25-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jun-2018 - 00:00,,0.22,274.14,35.77,,109.34,6.29,21.78,16.61,41.95,95.36,37.46,,0.26,1.59,4.9,3.5,1.4,0.09,0.1,1.4,26-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jun-2018 - 00:00,,0.1,225.94,54.79,,31.93,6.14,19.46,15.27,43.15,82.45,34.95,,0.25,1.17,6.08,1.77,0.39,0.13,0.01,0.61,27-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jun-2018 - 00:00,,-0.12,182.96,70.48,,102.79,6.1,17.56,14.21,60.75,56.29,33.27,,0.23,1.74,3.58,1.9,0.26,0.04,0.0,0.79,28-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jun-2018 - 00:00,,-0.14,131.56,77.95,,124.97,5.29,17.34,13.44,55.68,39.65,32.33,,0.23,1.78,6.46,2.38,0.33,0.2,0.02,0.65,29-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jun-2018 - 00:00,,0.23,147.58,79.19,,84.97,4.71,18.28,13.29,22.05,28.3,31.38,,0.37,2.0,8.4,3.9,0.43,0.58,0.28,1.36,30-Jun-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jun-2018 - 00:00,,0.36,154.93,80.23,,79.4,6.83,18.29,15.19,21.7,47.47,30.93,,0.41,1.11,4.7,4.38,0.92,1.34,0.53,1.31,01-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Jul-2018 - 00:00,,0.66,274.68,73.45,,99.8,5.26,18.09,13.83,20.87,46.91,31.91,,0.4,1.21,3.03,2.51,0.67,0.4,0.1,0.69,02-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jul-2018 - 00:00,,0.37,259.1,64.74,,88.07,5.41,20.94,15.42,30.87,56.2,32.12,,0.4,1.57,3.96,1.94,0.31,0.04,0.01,0.45,03-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jul-2018 - 00:00,,-0.36,134.45,68.46,,98.18,5.4,22.59,16.32,35.53,60.75,31.74,,0.42,1.18,3.07,4.43,0.53,0.5,0.1,1.21,04-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jul-2018 - 00:00,,-0.59,161.44,62.22,,120.08,4.54,19.06,13.77,33.27,71.79,32.37,,0.37,1.23,4.19,3.1,0.38,0.23,0.12,0.67,05-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jul-2018 - 00:00,,-0.02,221.18,50.77,,162.37,3.89,19.51,12.88,37.78,57.23,33.59,,0.23,1.35,8.5,2.23,0.4,0.09,0.0,0.68,06-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jul-2018 - 00:00,,0.06,195.3,51.42,,121.23,3.78,23.04,15.25,40.59,82.68,33.06,,0.3,1.19,14.4,2.26,0.31,0.03,0.03,0.81,07-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jul-2018 - 00:00,,-0.02,173.14,47.84,,117.57,3.53,21.24,14.12,60.24,85.0,33.37,,0.19,1.06,0.97,2.79,0.29,0.23,0.04,1.02,08-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jul-2018 - 00:00,,-0.04,144.77,43.13,,125.87,8.17,25.2,19.94,66.87,93.32,34.19,,0.23,0.83,2.29,3.64,0.65,0.35,0.03,1.18,09-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jul-2018 - 00:00,,-0.13,157.49,55.68,,101.91,3.58,22.08,14.6,61.53,89.21,35.65,,0.28,1.69,7.69,1.92,0.1,0.0,0.0,0.69,10-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jul-2018 - 00:00,,-0.15,151.92,61.83,,107.38,3.43,17.22,11.89,58.45,63.05,38.17,,0.22,1.72,10.92,3.01,0.0,0.0,0.0,0.8,11-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jul-2018 - 00:00,,-0.08,183.01,64.68,,80.34,3.43,19.57,13.15,44.86,55.11,33.31,,0.21,1.54,8.54,3.0,0.19,0.0,0.0,0.8,12-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jul-2018 - 00:00,,0.02,210.27,63.98,,93.05,3.83,17.94,12.6,49.73,67.67,31.83,,0.24,1.02,13.19,2.99,0.3,0.33,0.0,1.07,13-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jul-2018 - 00:00,,-0.11,165.86,81.95,,86.94,5.55,18.61,14.32,28.2,43.82,29.61,,0.24,1.18,15.37,2.78,0.17,0.28,0.0,1.03,14-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jul-2018 - 00:00,,-0.09,136.48,83.57,,65.04,6.33,19.11,15.21,26.33,58.75,29.52,,0.36,1.02,21.1,2.5,0.0,0.0,0.0,0.8,15-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jul-2018 - 00:00,,-0.11,154.66,63.84,,111.98,3.87,17.7,12.5,32.33,46.37,33.67,,0.19,1.47,16.83,2.5,0.0,0.0,0.0,0.8,16-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jul-2018 - 00:00,,-0.14,135.41,73.98,,49.01,3.83,25.5,16.62,22.4,55.44,32.02,,0.35,1.43,15.21,2.81,0.48,0.0,0.0,1.09,17-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jul-2018 - 00:00,,-0.1,117.06,64.49,,88.22,4.56,21.33,14.97,30.76,52.85,31.49,,0.34,1.24,16.14,6.88,0.98,0.74,0.27,2.69,18-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jul-2018 - 00:00,,-0.14,113.94,67.16,,90.58,5.45,17.4,13.58,30.5,55.65,31.01,,0.32,1.5,13.94,3.95,0.64,0.28,0.08,1.32,19-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jul-2018 - 00:00,,-0.05,171.84,65.72,,110.79,5.48,16.0,12.89,35.34,52.83,30.89,,0.39,1.07,11.93,2.32,0.41,0.08,0.01,0.8,20-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jul-2018 - 00:00,,-0.05,157.69,73.21,,58.47,4.89,16.61,12.75,35.47,55.32,29.81,,0.37,0.92,9.59,6.31,0.72,0.49,0.07,1.52,21-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jul-2018 - 00:00,,-0.05,140.44,67.9,,53.64,6.35,20.52,16.0,28.47,61.44,29.57,,0.28,0.86,8.83,5.1,1.1,0.6,0.07,1.96,22-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jul-2018 - 00:00,,-0.09,150.56,83.37,,88.66,5.37,17.05,13.36,24.28,40.42,28.62,,0.32,0.93,10.51,3.33,0.7,0.59,0.21,0.96,23-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jul-2018 - 00:00,,-0.01,122.39,60.04,,117.2,6.14,16.27,13.57,24.28,48.24,30.06,,0.33,1.12,6.89,4.04,0.83,0.43,0.13,1.29,24-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jul-2018 - 00:00,,0.16,137.94,59.06,,91.91,5.41,17.61,13.68,27.36,69.65,31.18,,0.35,0.83,6.44,3.56,0.81,0.45,0.07,1.35,25-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jul-2018 - 00:00,,0.21,234.79,78.49,,34.24,4.87,16.01,11.89,20.25,56.97,29.87,,0.18,1.03,2.88,2.07,1.13,0.94,0.56,0.27,26-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jul-2018 - 00:00,,0.04,227.89,94.02,,36.11,6.36,29.09,19.54,17.36,52.27,28.92,,0.2,1.01,4.12,6.68,1.9,0.86,0.21,0.92,27-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jul-2018 - 00:00,,-0.07,129.26,93.48,,47.27,5.6,20.8,14.53,22.2,33.67,27.99,,0.27,1.16,4.92,8.09,1.28,0.36,0.01,0.75,28-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jul-2018 - 00:00,,0.11,243.9,86.82,,70.5,6.29,20.17,14.73,20.5,45.88,28.02,,0.27,1.19,8.2,5.16,1.17,0.36,0.18,0.84,29-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jul-2018 - 00:00,,0.15,256.8,72.71,,132.24,7.3,18.89,14.88,20.8,74.48,29.74,,0.27,0.8,3.75,5.29,1.22,0.92,0.28,1.47,30-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jul-2018 - 00:00,,0.18,261.88,70.78,,104.59,8.64,19.15,16.09,19.47,81.9,30.26,,0.36,0.85,7.38,3.36,0.97,0.11,0.02,0.8,31-Jul-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
