from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
22-Jan-2018 - 00:00,,-0.88,162.58,50.06,,85.88,46.81,39.15,58.27,32.1,265.68,17.03,,0.93,0.7,10.09,14.73,3.24,7.76,6.79,7.58,23-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jan-2018 - 00:00,,-1.29,150.65,65.67,,72.25,11.61,30.58,25.57,18.78,187.99,16.34,,0.58,1.37,10.48,4.66,1.12,1.52,0.37,3.43,24-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jan-2018 - 00:00,,-0.9,262.2,76.28,,95.1,12.36,19.75,20.39,15.83,146.77,15.73,,0.74,0.72,8.26,6.77,1.05,1.7,0.48,3.58,25-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jan-2018 - 00:00,,-0.64,280.44,84.86,,91.03,11.56,19.19,19.46,16.61,114.0,15.28,,0.57,0.83,5.28,5.13,1.0,1.01,0.44,2.88,26-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jan-2018 - 00:00,,-0.36,149.62,85.18,,98.59,11.1,17.47,18.18,15.99,122.11,14.87,,0.61,0.9,7.06,3.8,0.79,0.49,0.17,3.64,27-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jan-2018 - 00:00,,-0.06,146.96,74.54,,93.84,20.67,26.28,30.51,18.29,171.56,15.23,,0.71,0.72,5.9,1.49,0.18,0.06,0.01,2.21,28-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jan-2018 - 00:00,,-0.23,210.57,72.37,,107.79,13.08,18.25,19.55,13.35,152.73,15.53,,0.69,0.75,11.24,0.08,0.1,0.0,0.31,0.67,29-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jan-2018 - 00:00,,-0.21,252.33,65.7,,107.1,31.28,36.0,45.01,21.12,175.52,16.07,,0.8,0.66,12.86,2.81,0.98,0.84,0.59,1.03,30-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jan-2018 - 00:00,,0.28,288.28,51.21,,98.89,27.65,58.23,53.1,26.32,160.91,17.71,,0.62,1.1,13.76,7.54,3.42,2.9,2.02,2.1,31-Jan-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jan-2018 - 00:00,,0.24,288.73,54.25,,89.02,25.6,68.37,56.87,28.86,137.38,17.78,,0.61,1.13,9.07,6.4,3.2,2.6,1.8,1.3,01-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
