from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
26-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jul-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jul-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jul-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jul-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jul-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Aug-2018 - 00:00,0.27,17.61,3.29,18.75,12.64,8.25,25.9,27.75,28.35,0.23,1.0,0.01,57.75,2.46,187.77,169.53,703.17,0.76,07-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Aug-2018 - 00:00,0.23,14.82,3.78,18.52,12.92,10.95,24.2,25.79,28.35,0.19,0.77,0.02,63.99,2.24,192.53,77.02,701.52,0.76,08-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Aug-2018 - 00:00,0.29,12.62,4.14,20.27,14.15,9.35,24.08,25.73,28.78,0.23,1.47,0.05,66.79,2.11,219.32,77.34,701.7,0.75,09-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Aug-2018 - 00:00,0.39,9.59,7.9,22.5,18.38,8.32,24.95,25.24,28.96,0.37,2.34,0.25,74.27,1.88,206.33,135.59,704.84,0.73,10-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Aug-2018 - 00:00,0.25,14.21,2.65,16.67,10.98,5.66,19.7,25.59,28.93,0.16,1.23,0.01,72.68,2.21,163.6,162.19,706.26,0.74,11-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Aug-2018 - 00:00,0.31,6.11,7.12,21.3,17.12,7.29,26.43,22.96,29.05,0.3,1.11,0.03,84.46,1.79,219.03,20.93,703.5,0.72,12-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Aug-2018 - 00:00,0.27,11.48,2.81,13.22,9.31,4.75,13.71,23.71,31.06,0.18,0.76,0.05,80.53,2.36,206.28,69.57,701.36,0.69,13-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
