from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
09-Feb-2018 - 00:00,17.05,991.28,331.54,227.88,55.93,136.32,0.71,266.16,0.0,1.43,2.23,0.45,41.56,33.05,64.25,85.79,1.47,35.07,6.2,10-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Feb-2018 - 00:00,17.24,994.17,347.26,244.87,54.8,114.3,0.63,160.87,0.0,2.04,1.87,0.48,25.16,38.56,58.04,206.85,2.66,43.65,3.77,11-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Feb-2018 - 00:00,18.37,,265.62,160.08,48.18,92.6,0.89,141.95,0.0,0.49,2.26,0.38,50.96,20.06,42.02,52.07,0.95,34.23,7.13,12-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Feb-2018 - 00:00,16.68,997.34,187.67,79.04,71.8,61.36,2.2,114.38,0.0,0.28,1.88,0.21,50.17,1.58,17.48,15.57,0.29,33.19,1.96,13-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Feb-2018 - 00:00,17.59,998.92,233.38,134.25,76.38,131.08,0.85,239.03,0.0,0.36,2.19,0.28,61.41,16.99,42.25,25.15,0.64,30.71,3.12,14-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Feb-2018 - 00:00,17.76,998.93,190.94,72.99,59.4,158.7,1.05,304.13,0.0,0.46,1.64,0.22,39.8,4.97,28.73,18.87,0.26,32.52,2.05,15-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Feb-2018 - 00:00,18.72,996.98,201.09,90.12,59.93,150.22,1.06,299.49,0.0,0.3,1.41,0.21,48.63,5.73,25.78,20.45,0.41,33.54,2.85,16-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Feb-2018 - 00:00,19.31,995.57,251.92,130.67,64.37,135.31,0.81,297.44,0.0,0.25,1.87,0.24,70.56,15.84,41.16,24.38,0.69,33.59,4.34,17-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Feb-2018 - 00:00,19.86,990.42,278.5,159.83,62.83,142.36,1.0,281.32,0.0,0.3,1.48,0.22,66.62,17.09,45.15,25.96,0.75,31.06,4.13,18-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Feb-2018 - 00:00,19.81,989.69,239.88,151.96,59.86,164.07,0.84,277.41,0.0,0.8,1.19,0.19,46.69,20.71,50.73,59.94,0.99,39.18,2.7,19-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Feb-2018 - 00:00,19.76,991.25,334.7,219.22,55.05,154.18,0.59,254.4,0.0,1.39,0.97,0.24,34.09,33.74,75.17,126.1,1.9,41.74,3.29,20-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Feb-2018 - 00:00,21.08,990.74,319.75,187.54,57.09,156.42,0.73,259.5,0.0,1.26,1.4,0.33,46.04,37.18,72.84,86.73,1.71,38.43,3.11,21-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Feb-2018 - 00:00,22.98,988.6,367.75,206.54,56.97,141.55,0.61,219.1,0.0,1.51,1.54,0.35,49.44,35.24,76.75,148.48,2.31,56.91,3.79,22-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Feb-2018 - 00:00,23.62,987.63,293.46,176.38,61.36,139.55,0.65,232.02,0.0,0.96,1.48,0.29,58.61,30.89,72.78,67.83,1.56,40.75,4.33,23-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Feb-2018 - 00:00,24.43,987.91,351.79,162.5,58.08,117.64,0.73,178.4,0.0,0.61,1.68,0.27,77.34,29.2,62.82,37.5,1.36,55.62,6.75,24-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Feb-2018 - 00:00,25.12,989.8,313.83,146.79,54.08,124.26,1.14,129.7,0.0,0.5,1.53,0.21,70.34,13.34,52.15,28.68,0.97,41.98,5.2,25-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Feb-2018 - 00:00,23.84,992.96,197.96,118.12,55.14,150.37,1.2,220.61,0.0,0.87,0.85,0.22,39.4,8.2,49.23,24.43,0.49,45.75,3.64,26-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Feb-2018 - 00:00,22.39,990.81,114.0,61.67,58.74,195.83,1.3,294.52,0.0,0.7,0.58,0.14,26.44,3.29,42.96,18.62,0.25,39.48,2.73,27-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Feb-2018 - 00:00,23.91,990.26,202.25,69.25,57.84,166.48,0.94,295.32,0.0,0.37,1.2,0.2,50.57,16.8,47.4,21.92,0.67,31.72,3.53,28-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Feb-2018 - 00:00,24.19,990.44,266.12,104.17,63.62,129.33,0.86,287.92,0.0,0.52,1.4,0.23,59.82,24.18,56.61,33.64,0.9,45.2,5.63,01-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Mar-2018 - 00:00,23.75,988.88,249.96,143.88,57.13,129.43,0.79,254.81,0.0,0.33,1.46,0.2,63.29,25.19,52.74,25.16,0.93,35.25,5.98,02-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Mar-2018 - 00:00,24.72,987.25,230.88,162.79,57.3,168.03,0.73,262.43,0.0,0.5,1.16,0.2,53.08,32.53,62.69,47.96,1.48,26.31,3.72,03-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Mar-2018 - 00:00,25.46,985.13,201.58,87.79,52.3,143.21,0.99,221.57,0.0,0.55,0.94,0.16,45.62,11.88,45.4,22.14,0.65,35.3,5.03,04-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Mar-2018 - 00:00,24.28,986.6,170.25,69.54,50.47,145.89,1.1,247.33,0.0,0.63,0.75,0.2,32.91,12.18,44.34,26.07,0.47,26.1,2.89,05-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Mar-2018 - 00:00,23.54,990.27,138.67,58.17,51.85,190.85,1.0,287.12,0.0,0.51,0.83,0.19,38.08,11.13,39.42,26.5,0.38,33.77,4.33,06-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Mar-2018 - 00:00,22.88,991.04,168.21,84.29,52.36,185.67,1.23,288.59,0.0,0.3,0.89,0.15,39.78,6.16,33.34,23.21,0.36,37.4,3.61,07-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Mar-2018 - 00:00,23.31,989.98,183.38,92.29,50.55,191.29,0.96,279.54,0.0,0.28,1.13,0.22,43.27,20.23,41.52,31.43,0.59,30.24,3.5,08-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Mar-2018 - 00:00,23.84,990.92,269.17,156.21,56.35,154.68,0.62,163.85,0.0,1.05,1.07,0.29,35.59,29.43,58.35,124.17,1.67,56.78,5.11,09-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Mar-2018 - 00:00,25.09,990.95,240.88,134.88,49.81,156.44,0.81,288.26,0.0,0.65,1.54,0.32,52.34,27.17,58.59,51.19,1.23,66.39,5.69,10-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Mar-2018 - 00:00,25.58,989.87,156.38,63.96,45.5,192.61,1.12,293.01,0.0,0.17,1.31,0.19,49.82,6.42,30.14,24.39,0.41,45.13,3.38,11-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Mar-2018 - 00:00,25.47,988.86,170.08,72.92,48.45,176.92,0.84,289.72,0.0,0.31,1.16,0.21,45.92,16.51,42.14,38.33,0.77,52.46,3.59,12-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Mar-2018 - 00:00,26.69,988.84,175.62,81.67,47.16,180.88,1.05,275.12,0.0,0.18,1.31,0.21,53.12,15.17,44.45,30.65,0.71,48.96,4.59,13-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Mar-2018 - 00:00,27.37,987.18,204.96,95.0,45.35,183.55,0.92,246.11,0.0,0.61,1.06,0.17,42.21,26.38,55.59,66.26,1.33,42.8,3.91,14-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Mar-2018 - 00:00,26.98,985.37,267.88,112.29,39.0,147.9,0.71,191.6,0.0,0.75,1.21,0.33,47.21,32.6,70.22,80.24,1.17,41.54,2.71,15-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Mar-2018 - 00:00,26.52,985.57,279.3,105.9,44.01,152.78,1.24,228.22,0.0,0.29,1.42,0.26,65.64,18.31,43.77,29.8,0.74,37.43,3.5,16-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Mar-2018 - 00:00,25.4,986.81,220.24,120.86,45.96,156.38,1.02,279.99,0.0,0.31,1.11,0.18,47.29,15.12,39.95,35.8,0.6,48.37,6.41,17-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Mar-2018 - 00:00,22.99,987.92,167.16,100.46,48.29,176.95,1.02,281.72,0.0,0.23,1.15,0.19,45.04,10.07,33.23,26.14,0.32,36.21,4.2,18-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Mar-2018 - 00:00,28.81,989.63,164.21,62.68,28.42,266.16,1.26,313.66,0.0,0.11,1.07,0.17,39.67,1.6,22.86,20.57,0.45,91.22,2.61,19-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Mar-2018 - 00:00,26.66,990.68,178.5,67.83,37.3,168.07,1.15,267.64,0.0,0.15,1.16,0.21,46.22,14.23,42.31,29.41,0.52,55.69,4.3,20-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Mar-2018 - 00:00,27.75,987.85,225.54,111.17,40.77,159.04,0.82,197.09,0.0,0.33,1.28,0.26,48.66,29.08,63.54,45.93,1.0,62.33,6.73,21-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Mar-2018 - 00:00,26.97,985.52,245.5,133.92,47.0,120.31,1.57,215.65,0.0,0.42,1.08,0.26,58.04,16.05,53.75,25.21,0.73,35.03,8.53,22-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Mar-2018 - 00:00,25.35,986.45,189.71,67.96,51.61,128.29,1.47,230.8,0.0,0.15,1.07,0.16,61.18,3.32,22.49,18.33,0.48,72.62,4.99,23-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Mar-2018 - 00:00,25.18,987.69,164.17,54.33,48.81,176.55,1.11,305.71,0.0,0.21,0.9,0.14,42.69,3.68,31.46,23.78,0.36,61.54,3.37,24-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Mar-2018 - 00:00,26.81,990.07,185.17,68.96,46.26,176.51,1.13,305.63,0.0,0.34,0.89,0.19,42.33,7.59,40.49,30.26,0.63,58.93,4.02,25-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Mar-2018 - 00:00,27.01,991.3,185.92,70.92,46.73,170.72,1.17,289.51,0.0,0.25,0.84,0.15,50.12,3.0,33.17,26.4,0.47,65.07,4.2,26-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Mar-2018 - 00:00,27.99,989.56,201.96,80.12,40.61,173.63,1.12,300.05,0.0,0.13,0.87,0.16,50.73,10.97,40.77,28.57,0.59,62.46,3.92,27-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Mar-2018 - 00:00,28.6,986.18,222.96,103.75,35.38,179.6,0.92,246.5,0.0,0.37,1.01,0.24,42.05,24.28,53.09,59.68,1.15,58.59,3.35,28-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Mar-2018 - 00:00,29.88,985.32,239.71,117.25,34.58,178.1,1.05,255.48,0.0,0.89,0.97,0.29,37.79,25.29,58.26,138.98,1.52,88.38,2.78,29-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Mar-2018 - 00:00,29.66,984.67,196.62,87.83,34.69,178.28,1.03,291.23,0.0,0.21,0.96,0.2,50.19,6.31,37.78,29.37,0.56,58.82,4.21,30-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Mar-2018 - 00:00,29.58,982.44,237.71,97.29,34.51,188.61,1.2,268.57,0.0,0.27,0.86,0.22,43.88,16.62,50.68,40.83,0.81,63.85,4.26,31-Mar-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Mar-2018 - 00:00,25.79,985.07,288.86,122.72,43.07,220.58,1.85,118.9,0.0,0.5,1.08,0.25,42.21,15.28,41.13,33.52,0.7,72.24,3.78,01-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Apr-2018 - 00:00,30.71,987.08,202.6,65.61,36.72,232.14,1.87,101.09,0.0,0.41,0.61,0.15,34.5,0.88,37.63,21.31,0.46,103.18,4.48,02-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Apr-2018 - 00:00,30.45,987.07,223.97,94.0,37.77,158.89,1.5,114.32,0.0,0.28,0.79,0.15,48.2,2.33,38.67,28.8,0.61,75.41,6.08,03-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Apr-2018 - 00:00,31.88,985.88,223.65,87.15,36.41,151.32,1.23,121.11,0.0,0.21,0.81,0.15,52.74,1.94,33.11,28.51,0.78,94.45,4.64,04-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Apr-2018 - 00:00,32.17,983.74,206.96,98.88,37.03,153.89,1.15,135.97,0.0,0.29,0.86,0.16,59.61,5.75,39.02,30.68,0.98,80.11,4.75,05-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Apr-2018 - 00:00,32.17,982.44,272.04,128.58,39.12,149.02,0.95,200.75,0.0,0.69,0.65,0.26,48.03,19.88,69.74,58.0,1.3,86.25,4.99,06-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Apr-2018 - 00:00,30.14,984.44,200.75,74.38,38.41,102.67,1.6,139.35,0.01,0.17,0.73,0.12,53.93,4.63,31.13,24.4,0.44,70.86,7.02,07-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Apr-2018 - 00:00,28.8,986.74,126.87,45.71,45.07,196.84,1.6,119.8,0.0,0.2,0.58,0.11,48.05,2.88,35.7,24.04,0.3,72.71,3.51,08-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Apr-2018 - 00:00,29.82,987.31,142.59,42.59,42.83,188.36,2.43,107.43,0.0,0.25,0.51,0.1,37.64,1.08,28.71,24.01,0.3,70.6,2.56,09-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Apr-2018 - 00:00,26.44,988.61,126.82,36.07,56.97,102.43,1.86,137.2,0.0,0.35,0.49,0.13,36.83,11.88,48.09,26.73,0.54,54.94,3.49,10-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Apr-2018 - 00:00,28.85,986.7,207.65,70.28,49.59,164.66,1.45,145.39,0.0,0.23,0.76,0.14,60.36,8.55,36.98,26.41,0.55,66.79,4.64,11-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Apr-2018 - 00:00,27.0,986.55,154.52,39.01,52.27,148.41,2.65,92.36,0.0,0.31,0.49,0.1,33.77,2.46,34.37,16.57,0.2,60.08,2.47,12-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Apr-2018 - 00:00,28.08,985.75,118.37,45.57,45.9,206.21,1.19,217.72,0.01,0.12,0.7,0.13,46.37,11.83,36.39,22.62,0.57,57.05,3.14,13-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Apr-2018 - 00:00,29.25,986.56,157.08,85.88,29.04,233.44,0.93,252.15,0.0,0.35,0.64,0.17,41.9,17.74,48.12,53.59,0.81,47.78,3.98,14-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Apr-2018 - 00:00,29.22,986.18,186.6,108.07,27.75,291.04,0.91,249.93,0.0,0.31,0.81,0.23,56.2,27.03,62.11,35.03,0.52,52.4,5.97,15-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Apr-2018 - 00:00,31.6,984.87,207.53,118.03,30.55,196.11,0.68,256.55,0.0,0.51,0.73,0.19,47.56,33.55,68.87,75.51,1.3,51.08,5.74,16-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Apr-2018 - 00:00,31.2,984.97,252.26,107.09,33.36,5.16,1.23,101.61,0.0,0.51,0.72,0.21,56.16,17.08,59.69,87.15,2.14,24.25,3.96,17-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Apr-2018 - 00:00,32.83,986.32,200.1,74.56,28.76,190.56,1.26,195.37,0.0,0.35,0.57,0.22,51.8,21.8,62.8,40.36,0.73,52.26,3.54,18-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Apr-2018 - 00:00,32.94,985.42,215.21,62.12,24.17,213.16,1.13,294.53,0.0,0.17,0.54,0.15,43.63,9.68,40.38,26.36,0.37,53.23,4.97,19-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Apr-2018 - 00:00,33.45,982.2,209.53,86.33,24.49,192.54,0.96,286.32,0.0,0.15,0.62,0.18,44.36,18.89,49.15,33.17,0.62,48.87,9.14,20-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Apr-2018 - 00:00,33.4,981.19,272.24,96.99,23.01,164.75,1.69,179.19,0.0,0.12,0.58,0.11,45.03,3.74,23.62,18.18,0.25,53.74,10.6,21-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Apr-2018 - 00:00,30.49,985.48,345.75,129.75,29.15,173.16,1.21,302.0,0.0,0.16,0.47,0.12,37.83,2.86,28.15,20.32,0.28,58.88,10.06,22-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Apr-2018 - 00:00,29.82,986.54,161.69,52.5,22.84,235.14,1.29,309.58,0.0,0.21,0.43,0.13,31.47,5.56,33.21,22.71,0.28,77.61,9.46,23-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Apr-2018 - 00:00,30.73,985.59,195.5,69.08,20.11,230.86,0.97,288.86,0.0,0.32,0.44,0.12,27.06,13.07,38.31,52.2,0.58,74.1,7.87,24-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Apr-2018 - 00:00,31.7,984.35,199.12,106.29,21.84,219.7,0.86,267.43,0.0,0.42,0.66,0.22,33.46,27.1,59.69,79.2,1.19,60.03,8.3,25-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Apr-2018 - 00:00,33.4,981.79,248.33,152.71,21.06,215.6,0.81,237.41,0.0,0.57,0.69,0.24,30.28,38.69,74.22,126.91,1.96,46.19,7.42,26-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Apr-2018 - 00:00,34.91,980.33,281.92,147.96,20.84,171.32,1.2,133.11,0.0,0.61,0.92,0.3,49.03,31.13,65.26,76.23,1.35,42.54,10.14,27-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Apr-2018 - 00:00,33.54,983.61,236.42,108.62,39.71,168.26,2.31,112.34,0.0,0.35,0.59,0.19,53.52,3.17,50.5,24.03,0.55,85.15,6.19,28-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Apr-2018 - 00:00,33.95,983.28,194.67,98.6,39.84,171.34,2.44,106.86,0.0,0.29,0.33,0.12,36.78,1.42,43.83,19.17,0.44,96.4,8.21,29-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Apr-2018 - 00:00,34.17,980.44,140.54,,39.67,172.14,1.35,128.61,0.0,0.25,0.4,0.16,41.62,2.37,41.75,24.54,0.55,75.05,8.64,30-Apr-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Apr-2018 - 00:00,33.86,978.81,216.61,91.0,39.32,173.82,1.58,135.4,0.0,0.18,0.42,0.11,59.8,9.01,45.53,24.15,0.52,83.26,7.64,01-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-May-2018 - 00:00,31.71,982.19,177.71,50.96,49.17,170.14,2.97,108.42,0.0,0.37,0.18,0.1,18.1,1.35,59.67,31.88,0.31,96.66,3.58,02-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-May-2018 - 00:00,30.58,983.55,154.18,64.96,50.46,159.49,2.67,111.32,0.01,0.39,0.16,0.1,13.32,1.69,53.29,26.22,0.29,92.85,2.83,03-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-May-2018 - 00:00,29.53,984.15,128.54,43.29,49.31,160.09,2.35,113.99,0.0,0.3,0.29,0.09,32.86,2.57,40.84,18.48,0.2,65.41,6.94,04-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
