from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Feb-2018 - 00:00,23.4,991.38,330.65,171.48,46.1,193.41,0.77,308.88,0.0,,,,44.77,26.95,58.93,70.25,1.53,,5.04,02-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Feb-2018 - 00:00,19.6,989.94,265.78,154.39,61.23,124.75,0.77,283.65,0.0,,,,60.44,25.62,56.64,43.27,0.84,,3.36,03-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Feb-2018 - 00:00,18.85,992.53,223.01,122.31,48.05,130.65,0.93,299.65,0.0,,,,60.41,13.52,40.92,28.25,0.58,,5.92,04-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Feb-2018 - 00:00,17.49,992.97,230.42,145.42,50.7,135.01,0.85,293.98,0.0,0.43,3.12,0.5,50.48,17.9,45.64,32.07,0.66,0.85,3.9,05-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Feb-2018 - 00:00,16.56,995.2,268.46,187.71,47.16,88.96,0.71,284.82,0.0,0.6,2.83,0.4,48.64,39.76,72.7,44.31,1.0,29.57,4.91,06-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Feb-2018 - 00:00,17.66,995.05,264.29,146.75,46.62,83.05,0.82,299.93,0.0,0.52,2.7,0.37,51.48,20.86,51.38,40.91,0.75,27.47,4.85,07-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Feb-2018 - 00:00,17.49,992.11,251.92,140.21,45.0,142.83,0.86,303.7,0.0,0.36,2.4,0.33,48.28,17.49,48.61,34.2,0.74,37.16,4.91,08-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Feb-2018 - 00:00,16.47,991.22,349.62,206.54,55.41,114.27,0.63,248.05,0.0,1.82,1.79,0.44,31.66,35.43,65.68,122.21,1.59,32.77,3.13,09-Feb-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
