from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
21-Apr-2018 - 00:00,27.76,0.79,553.5,0.51,50.89,4.07,49.49,49.19,43.34,434.57,121.21,25.82,32.15,108.28,0.05,58.62,1.34,1.62,22-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Apr-2018 - 00:00,27.02,0.58,553.5,0.55,46.49,3.65,51.16,51.14,61.99,189.22,68.67,19.73,39.27,104.62,0.05,53.01,1.54,1.16,23-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Apr-2018 - 00:00,28.2,1.86,553.5,0.89,45.87,16.37,58.29,75.32,72.74,195.0,91.62,16.5,34.61,103.92,0.04,78.53,1.3,4.86,24-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Apr-2018 - 00:00,29.64,2.12,553.5,1.4,48.33,38.65,72.03,98.82,57.21,250.71,129.04,16.97,39.95,102.91,0.01,99.82,0.9,5.18,25-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Apr-2018 - 00:00,31.46,8.4,553.5,1.65,50.15,44.0,79.12,92.27,44.27,276.83,113.17,16.5,30.56,101.95,0.0,106.03,0.79,9.5,26-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Apr-2018 - 00:00,33.23,2.45,553.5,1.91,52.53,58.91,89.61,131.98,62.46,380.96,121.17,16.0,40.28,102.01,0.0,106.27,0.71,7.9,27-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Apr-2018 - 00:00,31.65,1.17,553.5,1.01,58.85,19.05,84.43,87.33,51.93,303.88,87.33,34.1,29.58,99.16,-0.02,130.79,1.01,3.55,28-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Apr-2018 - 00:00,32.2,0.56,553.5,0.93,67.23,11.29,74.96,82.5,51.59,296.88,75.54,34.69,31.95,98.1,-0.02,127.05,1.17,1.68,29-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Apr-2018 - 00:00,32.63,0.65,553.5,0.91,60.7,8.76,79.08,81.85,66.07,242.88,91.46,32.34,35.83,95.89,0.0,121.45,0.78,1.79,30-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Apr-2018 - 00:00,32.62,0.69,553.5,0.91,56.64,13.57,79.75,83.38,67.6,176.83,67.79,30.18,28.88,96.6,0.01,128.78,0.97,1.93,01-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-May-2018 - 00:00,29.99,0.41,553.5,0.73,64.94,9.94,63.53,66.37,54.44,152.0,46.88,42.39,27.68,97.23,-0.03,126.75,1.24,1.08,02-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-May-2018 - 00:00,28.59,0.36,553.9,0.7,58.19,9.74,56.96,63.48,54.95,132.83,64.96,44.38,24.78,97.12,-0.01,126.77,1.54,1.07,03-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-May-2018 - 00:00,27.47,0.43,553.5,0.67,54.05,9.7,60.12,66.1,35.47,140.38,48.08,42.04,31.83,91.15,-0.03,130.89,1.43,1.3,04-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-May-2018 - 00:00,29.1,0.44,553.69,0.8,58.5,12.69,68.41,78.71,45.19,123.42,49.75,43.11,30.41,98.72,-0.02,126.32,1.12,1.62,05-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-May-2018 - 00:00,31.95,0.82,553.5,1.27,58.72,28.65,91.92,121.93,67.03,194.0,84.46,33.01,30.9,94.53,0.0,129.38,0.8,3.21,06-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-May-2018 - 00:00,31.17,1.8,553.5,1.49,59.12,51.22,102.22,140.2,47.83,288.42,124.88,29.97,37.01,92.12,-0.0,115.34,1.03,4.44,07-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-May-2018 - 00:00,32.02,1.2,553.5,1.18,56.02,39.93,92.7,134.52,48.04,270.62,127.71,26.15,37.35,96.63,0.01,107.54,0.75,3.73,08-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-May-2018 - 00:00,27.99,0.5,553.46,0.48,50.01,4.49,42.53,44.5,55.1,116.5,51.25,33.56,23.01,92.03,0.05,81.07,1.55,1.22,09-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-May-2018 - 00:00,27.2,0.96,553.48,1.13,54.4,28.24,103.12,131.71,46.05,169.46,75.83,38.4,32.49,89.02,0.01,103.57,0.64,4.14,10-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-May-2018 - 00:00,30.31,0.89,553.5,1.35,61.05,16.24,94.88,108.13,60.06,212.33,119.79,32.53,30.51,93.51,0.0,111.18,0.73,3.41,11-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-May-2018 - 00:00,33.25,1.36,553.5,1.71,66.97,34.3,126.45,151.66,58.83,299.0,170.38,27.23,44.51,93.74,0.01,117.4,0.77,4.4,12-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-May-2018 - 00:00,34.28,1.32,553.5,1.72,71.92,32.3,130.01,152.31,52.55,311.42,158.04,31.57,51.09,91.03,-0.0,135.78,0.67,3.66,13-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-May-2018 - 00:00,30.76,0.39,553.51,0.73,69.12,4.53,53.3,54.39,76.81,237.96,95.04,41.05,34.84,88.24,0.0,117.41,1.66,0.86,14-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-May-2018 - 00:00,28.22,0.45,553.5,0.75,56.81,8.47,79.56,81.16,48.8,131.62,55.29,40.52,27.97,108.74,0.01,136.09,0.72,1.27,15-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-May-2018 - 00:00,30.81,0.57,553.5,1.15,63.45,11.55,87.36,93.91,55.62,171.42,73.46,40.57,33.5,103.81,-0.01,127.01,0.57,1.83,16-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-May-2018 - 00:00,32.55,0.76,553.55,0.78,57.32,12.06,72.8,76.84,47.59,193.54,101.67,29.44,27.01,102.84,0.05,80.75,1.25,2.34,17-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-May-2018 - 00:00,33.66,0.72,553.5,1.02,55.0,16.37,85.28,98.88,64.5,276.79,125.25,22.59,34.62,100.72,0.02,95.61,0.71,2.35,18-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-May-2018 - 00:00,32.74,1.36,553.5,1.19,58.47,28.76,99.51,125.3,34.12,243.33,101.04,26.55,37.77,86.8,0.01,113.0,0.51,3.2,19-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-May-2018 - 00:00,32.79,1.73,553.5,1.46,65.6,53.97,109.34,165.4,56.9,285.71,130.83,28.66,36.04,96.08,0.01,130.93,0.74,5.21,20-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-May-2018 - 00:00,33.4,0.76,553.5,0.87,55.04,16.2,72.98,88.8,40.53,211.5,89.04,19.63,33.14,96.27,0.05,93.06,0.75,2.72,21-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-May-2018 - 00:00,34.78,0.4,553.5,0.68,46.61,9.74,80.85,86.29,49.31,202.96,73.71,10.92,28.03,95.27,0.07,76.39,0.96,2.13,22-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-May-2018 - 00:00,35.49,0.83,553.5,1.71,52.75,68.51,109.22,105.13,58.77,268.38,101.75,13.09,41.63,94.26,0.02,109.7,0.56,4.92,23-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-May-2018 - 00:00,35.74,2.4,553.5,1.87,62.75,76.35,132.4,192.84,52.64,319.21,121.96,19.59,47.35,92.59,-0.0,130.58,0.41,7.65,24-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-May-2018 - 00:00,33.72,1.09,553.5,0.98,65.04,13.2,100.98,106.26,38.5,296.0,122.34,21.53,50.73,125.86,-0.0,85.12,0.49,3.2,25-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-May-2018 - 00:00,39.22,1.8,553.5,1.57,47.43,73.66,100.81,107.68,90.1,239.2,95.73,8.13,37.72,122.57,-0.0,109.25,0.77,6.27,27-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-May-2018 - 00:00,36.5,0.93,553.5,1.0,47.34,32.1,93.46,118.05,58.84,293.08,101.0,10.82,29.82,96.05,-0.0,103.96,0.87,2.45,28-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-May-2018 - 00:00,35.36,1.09,553.5,1.7,63.02,58.84,122.34,132.88,52.12,283.88,124.12,20.85,45.25,91.1,0.01,120.43,0.46,3.9,29-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-May-2018 - 00:00,35.84,1.43,553.5,1.29,67.27,57.76,102.72,138.67,71.3,294.08,116.12,24.21,34.51,90.0,-0.01,130.95,0.91,4.52,30-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-May-2018 - 00:00,33.44,0.38,553.5,0.69,73.68,5.33,55.48,55.98,85.97,255.12,59.0,34.75,25.54,94.3,0.01,131.43,1.36,1.14,31-May-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-May-2018 - 00:00,34.69,0.62,553.5,0.95,60.65,16.45,79.47,91.47,68.03,210.88,72.04,32.33,32.73,92.77,0.01,133.27,0.77,1.83,01-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Jun-2018 - 00:00,33.52,0.43,553.5,0.72,67.23,5.65,57.19,60.08,77.31,202.56,63.94,41.21,32.08,125.42,-0.01,127.27,1.08,1.01,02-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jun-2018 - 00:00,35.48,0.4,553.49,1.04,56.44,9.91,77.65,82.43,81.08,161.56,60.08,34.9,35.65,90.96,-0.01,129.67,0.65,1.4,04-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jun-2018 - 00:00,34.43,0.33,553.46,0.83,60.33,7.79,64.96,68.06,67.58,176.21,61.46,39.39,36.03,94.95,-0.01,136.35,1.09,1.02,05-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jun-2018 - 00:00,34.88,0.32,553.45,0.85,57.3,9.86,61.99,68.82,57.67,137.12,52.0,38.3,25.16,94.24,-0.01,133.77,1.02,1.2,06-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jun-2018 - 00:00,31.31,0.44,553.29,0.99,55.11,12.18,63.49,72.01,51.2,166.17,57.21,48.99,31.69,87.59,-0.02,116.19,0.87,1.59,07-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jun-2018 - 00:00,34.05,0.59,553.36,0.94,52.9,13.68,73.57,75.39,72.98,156.08,68.08,42.93,30.96,96.12,-0.0,129.82,0.61,1.78,08-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Jun-2018 - 00:00,34.37,0.45,553.34,0.87,58.78,5.34,59.5,59.64,59.45,184.29,69.04,44.42,24.32,95.27,-0.01,132.47,0.95,1.19,09-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Jun-2018 - 00:00,30.31,0.47,554.87,0.72,53.58,6.48,42.34,45.74,52.35,125.96,54.08,56.85,22.5,91.1,-0.01,120.08,1.05,1.4,10-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Jun-2018 - 00:00,30.93,0.78,553.75,0.79,51.62,8.03,45.87,49.84,56.33,138.33,52.46,51.4,17.69,103.28,0.01,90.66,0.76,2.11,11-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Jun-2018 - 00:00,33.92,0.74,553.5,0.53,51.12,3.03,42.78,40.08,46.09,225.09,62.0,41.72,20.61,104.82,0.01,66.95,1.15,1.82,12-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Jun-2018 - 00:00,35.76,1.4,553.5,0.46,54.41,3.38,34.43,35.11,31.96,424.18,130.17,35.09,19.45,105.11,-0.01,61.95,1.0,2.92,13-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Jun-2018 - 00:00,36.8,0.92,553.34,0.32,48.94,3.97,23.62,26.95,22.02,255.35,215.0,29.89,11.22,103.71,-0.01,68.2,1.54,1.91,14-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Jun-2018 - 00:00,35.78,0.42,553.13,0.32,44.72,2.73,21.24,22.97,23.94,624.05,167.79,28.44,13.71,103.95,0.01,60.18,1.59,0.97,15-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Jun-2018 - 00:00,35.12,0.55,553.19,0.46,42.19,9.17,31.67,40.41,28.38,410.75,110.62,28.95,10.75,104.78,-0.0,76.75,1.49,1.33,16-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Jun-2018 - 00:00,33.92,0.5,553.34,0.71,47.51,10.41,43.92,52.55,28.24,541.62,96.54,36.87,11.51,100.87,0.01,93.49,1.08,1.3,17-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Jun-2018 - 00:00,30.14,0.24,553.47,0.53,48.48,6.78,37.69,42.08,28.02,290.21,80.59,47.82,16.52,106.74,0.02,100.77,1.2,0.8,18-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Jun-2018 - 00:00,30.56,0.41,,0.67,49.06,5.76,47.48,47.93,33.15,152.62,41.29,41.7,12.11,87.68,0.03,75.85,1.05,1.25,19-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Jun-2018 - 00:00,31.97,0.35,,0.55,49.61,5.15,45.9,47.16,53.25,149.17,47.12,41.33,11.31,98.29,0.04,74.06,1.09,1.15,20-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Jun-2018 - 00:00,34.86,0.47,,0.77,49.21,8.83,65.85,65.01,48.98,209.81,64.83,36.32,16.66,102.05,0.03,99.53,1.27,1.43,21-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Jun-2018 - 00:00,35.3,0.44,,0.85,51.68,6.98,66.18,66.58,56.04,280.4,68.09,37.25,19.62,103.12,0.02,84.93,1.91,1.53,22-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Jun-2018 - 00:00,36.46,0.82,,0.93,43.53,23.21,73.73,71.41,63.98,226.81,71.09,30.28,11.92,97.13,0.01,110.1,0.67,2.17,23-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Jun-2018 - 00:00,36.7,0.73,,0.91,48.25,14.72,70.92,62.25,75.94,247.75,72.79,30.14,17.0,90.81,0.04,97.02,0.92,1.76,24-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Jun-2018 - 00:00,36.3,0.48,,0.7,52.03,6.64,56.41,56.49,103.09,178.27,51.34,30.39,17.39,94.24,0.04,76.96,1.61,1.16,25-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Jun-2018 - 00:00,36.53,0.29,,0.56,21.79,5.4,54.92,39.63,61.67,42.97,35.58,38.76,3.25,81.44,0.04,54.24,5.19,1.51,26-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Jun-2018 - 00:00,30.25,0.5,734.2,0.52,47.62,2.86,36.02,21.49,67.95,40.03,11.93,50.59,10.04,33.45,0.01,51.93,8.39,1.74,27-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Jun-2018 - 00:00,28.87,0.38,747.73,0.68,52.09,4.59,49.33,29.99,50.62,111.56,48.88,61.42,6.08,90.33,0.0,101.93,0.9,1.43,28-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Jun-2018 - 00:00,27.77,0.29,746.46,0.74,53.61,9.19,47.57,32.8,18.05,68.09,29.21,67.06,9.47,83.41,0.0,118.23,0.97,1.31,29-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Jun-2018 - 00:00,28.03,0.51,737.77,0.98,55.39,10.24,55.78,38.02,27.14,94.42,49.4,65.6,9.96,29.48,0.02,138.96,1.07,2.5,30-Jun-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Jun-2018 - 00:00,28.87,0.89,741.59,0.81,53.41,3.23,44.34,26.22,36.41,88.21,53.02,64.86,6.84,79.67,0.01,126.45,0.91,2.57,01-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Jul-2018 - 00:00,30.63,0.4,737.44,0.63,51.41,7.63,30.8,22.6,41.43,77.4,30.04,59.98,13.62,100.75,0.01,86.28,1.43,1.36,02-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jul-2018 - 00:00,30.73,0.2,743.41,0.54,49.24,2.07,25.99,15.51,53.63,98.01,33.34,54.46,13.17,108.46,0.02,94.2,1.97,0.65,03-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jul-2018 - 00:00,29.95,0.29,734.52,0.81,48.96,10.17,56.17,38.16,54.33,121.56,42.26,57.56,12.99,103.74,0.0,122.65,0.76,1.59,04-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jul-2018 - 00:00,29.81,0.31,738.94,0.71,50.51,7.64,49.69,32.66,70.09,123.5,46.81,58.46,12.93,100.12,0.01,111.64,0.86,1.43,05-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jul-2018 - 00:00,30.21,0.59,737.97,0.79,51.14,8.91,50.17,33.94,54.38,143.3,46.57,57.09,10.07,102.11,0.02,93.56,0.85,2.46,06-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jul-2018 - 00:00,31.6,0.49,737.7,0.61,52.45,3.16,44.29,26.14,69.34,157.1,48.39,49.26,7.41,103.43,0.01,67.4,1.06,1.66,07-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jul-2018 - 00:00,32.83,0.32,735.97,0.75,58.48,2.65,48.9,28.17,94.3,161.61,60.29,45.64,14.59,104.95,0.03,70.35,0.78,1.22,08-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Jul-2018 - 00:00,34.29,0.35,734.35,0.75,64.59,4.39,60.72,35.87,93.58,176.74,66.28,41.51,13.83,97.59,0.02,97.02,0.79,1.39,09-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Jul-2018 - 00:00,32.29,0.33,741.01,0.96,69.61,7.75,52.02,33.96,63.27,172.89,153.27,57.21,12.46,94.27,0.01,104.38,1.06,1.37,10-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Jul-2018 - 00:00,32.37,0.26,738.18,0.73,66.62,4.98,43.26,27.07,48.59,125.42,89.88,57.84,11.95,107.83,0.0,101.73,0.95,1.03,11-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Jul-2018 - 00:00,30.51,0.3,736.11,0.83,57.25,3.1,44.5,26.2,37.8,108.38,44.67,61.09,14.96,90.47,0.01,111.89,1.17,1.16,12-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Jul-2018 - 00:00,31.02,0.37,735.33,0.64,48.2,4.1,41.76,25.56,61.13,128.09,51.0,56.37,13.99,99.54,0.01,104.19,1.04,1.79,13-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Jul-2018 - 00:00,26.97,0.56,787.24,0.84,45.04,15.41,41.64,34.71,30.7,65.75,34.25,72.17,11.92,65.97,0.0,99.25,0.84,2.13,14-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Jul-2018 - 00:00,27.32,0.4,747.67,0.87,44.39,15.02,45.9,36.67,25.37,95.79,46.5,72.55,5.74,92.67,0.0,103.17,0.49,1.95,15-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Jul-2018 - 00:00,29.63,0.26,737.69,0.71,42.58,7.29,40.19,27.32,35.11,74.53,117.79,64.58,12.88,108.75,0.0,115.65,0.86,1.36,16-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Jul-2018 - 00:00,27.83,0.8,769.59,1.01,42.63,20.21,45.21,40.52,15.62,81.83,44.12,74.17,11.19,56.47,0.0,99.66,0.87,3.69,17-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Jul-2018 - 00:00,30.49,0.4,737.72,0.97,41.76,18.12,45.69,39.08,30.08,118.74,38.52,64.15,8.66,93.47,0.0,103.42,0.59,1.95,18-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Jul-2018 - 00:00,30.61,0.37,735.75,0.73,41.86,11.9,39.99,30.97,31.17,115.01,41.48,62.44,12.97,86.56,0.0,105.66,0.82,1.76,19-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Jul-2018 - 00:00,30.57,0.58,772.96,0.84,42.51,10.75,41.05,30.59,33.69,96.78,88.83,62.26,7.06,93.68,0.0,99.99,0.72,1.98,20-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Jul-2018 - 00:00,27.87,0.71,734.69,0.85,43.3,10.22,42.9,31.15,20.86,96.81,46.3,71.12,11.52,67.68,0.0,90.41,0.64,2.7,21-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Jul-2018 - 00:00,27.13,0.75,749.67,1.05,43.32,21.86,45.19,41.85,29.25,102.36,136.23,74.38,8.09,61.61,0.0,108.16,0.54,3.09,22-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Jul-2018 - 00:00,26.57,0.32,735.49,0.74,40.94,10.24,35.83,27.4,18.76,56.23,68.8,75.96,10.01,76.34,0.0,114.01,0.54,1.53,23-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Jul-2018 - 00:00,28.6,0.46,734.21,0.73,40.85,10.92,35.27,27.67,22.03,87.92,44.53,68.06,7.93,112.05,0.0,106.78,0.75,1.53,24-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Jul-2018 - 00:00,32.43,0.54,734.3,0.99,39.88,2.82,46.21,26.88,72.4,104.13,57.17,52.85,10.21,110.86,0.0,118.35,0.9,2.42,25-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Jul-2018 - 00:00,27.42,0.24,734.55,0.55,40.88,3.19,26.83,16.88,24.85,70.71,197.81,72.16,15.08,50.68,0.0,102.48,1.31,1.24,26-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Jul-2018 - 00:00,24.73,0.61,746.99,0.7,40.57,10.11,32.28,25.41,14.32,43.6,230.78,81.29,12.58,33.81,0.02,70.31,0.79,2.16,27-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Jul-2018 - 00:00,24.33,0.28,774.32,0.7,40.71,9.9,35.79,27.11,17.07,36.2,61.89,82.73,13.93,39.05,0.02,57.46,0.58,1.76,28-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Jul-2018 - 00:00,25.41,0.7,748.26,0.8,40.4,7.43,35.14,24.75,23.06,58.65,311.71,77.17,15.13,61.77,0.03,72.43,0.89,2.44,29-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Jul-2018 - 00:00,28.72,0.72,738.77,0.66,39.73,5.28,31.61,21.11,29.44,128.44,46.17,66.63,15.96,107.2,0.02,93.19,0.95,2.04,30-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Jul-2018 - 00:00,28.92,0.49,734.58,0.62,38.86,3.05,32.14,19.57,38.53,124.3,40.04,62.65,15.54,105.56,0.01,77.33,1.22,1.6,31-Jul-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-Jul-2018 - 00:00,29.18,0.77,734.42,0.57,39.14,5.38,39.65,25.48,38.04,159.66,45.59,59.66,11.46,79.86,0.0,74.04,1.32,2.16,01-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Aug-2018 - 00:00,29.83,0.93,734.41,0.63,38.47,7.26,35.3,24.7,42.17,202.32,52.36,55.43,18.6,100.23,0.01,85.23,1.21,2.26,02-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Aug-2018 - 00:00,30.56,0.55,734.32,0.53,37.72,2.37,25.95,15.73,39.61,267.19,65.05,52.65,26.66,104.62,0.01,73.71,1.54,1.64,03-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Aug-2018 - 00:00,30.12,0.38,734.24,0.51,37.24,2.51,18.47,11.88,38.88,243.03,56.65,51.3,18.45,100.39,0.0,69.69,1.6,1.31,04-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Aug-2018 - 00:00,30.48,0.47,734.24,0.5,36.48,3.27,18.98,12.75,42.88,264.41,62.9,49.02,13.59,100.55,0.01,89.49,1.36,1.48,05-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Aug-2018 - 00:00,28.18,0.2,734.87,0.47,36.15,3.04,17.01,11.53,30.89,237.41,59.56,60.55,13.63,71.02,0.02,97.04,1.65,0.86,06-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Aug-2018 - 00:00,25.73,0.35,739.74,0.79,37.38,14.62,28.0,26.81,16.12,135.36,54.19,71.98,13.96,44.76,0.01,103.21,0.61,1.68,07-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Aug-2018 - 00:00,26.56,0.62,763.27,0.97,40.98,12.61,30.83,26.68,39.8,125.41,60.54,72.06,16.51,75.17,0.01,90.04,0.47,2.85,08-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Aug-2018 - 00:00,27.73,0.68,753.69,1.02,41.34,11.5,28.59,24.58,29.99,91.3,45.39,71.04,15.16,101.24,0.0,96.92,0.53,2.73,09-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Aug-2018 - 00:00,30.16,0.34,734.42,0.82,41.63,8.09,27.36,21.16,43.89,90.34,43.0,60.02,15.99,96.88,0.01,115.14,0.86,1.52,10-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Aug-2018 - 00:00,29.96,0.54,734.33,0.94,41.58,5.62,35.1,23.25,43.71,100.18,46.25,61.01,18.65,82.4,0.0,112.39,0.75,2.73,11-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Aug-2018 - 00:00,30.78,0.85,734.49,0.5,42.76,2.07,19.32,11.97,40.5,90.91,30.77,58.1,15.51,106.13,0.01,73.2,1.56,1.95,12-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Aug-2018 - 00:00,28.97,0.23,734.32,0.43,48.65,3.55,27.04,17.28,24.2,74.46,23.15,59.67,17.82,67.71,0.02,95.19,1.29,0.91,13-Aug-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
