from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM2.5,PM10,to date,station
01-Jan-2018 - 00:00,58.62,31.02,2.12,11.53,19.03,1.68,216.88,352.06,02-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Jan-2018 - 00:00,46.9,27.17,1.77,13.39,22.85,1.39,165.31,264.57,03-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Jan-2018 - 00:00,47.62,24.53,1.5,15.12,20.74,1.29,168.42,266.64,04-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Jan-2018 - 00:00,63.98,24.02,1.46,11.05,42.24,1.21,186.84,316.08,05-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Jan-2018 - 00:00,61.8,23.26,1.54,10.62,44.98,0.99,193.99,321.89,06-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Jan-2018 - 00:00,41.57,16.53,1.33,17.46,18.14,0.95,136.36,226.69,07-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Jan-2018 - 00:00,40.22,20.78,1.23,19.36,14.4,0.99,134.95,233.29,08-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Jan-2018 - 00:00,43.58,22.27,1.02,18.27,9.21,0.94,121.65,213.61,09-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Jan-2018 - 00:00,43.22,20.07,0.98,17.48,23.79,0.85,125.25,232.59,10-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Jan-2018 - 00:00,40.33,18.41,1.28,19.89,11.49,0.84,127.1,228.97,11-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Jan-2018 - 00:00,43.65,17.24,1.05,18.7,17.5,0.66,111.07,222.03,12-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Jan-2018 - 00:00,45.37,18.91,1.35,18.05,20.65,0.81,130.18,245.05,13-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Jan-2018 - 00:00,38.34,19.51,1.15,21.91,17.92,0.64,123.33,220.2,14-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Jan-2018 - 00:00,43.66,18.54,1.25,19.22,10.66,0.74,132.0,247.89,15-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Jan-2018 - 00:00,42.02,17.4,1.21,19.04,16.29,0.76,119.8,237.3,16-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
