from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM2.5,PM10,to date,station
16-Jan-2018 - 00:00,48.41,17.68,1.37,16.41,26.78,0.96,127.3,251.27,17-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Jan-2018 - 00:00,48.34,17.52,1.16,17.48,24.42,0.77,174.66,282.34,18-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Jan-2018 - 00:00,44.62,17.27,1.18,16.87,11.99,0.76,233.91,256.53,19-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Jan-2018 - 00:00,41.27,21.37,1.32,16.21,8.84,0.98,584.9,288.45,20-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Jan-2018 - 00:00,40.67,20.85,1.25,18.32,11.04,0.76,117.7,304.52,21-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Jan-2018 - 00:00,41.17,20.75,1.11,21.13,15.48,0.76,133.92,654.39,22-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Jan-2018 - 00:00,60.4,21.29,1.53,15.35,42.93,1.0,174.28,326.54,23-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Jan-2018 - 00:00,47.71,21.06,1.57,19.06,18.58,1.03,150.06,279.44,24-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Jan-2018 - 00:00,40.41,21.58,0.97,24.96,17.01,0.51,105.09,208.69,25-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Jan-2018 - 00:00,34.14,22.0,1.08,25.9,7.49,0.66,129.94,221.31,26-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Jan-2018 - 00:00,39.02,19.7,1.1,21.83,10.7,0.71,121.33,225.39,27-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Jan-2018 - 00:00,39.26,17.54,1.11,19.67,10.43,0.71,122.66,247.98,28-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Jan-2018 - 00:00,41.51,15.96,1.25,18.24,12.37,0.8,118.62,247.15,29-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Jan-2018 - 00:00,37.21,15.6,1.08,21.15,12.75,0.59,102.41,217.45,30-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Jan-2018 - 00:00,32.25,15.48,0.9,25.55,13.7,0.55,93.28,252.3,31-Jan-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-Jan-2018 - 00:00,31.72,13.63,0.68,29.36,21.75,0.32,56.9,238.88,01-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Feb-2018 - 00:00,37.13,15.2,1.01,19.24,23.87,0.55,91.3,244.28,02-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Feb-2018 - 00:00,43.59,16.03,1.08,19.61,14.59,0.64,118.69,300.77,03-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Feb-2018 - 00:00,49.25,16.24,0.95,20.37,31.19,0.66,106.59,279.96,04-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Feb-2018 - 00:00,44.78,19.4,1.13,24.96,24.71,0.73,126.96,256.4,05-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Feb-2018 - 00:00,59.68,18.26,1.19,19.8,25.66,0.67,138.12,287.11,06-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Feb-2018 - 00:00,47.23,16.34,1.16,18.97,28.0,0.71,115.7,260.49,07-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Feb-2018 - 00:00,38.49,14.46,0.78,20.62,15.89,0.46,75.27,180.95,08-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Feb-2018 - 00:00,45.25,16.34,0.93,20.51,24.45,0.49,86.93,201.41,09-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Feb-2018 - 00:00,49.23,17.4,0.91,16.85,32.11,0.51,99.7,217.91,10-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Feb-2018 - 00:00,57.96,19.81,1.35,12.36,61.58,0.78,140.88,303.48,11-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Feb-2018 - 00:00,44.66,21.43,0.84,20.72,29.04,0.61,105.49,265.23,12-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Feb-2018 - 00:00,47.99,19.65,0.9,8.74,22.43,0.54,94.62,143.23,13-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Feb-2018 - 00:00,31.98,18.29,0.98,8.0,17.68,0.49,74.3,93.58,14-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Feb-2018 - 00:00,27.58,16.8,0.65,22.49,9.09,0.28,57.85,94.44,15-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Feb-2018 - 00:00,38.12,15.91,0.88,22.47,11.34,0.47,75.0,151.58,16-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Feb-2018 - 00:00,39.13,17.78,0.92,18.47,12.78,0.55,85.3,185.2,17-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Feb-2018 - 00:00,39.68,16.72,0.87,20.71,12.12,0.4,80.73,221.56,18-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Feb-2018 - 00:00,38.91,17.01,1.04,19.55,9.65,0.58,105.12,284.51,19-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Feb-2018 - 00:00,34.5,17.31,0.63,23.27,18.12,0.32,76.8,215.83,20-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Feb-2018 - 00:00,40.12,16.62,0.86,24.46,18.61,0.35,85.04,209.94,21-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Feb-2018 - 00:00,43.81,21.14,0.94,22.27,9.87,0.48,93.09,238.7,22-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Feb-2018 - 00:00,44.05,19.63,0.86,19.45,12.92,0.43,80.24,230.27,23-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Feb-2018 - 00:00,38.41,18.53,0.76,21.24,8.9,0.43,84.86,222.46,24-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Feb-2018 - 00:00,37.47,19.14,0.89,26.27,13.32,0.52,85.68,228.31,25-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Feb-2018 - 00:00,39.06,19.69,1.06,25.32,11.3,0.61,100.77,266.5,26-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Feb-2018 - 00:00,31.64,17.53,0.75,29.1,24.9,0.33,73.77,208.95,27-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Feb-2018 - 00:00,33.77,16.32,1.05,20.55,17.72,0.5,74.27,216.49,28-Feb-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Feb-2018 - 00:00,31.74,17.9,1.04,24.44,14.69,0.53,83.38,213.31,01-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Mar-2018 - 00:00,40.33,16.94,0.91,21.71,15.34,0.48,85.79,216.93,02-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Mar-2018 - 00:00,31.27,18.18,0.98,26.94,17.94,0.52,96.91,218.18,03-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Mar-2018 - 00:00,26.24,15.7,0.79,27.57,14.15,0.37,61.91,185.04,04-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Mar-2018 - 00:00,35.38,14.3,0.71,9.88,11.87,0.34,69.04,215.79,05-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Mar-2018 - 00:00,39.98,15.48,0.9,16.3,12.55,0.43,88.36,233.81,06-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Mar-2018 - 00:00,27.95,14.11,0.7,28.41,13.91,0.28,51.6,163.34,07-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Mar-2018 - 00:00,41.08,14.6,0.83,24.62,14.11,0.53,75.82,209.28,08-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Mar-2018 - 00:00,51.6,16.36,0.89,17.73,36.74,0.51,91.14,218.38,09-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Mar-2018 - 00:00,33.53,14.89,0.82,24.23,17.63,0.43,72.6,202.01,10-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Mar-2018 - 00:00,42.41,15.67,0.93,21.66,11.88,0.53,84.54,264.22,11-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Mar-2018 - 00:00,45.66,16.24,1.17,24.56,18.26,0.59,95.41,273.14,12-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Mar-2018 - 00:00,46.07,15.6,0.89,23.51,27.1,0.48,100.32,287.55,13-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Mar-2018 - 00:00,44.01,14.85,0.86,26.45,17.65,0.51,99.95,274.4,14-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Mar-2018 - 00:00,51.23,14.21,1.16,26.58,36.28,0.57,110.48,314.6,15-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Mar-2018 - 00:00,42.95,17.34,1.03,21.62,22.69,0.4,100.23,277.22,16-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Mar-2018 - 00:00,20.55,14.15,0.46,29.21,11.34,0.19,49.1,140.91,17-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Mar-2018 - 00:00,22.51,13.23,0.58,35.06,12.23,0.22,57.38,149.8,18-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Mar-2018 - 00:00,33.53,12.99,0.71,28.65,14.57,0.39,72.82,229.77,19-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Mar-2018 - 00:00,35.4,12.66,0.61,30.42,22.86,0.36,73.21,214.99,20-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Mar-2018 - 00:00,45.41,14.78,0.99,28.01,18.42,0.53,95.42,292.18,21-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Mar-2018 - 00:00,38.12,17.74,1.34,37.92,25.77,0.56,124.93,282.01,22-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Mar-2018 - 00:00,36.93,17.07,0.93,31.15,20.81,0.42,104.58,236.42,23-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Mar-2018 - 00:00,44.99,17.51,1.0,28.68,29.72,0.61,103.78,355.39,24-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Mar-2018 - 00:00,42.77,16.2,0.79,34.54,28.44,0.45,83.23,256.38,25-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Mar-2018 - 00:00,35.86,15.03,0.86,34.46,14.64,0.37,72.85,229.39,26-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Mar-2018 - 00:00,31.78,13.61,1.08,41.63,12.01,0.32,65.81,210.14,27-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Mar-2018 - 00:00,43.15,18.69,1.76,32.7,15.42,0.63,106.43,309.83,28-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Mar-2018 - 00:00,44.24,17.72,1.9,44.74,21.93,0.51,110.8,357.95,29-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Mar-2018 - 00:00,40.09,17.25,2.03,31.17,17.42,0.43,115.34,301.93,30-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Mar-2018 - 00:00,24.48,16.4,0.9,24.36,12.83,0.36,114.59,343.96,31-Mar-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-Mar-2018 - 00:00,30.5,17.43,0.71,11.81,34.48,0.25,133.97,513.84,01-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Apr-2018 - 00:00,39.87,18.73,0.9,7.77,38.81,0.31,78.23,233.1,02-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Apr-2018 - 00:00,58.64,17.65,1.34,5.99,43.69,0.47,107.98,290.09,03-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Apr-2018 - 00:00,41.97,19.76,0.84,4.74,41.5,0.42,79.59,206.4,04-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Apr-2018 - 00:00,73.04,23.27,1.24,4.79,64.42,0.62,126.31,332.2,05-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Apr-2018 - 00:00,36.3,24.59,0.77,23.29,23.2,0.37,94.25,291.2,06-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Apr-2018 - 00:00,40.38,21.35,0.74,11.91,35.16,0.32,81.82,236.48,07-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Apr-2018 - 00:00,18.5,20.62,0.78,4.73,19.36,0.22,75.17,213.23,08-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Apr-2018 - 00:00,25.56,20.85,0.74,4.81,24.4,0.13,46.24,106.48,09-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Apr-2018 - 00:00,44.33,20.36,1.25,4.79,19.64,0.33,76.7,174.33,10-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Apr-2018 - 00:00,26.81,19.08,1.07,4.78,13.58,0.24,67.92,180.2,11-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Apr-2018 - 00:00,33.83,19.61,1.12,4.78,14.4,0.31,65.71,162.36,12-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Apr-2018 - 00:00,36.38,20.41,1.18,4.72,9.48,0.24,63.45,169.4,13-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Apr-2018 - 00:00,30.3,18.69,1.07,4.73,8.08,0.2,49.77,123.73,14-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Apr-2018 - 00:00,46.59,20.47,1.53,4.63,24.09,0.45,85.27,270.53,15-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Apr-2018 - 00:00,28.99,21.92,1.4,4.33,11.42,0.25,62.83,145.86,16-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Apr-2018 - 00:00,39.57,21.93,1.98,4.33,20.24,0.38,80.01,233.42,17-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Apr-2018 - 00:00,39.33,24.29,2.21,4.26,8.62,0.57,98.06,303.19,18-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Apr-2018 - 00:00,31.34,22.36,1.68,4.36,7.53,0.38,68.53,239.19,19-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Apr-2018 - 00:00,40.11,21.42,1.98,4.34,13.07,0.4,99.04,377.29,20-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Apr-2018 - 00:00,31.26,22.91,1.63,4.36,7.87,0.3,81.24,300.67,21-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Apr-2018 - 00:00,36.81,23.53,0.9,4.35,8.82,0.26,87.38,276.44,22-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Apr-2018 - 00:00,29.68,24.78,0.27,13.5,5.82,0.16,77.97,380.8,23-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Apr-2018 - 00:00,39.06,20.91,1.53,23.03,16.31,0.27,74.88,309.76,24-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Apr-2018 - 00:00,43.24,17.68,2.04,15.15,18.8,0.4,111.54,404.28,25-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Apr-2018 - 00:00,46.24,21.16,1.66,17.65,23.13,0.25,163.58,330.51,26-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Apr-2018 - 00:00,32.25,23.44,1.36,32.73,14.09,0.21,177.06,295.48,27-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Apr-2018 - 00:00,26.8,25.69,1.67,35.28,18.34,0.23,78.96,241.96,28-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Apr-2018 - 00:00,25.59,23.07,1.81,35.05,20.03,0.25,95.39,242.29,29-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Apr-2018 - 00:00,25.05,22.01,1.88,30.77,15.47,0.22,73.3,232.61,30-Apr-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Apr-2018 - 00:00,27.63,18.32,1.5,27.88,34.89,0.14,57.57,287.46,01-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-May-2018 - 00:00,43.91,17.92,1.37,23.56,29.21,0.16,50.59,208.02,02-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-May-2018 - 00:00,26.79,19.23,1.86,33.64,17.13,0.19,60.1,189.32,03-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-May-2018 - 00:00,32.63,17.0,1.72,25.41,17.43,0.16,54.71,153.09,04-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-May-2018 - 00:00,33.66,20.92,1.79,26.56,12.87,0.21,58.47,136.65,05-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-May-2018 - 00:00,52.66,20.25,2.14,21.15,17.07,0.31,78.84,218.09,06-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-May-2018 - 00:00,42.53,22.51,1.99,23.22,14.31,0.29,83.3,250.17,07-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-May-2018 - 00:00,34.09,21.4,2.01,28.05,13.56,0.17,70.1,219.1,08-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-May-2018 - 00:00,36.28,22.66,1.6,24.84,15.79,0.26,81.9,317.75,09-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-May-2018 - 00:00,26.33,19.85,0.96,27.64,9.86,0.13,57.75,251.82,10-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-May-2018 - 00:00,47.82,21.38,1.27,15.53,32.51,0.24,81.77,306.6,11-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-May-2018 - 00:00,40.16,19.71,1.21,8.43,15.58,0.21,90.49,308.14,12-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-May-2018 - 00:00,37.02,19.72,1.33,31.31,14.19,0.23,88.89,279.52,13-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-May-2018 - 00:00,19.61,18.47,1.16,52.55,15.71,0.11,57.01,214.83,14-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-May-2018 - 00:00,17.31,15.71,0.93,50.98,17.58,0.03,30.35,89.5,15-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-May-2018 - 00:00,25.91,16.1,0.92,40.59,10.51,0.1,59.79,173.85,16-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-May-2018 - 00:00,32.67,18.67,1.36,41.99,15.89,0.19,81.09,252.39,17-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-May-2018 - 00:00,33.47,19.94,1.24,44.53,17.53,0.2,85.42,302.52,18-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-May-2018 - 00:00,34.42,21.64,1.2,41.94,14.36,0.18,89.59,286.86,19-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-May-2018 - 00:00,53.97,20.44,1.27,27.51,39.26,0.21,139.83,290.98,20-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-May-2018 - 00:00,38.57,21.15,1.24,41.81,20.97,0.18,82.69,246.34,21-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-May-2018 - 00:00,25.19,18.93,1.13,51.93,14.71,0.1,71.55,232.68,22-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-May-2018 - 00:00,43.86,20.64,1.34,42.04,15.27,0.25,99.2,363.6,23-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-May-2018 - 00:00,34.55,23.51,1.34,53.75,25.17,0.22,95.19,292.31,24-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-May-2018 - 00:00,49.0,20.84,1.18,43.76,48.28,0.13,81.19,269.38,25-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-May-2018 - 00:00,29.34,19.05,1.1,54.85,15.75,0.13,65.92,290.81,26-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-May-2018 - 00:00,53.38,22.23,1.5,39.37,27.11,0.24,95.62,308.69,27-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-May-2018 - 00:00,38.06,23.87,1.26,38.29,15.45,0.19,84.68,300.66,28-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-May-2018 - 00:00,31.71,24.13,1.34,46.27,17.18,0.14,67.49,198.76,29-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-May-2018 - 00:00,21.61,22.06,1.11,60.76,17.3,0.11,54.85,184.21,30-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-May-2018 - 00:00,39.02,21.05,1.13,48.16,37.35,0.09,58.44,182.6,31-May-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-May-2018 - 00:00,20.37,20.54,0.98,54.21,20.81,0.06,121.52,165.44,01-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Jun-2018 - 00:00,29.59,24.01,1.44,46.62,33.43,0.11,61.09,137.94,02-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Jun-2018 - 00:00,31.74,23.45,1.19,46.94,31.74,0.12,77.85,201.75,03-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Jun-2018 - 00:00,19.55,31.62,0.78,58.4,,0.06,289.37,255.96,04-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Jun-2018 - 00:00,43.33,26.81,0.77,40.66,,0.12,85.26,222.49,05-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Jun-2018 - 00:00,29.54,22.56,,53.27,,0.08,63.59,154.45,06-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Jun-2018 - 00:00,32.35,23.57,,35.5,,0.12,72.66,173.01,07-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Jun-2018 - 00:00,23.78,22.58,,47.62,,0.1,77.2,163.26,08-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Jun-2018 - 00:00,17.62,18.91,,49.07,,0.07,45.02,95.67,09-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Jun-2018 - 00:00,20.39,20.54,,43.45,,0.08,46.53,107.1,10-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Jun-2018 - 00:00,18.7,20.77,,40.59,,0.07,37.53,80.41,11-Jun-2018 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
