from date,Temp,RH,SR,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,BP,station
01-Jan-2018 - 00:00,25.38,84.47,103.37,0.24,147.14,10.81,13.73,0.0,4.98,1.57,12.55,167.89,1.69,1.92,0.62,0.73,0.84,0.01,02-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
02-Jan-2018 - 00:00,25.93,82.46,123.17,0.21,196.25,10.66,13.71,0.0,4.35,1.48,12.86,177.19,1.74,1.97,0.67,0.78,0.89,0.01,03-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
03-Jan-2018 - 00:00,25.57,73.38,115.96,0.22,166.02,10.7,13.59,3.51,10.12,1.44,12.66,184.42,1.86,2.09,0.79,0.9,1.01,0.01,04-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
04-Jan-2018 - 00:00,25.4,75.53,146.43,0.44,85.01,19.44,13.91,13.06,3.86,1.56,12.61,145.09,1.83,2.06,0.76,0.87,0.98,0.83,05-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
05-Jan-2018 - 00:00,25.53,54.49,118.26,0.5,77.89,10.43,13.71,0.0,3.8,1.55,13.31,216.91,1.76,1.99,0.69,0.8,0.91,1.63,06-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
06-Jan-2018 - 00:00,25.44,58.51,137.64,0.23,154.67,14.96,14.73,2.68,5.31,1.35,17.48,176.64,1.71,3.08,0.79,0.75,0.83,0.99,07-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
07-Jan-2018 - 00:00,25.61,29.4,159.26,0.63,191.7,10.39,13.59,0.0,5.44,1.19,23.88,151.58,1.82,4.43,1.09,0.85,0.91,0.17,08-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
08-Jan-2018 - 00:00,25.76,23.13,160.2,0.42,187.95,11.29,14.53,0.0,6.45,1.22,22.72,132.49,2.02,4.63,1.29,1.05,1.11,0.17,09-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
09-Jan-2018 - 00:00,25.91,23.07,158.69,0.44,188.06,10.93,13.91,0.0,8.64,1.14,22.18,176.82,2.26,4.87,1.53,1.29,1.35,0.31,10-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
10-Jan-2018 - 00:00,26.26,37.86,167.37,0.71,188.62,12.63,13.85,10.96,8.33,1.2,17.45,159.67,2.17,3.55,1.44,1.32,1.35,0.31,11-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
11-Jan-2018 - 00:00,26.53,46.46,167.22,0.83,196.1,10.95,13.76,12.82,7.84,0.87,12.19,143.07,1.97,2.2,1.24,1.24,1.24,0.32,12-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
12-Jan-2018 - 00:00,26.26,38.52,144.62,0.46,171.29,11.03,13.8,12.97,10.52,0.96,12.62,136.44,1.86,2.09,1.13,1.13,1.13,0.32,13-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
13-Jan-2018 - 00:00,26.21,32.99,169.95,0.26,180.15,11.05,13.91,13.07,10.4,1.02,12.18,155.79,1.91,2.14,1.18,1.18,1.18,0.32,14-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
14-Jan-2018 - 00:00,26.2,50.7,170.29,0.39,192.17,10.37,13.62,12.53,8.74,1.03,12.39,161.34,1.88,2.11,1.15,1.15,1.15,0.32,15-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
15-Jan-2018 - 00:00,26.09,53.79,167.7,0.64,190.0,11.38,13.79,13.16,9.19,0.96,12.36,137.86,1.91,2.14,1.18,1.18,1.18,0.32,16-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
