from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Feb-2018 - 00:00,20.09,987.27,502.68,184.35,56.38,31.75,238.54,0.78,186.17,,,,27.51,88.94,19.79,41.4,3.87,55.62,4.45,02-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Feb-2018 - 00:00,17.59,987.04,407.58,196.88,68.59,123.45,264.21,0.98,0.0,,,,46.29,19.92,16.54,40.15,5.24,7.05,1.69,03-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Feb-2018 - 00:00,16.63,989.56,374.0,162.05,58.43,128.09,274.88,0.97,0.0,,,,39.29,19.76,18.43,42.21,5.46,,1.99,04-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Feb-2018 - 00:00,14.6,990.07,391.08,189.44,62.07,119.38,280.25,1.1,0.0,0.63,2.02,0.87,33.02,22.6,18.26,41.78,4.59,4.87,2.01,05-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Feb-2018 - 00:00,14.42,992.34,510.54,210.0,56.94,98.57,262.78,0.87,0.0,1.25,1.13,0.51,27.9,42.83,26.22,45.57,5.97,41.77,2.76,06-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Feb-2018 - 00:00,16.11,992.11,411.58,180.93,52.56,79.44,295.94,1.12,0.0,0.81,1.3,0.57,28.69,22.45,20.6,46.87,3.38,44.93,2.21,07-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Feb-2018 - 00:00,14.43,989.2,437.18,204.97,59.77,125.23,264.47,1.05,0.0,1.18,0.87,0.32,30.33,51.59,18.35,41.09,5.01,50.03,2.56,08-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Feb-2018 - 00:00,14.59,988.18,513.05,229.39,61.0,113.82,269.51,0.78,0.0,1.88,1.39,0.64,25.11,81.95,28.07,54.24,3.47,47.11,3.09,09-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Feb-2018 - 00:00,14.8,988.37,414.38,236.4,63.19,117.53,241.49,0.9,0.0,2.83,1.61,0.57,28.03,73.83,26.41,47.8,4.56,54.95,3.01,10-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Feb-2018 - 00:00,15.95,990.9,591.22,275.58,59.37,81.76,147.09,0.67,0.0,6.66,2.68,0.95,20.9,219.72,34.47,57.7,4.93,36.79,4.44,11-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Feb-2018 - 00:00,18.02,,379.52,143.04,46.97,89.13,122.84,1.28,0.0,5.5,1.97,0.73,48.02,38.31,20.97,54.66,6.87,42.64,2.06,12-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Feb-2018 - 00:00,16.73,994.42,206.54,78.67,69.84,87.96,132.05,1.66,0.0,0.4,0.57,0.31,34.99,17.87,5.77,35.61,2.49,37.1,1.59,13-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Feb-2018 - 00:00,16.69,996.58,229.58,105.71,75.82,120.64,233.31,0.84,0.0,0.49,1.55,0.48,53.17,36.84,19.28,46.25,4.08,34.39,1.98,14-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Feb-2018 - 00:00,15.88,996.32,237.88,105.54,65.68,147.18,297.83,1.31,0.0,0.4,0.7,0.33,40.17,18.52,9.26,32.72,2.84,39.7,1.59,15-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Feb-2018 - 00:00,16.69,994.01,293.67,149.88,67.25,140.69,290.45,1.18,0.0,0.34,0.88,0.35,55.13,20.73,14.78,37.3,5.49,38.76,1.98,16-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Feb-2018 - 00:00,17.57,992.57,334.71,163.96,70.72,133.68,283.17,1.01,0.0,0.55,1.24,0.47,59.38,26.05,21.43,46.86,6.37,36.72,2.24,17-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Feb-2018 - 00:00,18.04,987.39,348.67,146.12,70.16,144.47,277.73,1.11,0.0,0.68,1.13,0.51,50.46,34.82,18.62,49.28,4.78,37.84,2.16,18-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Feb-2018 - 00:00,17.93,986.69,396.0,154.75,65.09,157.45,265.78,0.92,0.0,0.62,0.83,0.33,41.32,61.61,18.66,43.26,4.18,41.88,2.28,19-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Feb-2018 - 00:00,18.19,988.24,436.43,155.29,58.51,161.27,261.2,0.88,0.0,1.32,1.25,0.66,33.38,88.41,32.55,65.8,3.86,38.65,2.74,20-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Feb-2018 - 00:00,19.21,987.7,379.95,212.21,60.2,157.25,244.75,0.85,0.0,1.51,1.26,0.46,45.09,87.73,30.66,56.76,6.46,41.68,2.79,21-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Feb-2018 - 00:00,22.09,985.55,559.8,204.83,55.05,140.13,191.72,0.64,0.0,5.63,9.51,28.19,29.6,177.58,38.58,68.23,4.59,44.48,3.94,22-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Feb-2018 - 00:00,22.27,984.62,517.74,219.0,63.22,125.42,202.4,0.81,0.0,2.45,2.37,0.87,54.54,76.39,37.6,74.13,5.86,29.54,3.0,23-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Feb-2018 - 00:00,23.94,984.95,531.39,167.33,56.3,118.12,166.35,0.84,0.0,3.16,2.58,1.03,45.07,104.97,27.69,75.89,5.99,45.13,3.05,24-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Feb-2018 - 00:00,25.1,986.65,527.09,167.42,52.25,110.49,112.98,0.87,0.0,0.77,2.1,0.77,69.57,46.23,25.26,62.57,6.6,43.0,2.58,25-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Feb-2018 - 00:00,22.78,989.86,372.75,129.38,58.16,132.76,262.01,1.2,0.0,0.63,1.54,0.51,53.04,25.72,13.76,42.86,5.91,45.91,1.92,26-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Feb-2018 - 00:00,20.78,988.04,254.12,97.17,64.82,165.49,299.67,1.34,0.0,0.42,0.72,0.35,29.7,17.74,9.35,38.4,2.23,41.6,1.68,27-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Feb-2018 - 00:00,21.98,987.23,299.21,112.88,64.77,145.81,276.63,1.02,0.0,0.56,0.83,0.37,35.33,28.46,20.87,47.57,3.87,39.54,1.61,28-Feb-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Feb-2018 - 00:00,22.47,987.52,397.96,164.96,69.16,129.38,248.5,0.96,0.0,0.61,1.69,0.4,56.81,25.29,24.07,54.71,5.25,42.69,1.24,01-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Mar-2018 - 00:00,22.25,985.95,438.29,198.5,62.65,126.09,213.69,0.98,0.0,0.77,1.63,0.26,61.9,32.76,27.54,54.51,9.86,40.03,1.56,02-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Mar-2018 - 00:00,23.2,984.19,362.58,155.67,58.34,158.98,245.25,0.91,0.0,0.72,1.54,0.19,47.61,36.82,27.35,68.2,3.69,46.81,1.51,03-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Mar-2018 - 00:00,24.3,982.28,330.38,145.96,55.87,145.11,215.41,1.04,0.0,0.5,1.21,0.12,55.41,22.4,16.88,44.48,6.03,33.22,1.16,04-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Mar-2018 - 00:00,23.08,983.66,254.79,91.25,54.3,139.1,248.95,1.14,0.0,0.38,0.73,0.16,35.39,20.21,11.14,39.58,5.03,36.94,0.7,05-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Mar-2018 - 00:00,21.68,987.34,268.46,116.0,58.71,186.44,276.69,1.11,0.0,0.41,0.79,0.19,39.3,21.92,18.07,43.09,5.14,41.52,0.97,06-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Mar-2018 - 00:00,21.01,988.11,260.45,67.85,57.36,183.84,290.9,1.38,0.0,0.38,0.56,0.25,37.19,20.32,10.36,35.09,5.15,44.0,0.75,07-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Mar-2018 - 00:00,21.04,987.15,313.92,148.62,58.05,190.57,267.52,1.16,0.0,0.59,0.8,0.38,37.6,38.07,22.28,42.19,6.71,29.56,1.2,08-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Mar-2018 - 00:00,23.43,988.05,416.88,151.04,53.31,173.47,194.76,0.86,0.0,1.1,1.41,0.62,33.22,80.93,32.84,62.52,7.07,56.65,1.81,09-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Mar-2018 - 00:00,24.25,988.14,380.79,159.21,50.54,162.98,225.23,1.02,0.0,1.47,1.84,0.69,37.66,74.48,27.23,50.55,7.51,54.85,1.69,10-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Mar-2018 - 00:00,24.18,987.06,231.38,102.75,50.79,181.18,284.65,1.34,0.0,0.34,0.84,0.33,39.83,18.57,6.09,23.83,5.76,43.24,0.7,11-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Mar-2018 - 00:00,23.26,986.08,291.67,129.04,56.95,172.49,269.59,1.04,0.0,0.82,0.75,0.39,35.78,46.04,13.72,35.07,4.3,48.06,1.21,12-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Mar-2018 - 00:00,24.95,986.0,363.88,152.21,51.18,172.8,254.26,1.04,0.0,0.5,1.26,0.48,46.51,30.19,22.37,51.59,8.57,39.56,1.25,13-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Mar-2018 - 00:00,26.26,984.28,337.57,124.92,44.5,177.2,221.52,1.06,0.0,1.58,1.18,0.38,33.43,83.33,32.78,52.86,5.83,36.69,1.99,14-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Mar-2018 - 00:00,26.77,982.44,392.04,100.96,31.64,146.42,199.17,0.96,0.0,0.56,1.25,0.59,36.56,39.61,29.43,62.65,7.38,39.37,1.33,15-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Mar-2018 - 00:00,25.56,982.65,356.71,84.38,41.58,132.86,206.31,1.33,0.0,0.67,1.21,0.52,34.87,35.07,19.19,44.19,5.26,41.16,0.87,16-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Mar-2018 - 00:00,24.51,984.11,336.46,149.35,48.44,149.43,281.05,1.26,0.0,0.72,0.96,0.5,48.47,19.99,10.65,37.13,7.68,61.03,0.88,17-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Mar-2018 - 00:00,20.04,985.43,375.96,184.92,58.65,186.88,272.57,1.17,0.0,0.5,0.59,0.19,54.62,16.63,12.69,34.77,14.86,33.97,0.95,18-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Mar-2018 - 00:00,28.35,986.84,169.86,51.93,27.3,266.14,272.34,1.4,0.0,0.4,0.64,0.48,18.29,18.45,2.06,28.75,2.29,100.12,0.66,19-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Mar-2018 - 00:00,25.41,987.93,258.54,88.54,40.29,158.12,230.37,1.18,0.0,0.42,1.17,0.42,43.07,23.31,14.31,38.89,5.87,56.96,1.03,20-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Mar-2018 - 00:00,26.68,984.97,375.79,133.29,42.03,161.58,217.38,0.93,0.0,0.91,2.29,0.7,49.27,40.8,27.32,60.47,8.0,51.35,1.53,21-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Mar-2018 - 00:00,26.32,982.83,353.46,140.67,47.39,143.03,198.21,1.35,0.0,0.85,1.93,0.4,54.96,28.73,16.75,52.01,10.41,59.75,1.29,22-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Mar-2018 - 00:00,24.69,983.75,269.5,123.04,53.79,146.43,218.1,1.51,0.0,0.51,0.71,0.26,44.82,14.42,6.7,34.39,5.33,67.87,0.86,23-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Mar-2018 - 00:00,23.96,985.05,223.09,96.0,51.94,179.2,299.98,1.08,0.0,0.42,0.67,0.38,28.04,23.84,8.45,38.99,4.4,62.99,0.75,24-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Mar-2018 - 00:00,25.16,987.41,273.92,119.75,50.15,178.89,295.66,1.25,0.0,0.43,0.63,0.19,39.51,21.42,6.08,31.64,6.75,59.01,0.99,25-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Mar-2018 - 00:00,25.38,988.02,250.25,107.96,49.41,148.75,292.96,1.24,0.0,2.14,5.06,0.72,34.77,19.5,4.16,33.4,7.32,65.78,0.65,26-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Mar-2018 - 00:00,26.07,986.53,301.04,137.33,44.44,161.29,281.9,1.19,0.0,0.66,1.21,0.73,37.87,22.03,15.04,41.74,7.11,62.64,1.18,27-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Mar-2018 - 00:00,27.63,983.0,370.54,117.21,34.72,165.83,226.37,1.06,0.0,1.86,1.45,0.79,25.6,69.2,25.75,48.4,5.11,43.62,2.02,28-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Mar-2018 - 00:00,29.34,982.0,356.71,104.62,31.5,172.24,265.6,1.14,0.0,1.87,1.77,0.88,31.08,86.32,23.21,53.51,4.38,44.24,1.67,29-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Mar-2018 - 00:00,31.55,980.64,270.14,71.79,25.77,203.28,304.39,1.37,0.0,2.63,1.14,0.86,19.34,33.77,17.48,63.73,2.93,61.55,1.15,30-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Mar-2018 - 00:00,27.96,979.0,357.0,116.46,35.59,103.1,279.29,1.36,0.0,0.81,1.31,0.92,33.1,35.27,18.34,47.64,5.41,63.57,1.21,31-Mar-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Mar-2018 - 00:00,26.93,981.68,378.08,98.83,40.09,65.61,101.42,1.32,0.0,0.54,1.95,0.83,47.68,27.3,10.18,36.8,6.31,70.72,1.08,01-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Apr-2018 - 00:00,29.62,983.73,263.08,71.97,37.23,180.57,106.21,1.27,0.0,0.57,1.21,0.84,31.12,24.86,4.16,39.59,3.77,89.06,0.86,02-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Apr-2018 - 00:00,29.96,983.89,283.71,82.42,37.24,136.12,109.88,1.13,0.0,0.48,1.35,0.82,42.03,30.48,9.05,43.43,6.74,70.09,1.12,03-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Apr-2018 - 00:00,31.56,982.48,270.46,93.0,34.53,134.98,136.24,1.04,0.0,0.51,1.69,0.87,46.82,32.63,9.57,45.12,5.94,72.2,1.26,04-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Apr-2018 - 00:00,32.11,980.43,264.17,100.83,34.83,146.23,116.48,0.95,0.0,1.47,1.44,0.83,38.42,51.58,17.38,49.89,5.49,67.78,1.84,05-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Apr-2018 - 00:00,31.71,979.08,311.12,168.88,37.05,135.03,173.19,1.03,0.0,2.2,1.11,0.75,11.72,58.65,27.7,41.48,2.82,54.04,1.81,06-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Apr-2018 - 00:00,29.54,981.49,153.22,75.83,38.75,76.86,95.85,1.6,0.01,1.25,0.94,0.71,22.57,22.17,8.69,29.97,1.62,56.35,1.18,07-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Apr-2018 - 00:00,28.31,983.05,118.92,45.83,46.19,193.18,120.07,1.14,0.0,0.47,1.19,0.8,45.26,20.23,6.96,40.03,3.32,62.82,0.97,08-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Apr-2018 - 00:00,29.27,983.31,112.67,47.62,43.68,94.31,100.33,1.47,0.0,0.51,1.09,0.9,41.52,16.43,3.09,31.83,3.59,71.44,0.72,09-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Apr-2018 - 00:00,26.15,985.24,105.96,51.08,59.15,110.8,102.01,1.33,0.0,1.01,1.39,0.93,44.05,44.81,13.54,36.52,3.53,45.1,1.33,10-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Apr-2018 - 00:00,28.77,982.96,197.04,83.33,47.77,142.68,152.59,1.26,0.0,0.74,1.82,1.15,59.95,35.95,20.64,49.4,4.83,65.38,1.32,11-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Apr-2018 - 00:00,26.75,982.89,83.33,53.12,50.91,144.99,101.25,2.02,0.0,0.54,1.16,0.94,39.48,16.25,3.62,31.0,3.91,55.0,0.65,12-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Apr-2018 - 00:00,27.22,982.07,116.38,52.54,47.27,165.7,219.98,1.19,0.01,0.6,1.53,1.11,31.16,24.53,12.37,42.47,3.98,59.12,0.96,13-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Apr-2018 - 00:00,28.36,982.86,295.67,87.58,31.54,195.85,242.45,0.9,0.0,1.58,1.88,1.17,31.35,61.11,22.1,46.23,5.03,52.91,1.5,14-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Apr-2018 - 00:00,29.32,981.67,318.46,127.75,27.23,199.72,267.6,1.06,0.0,0.81,2.09,1.24,45.89,32.47,21.5,53.93,8.67,53.57,1.2,15-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Apr-2018 - 00:00,30.68,981.35,385.14,144.83,32.08,194.4,237.25,0.72,0.0,1.83,1.8,1.08,38.3,77.95,26.63,50.76,7.51,62.84,2.01,16-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Apr-2018 - 00:00,32.28,981.52,413.62,108.62,28.86,52.26,105.63,1.18,0.0,1.18,1.88,1.06,46.15,57.91,21.64,51.97,7.64,56.97,1.59,17-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Apr-2018 - 00:00,32.32,982.32,340.54,88.54,26.69,62.9,196.93,1.34,0.0,0.61,1.37,0.83,43.92,33.02,13.32,43.51,5.84,46.75,1.31,18-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Apr-2018 - 00:00,31.66,981.67,296.67,89.42,24.6,181.34,279.98,1.3,0.0,0.37,1.0,0.71,35.83,20.62,7.83,30.21,9.39,51.5,0.95,19-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Apr-2018 - 00:00,32.62,977.98,234.17,92.42,22.97,75.01,274.08,1.09,0.0,0.35,1.08,0.66,34.21,24.17,11.34,36.11,8.12,54.29,1.11,20-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Apr-2018 - 00:00,33.29,977.58,311.48,80.58,20.09,172.13,195.93,2.39,0.0,0.37,0.94,0.58,25.73,19.07,6.07,28.76,6.1,49.64,0.7,21-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Apr-2018 - 00:00,29.49,981.67,320.38,94.17,27.81,73.2,293.72,1.27,0.0,0.42,0.78,0.57,23.66,14.87,3.27,24.62,3.45,68.42,0.87,22-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Apr-2018 - 00:00,28.98,982.74,155.88,74.92,22.14,202.99,313.62,1.46,0.0,0.38,0.8,0.65,22.32,17.54,2.93,23.54,5.97,79.97,0.84,23-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Apr-2018 - 00:00,29.31,981.92,179.08,87.38,19.97,198.84,287.58,1.17,0.0,0.76,0.94,0.75,23.11,38.0,15.65,35.7,5.28,72.73,1.25,24-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Apr-2018 - 00:00,30.63,980.64,191.08,106.67,20.83,181.05,261.82,1.05,0.0,1.5,1.24,0.75,25.15,68.35,25.54,43.97,5.54,62.3,1.88,25-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Apr-2018 - 00:00,32.68,977.75,238.79,130.29,18.63,138.12,250.02,0.99,0.0,2.84,1.76,0.66,8.12,162.45,34.27,32.89,2.15,33.15,1.96,26-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Apr-2018 - 00:00,35.14,976.39,217.88,178.21,16.63,178.87,176.02,1.12,0.0,1.05,1.73,0.98,35.94,61.7,32.47,62.04,5.77,60.91,1.62,27-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Apr-2018 - 00:00,33.27,980.07,273.46,142.75,37.84,167.77,107.61,1.28,0.0,0.4,1.29,0.74,70.33,28.17,8.41,33.67,6.75,74.88,1.45,28-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Apr-2018 - 00:00,33.85,979.55,361.83,150.75,37.86,159.98,110.77,1.59,0.0,0.33,1.03,0.63,53.55,18.65,2.42,25.8,4.76,92.01,1.11,29-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Apr-2018 - 00:00,33.63,976.55,160.96,81.54,39.37,152.36,131.66,1.05,0.0,0.31,1.15,0.79,58.46,24.06,4.5,30.15,5.93,66.4,1.16,30-Apr-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Apr-2018 - 00:00,33.08,974.43,181.64,72.77,39.86,90.59,155.45,1.18,0.0,0.66,0.96,0.86,51.7,31.63,18.27,41.96,2.38,32.9,0.82,01-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
