from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
