from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,AT,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
01-Feb-2018 - 00:00,9.47,0.92,21.78,118.43,,,,,18.41,33.55,-0.31,754.53,150.76,,0.0,0.31,193.37,8.07,24.57,15.86,02-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Feb-2018 - 00:00,5.99,0.62,23.36,110.23,,,,,18.41,30.54,-0.21,752.64,154.79,,0.0,0.38,210.05,7.78,21.98,13.97,03-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Feb-2018 - 00:00,7.94,0.51,31.63,82.49,,,,,17.25,54.63,-0.2,755.48,147.81,,0.0,0.4,228.69,6.98,22.26,13.59,04-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Feb-2018 - 00:00,8.73,0.6,40.09,97.13,,,,,15.77,56.05,-0.14,756.47,166.88,,0.0,0.48,243.06,8.54,18.07,12.99,05-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Feb-2018 - 00:00,9.29,0.69,30.94,106.48,,,,,15.41,69.29,-0.29,758.48,152.69,,0.0,0.32,203.95,7.59,17.64,11.85,06-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Feb-2018 - 00:00,12.2,0.72,27.72,115.75,,,,,16.55,66.58,-0.12,758.09,124.01,,0.0,0.5,247.4,8.54,17.82,12.89,07-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Feb-2018 - 00:00,10.83,0.87,34.22,101.73,,,,,15.65,48.71,-0.16,755.49,183.59,,0.0,0.48,224.29,8.97,15.77,12.15,08-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Feb-2018 - 00:00,12.43,0.54,26.2,145.56,,,,,15.18,41.92,-0.32,754.59,171.98,,0.0,0.29,179.32,8.75,17.33,12.48,09-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Feb-2018 - 00:00,11.05,1.27,34.63,127.08,,,,,15.67,41.64,-0.31,754.58,179.74,,0.0,0.3,190.01,9.12,18.31,13.59,10-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Feb-2018 - 00:00,12.45,1.22,28.37,162.54,,,,,16.93,53.52,-0.38,756.38,167.91,,0.0,0.21,122.08,8.56,16.01,11.92,11-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Feb-2018 - 00:00,9.27,1.04,27.73,123.87,,,,,17.72,45.8,-0.18,739.63,131.1,,0.0,0.31,147.05,8.59,15.54,11.94,12-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Feb-2018 - 00:00,7.86,0.23,26.38,39.93,,,,,13.94,49.04,0.52,579.08,146.73,,0.0,1.2,67.69,11.25,12.31,12.0,13-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Feb-2018 - 00:00,7.03,0.94,32.86,58.26,,,,,17.0,82.85,-0.15,762.1,179.11,,0.0,0.46,232.26,8.79,15.4,11.68,14-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Feb-2018 - 00:00,0.07,0.0,0.12,0.51,,,,,16.59,0.96,0.19,762.23,204.99,,0.0,0.01,273.29,0.06,0.17,12.07,15-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,17.51,0.0,0.16,759.83,199.93,,0.0,0.0,273.44,0.0,0.0,11.24,16-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,18.5,0.0,-0.16,758.12,194.87,,0.0,0.0,244.49,0.0,0.0,12.22,17-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,19.27,-0.16,-0.16,752.96,198.95,,0.0,0.0,229.02,0.0,0.0,12.68,18-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,19.09,0.0,-0.21,752.16,223.72,,0.0,0.0,204.79,0.0,0.0,12.52,19-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,18.9,0.0,-0.29,753.63,215.38,,0.0,0.0,185.57,0.0,0.0,11.56,20-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,19.89,0.0,-0.26,752.99,218.84,,0.0,0.0,186.78,0.0,0.0,11.46,21-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.59,-0.07,-0.32,750.12,198.78,,0.0,0.0,160.41,0.0,0.0,11.87,22-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Feb-2018 - 00:00,0.15,0.0,0.0,0.0,,,,,22.78,0.0,-0.33,749.13,178.77,,0.0,0.0,185.39,0.0,0.0,11.39,23-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.86,0.0,-0.34,749.04,163.38,,0.0,0.0,136.93,0.0,0.0,11.95,24-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Feb-2018 - 00:00,0.06,0.0,0.0,0.0,,,,,25.32,0.0,-0.15,750.42,174.4,,0.0,0.0,127.48,0.0,0.0,12.29,25-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.66,2.1,0.02,754.42,184.55,,0.0,0.0,258.62,0.0,0.0,15.0,26-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,21.29,0.0,0.27,753.02,222.34,,0.0,0.0,274.15,0.0,0.0,14.12,27-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.67,0.0,-0.03,752.0,200.96,,0.0,0.0,226.74,0.0,0.0,15.11,28-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.6,0.0,-0.24,751.79,181.31,,0.0,0.0,204.53,0.0,0.0,16.24,01-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.09,0.0,-0.23,750.37,173.03,,0.0,0.0,187.02,0.0,0.0,16.19,02-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.77,0.0,-0.2,748.68,199.37,,0.0,0.0,187.33,0.0,0.0,16.42,03-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,24.97,-3.48,-0.27,746.4,176.72,,0.0,0.0,176.35,0.0,0.0,16.72,04-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.17,0.0,-0.12,748.16,170.78,,0.0,0.0,214.31,0.0,0.0,16.53,05-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.28,0.0,-0.09,752.1,221.53,,0.0,0.0,253.53,0.0,0.0,16.03,06-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.19,0.0,0.09,752.99,218.29,,0.0,0.0,248.58,0.0,0.0,16.16,07-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Mar-2018 - 00:00,0.14,0.0,0.0,0.0,,,,,22.31,0.0,-0.07,751.89,222.44,,0.0,0.0,228.95,0.0,0.0,16.0,08-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,23.75,0.0,-0.29,752.31,204.44,,0.0,0.0,143.35,0.0,0.0,15.88,09-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,24.75,0.0,-0.18,752.18,199.81,,0.0,0.0,186.31,0.0,0.0,16.01,10-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,25.04,0.0,-0.02,751.22,217.15,,0.0,0.0,227.56,0.0,0.0,15.75,11-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,24.63,0.0,-0.14,750.26,211.7,,0.0,0.0,229.13,0.0,0.0,15.88,12-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,25.79,0.0,-0.19,750.01,207.67,,0.0,0.0,192.98,0.0,0.0,16.21,13-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,27.3,-0.05,-0.28,748.02,200.69,,0.0,0.0,182.96,0.0,0.0,16.55,14-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,26.84,0.0,-0.24,746.23,180.7,,0.0,0.0,209.18,0.0,0.0,16.49,15-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,26.26,0.0,-0.07,746.52,166.28,,0.0,0.0,184.45,0.0,0.0,16.37,16-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,25.11,0.0,-0.09,748.0,177.72,,0.0,0.0,206.34,0.0,0.0,16.57,17-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,24.43,0.0,0.04,749.5,209.91,,0.0,0.0,228.28,0.0,0.0,16.3,18-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Mar-2018 - 00:00,0.16,0.0,0.0,0.0,,,,,25.12,0.0,-0.07,750.6,217.27,,0.0,0.0,184.28,0.0,0.0,16.47,19-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,26.35,3.14,-0.18,751.64,191.02,,0.0,0.0,180.06,0.0,0.0,16.29,20-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,27.35,0.0,-0.29,748.49,177.99,,0.0,0.0,164.05,0.0,0.0,16.2,21-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Mar-2018 - 00:00,0.0,0.0,0.0,5.21,,,,,26.23,0.0,-0.12,746.12,197.64,,0.0,0.0,204.51,0.0,0.0,16.3,22-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,28.43,0.0,0.36,746.07,361.26,,0.0,0.0,231.97,0.0,0.0,17.91,23-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,22.54,0.0,-0.07,749.64,144.94,,0.0,0.0,274.67,0.0,0.0,16.05,24-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,26.86,0.0,0.12,750.35,364.84,,0.0,0.0,258.8,0.0,0.0,16.62,25-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,21.63,0.0,-0.35,753.64,59.91,,0.0,0.0,194.28,0.0,0.0,16.97,26-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,28.54,0.0,0.07,749.53,262.91,,0.0,0.0,220.17,0.0,0.0,16.97,27-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Mar-2018 - 00:00,1.79,0.0,0.0,0.0,,,,,28.32,0.0,-0.22,746.82,221.56,,0.0,0.0,174.99,0.0,0.0,16.2,28-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,29.9,0.0,-0.07,745.71,226.48,,0.0,0.0,214.22,0.0,0.0,16.77,29-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,29.33,0.0,0.05,745.27,225.44,,0.0,0.0,247.47,0.0,0.0,17.02,30-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,29.31,-0.19,0.01,743.05,233.38,,0.0,0.0,195.73,0.0,0.0,17.04,31-Mar-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,27.42,0.0,0.21,745.43,210.44,,0.0,0.0,94.38,0.0,0.0,16.87,01-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,29.07,0.0,0.15,746.69,216.54,,0.0,0.0,93.74,0.0,0.0,16.93,02-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,30.49,0.0,0.01,746.82,203.36,,0.0,0.0,93.74,0.0,0.0,17.07,03-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Apr-2018 - 00:00,0.0,0.04,2.87,0.0,,,,,31.77,0.0,-0.08,745.19,199.45,,0.0,0.0,128.83,0.0,0.0,16.64,04-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,32.32,0.0,-0.15,742.84,203.15,,0.0,0.0,133.92,0.0,0.0,16.46,05-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,31.67,0.0,-0.2,741.77,193.7,,0.0,0.0,199.8,0.0,0.0,16.06,06-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Apr-2018 - 00:00,0.0,0.0,0.0,0.01,,,,,51.44,52.17,0.14,745.32,132.31,,0.06,0.0,127.44,0.0,0.0,16.57,07-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,41.66,-0.02,0.08,746.73,309.29,,0.0,0.0,125.11,0.0,0.0,17.86,08-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.57,744.17,302.86,,0.0,0.0,83.25,0.0,0.0,17.7,09-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,9.93,0.27,745.62,208.55,,0.0,0.0,96.39,0.0,0.0,17.9,10-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.08,742.96,277.43,,0.01,0.0,140.2,0.0,0.0,17.38,11-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-16.44,0.55,737.78,251.69,,0.0,0.0,104.58,0.0,0.0,17.86,12-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-6.99,0.12,735.94,327.94,,0.03,0.0,211.77,0.0,0.0,17.59,13-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.16,738.85,346.51,,0.0,0.0,219.1,0.0,0.0,17.66,14-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-0.01,-0.12,733.83,320.11,,0.0,0.0,201.36,0.0,0.0,17.92,15-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-0.02,-0.3,735.69,305.67,,0.0,0.0,191.11,0.0,0.0,17.58,16-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-0.17,-0.12,734.69,236.07,,0.0,0.0,114.44,0.0,0.0,17.59,17-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-0.16,-0.2,736.0,291.03,,0.0,0.0,178.57,0.0,0.0,17.66,18-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-6.48,-0.31,731.29,318.55,,0.0,0.0,265.46,0.0,0.0,17.54,19-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-14.09,-0.5,728.83,307.82,,0.0,0.0,222.93,0.0,0.0,17.39,20-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-8.51,-0.5,726.52,283.15,,0.0,0.0,188.65,0.0,0.0,17.24,21-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.49,732.23,282.79,,0.0,0.0,275.54,0.0,0.0,17.81,22-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.5,732.3,327.27,,0.0,0.0,241.92,0.0,0.0,17.61,23-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.5,733.17,324.92,,0.0,0.0,263.22,0.0,0.0,17.49,24-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
